Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,15.26,15.48,15.19,15.24,19348.0,0.0,1.0,15.26,15.48,15.19,15.24,19348.0
2018-03-26,14.92,15.28,14.82,15.24,28492.0,0.0,1.0,14.92,15.28,14.82,15.24,28492.0
2018-03-23,15.1,15.38,14.72,14.81,84965.0,0.0,1.0,15.1,15.38,14.72,14.81,84965.0
2018-03-22,14.85,15.19,14.67,14.76,46741.0,0.0,1.0,14.85,15.19,14.67,14.76,46741.0
2018-03-21,14.96,15.2089,14.81,14.91,52765.0,0.0,1.0,14.96,15.2089,14.81,14.91,52765.0
2018-03-20,14.92,15.13,14.92,14.92,35286.0,0.0,1.0,14.92,15.13,14.92,14.92,35286.0
2018-03-19,14.96,15.0,14.71,14.92,23071.0,0.0,1.0,14.96,15.0,14.71,14.92,23071.0
2018-03-16,14.87,15.11,14.87,15.04,52418.0,0.0,1.0,14.87,15.11,14.87,15.04,52418.0
2018-03-15,14.97,15.13,14.82,14.9,29471.0,0.0,1.0,14.97,15.13,14.82,14.9,29471.0
2018-03-14,15.15,15.245,14.8489,14.96,18020.0,0.0,1.0,15.15,15.245,14.8489,14.96,18020.0
2018-03-13,15.4,15.43,15.08,15.14,19709.0,0.0,1.0,15.4,15.43,15.08,15.14,19709.0
2018-03-12,15.41,15.55,15.26,15.31,33270.0,0.0,1.0,15.41,15.55,15.26,15.31,33270.0
2018-03-09,15.41,15.4492,15.34,15.35,21930.0,0.0,1.0,15.41,15.4492,15.34,15.35,21930.0
2018-03-08,15.1,15.4491,15.1,15.28,39891.0,0.0,1.0,15.1,15.4491,15.1,15.28,39891.0
2018-03-07,15.42,15.5,15.04,15.09,66819.0,0.0,1.0,15.42,15.5,15.04,15.09,66819.0
2018-03-06,15.77,15.77,15.35,15.51,18923.0,0.0,1.0,15.77,15.77,15.35,15.51,18923.0
2018-03-05,15.74,15.94,15.67,15.74,17248.0,0.0,1.0,15.74,15.94,15.67,15.74,17248.0
2018-03-02,15.67,15.85,15.43,15.81,25937.0,0.0,1.0,15.67,15.85,15.43,15.81,25937.0
2018-03-01,15.8,15.97,15.55,15.76,17253.0,0.0,1.0,15.8,15.97,15.55,15.76,17253.0
2018-02-28,15.94,15.95,15.69,15.81,34892.0,0.0,1.0,15.94,15.95,15.69,15.81,34892.0
2018-02-27,15.77,16.07,15.77,15.94,27189.0,0.0,1.0,15.77,16.07,15.77,15.94,27189.0
2018-02-26,15.75,16.02,15.635,15.78,28736.0,0.0,1.0,15.75,16.02,15.635,15.78,28736.0
2018-02-23,16.11,16.25,15.52,15.7,25026.0,0.0,1.0,16.11,16.25,15.52,15.7,25026.0
2018-02-22,16.51,16.51,16.15,16.2,11619.0,0.0,1.0,16.51,16.51,16.15,16.2,11619.0
2018-02-21,16.46,16.74,16.42,16.51,12317.0,0.0,1.0,16.46,16.74,16.42,16.51,12317.0
2018-02-20,16.86,16.86,16.35,16.4,15942.0,0.0,1.0,16.86,16.86,16.35,16.4,15942.0
2018-02-16,16.94,17.07,16.83,16.91,7863.0,0.0,1.0,16.94,17.07,16.83,16.91,7863.0
2018-02-15,16.63,17.02,16.51,16.99,23286.0,0.0,1.0,16.63,17.02,16.51,16.99,23286.0
2018-02-14,16.21,16.56,16.15,16.49,37989.0,0.0,1.0,16.21,16.56,16.15,16.49,37989.0
2018-02-13,16.35,16.7355,16.03,16.28,14714.0,0.0,1.0,16.35,16.7355,16.03,16.28,14714.0
2018-02-12,16.46,16.67,16.14,16.4,18774.0,0.0,1.0,16.46,16.67,16.14,16.4,18774.0
2018-02-09,16.54,16.54,16.26,16.33,25686.0,0.0,1.0,16.54,16.54,16.26,16.33,25686.0
2018-02-08,16.58,16.9456,16.42,16.4284,22968.0,0.0,1.0,16.58,16.9456,16.42,16.4284,22968.0
2018-02-07,16.5,16.75,16.4897,16.6,15050.0,0.0,1.0,16.5,16.75,16.4897,16.6,15050.0
2018-02-06,16.24,16.8,16.17,16.54,26997.0,0.0,1.0,16.24,16.8,16.17,16.54,26997.0
