Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-07,47.16,47.71,46.88,47.4,1106464.0,0.0,1.0,47.16,47.71,46.88,47.4,1106464.0
2018-03-06,47.46,48.13,46.77,47.65,1138862.0,0.0,1.0,47.46,48.13,46.77,47.65,1138862.0
2018-03-05,46.24,47.05,46.15,46.85,994153.0,0.0,1.0,46.24,47.05,46.15,46.85,994153.0
2018-03-02,46.63,46.83,45.66,46.7,1411192.0,0.0,1.0,46.63,46.83,45.66,46.7,1411192.0
2018-03-01,47.58,48.96,46.13,46.93,1127762.0,0.0,1.0,47.58,48.96,46.13,46.93,1127762.0
2017-12-07,54.11,54.41,52.05,52.91,4022843.0,0.0,1.0,54.11,54.41,52.05,52.91,4022843.0
2017-12-06,55.83,56.61,53.67,54.13,6288744.0,0.0,1.0,55.83,56.61,53.67,54.13,6288744.0
2017-12-05,51.54,57.25,50.01,56.5,22369868.0,0.0,1.0,51.54,57.25,50.01,56.5,22369868.0
2017-12-04,103.55,104.99,101.705,104.3,2734118.0,0.0,1.0,103.55,104.99,101.705,104.3,2734118.0
2017-12-01,104.17,104.52,101.485,103.51,1845047.0,0.0,1.0,104.17,104.52,101.485,103.51,1845047.0
2017-11-30,102.6,104.99,101.24,104.67,2127083.0,0.0,1.0,102.6,104.99,101.24,104.67,2127083.0
2017-11-29,102.22,102.45,101.36,102.05,1282356.0,0.0,1.0,102.22,102.45,101.36,102.05,1282356.0
2017-11-28,101.0,101.96,100.62,101.72,1213671.0,0.0,1.0,101.0,101.96,100.62,101.72,1213671.0
2017-11-27,101.0,101.47,100.44,100.77,1115261.0,0.0,1.0,101.0,101.47,100.44,100.77,1115261.0
2017-11-24,100.78,100.98,100.25,100.86,629568.0,0.0,1.0,100.78,100.98,100.25,100.86,629568.0
2017-11-22,102.0,102.575,100.51,100.78,2084348.0,0.0,1.0,102.0,102.575,100.51,100.78,2084348.0
2017-11-21,102.68,102.7999,101.91,102.0,1818131.0,0.0,1.0,102.68,102.7999,101.91,102.0,1818131.0
2017-11-20,102.0,102.99,101.3106,102.14,2952032.0,0.0,1.0,102.0,102.99,101.3106,102.14,2952032.0
2017-11-17,98.92,99.28,97.67,98.7,1492700.0,0.0,1.0,98.92,99.28,97.67,98.7,1492700.0
2017-11-16,98.75,99.77,98.53,99.24,1169873.0,0.0,1.0,98.75,99.77,98.53,99.24,1169873.0
2017-11-15,99.28,99.89,97.551,98.16,2262349.0,0.0,1.0,99.28,99.89,97.551,98.16,2262349.0
2017-11-14,98.01,100.29,98.01,100.29,3539668.0,0.0,1.0,98.01,100.29,98.01,100.29,3539668.0
2017-11-13,94.98,95.95,94.67,95.57,2211288.0,0.0,1.0,94.98,95.95,94.67,95.57,2211288.0
2017-11-10,95.49,96.38,95.08,95.29,1910505.0,0.0,1.0,95.49,96.38,95.08,95.29,1910505.0
2017-11-09,95.72,96.26,94.56,95.58,1209884.0,0.0,1.0,95.72,96.26,94.56,95.58,1209884.0
2017-11-07,97.28,97.88,96.87,97.26,1178393.0,0.29,1.0,97.28,97.88,96.87,97.26,1178393.0
2017-11-06,97.29,97.94,96.42,97.27,1438292.0,0.0,1.0,97.00077293695499,97.64884059456699,96.133359302922,96.98083239364401,1438292.0
2017-11-03,99.17,99.22,96.64,96.89,2475755.0,0.0,1.0,98.875184008201,98.925035366479,96.35270527934401,96.601962070733,2475755.0
2017-11-02,99.05,99.9,96.2403,99.31,3079304.0,0.0,1.0,98.75554074833401,99.60301383905701,95.954193521271,99.01476781137899,3079304.0
2017-11-01,100.5,101.13,99.09,99.38,1848890.0,0.0,1.0,100.20123013839,100.82935725269002,98.795421834956,99.084559712968,1848890.0
2017-10-31,98.3,99.5,98.16,99.38,1318449.0,0.0,1.0,98.00777037416701,99.204202972834,97.868186570989,99.084559712968,1318449.0
2017-10-30,98.24,98.4,97.44,98.25,1144646.0,0.0,1.0,97.94794874423401,98.107473090723,97.150327011789,97.95791901588899,1144646.0
2017-10-27,99.05,99.07,97.4,98.73,1572689.0,0.0,1.0,98.75554074833401,98.775481291645,97.11044592516701,98.43649205535601,1572689.0
2017-10-26,98.3,99.5,97.9,99.07,1128195.0,0.0,1.0,98.00777037416701,99.204202972834,97.608959507945,98.775481291645,1128195.0
2017-10-25,97.98,98.295,96.83,97.415,968550.0,0.0,1.0,97.68872168118901,98.002785238339,96.5421404408,97.12540133265,968550.0
2017-10-24,98.16,98.85,97.81,98.27,1060009.0,0.0,1.0,97.868186570989,98.556135315223,97.51922706304501,97.9778595592,1060009.0
2017-10-23,97.45,98.56,97.1,97.77,966125.0,0.0,1.0,97.16029728344401,98.26699743721201,96.8113377755,97.47934597642201,966125.0
2017-10-20,98.24,98.58,96.67,96.84,1616368.0,0.0,1.0,97.94794874423401,98.28693798052299,96.382616094311,96.552110712455,1616368.0
2017-10-19,97.24,97.77,95.83,97.64,1226954.0,0.0,1.0,96.95092157867799,97.47934597642201,95.545113275243,97.3497324449,1226954.0
2017-10-18,97.45,97.85,96.92,97.73,1417457.0,0.0,1.0,97.16029728344401,97.559108149667,96.63187288569999,97.43946488979999,1417457.0
2017-10-17,98.0,98.1,96.79,97.24,1587680.0,0.0,1.0,97.7086622245,97.808364941056,96.502259354177,96.95092157867799,1587680.0
2017-10-16,98.0,98.01,96.68,97.98,2072619.0,0.0,1.0,97.7086622245,97.718632496156,96.392586365966,97.68872168118901,2072619.0
2017-10-13,98.57,98.92,97.38,97.48,1233956.0,0.0,1.0,98.27696770886699,98.625927216812,97.090505381855,97.190208098411,1233956.0
2017-10-12,97.79,98.34,97.47,98.1,1935043.0,0.0,1.0,97.499286519733,98.047651460789,97.180237826756,97.808364941056,1935043.0
2017-10-11,98.41,99.96,97.6,99.25,2158614.0,0.0,1.0,98.11744336237801,99.66283546899,97.30985135827801,98.95494618144501,2158614.0
2017-10-10,98.64,99.34,97.37,98.62,2003495.0,0.0,1.0,98.346759610456,99.044678626345,97.0805351102,98.32681906714501,2003495.0
2017-10-09,100.52,100.99,99.87,100.12,949156.0,0.0,1.0,100.2211706817,100.68977344951,99.57310302409,99.82235981547899,949156.0
2017-10-06,101.95,102.13,100.36,100.45,1361510.0,0.0,1.0,101.64691952845,101.82638441825,100.06164633521,100.15137878011,1361510.0
2017-10-05,102.65,102.93,101.39,102.31,1825355.0,0.0,1.0,102.34483854434,102.62400615069001,101.08858431574,102.00584930805,1825355.0
2017-10-04,99.61,102.31,99.61,102.31,1651589.0,0.0,1.0,99.31387596104601,102.00584930805,99.31387596104601,102.00584930805,1651589.0
2017-10-03,100.5,101.1264,99.4,99.62,1646850.0,0.0,1.0,100.20123013839,100.82576795489,99.104500256279,99.323846232701,1646850.0
2017-10-02,98.43,99.95,98.01,99.95,1503991.0,0.0,1.0,98.13738390568899,99.65286519733499,97.718632496156,99.65286519733499,1503991.0
2017-09-29,97.74,99.31,97.63,98.4,2296120.0,0.0,1.0,97.449435161456,99.01476781137899,97.339762173244,98.107473090723,2296120.0
2017-09-28,98.49,99.34,96.535,97.74,3847866.0,0.0,1.0,98.197205535623,99.044678626345,96.248017426961,97.449435161456,3847866.0
2017-09-27,103.74,103.97,98.28,98.78,4822012.0,0.0,1.0,103.43159815479,103.66091440286999,97.987829830856,98.48634341363399,4822012.0
2017-09-26,103.5,104.09,102.8,103.11,2262349.0,0.0,1.0,103.19231163506001,103.78055766274001,102.49439261917,102.80347104049,2262349.0
2017-09-25,102.76,103.65899999999999,102.4,103.45,2100386.0,0.0,1.0,102.45451153254999,103.35083895438,102.09558175295,103.14246027678001,2100386.0
