Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,14.8,15.2,14.75,15.06,1347840.0,0.0,1.0,14.8,15.2,14.75,15.06,1347840.0
2018-03-26,14.86,14.92,14.68,14.89,1204948.0,0.0,1.0,14.86,14.92,14.68,14.89,1204948.0
2018-03-23,14.95,14.99,14.74,14.74,1697148.0,0.0,1.0,14.95,14.99,14.74,14.74,1697148.0
2018-03-22,14.95,15.24,14.89,14.92,1339347.0,0.0,1.0,14.95,15.24,14.89,14.92,1339347.0
2018-03-21,15.05,15.12,14.85,14.95,1345275.0,0.0,1.0,15.05,15.12,14.85,14.95,1345275.0
2018-03-20,15.15,15.25,14.97,15.05,1581766.0,0.0,1.0,15.15,15.25,14.97,15.05,1581766.0
2018-03-19,15.14,15.18,14.95,15.17,1161277.0,0.0,1.0,15.14,15.18,14.95,15.17,1161277.0
2018-03-16,15.09,15.19,14.92,15.17,1423869.0,0.0,1.0,15.09,15.19,14.92,15.17,1423869.0
2018-03-15,15.16,15.165,14.99,15.08,1929009.0,0.0,1.0,15.16,15.165,14.99,15.08,1929009.0
2018-03-14,15.1,15.24,15.0,15.1,1331793.0,0.0,1.0,15.1,15.24,15.0,15.1,1331793.0
2018-03-13,15.28,15.4,15.08,15.12,1279847.0,0.0,1.0,15.28,15.4,15.08,15.12,1279847.0
2018-03-12,15.06,15.255,15.03,15.23,1240029.0,0.0,1.0,15.06,15.255,15.03,15.23,1240029.0
2018-03-09,15.07,15.09,14.89,15.09,1101162.0,0.0,1.0,15.07,15.09,14.89,15.09,1101162.0
2018-03-08,15.06,15.21,14.97,15.02,791676.0,0.0,1.0,15.06,15.21,14.97,15.02,791676.0
2018-03-07,14.95,15.12,14.91,15.08,1179953.0,0.0,1.0,14.95,15.12,14.91,15.08,1179953.0
2018-03-06,14.94,15.04,14.755,14.95,1217863.0,0.0,1.0,14.94,15.04,14.755,14.95,1217863.0
2018-03-05,14.71,15.04,14.71,14.94,1378990.0,0.0,1.0,14.71,15.04,14.71,14.94,1378990.0
2018-03-02,14.52,14.8,14.465,14.78,1323734.0,0.0,1.0,14.52,14.8,14.465,14.78,1323734.0
2018-03-01,14.43,14.7852,14.1301,14.6,1951915.0,0.0,1.0,14.43,14.7852,14.1301,14.6,1951915.0
2018-02-28,14.88,15.04,14.34,14.37,2219662.0,0.0,1.0,14.88,15.04,14.34,14.37,2219662.0
2018-02-27,15.18,15.24,14.7,14.7,1686897.0,0.0,1.0,15.18,15.24,14.7,14.7,1686897.0
2018-02-26,15.34,15.35,15.12,15.21,1477082.0,0.0,1.0,15.34,15.35,15.12,15.21,1477082.0
2018-02-23,15.16,15.305,15.03,15.25,990100.0,0.0,1.0,15.16,15.305,15.03,15.25,990100.0
2018-02-22,14.93,15.195,14.84,15.05,1336174.0,0.0,1.0,14.93,15.195,14.84,15.05,1336174.0
2018-02-21,15.06,15.21,14.81,14.83,1419557.0,0.0,1.0,15.06,15.21,14.81,14.83,1419557.0
2018-02-20,15.35,15.44,14.98,15.05,1772769.0,0.0,1.0,15.35,15.44,14.98,15.05,1772769.0
2018-02-16,15.11,15.45,15.09,15.4,2012375.0,0.0,1.0,15.11,15.45,15.09,15.4,2012375.0
2018-02-15,14.9,15.34,14.89,15.07,1934480.0,0.0,1.0,14.9,15.34,14.89,15.07,1934480.0
2018-02-14,15.0,15.07,14.755,14.88,2179096.0,0.0,1.0,15.0,15.07,14.755,14.88,2179096.0
2018-02-13,15.22,15.3,15.0,15.14,2713082.0,0.0,1.0,15.22,15.3,15.0,15.14,2713082.0
2018-02-12,15.44,15.49,14.86,15.23,2959964.0,0.0,1.0,15.44,15.49,14.86,15.23,2959964.0
2018-02-09,15.0,15.49,14.83,15.39,2016772.0,0.0,1.0,15.0,15.49,14.83,15.39,2016772.0
2018-02-08,15.34,15.35,14.91,14.91,1909066.0,0.0,1.0,15.34,15.35,14.91,14.91,1909066.0
2018-02-07,15.59,15.898,15.34,15.35,1512471.0,0.0,1.0,15.59,15.898,15.34,15.35,1512471.0
2018-02-06,15.36,15.795,15.24,15.61,1778472.0,0.0,1.0,15.36,15.795,15.24,15.61,1778472.0
2018-02-05,16.0,16.25,15.543,15.56,1956354.0,0.0,1.0,16.0,16.25,15.543,15.56,1956354.0
