Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,25.6,26.35,25.37,26.03,3142460.0,0.0,1.0,25.6,26.35,25.37,26.03,3142460.0
2018-03-26,25.5,25.55,25.16,25.42,1469599.0,0.0,1.0,25.5,25.55,25.16,25.42,1469599.0
2018-03-23,25.72,25.77,25.21,25.27,2685009.0,0.0,1.0,25.72,25.77,25.21,25.27,2685009.0
2018-03-22,25.92,26.135,25.75,25.75,3755184.0,0.0,1.0,25.92,26.135,25.75,25.75,3755184.0
2018-03-21,26.09,26.2,25.87,26.02,2915149.0,0.0,1.0,26.09,26.2,25.87,26.02,2915149.0
2018-03-20,26.11,26.28,25.92,26.07,2382908.0,0.0,1.0,26.11,26.28,25.92,26.07,2382908.0
2018-03-19,26.08,26.16,25.9,26.08,2670154.0,0.0,1.0,26.08,26.16,25.9,26.08,2670154.0
2018-03-16,25.86,26.17,25.7,26.13,3442097.0,0.0,1.0,25.86,26.17,25.7,26.13,3442097.0
2018-03-15,25.72,25.94,25.64,25.85,2709505.0,0.0,1.0,25.72,25.94,25.64,25.85,2709505.0
2018-03-14,25.67,25.8,25.545,25.7,1980010.0,0.0,1.0,25.67,25.8,25.545,25.7,1980010.0
2018-03-13,25.78,25.88,25.54,25.6,1802864.0,0.0,1.0,25.78,25.88,25.54,25.6,1802864.0
2018-03-12,25.7,25.8,25.455,25.73,2350648.0,0.0,1.0,25.7,25.8,25.455,25.73,2350648.0
2018-03-09,25.47,25.76,25.255,25.76,1768586.0,0.0,1.0,25.47,25.76,25.255,25.76,1768586.0
2018-03-08,25.25,25.51,25.06,25.44,1995057.0,0.0,1.0,25.25,25.51,25.06,25.44,1995057.0
2018-03-07,24.86,25.22,24.8,25.19,2169702.0,0.0,1.0,24.86,25.22,24.8,25.19,2169702.0
2018-03-06,24.9,24.98,24.58,24.94,3408016.0,0.0,1.0,24.9,24.98,24.58,24.94,3408016.0
2018-03-05,24.47,25.115,24.44,24.98,1804252.0,0.0,1.0,24.47,25.115,24.44,24.98,1804252.0
2018-03-02,24.68,24.7,24.3,24.59,1811989.0,0.0,1.0,24.68,24.7,24.3,24.59,1811989.0
2018-03-01,24.66,25.11,24.57,24.75,2577907.0,0.0,1.0,24.66,25.11,24.57,24.75,2577907.0
