Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,46.55,46.55,44.1,44.55,495117.0,0.0,1.0,46.55,46.55,44.1,44.55,495117.0
2018-03-26,46.25,46.4,44.6,46.35,514232.0,0.0,1.0,46.25,46.4,44.6,46.35,514232.0
2018-03-23,47.4,47.4,45.55,45.55,483949.0,0.0,1.0,47.4,47.4,45.55,45.55,483949.0
2018-03-22,47.85,48.75,47.05,47.15,343040.0,0.0,1.0,47.85,48.75,47.05,47.15,343040.0
2018-03-21,46.5,48.85,46.25,48.55,327054.0,0.0,1.0,46.5,48.85,46.25,48.55,327054.0
2018-03-20,45.95,46.7,45.65,46.35,208691.0,0.0,1.0,45.95,46.7,45.65,46.35,208691.0
2018-03-19,47.0,47.15,45.15,45.7,536175.0,0.0,1.0,47.0,47.15,45.15,45.7,536175.0
2018-03-16,45.6,47.6,45.6,47.2,531657.0,0.0,1.0,45.6,47.6,45.6,47.2,531657.0
2018-03-15,46.3,46.3,45.15,45.6,473801.0,0.0,1.0,46.3,46.3,45.15,45.6,473801.0
2018-03-14,45.75,46.7,45.15,46.15,681583.0,0.0,1.0,45.75,46.7,45.15,46.15,681583.0
2018-03-13,46.45,46.65,45.2,45.6,525008.0,0.0,1.0,46.45,46.65,45.2,45.6,525008.0
2018-03-12,46.95,47.25,46.15,46.5,417760.0,0.0,1.0,46.95,47.25,46.15,46.5,417760.0
2018-03-09,47.0,47.5,46.65,46.85,564137.0,0.0,1.0,47.0,47.5,46.65,46.85,564137.0
2018-03-08,46.3,47.55,46.05,46.5,822353.0,0.0,1.0,46.3,47.55,46.05,46.5,822353.0
2018-03-07,45.75,46.55,45.25,46.25,557546.0,0.0,1.0,45.75,46.55,45.25,46.25,557546.0
2018-03-06,45.9,46.65,45.2,46.25,605506.0,0.0,1.0,45.9,46.65,45.2,46.25,605506.0
2018-03-05,44.0,46.1,44.0,45.75,493532.0,0.0,1.0,44.0,46.1,44.0,45.75,493532.0
2018-03-02,43.75,44.5,42.5,44.2,562852.0,0.0,1.0,43.75,44.5,42.5,44.2,562852.0
2018-03-01,44.65,45.85,44.45,44.45,490226.0,0.0,1.0,44.65,45.85,44.45,44.45,490226.0
2018-02-28,46.65,46.75,45.025,45.05,455299.0,0.0,1.0,46.65,46.75,45.025,45.05,455299.0
2018-02-27,47.0,47.7,46.05,46.15,566696.0,0.0,1.0,47.0,47.7,46.05,46.15,566696.0
2018-02-26,47.15,47.475,46.15,47.0,338482.0,0.0,1.0,47.15,47.475,46.15,47.0,338482.0
2018-02-23,45.95,46.85,45.4,46.8,345439.0,0.0,1.0,45.95,46.85,45.4,46.8,345439.0
2018-02-22,47.4,47.5,45.2,45.55,585384.0,0.0,1.0,47.4,47.5,45.2,45.55,585384.0
2018-02-21,46.9,47.85,46.4,46.45,338263.0,0.0,1.0,46.9,47.85,46.4,46.45,338263.0
2018-02-20,47.35,47.8,46.7,47.1,426088.0,0.0,1.0,47.35,47.8,46.7,47.1,426088.0
2018-02-16,46.15,47.35,46.1,47.3,380582.0,0.0,1.0,46.15,47.35,46.1,47.3,380582.0
2018-02-15,46.65,46.65,44.995,46.5,403901.0,0.0,1.0,46.65,46.65,44.995,46.5,403901.0
2018-02-14,44.6,46.75,44.55,46.5,330252.0,0.0,1.0,44.6,46.75,44.55,46.5,330252.0
2018-02-13,45.1,45.5,44.3,45.2,453094.0,0.0,1.0,45.1,45.5,44.3,45.2,453094.0
2018-02-12,45.5,46.05,44.85,45.55,416967.0,0.0,1.0,45.5,46.05,44.85,45.55,416967.0
2018-02-09,45.7,45.7,43.6,44.95,626978.0,0.0,1.0,45.7,45.7,43.6,44.95,626978.0
2018-02-08,46.95,47.15,45.05,45.1,479161.0,0.0,1.0,46.95,47.15,45.05,45.1,479161.0
2018-02-07,48.25,48.8,46.75,46.8,428133.0,0.0,1.0,48.25,48.8,46.75,46.8,428133.0
2018-02-06,46.4,48.7,46.3,48.35,449354.0,0.0,1.0,46.4,48.7,46.3,48.35,449354.0
2018-02-05,49.4,50.45,47.4,47.55,412578.0,0.0,1.0,49.4,50.45,47.4,47.55,412578.0
2018-02-02,51.4,51.4,49.9,50.0,302415.0,0.0,1.0,51.4,51.4,49.9,50.0,302415.0
2018-02-01,51.45,52.55,51.35,52.05,327481.0,0.0,1.0,51.45,52.55,51.35,52.05,327481.0
2018-01-31,52.15,52.35,51.325,51.65,363316.0,0.0,1.0,52.15,52.35,51.325,51.65,363316.0
2018-01-30,51.95,52.45,51.2,52.2,366071.0,0.0,1.0,51.95,52.45,51.2,52.2,366071.0
2018-01-29,53.55,54.2,52.35,52.55,396331.0,0.0,1.0,53.55,54.2,52.35,52.55,396331.0
2018-01-26,54.4,54.75,53.8,54.0,250822.0,0.0,1.0,54.4,54.75,53.8,54.0,250822.0
2018-01-25,55.4,55.4,53.7,54.2,269012.0,0.0,1.0,55.4,55.4,53.7,54.2,269012.0
2018-01-24,55.45,55.6,54.4,54.85,277754.0,0.0,1.0,55.45,55.6,54.4,54.85,277754.0
2018-01-23,55.2,55.575,54.2,55.4,361044.0,0.0,1.0,55.2,55.575,54.2,55.4,361044.0
2018-01-22,54.6,55.4,54.1,55.3,370760.0,0.0,1.0,54.6,55.4,54.1,55.3,370760.0
2018-01-19,53.5,54.3672,53.1253,54.35,345539.0,0.0,1.0,53.5,54.3672,53.1253,54.35,345539.0
2018-01-18,55.25,55.3,53.85,53.95,467647.0,0.0,1.0,55.25,55.3,53.85,53.95,467647.0
2018-01-17,55.7,56.3,54.5,55.45,641286.0,0.0,1.0,55.7,56.3,54.5,55.45,641286.0
2018-01-16,56.4,56.55,55.2,55.25,443948.0,0.0,1.0,56.4,56.55,55.2,55.25,443948.0
2018-01-12,55.55,56.4,55.4,56.35,478665.0,0.0,1.0,55.55,56.4,55.4,56.35,478665.0
2018-01-11,54.5,56.05,54.0,55.65,514062.0,0.0,1.0,54.5,56.05,54.0,55.65,514062.0
2018-01-10,53.8,54.95,53.7,54.2,621011.0,0.0,1.0,53.8,54.95,53.7,54.2,621011.0
2018-01-09,54.15,54.55,52.8,53.7,828454.0,0.0,1.0,54.15,54.55,52.8,53.7,828454.0
2018-01-08,52.7,54.35,52.0,54.2,800998.0,0.0,1.0,52.7,54.35,52.0,54.2,800998.0
2018-01-05,52.35,53.1499,51.35,52.95,609531.0,0.0,1.0,52.35,53.1499,51.35,52.95,609531.0
2018-01-04,51.1,52.7,50.55,52.35,695334.0,0.0,1.0,51.1,52.7,50.55,52.35,695334.0
2018-01-03,49.6,51.0,48.85,50.75,778607.0,0.0,1.0,49.6,51.0,48.85,50.75,778607.0
2018-01-02,47.85,49.65,47.1,49.45,516728.0,0.0,1.0,47.85,49.65,47.1,49.45,516728.0
2017-12-29,47.75,48.2,46.85,47.7,300779.0,0.0,1.0,47.75,48.2,46.85,47.7,300779.0
2017-12-28,47.8,48.35,47.4,47.8,311550.0,0.0,1.0,47.8,48.35,47.4,47.8,311550.0
2017-12-27,48.1,48.15,47.3,47.75,309672.0,0.0,1.0,48.1,48.15,47.3,47.75,309672.0
2017-12-26,47.7,48.4,47.3,48.25,234470.0,0.0,1.0,47.7,48.4,47.3,48.25,234470.0
2017-12-22,47.95,48.05,47.15,47.3,258357.0,0.0,1.0,47.95,48.05,47.15,47.3,258357.0
2017-12-21,47.6,48.6,47.3,47.85,410251.0,0.0,1.0,47.6,48.6,47.3,47.85,410251.0
2017-12-20,47.25,48.0,46.5006,47.75,354691.0,0.0,1.0,47.25,48.0,46.5006,47.75,354691.0
2017-12-19,46.4,46.85,46.1,46.7,406035.0,0.0,1.0,46.4,46.85,46.1,46.7,406035.0
