Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,22.33,22.49,21.94,22.08,1460336.0,0.0,1.0,22.33,22.49,21.94,22.08,1460336.0
2018-03-26,21.87,22.37,21.73,22.3,2744124.0,0.0,1.0,21.87,22.37,21.73,22.3,2744124.0
2018-03-23,21.54,21.99,21.44,21.58,1381459.0,0.0,1.0,21.54,21.99,21.44,21.58,1381459.0
2018-03-22,21.37,21.85,21.33,21.38,1417083.0,0.0,1.0,21.37,21.85,21.33,21.38,1417083.0
2018-03-21,21.82,22.15,21.7018,21.88,1234110.0,0.0,1.0,21.82,22.15,21.7018,21.88,1234110.0
2018-03-20,21.63,21.93,21.36,21.79,1704805.0,0.0,1.0,21.63,21.93,21.36,21.79,1704805.0
2018-03-19,21.97,22.2,21.55,21.73,2158900.0,0.0,1.0,21.97,22.2,21.55,21.73,2158900.0
2018-03-16,21.53,22.02,21.43,21.95,3445824.0,0.0,1.0,21.53,22.02,21.43,21.95,3445824.0
2018-03-15,21.47,21.94,21.41,21.52,2593131.0,0.0,1.0,21.47,21.94,21.41,21.52,2593131.0
2018-03-14,21.75,21.76,20.8,21.3,3321506.0,0.0,1.0,21.75,21.76,20.8,21.3,3321506.0
2018-03-13,20.79,21.9,20.36,21.7,7944819.0,0.0,1.0,20.79,21.9,20.36,21.7,7944819.0
2018-03-12,19.08,19.8,19.02,19.6,5137990.0,0.0,1.0,19.08,19.8,19.02,19.6,5137990.0
2018-03-09,19.06,19.17,18.81,19.08,2246521.0,0.0,1.0,19.06,19.17,18.81,19.08,2246521.0
2018-03-08,19.17,19.32,18.85,18.92,1841887.0,0.0,1.0,19.17,19.32,18.85,18.92,1841887.0
2018-03-07,19.01,19.33,18.79,19.11,2537698.0,0.0,1.0,19.01,19.33,18.79,19.11,2537698.0
2018-03-06,19.41,19.63,19.0399,19.29,2348754.0,0.0,1.0,19.41,19.63,19.0399,19.29,2348754.0
2018-03-05,19.51,19.77,19.14,19.42,1531206.0,0.0,1.0,19.51,19.77,19.14,19.42,1531206.0
2018-03-02,19.05,19.6601,18.97,19.6,1251263.0,0.0,1.0,19.05,19.6601,18.97,19.6,1251263.0
2018-03-01,19.55,19.77,19.16,19.34,1185283.0,0.0,1.0,19.55,19.77,19.16,19.34,1185283.0
2018-02-28,19.75,20.11,19.525,19.61,1809450.0,0.0,1.0,19.75,20.11,19.525,19.61,1809450.0
2018-02-27,20.18,20.61,19.38,19.38,1264748.0,0.0,1.0,20.18,20.61,19.38,19.38,1264748.0
