Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,19.2,20.3,18.85,19.9,3160260.0,0.0,1.0,19.2,20.3,18.85,19.9,3160260.0
2018-03-26,18.65,19.2,18.25,19.2,2095123.0,0.0,1.0,18.65,19.2,18.25,19.2,2095123.0
2018-03-23,18.5,19.15,18.475,18.5,1786442.0,0.0,1.0,18.5,19.15,18.475,18.5,1786442.0
2018-03-22,18.2,19.05,18.038,18.525,2571209.0,0.0,1.0,18.2,19.05,18.038,18.525,2571209.0
2018-03-21,17.45,18.5,17.0,18.4,1677151.0,0.0,1.0,17.45,18.5,17.0,18.4,1677151.0
2018-03-20,16.75,17.7,16.6,17.45,1470238.0,0.0,1.0,16.75,17.7,16.6,17.45,1470238.0
2018-03-19,16.2,16.75,16.125,16.7,1179571.0,0.0,1.0,16.2,16.75,16.125,16.7,1179571.0
2018-03-16,16.35,16.675,16.15,16.4,2032211.0,0.0,1.0,16.35,16.675,16.15,16.4,2032211.0
2018-03-15,16.3,16.8,16.25,16.45,1310982.0,0.0,1.0,16.3,16.8,16.25,16.45,1310982.0
2018-03-14,16.35,16.595,16.1,16.2,1027385.0,0.0,1.0,16.35,16.595,16.1,16.2,1027385.0
2018-03-13,16.8,16.825,16.05,16.3,1558333.0,0.0,1.0,16.8,16.825,16.05,16.3,1558333.0
2018-03-12,17.55,17.6,16.2936,16.85,2305314.0,0.0,1.0,17.55,17.6,16.2936,16.85,2305314.0
2018-03-09,18.05,18.1,17.2,17.55,1052727.0,0.0,1.0,18.05,18.1,17.2,17.55,1052727.0
2018-03-08,17.35,18.2,16.25,18.0,2961561.0,0.0,1.0,17.35,18.2,16.25,18.0,2961561.0
2018-03-07,17.2,17.6,16.9,17.6,874720.0,0.0,1.0,17.2,17.6,16.9,17.6,874720.0
2018-03-06,16.95,17.4,16.55,17.3,844807.0,0.0,1.0,16.95,17.4,16.55,17.3,844807.0
2018-03-05,16.6,17.1,16.45,17.05,804650.0,0.0,1.0,16.6,17.1,16.45,17.05,804650.0
2018-03-02,15.95,16.7,15.8,16.55,1190125.0,0.0,1.0,15.95,16.7,15.8,16.55,1190125.0
2018-03-01,16.1,16.35,15.6,16.05,1915649.0,0.0,1.0,16.1,16.35,15.6,16.05,1915649.0
2018-02-28,17.35,17.65,16.05,16.15,1306653.0,0.0,1.0,17.35,17.65,16.05,16.15,1306653.0
2018-02-27,17.65,17.85,17.4,17.4,740879.0,0.0,1.0,17.65,17.85,17.4,17.4,740879.0
2018-02-26,17.75,17.95,17.35,17.75,1244597.0,0.0,1.0,17.75,17.95,17.35,17.75,1244597.0
