Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,32.5,32.585,31.58,31.71,6007286.0,0.0,1.0,32.5,32.585,31.58,31.71,6007286.0
2018-03-26,32.57,32.57,31.55,32.47,6189839.0,0.0,1.0,32.57,32.57,31.55,32.47,6189839.0
2018-03-23,32.48,33.0767,32.1,32.23,8479331.0,0.0,1.0,32.48,33.0767,32.1,32.23,8479331.0
2018-03-22,32.43,32.75,32.09,32.29,8521047.0,0.0,1.0,32.43,32.75,32.09,32.29,8521047.0
2018-03-21,31.78,33.3,31.65,32.92,10156169.0,0.0,1.0,31.78,33.3,31.65,32.92,10156169.0
2018-03-20,31.46,31.96,31.4,31.55,8594595.0,0.0,1.0,31.46,31.96,31.4,31.55,8594595.0
2018-03-19,31.75,31.9,30.9,31.16,9505975.0,0.0,1.0,31.75,31.9,30.9,31.16,9505975.0
2018-03-16,31.72,32.575,31.645,31.96,10601328.0,0.0,1.0,31.72,32.575,31.645,31.96,10601328.0
2018-03-15,32.69,33.0528,31.51,31.71,9625644.0,0.0,1.0,32.69,33.0528,31.51,31.71,9625644.0
2018-03-14,32.81,33.02,32.5402,32.62,9722067.0,0.0,1.0,32.81,33.02,32.5402,32.62,9722067.0
2018-03-13,32.97,33.14,32.305,32.79,9799908.0,0.0,1.0,32.97,33.14,32.305,32.79,9799908.0
2018-03-12,32.73,33.35,32.6,32.82,7284876.0,0.0,1.0,32.73,33.35,32.6,32.82,7284876.0
2018-03-09,32.56,32.85,32.15,32.72,9086552.0,0.0,1.0,32.56,32.85,32.15,32.72,9086552.0
2018-03-08,31.79,32.51,31.715,32.39,11866618.0,0.0,1.0,31.79,32.51,31.715,32.39,11866618.0
2018-03-07,30.97,31.5,30.74,30.95,6492362.0,0.0,1.0,30.97,31.5,30.74,30.95,6492362.0
2018-03-06,32.16,32.22,31.26,31.33,6892544.0,0.0,1.0,32.16,32.22,31.26,31.33,6892544.0
2018-03-05,31.12,32.33,31.11,32.0,9848927.0,0.0,1.0,31.12,32.33,31.11,32.0,9848927.0
2018-03-02,30.4,31.42,29.97,31.36,9107619.0,0.0,1.0,30.4,31.42,29.97,31.36,9107619.0
