Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,8.5,8.5,7.75,7.95,335797.0,0.0,1.0,8.5,8.5,7.75,7.95,335797.0
2018-03-26,7.5,8.3,7.15,8.25,838907.0,0.0,1.0,7.5,8.3,7.15,8.25,838907.0
2018-03-23,7.25,7.65,7.25,7.4,102976.0,0.0,1.0,7.25,7.65,7.25,7.4,102976.0
2018-03-22,7.5,7.55,7.2,7.25,102088.0,0.0,1.0,7.5,7.55,7.2,7.25,102088.0
2018-03-21,7.5,7.7,7.4,7.55,73190.0,0.0,1.0,7.5,7.7,7.4,7.55,73190.0
2018-03-20,7.1,7.7,7.1,7.55,177907.0,0.0,1.0,7.1,7.7,7.1,7.55,177907.0
2018-03-19,7.6,7.7,7.1,7.1,167173.0,0.0,1.0,7.6,7.7,7.1,7.1,167173.0
2018-03-16,7.65,7.8,7.5,7.7,145230.0,0.0,1.0,7.65,7.8,7.5,7.7,145230.0
2018-03-15,7.75,7.9,7.65,7.65,172538.0,0.0,1.0,7.75,7.9,7.65,7.65,172538.0
2018-03-14,7.9,7.9,7.7,7.75,121710.0,0.0,1.0,7.9,7.9,7.7,7.75,121710.0
2018-03-13,7.95,7.95,7.7,7.8,109500.0,0.0,1.0,7.95,7.95,7.7,7.8,109500.0
2018-03-12,7.85,7.9,7.75,7.85,119249.0,0.0,1.0,7.85,7.9,7.75,7.85,119249.0
2018-03-09,7.95,7.95,7.8,7.8,88888.0,0.0,1.0,7.95,7.95,7.8,7.8,88888.0
2018-03-08,7.85,7.95,7.85,7.95,87522.0,0.0,1.0,7.85,7.95,7.85,7.95,87522.0
2018-03-07,7.8,8.0,7.7,7.95,135318.0,0.0,1.0,7.8,8.0,7.7,7.95,135318.0
2018-03-06,7.95,7.95,7.7010000000000005,7.85,130872.0,0.0,1.0,7.95,7.95,7.7010000000000005,7.85,130872.0
2018-03-05,7.8,7.95,7.35,7.95,241433.0,0.0,1.0,7.8,7.95,7.35,7.95,241433.0
2018-03-02,7.4,7.8,6.95,7.8,249173.0,0.0,1.0,7.4,7.8,6.95,7.8,249173.0
2018-03-01,7.75,7.75,7.41,7.55,203540.0,0.0,1.0,7.75,7.75,7.41,7.55,203540.0
2018-02-28,7.95,7.95,7.7,7.75,191569.0,0.0,1.0,7.95,7.95,7.7,7.75,191569.0
