Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,13.5,13.65,13.25,13.3,378519.0,0.0,1.0,13.5,13.65,13.25,13.3,378519.0
2018-03-26,13.45,13.55,13.25,13.5,456485.0,0.0,1.0,13.45,13.55,13.25,13.5,456485.0
2018-03-23,13.8,13.8,13.25,13.35,732961.0,0.0,1.0,13.8,13.8,13.25,13.35,732961.0
2018-03-22,13.85,14.15,13.75,13.75,899635.0,0.0,1.0,13.85,14.15,13.75,13.75,899635.0
2018-03-21,13.95,14.05,13.75,13.9,819461.0,0.0,1.0,13.95,14.05,13.75,13.9,819461.0
2018-03-20,13.9,14.0,13.7,13.9,482303.0,0.0,1.0,13.9,14.0,13.7,13.9,482303.0
2018-03-19,14.2,14.2,13.7,13.9,532475.0,0.0,1.0,14.2,14.2,13.7,13.9,532475.0
2018-03-16,14.1,14.325,14.05,14.2,1656673.0,0.0,1.0,14.1,14.325,14.05,14.2,1656673.0
2018-03-15,14.1,14.2,14.0,14.15,583043.0,0.0,1.0,14.1,14.2,14.0,14.15,583043.0
2018-03-14,14.25,14.25,13.95,14.0,726061.0,0.0,1.0,14.25,14.25,13.95,14.0,726061.0
2018-03-13,14.25,14.3502,14.075,14.15,722910.0,0.0,1.0,14.25,14.3502,14.075,14.15,722910.0
2018-03-12,13.7,14.4,13.6,14.2,1276567.0,0.0,1.0,13.7,14.4,13.6,14.2,1276567.0
2018-03-09,14.15,14.3,13.2,13.55,1369551.0,0.0,1.0,14.15,14.3,13.2,13.55,1369551.0
2018-03-08,14.0,14.45,13.9,14.25,740412.0,0.0,1.0,14.0,14.45,13.9,14.25,740412.0
2018-03-07,13.9,14.15,13.85,14.05,893556.0,0.0,1.0,13.9,14.15,13.85,14.05,893556.0
2018-03-06,14.1,14.15,13.75,13.95,413576.0,0.0,1.0,14.1,14.15,13.75,13.95,413576.0
2018-03-05,13.85,14.15,13.8,14.1,544126.0,0.08,1.0,13.85,14.15,13.8,14.1,544126.0
2018-03-02,13.3,13.85,13.3,13.85,398521.0,0.0,1.0,13.2249647391,13.7718617772,13.2249647391,13.7718617772,398521.0
2018-03-01,13.45,13.6,13.25,13.45,562423.0,0.0,1.0,13.374118476700001,13.5232722144,13.1752468265,13.374118476700001,562423.0
2018-02-28,13.7,13.75,13.4,13.5,657314.0,0.0,1.0,13.7,13.75,13.4,13.5,657314.0
2018-02-27,14.0,14.25,13.5,13.6,461839.0,0.0,1.0,14.0,14.25,13.5,13.6,461839.0
2018-02-26,13.7,14.1,13.65,14.05,580171.0,0.0,1.0,13.7,14.1,13.65,14.05,580171.0
2018-02-23,13.8,14.0,13.65,13.75,479512.0,0.0,1.0,13.8,14.0,13.65,13.75,479512.0
2018-02-22,13.85,13.95,13.6,13.7,430094.0,0.0,1.0,13.85,13.95,13.6,13.7,430094.0
2018-02-21,13.75,14.05,13.725,13.75,294076.0,0.0,1.0,13.75,14.05,13.725,13.75,294076.0
2018-02-20,13.9,14.1,13.525,13.7,449079.0,0.0,1.0,13.9,14.1,13.525,13.7,449079.0
2018-02-16,13.95,14.25,13.9,14.0,626728.0,0.0,1.0,13.95,14.25,13.9,14.0,626728.0
2018-02-15,13.8,14.2,13.75,14.0,511326.0,0.0,1.0,13.8,14.2,13.75,14.0,511326.0
2018-02-14,13.45,13.85,13.3,13.8,726063.0,0.0,1.0,13.45,13.85,13.3,13.8,726063.0
2018-02-13,13.4,13.7,13.3,13.5,698525.0,0.0,1.0,13.4,13.7,13.3,13.5,698525.0
2018-02-12,13.35,13.6,13.1,13.45,697763.0,0.0,1.0,13.35,13.6,13.1,13.45,697763.0
2018-02-09,13.1,13.4,13.0,13.275,942275.0,0.0,1.0,13.1,13.4,13.0,13.275,942275.0
2018-02-08,12.9,13.25,12.85,13.05,699500.0,0.0,1.0,12.9,13.25,12.85,13.05,699500.0
2018-02-07,12.9,13.1,12.8,12.9,1042127.0,0.0,1.0,12.9,13.1,12.8,12.9,1042127.0
2018-02-06,12.75,13.45,12.65,13.0,2229610.0,0.0,1.0,12.75,13.45,12.65,13.0,2229610.0
2018-02-05,12.95,13.05,12.705,12.875,1586116.0,0.0,1.0,12.95,13.05,12.705,12.875,1586116.0
2018-02-02,13.25,13.4,12.95,12.975,1378392.0,0.0,1.0,13.25,13.4,12.95,12.975,1378392.0
2018-02-01,13.1,13.8,12.95,13.3,4004652.0,0.0,1.0,13.1,13.8,12.95,13.3,4004652.0
2018-01-31,16.9,16.95,16.6,16.6,804703.0,0.0,1.0,16.9,16.95,16.6,16.6,804703.0
