Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,37.75,37.75,35.2,35.35,1410748.0,0.0,1.0,37.75,37.75,35.2,35.35,1410748.0
2018-03-26,36.5,37.65,32.755,37.6,1028719.0,0.0,1.0,36.5,37.65,32.755,37.6,1028719.0
2018-03-23,36.85,37.05,35.8,35.85,1671033.0,0.0,1.0,36.85,37.05,35.8,35.85,1671033.0
2018-03-22,37.25,37.8,36.7,36.7,1270111.0,0.0,1.0,37.25,37.8,36.7,36.7,1270111.0
2018-03-21,36.4,38.25,36.2,37.85,1617523.0,0.0,1.0,36.4,38.25,36.2,37.85,1617523.0
2018-03-20,36.5,37.125,36.2,36.25,1451972.0,0.0,1.0,36.5,37.125,36.2,36.25,1451972.0
2018-03-19,36.05,36.625,35.7,36.5,1774121.0,0.0,1.0,36.05,36.625,35.7,36.5,1774121.0
2018-03-16,36.05,36.45,35.9,36.1,1432911.0,0.0,1.0,36.05,36.45,35.9,36.1,1432911.0
2018-03-15,36.25,36.375,35.9,36.15,894564.0,0.0,1.0,36.25,36.375,35.9,36.15,894564.0
2018-03-14,36.35,36.7,36.05,36.15,1008021.0,0.0,1.0,36.35,36.7,36.05,36.15,1008021.0
2018-03-13,36.55,36.85,35.81,35.95,782978.0,0.0,1.0,36.55,36.85,35.81,35.95,782978.0
2018-03-12,36.7,36.875,36.25,36.4,841826.0,0.0,1.0,36.7,36.875,36.25,36.4,841826.0
2018-03-09,36.15,36.55,36.05,36.55,907507.0,0.0,1.0,36.15,36.55,36.05,36.55,907507.0
2018-03-08,35.9,36.225,35.55,35.85,667708.0,0.0,1.0,35.9,36.225,35.55,35.85,667708.0
2018-03-07,34.85,35.7,34.56,35.6,786322.0,0.0,1.0,34.85,35.7,34.56,35.6,786322.0
2018-03-06,34.1,35.2,33.95,35.15,846845.0,0.0,1.0,34.1,35.2,33.95,35.15,846845.0
2018-03-05,33.55,34.25,33.25,34.0,601399.0,0.0,1.0,33.55,34.25,33.25,34.0,601399.0
2018-03-02,32.6,33.75,32.3,33.65,712785.0,0.0,1.0,32.6,33.75,32.3,33.65,712785.0
2018-03-01,33.15,33.675,32.55,33.05,741590.0,0.0,1.0,33.15,33.675,32.55,33.05,741590.0
2018-02-28,33.85,34.05,33.15,33.2,633580.0,0.0,1.0,33.85,34.05,33.15,33.2,633580.0
2018-02-27,34.25,34.45,33.65,33.7,764620.0,0.0,1.0,34.25,34.45,33.65,33.7,764620.0
2018-02-26,33.85,34.45,33.7,34.35,491171.0,0.0,1.0,33.85,34.45,33.7,34.35,491171.0
2018-02-23,33.15,33.775,32.95,33.75,596072.0,0.0,1.0,33.15,33.775,32.95,33.75,596072.0
2018-02-22,32.9,33.45,32.8,33.0,669159.0,0.0,1.0,32.9,33.45,32.8,33.0,669159.0
2018-02-21,33.85,33.9,32.8,32.8,1127556.0,0.0,1.0,33.85,33.9,32.8,32.8,1127556.0
2018-02-20,32.85,34.0,32.6,33.65,892401.0,0.0,1.0,32.85,34.0,32.6,33.65,892401.0
2018-02-16,32.9,33.35,32.6,33.05,594049.0,0.0,1.0,32.9,33.35,32.6,33.05,594049.0
2018-02-15,33.0,33.1,31.825,33.1,800532.0,0.0,1.0,33.0,33.1,31.825,33.1,800532.0
2018-02-14,30.75,32.55,30.75,32.3,902585.0,0.0,1.0,30.75,32.55,30.75,32.3,902585.0
2018-02-13,30.8,31.275,30.65,31.15,638380.0,0.0,1.0,30.8,31.275,30.65,31.15,638380.0
2018-02-12,31.1,31.45,30.45,31.1,800242.0,0.0,1.0,31.1,31.45,30.45,31.1,800242.0
2018-02-09,30.2,31.15,29.6,30.75,1319109.0,0.0,1.0,30.2,31.15,29.6,30.75,1319109.0
2018-02-08,31.8,32.25,29.65,29.65,1270613.0,0.0,1.0,31.8,32.25,29.65,29.65,1270613.0
2018-02-07,32.6,32.7,31.4,31.6,1959485.0,0.0,1.0,32.6,32.7,31.4,31.6,1959485.0
2018-02-06,30.15,33.2,29.2,32.65,2041261.0,0.0,1.0,30.15,33.2,29.2,32.65,2041261.0
2018-02-05,31.9,32.575,31.05,31.075,1303101.0,0.0,1.0,31.9,32.575,31.05,31.075,1303101.0
2018-02-02,32.7,33.05,32.0,32.35,1054552.0,0.0,1.0,32.7,33.05,32.0,32.35,1054552.0
2018-02-01,32.45,33.35,32.41,33.0,1106750.0,0.0,1.0,32.45,33.35,32.41,33.0,1106750.0
2018-01-31,33.8,33.975,32.475,32.55,1449224.0,0.0,1.0,33.8,33.975,32.475,32.55,1449224.0
2018-01-30,33.3,33.775,33.06,33.35,947818.0,0.0,1.0,33.3,33.775,33.06,33.35,947818.0
2018-01-29,34.45,34.65,33.75,34.0,738334.0,0.0,1.0,34.45,34.65,33.75,34.0,738334.0
2018-01-26,34.2,34.945,34.025,34.5,795956.0,0.0,1.0,34.2,34.945,34.025,34.5,795956.0
2018-01-25,34.9,35.35,33.95,34.05,843317.0,0.0,1.0,34.9,35.35,33.95,34.05,843317.0
2018-01-24,35.05,35.25,34.26,34.65,1319791.0,0.0,1.0,35.05,35.25,34.26,34.65,1319791.0
2018-01-23,34.5,35.1,34.4,35.0,613178.0,0.0,1.0,34.5,35.1,34.4,35.0,613178.0
2018-01-22,34.7,34.8,34.2,34.575,976150.0,0.0,1.0,34.7,34.8,34.2,34.575,976150.0
2018-01-19,33.95,34.55,33.6,34.55,678466.0,0.0,1.0,33.95,34.55,33.6,34.55,678466.0
2018-01-18,33.35,34.0,33.25,33.95,850423.0,0.0,1.0,33.35,34.0,33.25,33.95,850423.0
2018-01-17,32.5,33.55,32.5,33.45,1187009.0,0.0,1.0,32.5,33.55,32.5,33.45,1187009.0
2018-01-16,32.8,32.95,32.05,32.3,824723.0,0.0,1.0,32.8,32.95,32.05,32.3,824723.0
2018-01-12,32.6,32.8,32.3,32.45,794748.0,0.0,1.0,32.6,32.8,32.3,32.45,794748.0
2018-01-11,32.55,32.6258,32.05,32.5,747269.0,0.0,1.0,32.55,32.6258,32.05,32.5,747269.0
2018-01-10,32.15,32.67,31.6,32.35,716816.0,0.0,1.0,32.15,32.67,31.6,32.35,716816.0
2018-01-09,33.65,33.9501,32.6,32.6,1082981.0,0.0,1.0,33.65,33.9501,32.6,32.6,1082981.0
2018-01-08,32.65,33.65,32.6,33.4,990322.0,0.0,1.0,32.65,33.65,32.6,33.4,990322.0
2018-01-05,32.45,33.04,32.2,32.75,608125.0,0.0,1.0,32.45,33.04,32.2,32.75,608125.0
2018-01-04,31.95,32.55,31.7315,32.25,783461.0,0.0,1.0,31.95,32.55,31.7315,32.25,783461.0
2018-01-03,31.6,31.9,31.35,31.7,853782.0,0.0,1.0,31.6,31.9,31.35,31.7,853782.0
2018-01-02,30.6,31.65,30.15,31.65,1065530.0,0.0,1.0,30.6,31.65,30.15,31.65,1065530.0
2017-12-29,31.0,31.15,30.45,30.45,631586.0,0.0,1.0,31.0,31.15,30.45,30.45,631586.0
2017-12-28,30.75,30.9,30.6,30.8,348462.0,0.0,1.0,30.75,30.9,30.6,30.8,348462.0
2017-12-27,30.45,30.85,30.11,30.65,329077.0,0.0,1.0,30.45,30.85,30.11,30.65,329077.0
