Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,73.0,79.3,72.0,72.66,1088324.0,0.0,1.0,73.0,79.3,72.0,72.66,1088324.0
2018-03-26,71.62,72.84,70.45,71.79,544749.0,0.0,1.0,71.62,72.84,70.45,71.79,544749.0
2018-03-23,70.18,71.8,69.2,70.17,557153.0,0.0,1.0,70.18,71.8,69.2,70.17,557153.0
2018-03-22,74.3,76.24,69.681,70.37,747627.0,0.0,1.0,74.3,76.24,69.681,70.37,747627.0
2018-03-21,73.66,77.656,73.6,75.32,376779.0,0.0,1.0,73.66,77.656,73.6,75.32,376779.0
2018-03-20,74.34,76.16,73.29,74.01,525323.0,0.0,1.0,74.34,76.16,73.29,74.01,525323.0
2018-03-19,76.19,76.6,72.68,73.99,689721.0,0.0,1.0,76.19,76.6,72.68,73.99,689721.0
2018-03-16,77.45,78.66,76.13,76.53,611004.0,0.0,1.0,77.45,78.66,76.13,76.53,611004.0
2018-03-15,79.37,79.37,76.01,77.53,497902.0,0.0,1.0,79.37,79.37,76.01,77.53,497902.0
2018-03-14,78.85,79.81,77.45,79.17,558476.0,0.0,1.0,78.85,79.81,77.45,79.17,558476.0
2018-03-13,80.12,80.9,76.5,78.03,669171.0,0.0,1.0,80.12,80.9,76.5,78.03,669171.0
2018-03-12,71.0,81.29,70.5,80.05,1627943.0,0.0,1.0,71.0,81.29,70.5,80.05,1627943.0
2018-03-09,74.79,75.6,73.25,75.26,557726.0,0.0,1.0,74.79,75.6,73.25,75.26,557726.0
2018-03-08,76.86,77.76,72.22,73.14,808227.0,0.0,1.0,76.86,77.76,72.22,73.14,808227.0
2018-03-07,77.78,77.78,70.0114,76.29,2514559.0,0.0,1.0,77.78,77.78,70.0114,76.29,2514559.0
2018-03-06,78.65,78.95,75.5001,77.94,366037.0,0.0,1.0,78.65,78.95,75.5001,77.94,366037.0
2018-03-05,78.87,80.33,77.49,77.92,443254.0,0.0,1.0,78.87,80.33,77.49,77.92,443254.0
2018-03-02,76.05,79.32,75.7,78.93,646898.0,0.0,1.0,76.05,79.32,75.7,78.93,646898.0
2018-03-01,79.65,79.65,75.05,76.96,734296.0,0.0,1.0,79.65,79.65,75.05,76.96,734296.0
2018-02-28,80.06,82.35,79.75,80.41,454464.0,0.0,1.0,80.06,82.35,79.75,80.41,454464.0
2018-02-27,80.57,82.68,80.0,80.06,398377.0,0.0,1.0,80.57,82.68,80.0,80.06,398377.0
2018-02-26,79.43,81.1,78.96,80.75,525583.0,0.0,1.0,79.43,81.1,78.96,80.75,525583.0
2018-02-23,78.34,79.6799,77.11,78.9,276832.0,0.0,1.0,78.34,79.6799,77.11,78.9,276832.0
2018-02-22,76.45,79.46,75.765,77.94,496571.0,0.0,1.0,76.45,79.46,75.765,77.94,496571.0
2018-02-21,77.63,81.13,75.71,75.83,735617.0,0.0,1.0,77.63,81.13,75.71,75.83,735617.0
2018-02-20,74.1,80.74,73.53,75.79,1228014.0,0.0,1.0,74.1,80.74,73.53,75.79,1228014.0
2018-02-16,74.6,75.29,73.55,74.92,368298.0,0.0,1.0,74.6,75.29,73.55,74.92,368298.0
2018-02-15,74.43,75.2,72.05,74.58,369566.0,0.0,1.0,74.43,75.2,72.05,74.58,369566.0
2018-02-14,69.0,74.29,68.5,73.76,626414.0,0.0,1.0,69.0,74.29,68.5,73.76,626414.0
2018-02-13,68.14,70.44,67.09,69.99,403060.0,0.0,1.0,68.14,70.44,67.09,69.99,403060.0
