Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,62.94,62.94,60.38,60.78,981043.0,0.0,1.0,62.94,62.94,60.38,60.78,981043.0
2018-03-26,62.01,62.9,60.83,62.81,1028494.0,0.0,1.0,62.01,62.9,60.83,62.81,1028494.0
2018-03-23,63.29,63.55,60.41,60.5,1237136.0,0.0,1.0,63.29,63.55,60.41,60.5,1237136.0
2018-03-22,64.75,65.55,62.91,62.98,1306644.0,0.0,1.0,64.75,65.55,62.91,62.98,1306644.0
2018-03-21,65.15,66.14,64.62,65.21,1252344.0,0.0,1.0,65.15,66.14,64.62,65.21,1252344.0
2018-03-20,65.48,65.68,64.905,65.06,824864.0,0.0,1.0,65.48,65.68,64.905,65.06,824864.0
2018-03-19,65.66,65.66,64.58,65.11,785526.0,0.0,1.0,65.66,65.66,64.58,65.11,785526.0
2018-03-16,65.31,66.469,65.31,65.66,2173293.0,0.0,1.0,65.31,66.469,65.31,65.66,2173293.0
2018-03-15,65.23,65.63,64.43,65.14,1874267.0,0.0,1.0,65.23,65.63,64.43,65.14,1874267.0
2018-03-14,67.18,67.18,64.91,65.31,983761.0,0.0,1.0,67.18,67.18,64.91,65.31,983761.0
2018-03-13,67.48,68.105,66.67,66.69,1590974.0,0.0,1.0,67.48,68.105,66.67,66.69,1590974.0
2018-03-12,68.21,68.33,67.23,67.41,1120701.0,0.0,1.0,68.21,68.33,67.23,67.41,1120701.0
2018-03-09,68.61,68.71,67.64,68.13,2031891.0,0.0,1.0,68.61,68.71,67.64,68.13,2031891.0
2018-03-08,68.55,68.8,67.14,67.59,941088.0,0.0,1.0,68.55,68.8,67.14,67.59,941088.0
2018-03-07,68.37,69.17,67.6,68.39,1102697.0,0.0,1.0,68.37,69.17,67.6,68.39,1102697.0
2018-03-06,67.99,69.225,67.35,69.07,909283.0,0.0,1.0,67.99,69.225,67.35,69.07,909283.0
2018-03-05,66.74,68.51,66.19,68.09,651109.0,0.0,1.0,66.74,68.51,66.19,68.09,651109.0
2018-03-02,66.02,67.74,65.225,67.49,933406.0,0.0,1.0,66.02,67.74,65.225,67.49,933406.0
2018-03-01,65.51,66.82,65.47,66.6,1014156.0,0.0,1.0,65.51,66.82,65.47,66.6,1014156.0
2018-02-28,66.49,67.595,65.53,65.55,1101345.0,0.0,1.0,66.49,67.595,65.53,65.55,1101345.0
2018-02-27,67.4,67.91,66.34,66.34,611294.0,0.0,1.0,67.4,67.91,66.34,66.34,611294.0
2018-02-26,66.73,67.13,65.84,67.09,447140.0,0.0,1.0,66.73,67.13,65.84,67.09,447140.0
2018-02-23,65.85,66.41,65.57,66.27,835394.0,0.0,1.0,65.85,66.41,65.57,66.27,835394.0
2018-02-22,67.87,67.87,65.19,65.47,768395.0,0.0,1.0,67.87,67.87,65.19,65.47,768395.0
2018-02-21,66.39,68.07,66.04,67.39,470385.0,0.0,1.0,66.39,68.07,66.04,67.39,470385.0
2018-02-20,66.63,67.29,65.6632,66.38,582299.0,0.0,1.0,66.63,67.29,65.6632,66.38,582299.0
2018-02-16,66.51,67.5,66.5,66.85,693529.0,0.0,1.0,66.51,67.5,66.5,66.85,693529.0
2018-02-15,67.4,68.8598,66.41,66.82,726015.0,0.0,1.0,67.4,68.8598,66.41,66.82,726015.0
2018-02-14,64.61,67.08,64.61,66.95,669750.0,0.0,1.0,64.61,67.08,64.61,66.95,669750.0
2018-02-13,63.81,65.01,63.66,64.75,429355.0,0.0,1.0,63.81,65.01,63.66,64.75,429355.0
2018-02-12,64.55,64.96,63.52,64.25,687305.0,0.0,1.0,64.55,64.96,63.52,64.25,687305.0
2018-02-09,63.51,64.54,62.04,64.11,702312.0,0.0,1.0,63.51,64.54,62.04,64.11,702312.0
