Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,45.1,45.6,41.1852,41.71,3004542.0,0.0,1.0,45.1,45.6,41.1852,41.71,3004542.0
2018-03-26,44.96,45.8495,43.8153,45.1,1881225.0,0.0,1.0,44.96,45.8495,43.8153,45.1,1881225.0
2018-03-23,46.32,46.99,44.0007,44.12,2520296.0,0.0,1.0,46.32,46.99,44.0007,44.12,2520296.0
2018-03-22,48.55,48.83,45.81,45.99,2561894.0,0.0,1.0,48.55,48.83,45.81,45.99,2561894.0
2018-03-21,49.15,49.99,48.73,49.06,1410050.0,0.0,1.0,49.15,49.99,48.73,49.06,1410050.0
2018-03-20,48.38,49.38,48.2683,49.04,1942108.0,0.0,1.0,48.38,49.38,48.2683,49.04,1942108.0
2018-03-19,52.43,52.43,47.35,48.46,3849501.0,0.0,1.0,52.43,52.43,47.35,48.46,3849501.0
2018-03-16,52.4,52.9,51.94,52.57,1966395.0,0.0,1.0,52.4,52.9,51.94,52.57,1966395.0
2018-03-15,52.98,52.98,51.43,52.09,1293243.0,0.0,1.0,52.98,52.98,51.43,52.09,1293243.0
2018-03-14,52.97,53.65,52.5001,52.76,1473124.0,0.0,1.0,52.97,53.65,52.5001,52.76,1473124.0
2018-03-13,53.21,53.44,51.7,52.55,2422026.0,0.0,1.0,53.21,53.44,51.7,52.55,2422026.0
2018-03-12,52.57,53.26,51.11,53.19,1645823.0,0.0,1.0,52.57,53.26,51.11,53.19,1645823.0
2018-03-09,51.02,53.3807,50.54,52.15,4048749.0,0.0,1.0,51.02,53.3807,50.54,52.15,4048749.0
2018-03-08,49.21,50.98,48.52,50.88,2791404.0,0.0,1.0,49.21,50.98,48.52,50.88,2791404.0
2018-03-07,47.36,49.36,47.26,49.21,3151124.0,0.0,1.0,47.36,49.36,47.26,49.21,3151124.0
2018-03-06,47.66,47.84,46.96,47.76,2502241.0,0.0,1.0,47.66,47.84,46.96,47.76,2502241.0
2018-03-05,45.0,47.73,44.3243,46.84,1995267.0,0.0,1.0,45.0,47.73,44.3243,46.84,1995267.0
2018-03-02,43.3,45.79,43.0001,45.42,1383466.0,0.0,1.0,43.3,45.79,43.0001,45.42,1383466.0
2018-03-01,44.94,44.94,42.85,43.76,1825426.0,0.0,1.0,44.94,44.94,42.85,43.76,1825426.0
