Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,23.55,23.71,22.26,22.44,2805288.0,0.0,1.0,23.55,23.71,22.26,22.44,2805288.0
2018-03-26,22.99,23.42,22.6,23.36,2891094.0,0.0,1.0,22.99,23.42,22.6,23.36,2891094.0
2018-03-23,23.66,23.82,22.54,22.71,2768426.0,0.0,1.0,23.66,23.82,22.54,22.71,2768426.0
2018-03-22,23.75,24.16,23.3,23.31,2113744.0,0.0,1.0,23.75,24.16,23.3,23.31,2113744.0
2018-03-21,24.5,24.73,24.0,24.13,1685133.0,0.0,1.0,24.5,24.73,24.0,24.13,1685133.0
2018-03-20,23.85,24.7,23.76,24.51,2838193.0,0.0,1.0,23.85,24.7,23.76,24.51,2838193.0
2018-03-19,24.54,24.69,23.53,23.81,2253242.0,0.0,1.0,24.54,24.69,23.53,23.81,2253242.0
2018-03-16,24.72,24.795,24.15,24.64,2804702.0,0.0,1.0,24.72,24.795,24.15,24.64,2804702.0
2018-03-15,25.11,25.27,24.551,24.75,1630067.0,0.0,1.0,25.11,25.27,24.551,24.75,1630067.0
2018-03-14,24.83,24.999000000000002,24.72,24.87,3313208.0,0.0,1.0,24.83,24.999000000000002,24.72,24.87,3313208.0
2018-03-13,24.92,25.3,24.53,24.8,1986389.0,0.0,1.0,24.92,25.3,24.53,24.8,1986389.0
2018-03-12,24.43,24.979,24.28,24.82,1729369.0,0.0,1.0,24.43,24.979,24.28,24.82,1729369.0
2018-03-09,24.59,25.04,24.335,24.53,2107982.0,0.0,1.0,24.59,25.04,24.335,24.53,2107982.0
2018-03-08,25.0,25.1,24.22,24.48,2611580.0,0.0,1.0,25.0,25.1,24.22,24.48,2611580.0
2018-03-07,24.22,25.15,24.22,24.96,2546163.0,0.0,1.0,24.22,25.15,24.22,24.96,2546163.0
2018-03-06,25.01,25.22,24.38,24.62,2883550.0,0.0,1.0,25.01,25.22,24.38,24.62,2883550.0
