Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,17.87,17.87,17.12,17.24,15261942.0,0.0,1.0,17.87,17.87,17.12,17.24,15261942.0
2018-03-26,17.73,17.8,17.33,17.75,12752002.0,0.0,1.0,17.73,17.8,17.33,17.75,12752002.0
2018-03-23,18.14,18.315,17.51,17.52,16311293.0,0.0,1.0,18.14,18.315,17.51,17.52,16311293.0
2018-03-22,18.9,18.915,18.05,18.05,17819249.0,0.0,1.0,18.9,18.915,18.05,18.05,17819249.0
2018-03-21,18.6,19.24,18.57,19.18,15316738.0,0.0,1.0,18.6,19.24,18.57,19.18,15316738.0
2018-03-20,18.16,18.58,18.1249,18.49,16616278.0,0.0,1.0,18.16,18.58,18.1249,18.49,16616278.0
2018-03-19,18.26,18.29,17.91,18.05,11343708.0,0.0,1.0,18.26,18.29,17.91,18.05,11343708.0
2018-03-16,18.5,18.575,18.33,18.36,14267192.0,0.0,1.0,18.5,18.575,18.33,18.36,14267192.0
2018-03-15,18.63,18.725,18.35,18.41,10461989.0,0.0,1.0,18.63,18.725,18.35,18.41,10461989.0
2018-03-14,18.82,18.95,18.6,18.66,12038068.0,0.0,1.0,18.82,18.95,18.6,18.66,12038068.0
2018-03-13,18.71,18.8644,18.41,18.48,11982115.0,0.0,1.0,18.71,18.8644,18.41,18.48,11982115.0
2018-03-12,18.39,18.58,18.19,18.56,10824701.0,0.0,1.0,18.39,18.58,18.19,18.56,10824701.0
2018-03-09,18.11,18.44,18.08,18.43,14954547.0,0.0,1.0,18.11,18.44,18.08,18.43,14954547.0
2018-03-08,18.03,18.11,17.71,17.87,11576787.0,0.0,1.0,18.03,18.11,17.71,17.87,11576787.0
2018-03-07,18.35,18.52,18.07,18.12,13955347.0,0.0,1.0,18.35,18.52,18.07,18.12,13955347.0
2018-03-06,18.6,18.89,18.415,18.7,18416688.0,0.0,1.0,18.6,18.89,18.415,18.7,18416688.0
2018-03-05,18.19,18.39,18.05,18.19,16410834.0,0.0,1.0,18.19,18.39,18.05,18.19,16410834.0
2018-03-02,18.28,18.5367,18.04,18.32,16260616.0,0.0,1.0,18.28,18.5367,18.04,18.32,16260616.0
2018-03-01,18.75,18.75,18.2,18.54,15127720.0,0.0,1.0,18.75,18.75,18.2,18.54,15127720.0
2018-02-28,18.98,19.17,18.6,18.6,17017404.0,0.0,1.0,18.98,19.17,18.6,18.6,17017404.0
2018-02-27,19.4,19.42,18.94,19.09,15000378.0,0.0,1.0,19.4,19.42,18.94,19.09,15000378.0
2018-02-26,19.6,19.74,19.26,19.53,13856408.0,0.0,1.0,19.6,19.74,19.26,19.53,13856408.0
2018-02-23,19.17,19.63,19.17,19.55,14980551.0,0.0,1.0,19.17,19.63,19.17,19.55,14980551.0
2018-02-22,18.93,19.4,18.91,19.16,16683784.0,0.0,1.0,18.93,19.4,18.91,19.16,16683784.0
2018-02-21,18.44,19.135,18.44,18.73,16401579.0,0.0,1.0,18.44,19.135,18.44,18.73,16401579.0
2018-02-20,18.32,18.76,18.27,18.43,12720615.0,0.0,1.0,18.32,18.76,18.27,18.43,12720615.0
2018-02-16,19.04,19.26,18.65,18.73,16445581.0,0.0,1.0,19.04,19.26,18.65,18.73,16445581.0
2018-02-15,19.27,19.35,18.77,19.12,21588621.0,0.0,1.0,19.27,19.35,18.77,19.12,21588621.0
2018-02-14,17.56,19.18,17.33,19.12,34470515.0,0.0,1.0,17.56,19.18,17.33,19.12,34470515.0
2018-02-13,17.65,17.97,17.5,17.8,23041463.0,0.0,1.0,17.65,17.97,17.5,17.8,23041463.0
2018-02-12,17.74,17.89,17.3825,17.57,26120673.0,0.0,1.0,17.74,17.89,17.3825,17.57,26120673.0
2018-02-09,17.44,17.75,16.64,17.57,34621289.0,0.0,1.0,17.44,17.75,16.64,17.57,34621289.0
2018-02-08,17.87,18.13,16.86,17.16,29880733.0,0.0,1.0,17.87,18.13,16.86,17.16,29880733.0
2018-02-07,18.37,18.48,17.775,17.86,30961871.0,0.0,1.0,18.37,18.48,17.775,17.86,30961871.0
2018-02-06,17.24,18.785,17.07,18.74,38530533.0,0.0,1.0,17.24,18.785,17.07,18.74,38530533.0
2018-02-05,18.14,18.65,17.36,17.65,29623189.0,0.0,1.0,18.14,18.65,17.36,17.65,29623189.0
2018-02-02,19.26,19.28,17.925,17.97,25318189.0,0.0,1.0,19.26,19.28,17.925,17.97,25318189.0
2018-02-01,19.45,19.69,19.3,19.45,10631589.0,0.0,1.0,19.45,19.69,19.3,19.45,10631589.0
2018-01-31,19.44,19.58,19.2855,19.5,15054649.0,0.0,1.0,19.44,19.58,19.2855,19.5,15054649.0
2018-01-30,19.47,19.71,19.11,19.13,16250045.0,0.0,1.0,19.47,19.71,19.11,19.13,16250045.0
2018-01-29,19.5,19.76,19.36,19.63,17541960.0,0.0,1.0,19.5,19.76,19.36,19.63,17541960.0
2018-01-26,19.7,19.73,19.36,19.54,18210483.0,0.0,1.0,19.7,19.73,19.36,19.54,18210483.0
2018-01-25,19.96,20.25,19.33,19.82,30396079.0,0.0,1.0,19.96,20.25,19.33,19.82,30396079.0
2018-01-24,19.89,20.14,19.4,19.6,24651973.0,0.0,1.0,19.89,20.14,19.4,19.6,24651973.0
2018-01-23,19.6,19.72,18.94,19.55,27782511.0,0.0,1.0,19.6,19.72,18.94,19.55,27782511.0
2018-01-22,19.85,20.18,19.69,19.99,17493721.0,0.0,1.0,19.85,20.18,19.69,19.99,17493721.0
2018-01-19,19.48,20.16,19.41,19.96,22434654.0,0.0,1.0,19.48,20.16,19.41,19.96,22434654.0
2018-01-18,19.7,19.805,19.37,19.4,23155080.0,0.0,1.0,19.7,19.805,19.37,19.4,23155080.0
2018-01-17,19.34,19.82,19.31,19.77,16727234.0,0.0,1.0,19.34,19.82,19.31,19.77,16727234.0
2018-01-16,19.5,19.745,19.13,19.32,22418239.0,0.0,1.0,19.5,19.745,19.13,19.32,22418239.0
2018-01-12,19.94,20.07,19.61,19.75,14185767.0,0.0,1.0,19.94,20.07,19.61,19.75,14185767.0
