Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,148.4,148.97,144.26,144.96,618258.0,0.0,1.0,148.4,148.97,144.26,144.96,618258.0
2018-03-26,146.0,147.72,144.33,147.6,588980.0,0.0,1.0,146.0,147.72,144.33,147.6,588980.0
2018-03-23,147.34,147.86,144.49,144.51,542564.0,0.0,1.0,147.34,147.86,144.49,144.51,542564.0
2018-03-22,148.24,149.43,146.24,146.27,511295.0,0.0,1.0,148.24,149.43,146.24,146.27,511295.0
2018-03-21,149.3,151.07,148.3,149.55,558613.0,0.0,1.0,149.3,151.07,148.3,149.55,558613.0
2018-03-20,147.11,149.32,147.11,148.9,467564.0,0.0,1.0,147.11,149.32,147.11,148.9,467564.0
2018-03-19,147.46,148.76,145.84,146.8,507813.0,0.0,1.0,147.46,148.76,145.84,146.8,507813.0
2018-03-16,148.24,150.21,147.41,148.18,729862.0,0.0,1.0,148.24,150.21,147.41,148.18,729862.0
2018-03-15,148.14,149.3,146.74,148.15,618032.0,0.0,1.0,148.14,149.3,146.74,148.15,618032.0
2018-03-14,148.54,149.36,147.3,147.92,567987.0,0.0,1.0,148.54,149.36,147.3,147.92,567987.0
2018-03-13,147.75,148.86,146.67,147.84,741284.0,0.0,1.0,147.75,148.86,146.67,147.84,741284.0
2018-03-12,147.98,148.29,146.28,146.78,637446.0,0.0,1.0,147.98,148.29,146.28,146.78,637446.0
2018-03-09,148.2,149.77,145.94,147.48,893480.0,0.0,1.0,148.2,149.77,145.94,147.48,893480.0
2018-03-08,153.25,153.25,144.12,147.06,1412322.0,0.0,1.0,153.25,153.25,144.12,147.06,1412322.0
2018-03-07,150.83,153.91,150.83,153.32,657639.0,0.0,1.0,150.83,153.91,150.83,153.32,657639.0
2018-03-06,151.83,152.61,150.86,152.14,381428.0,0.0,1.0,151.83,152.61,150.86,152.14,381428.0
2018-03-05,147.67,151.16,146.875,150.84,775985.0,0.0,1.0,147.67,151.16,146.875,150.84,775985.0
2018-03-02,145.21,148.57,145.21,148.34,511898.0,0.0,1.0,145.21,148.57,145.21,148.34,511898.0
2018-03-01,148.81,149.24,145.74,146.55,662974.0,0.0,1.0,148.81,149.24,145.74,146.55,662974.0
2018-02-28,151.81,151.81,148.5,148.52,806775.0,0.0,1.0,151.81,151.81,148.5,148.52,806775.0
2018-02-27,151.54,153.08,150.4725,150.84,1113735.0,0.0,1.0,151.54,153.08,150.4725,150.84,1113735.0
2018-02-26,147.86,151.33,147.47,151.03,917487.0,0.0,1.0,147.86,151.33,147.47,151.03,917487.0
2018-02-23,144.65,147.36,144.57,147.33,463159.0,0.0,1.0,144.65,147.36,144.57,147.33,463159.0
2018-02-22,145.22,146.31,143.45,143.87,632423.0,0.0,1.0,145.22,146.31,143.45,143.87,632423.0
2018-02-21,143.41,146.51,142.88,144.66,630076.0,0.0,1.0,143.41,146.51,142.88,144.66,630076.0
2018-02-20,143.99,145.405,142.97,143.04,753716.0,0.0,1.0,143.99,145.405,142.97,143.04,753716.0
2018-02-16,144.84,146.06,144.64,145.03,409019.0,0.0,1.0,144.84,146.06,144.64,145.03,409019.0
2018-02-15,144.67,145.85,143.0,145.39,593455.0,0.0,1.0,144.67,145.85,143.0,145.39,593455.0
2018-02-14,141.76,144.31,141.07,143.5,621140.0,0.0,1.0,141.76,144.31,141.07,143.5,621140.0
2018-02-13,133.89,142.75,133.89,142.43,630404.0,0.0,1.0,133.89,142.75,133.89,142.43,630404.0
2018-02-12,139.55,141.14,138.18,140.15,615856.0,0.0,1.0,139.55,141.14,138.18,140.15,615856.0
2018-02-09,138.81,139.69,134.83,138.61,902856.0,0.0,1.0,138.81,139.69,134.83,138.61,902856.0
2018-02-08,141.42,141.66,137.24,137.25,873912.0,0.0,1.0,141.42,141.66,137.24,137.25,873912.0
2018-02-07,139.16,142.46,138.98,141.39,891109.0,0.0,1.0,139.16,142.46,138.98,141.39,891109.0
2018-02-06,133.58,140.07,133.14,139.73,1352406.0,0.0,1.0,133.58,140.07,133.14,139.73,1352406.0
