Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-11-30,31.1,31.125,31.05,31.1,508796.0,0.0,1.0,31.1,31.125,31.05,31.1,508796.0
2017-11-29,31.1,31.15,31.05,31.1,331961.0,0.0,1.0,31.1,31.15,31.05,31.1,331961.0
2017-11-28,31.1,31.15,31.05,31.1,192572.0,0.0,1.0,31.1,31.15,31.05,31.1,192572.0
2017-11-27,31.1,31.175,31.1,31.1,307258.0,0.0,1.0,31.1,31.175,31.1,31.1,307258.0
2017-11-24,31.15,31.2,31.1,31.1,89244.0,0.0,1.0,31.15,31.2,31.1,31.1,89244.0
2017-11-22,31.2,31.25,31.15,31.2,101862.0,0.0,1.0,31.2,31.25,31.15,31.2,101862.0
2017-11-21,31.2,31.25,31.15,31.25,254918.0,0.0,1.0,31.2,31.25,31.15,31.25,254918.0
2017-11-20,31.25,31.25,31.2,31.2,86549.0,0.0,1.0,31.25,31.25,31.2,31.2,86549.0
2017-11-17,31.25,31.35,31.2,31.25,474229.0,0.0,1.0,31.25,31.35,31.2,31.25,474229.0
2017-11-16,31.55,31.7,31.15,31.25,591682.0,0.0,1.0,31.55,31.7,31.15,31.25,591682.0
2017-11-15,31.2,31.35,31.15,31.2,255376.0,0.0,1.0,31.2,31.35,31.15,31.2,255376.0
2017-11-14,31.15,31.275,31.1,31.2,834079.0,0.0,1.0,31.15,31.275,31.1,31.2,834079.0
2017-11-13,31.2,31.2,31.15,31.2,278453.0,0.0,1.0,31.2,31.2,31.15,31.2,278453.0
2017-11-10,31.1,31.2,31.1,31.2,471301.0,0.0,1.0,31.1,31.2,31.1,31.2,471301.0
2017-11-09,31.05,31.15,31.05,31.1,141431.0,0.0,1.0,31.05,31.15,31.05,31.1,141431.0
2017-11-07,31.0,31.1,31.0,31.1,343485.0,0.0,1.0,31.0,31.1,31.0,31.1,343485.0
2017-11-06,30.95,31.05,30.95,31.0,50317.0,0.0,1.0,30.95,31.05,30.95,31.0,50317.0
2017-11-03,30.7,31.0,30.7,30.95,634839.0,0.0,1.0,30.7,31.0,30.7,30.95,634839.0
2017-11-02,31.2,31.2,30.65,30.75,2130928.0,0.0,1.0,31.2,31.2,30.65,30.75,2130928.0
2017-11-01,31.2,31.2,31.15,31.2,34435.0,0.0,1.0,31.2,31.2,31.15,31.2,34435.0
2017-10-31,31.1,31.2,31.1,31.1,556400.0,0.0,1.0,31.1,31.2,31.1,31.1,556400.0
