Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,83.15,83.18,79.25,79.8,198269.0,0.0,1.0,83.15,83.18,79.25,79.8,198269.0
2018-03-26,81.85,83.0,79.05,82.45,283303.0,0.0,1.0,81.85,83.0,79.05,82.45,283303.0
2018-03-23,82.2,83.75,80.125,80.4,194902.0,0.0,1.0,82.2,83.75,80.125,80.4,194902.0
2018-03-22,82.0,84.05,80.25,81.95,278463.0,0.0,1.0,82.0,84.05,80.25,81.95,278463.0
2018-03-21,79.55,83.225,79.55,82.6,266560.0,0.0,1.0,79.55,83.225,79.55,82.6,266560.0
2018-03-20,80.4,81.8,79.4,79.85,296655.0,0.0,1.0,80.4,81.8,79.4,79.85,296655.0
2018-03-19,81.55,82.5,77.7,80.8,561846.0,0.0,1.0,81.55,82.5,77.7,80.8,561846.0
2018-03-16,79.25,83.9,78.8,79.85,859995.0,0.0,1.0,79.25,83.9,78.8,79.85,859995.0
2018-03-15,79.0,79.5,77.38,78.6,269988.0,0.0,1.0,79.0,79.5,77.38,78.6,269988.0
2018-03-14,80.5,83.65,78.4,79.0,310735.0,0.0,1.0,80.5,83.65,78.4,79.0,310735.0
2018-03-13,83.1,84.05,79.0,80.05,259129.0,0.0,1.0,83.1,84.05,79.0,80.05,259129.0
2018-03-12,85.0,85.55,80.2,82.6,467548.0,0.0,1.0,85.0,85.55,80.2,82.6,467548.0
2018-03-09,80.2,87.1,80.0,86.15,851414.0,0.0,1.0,80.2,87.1,80.0,86.15,851414.0
2018-03-08,77.0,81.0,72.5,80.0,1069004.0,0.0,1.0,77.0,81.0,72.5,80.0,1069004.0
2018-03-07,80.05,83.45,79.6,83.25,251097.0,0.0,1.0,80.05,83.45,79.6,83.25,251097.0
2018-03-06,81.75,81.95,79.5,80.85,198900.0,0.0,1.0,81.75,81.95,79.5,80.85,198900.0
2018-03-05,82.05,83.15,80.7,81.75,220493.0,0.0,1.0,82.05,83.15,80.7,81.75,220493.0
2018-03-02,78.95,83.0,78.75,82.2,233143.0,0.0,1.0,78.95,83.0,78.75,82.2,233143.0
2018-03-01,82.45,83.1,80.05,81.05,420680.0,0.0,1.0,82.45,83.1,80.05,81.05,420680.0
2018-02-28,83.05,84.3,81.35,82.75,325529.0,0.0,1.0,83.05,84.3,81.35,82.75,325529.0
2018-02-27,78.35,82.6,78.35,82.2,505961.0,0.0,1.0,78.35,82.6,78.35,82.2,505961.0
2018-02-26,77.7,79.35,75.05,78.05,256371.0,0.0,1.0,77.7,79.35,75.05,78.05,256371.0
2018-02-23,74.6,77.8,74.1,77.65,227975.0,0.0,1.0,74.6,77.8,74.1,77.65,227975.0
2018-02-22,75.75,76.75,73.5,73.75,127842.0,0.0,1.0,75.75,76.75,73.5,73.75,127842.0
2018-02-21,77.15,78.5935,75.75,75.75,202839.0,0.0,1.0,77.15,78.5935,75.75,75.75,202839.0
2018-02-20,74.8,78.0,74.5917,76.6,358279.0,0.0,1.0,74.8,78.0,74.5917,76.6,358279.0
2018-02-16,69.15,74.95,69.15,74.9,383452.0,0.0,1.0,69.15,74.95,69.15,74.9,383452.0
