Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-07,13.72,13.98,13.335,13.38,2047921.0,0.0,1.0,13.72,13.98,13.335,13.38,2047921.0
2018-03-06,14.07,14.27,13.62,13.87,1505811.0,0.0,1.0,14.07,14.27,13.62,13.87,1505811.0
2018-03-05,13.64,14.35,13.5,14.08,1959686.0,0.0,1.0,13.64,14.35,13.5,14.08,1959686.0
2018-03-02,13.19,13.9899,13.03,13.8,2367762.0,0.0,1.0,13.19,13.9899,13.03,13.8,2367762.0
2018-03-01,13.3,13.89,13.19,13.36,1802177.0,0.0,1.0,13.3,13.89,13.19,13.36,1802177.0
2017-04-25,16.99,17.3,16.95,17.15,666095.0,0.0,1.0,16.99,17.3,16.95,17.15,666095.0
2017-04-24,17.18,17.24,16.89,16.91,658754.0,0.0,1.0,17.18,17.24,16.89,16.91,658754.0
2017-04-21,17.33,17.345,16.815,16.99,1006099.0,0.0,1.0,17.33,17.345,16.815,16.99,1006099.0
2017-04-20,17.07,17.42,16.96,17.38,1345288.0,0.0,1.0,17.07,17.42,16.96,17.38,1345288.0
2017-04-19,16.71,17.07,16.67,16.96,944669.0,0.0,1.0,16.71,17.07,16.67,16.96,944669.0
2017-04-18,16.67,16.8076,16.48,16.61,718238.0,0.0,1.0,16.67,16.8076,16.48,16.61,718238.0
2017-04-17,16.83,16.86,16.54,16.81,603642.0,0.0,1.0,16.83,16.86,16.54,16.81,603642.0
2017-04-13,16.93,16.965,16.46,16.8,910238.0,0.0,1.0,16.93,16.965,16.46,16.8,910238.0
2017-04-12,17.12,17.25,16.88,16.91,602422.0,0.0,1.0,17.12,17.25,16.88,16.91,602422.0
2017-04-11,16.91,17.27,16.7,17.18,614470.0,0.0,1.0,16.91,17.27,16.7,17.18,614470.0
2017-04-10,16.93,17.115,16.64,16.93,900958.0,0.0,1.0,16.93,17.115,16.64,16.93,900958.0
2017-04-07,16.48,16.91,16.3864,16.9,957599.0,0.0,1.0,16.48,16.91,16.3864,16.9,957599.0
2017-04-06,16.37,16.96,16.23,16.54,961633.0,0.0,1.0,16.37,16.96,16.23,16.54,961633.0
2017-04-05,16.55,16.8796,16.215,16.29,1052273.0,0.0,1.0,16.55,16.8796,16.215,16.29,1052273.0
2017-04-04,16.7,16.81,16.4,16.41,939184.0,0.0,1.0,16.7,16.81,16.4,16.41,939184.0
2017-04-03,17.46,17.53,16.88,16.92,924526.0,0.0,1.0,17.46,17.53,16.88,16.92,924526.0
2017-03-31,17.25,17.49,17.09,17.45,894383.0,0.0,1.0,17.25,17.49,17.09,17.45,894383.0
2017-03-30,17.17,17.31,16.85,17.21,910905.0,0.0,1.0,17.17,17.31,16.85,17.21,910905.0
2017-03-29,16.94,17.47,16.8,17.29,1027424.0,0.0,1.0,16.94,17.47,16.8,17.29,1027424.0
2017-03-28,16.65,16.985,16.44,16.93,1047400.0,0.0,1.0,16.65,16.985,16.44,16.93,1047400.0
2017-03-27,16.11,16.89,16.03,16.7,1269822.0,0.0,1.0,16.11,16.89,16.03,16.7,1269822.0
2017-03-24,16.42,16.535,16.14,16.38,970083.0,0.0,1.0,16.42,16.535,16.14,16.38,970083.0
2017-03-23,16.27,16.929000000000002,16.2237,16.4,1204154.0,0.0,1.0,16.27,16.929000000000002,16.2237,16.4,1204154.0
2017-03-22,16.08,16.16,15.79,16.09,970179.0,0.0,1.0,16.08,16.16,15.79,16.09,970179.0
2017-03-21,16.5,16.515,15.88,16.24,1633635.0,0.0,1.0,16.5,16.515,15.88,16.24,1633635.0
2017-03-20,16.67,16.74,16.35,16.5,1499173.0,0.0,1.0,16.67,16.74,16.35,16.5,1499173.0
2017-03-17,16.74,16.78,16.28,16.78,9152329.0,0.0,1.0,16.74,16.78,16.28,16.78,9152329.0
2017-03-16,16.61,17.13,16.4348,16.75,1429991.0,0.0,1.0,16.61,17.13,16.4348,16.75,1429991.0
2017-03-15,16.49,16.64,16.2,16.56,1971485.0,0.0,1.0,16.49,16.64,16.2,16.56,1971485.0
2017-03-14,16.26,16.61,16.2104,16.51,1406475.0,0.0,1.0,16.26,16.61,16.2104,16.51,1406475.0
2017-03-13,16.87,17.003,16.28,16.38,1825166.0,0.0,1.0,16.87,17.003,16.28,16.38,1825166.0
2017-03-10,16.92,17.37,16.9175,17.06,1142769.0,0.0,1.0,16.92,17.37,16.9175,17.06,1142769.0
2017-03-09,17.31,17.4775,16.67,16.82,1305096.0,0.0,1.0,17.31,17.4775,16.67,16.82,1305096.0
2017-03-08,17.06,17.47,17.03,17.3,1168939.0,0.0,1.0,17.06,17.47,17.03,17.3,1168939.0
2017-03-07,17.21,17.27,16.81,16.97,1628550.0,0.0,1.0,17.21,17.27,16.81,16.97,1628550.0
2017-03-06,17.48,17.55,17.15,17.35,1912835.0,0.0,1.0,17.48,17.55,17.15,17.35,1912835.0
2017-03-03,18.5,18.79,17.005,17.42,5741644.0,0.0,1.0,18.5,18.79,17.005,17.42,5741644.0
