Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-07,66.63,69.28,66.57,67.95,1712323.0,0.0,1.0,66.63,69.28,66.57,67.95,1712323.0
2018-03-06,66.65,68.04,66.47,67.45,2038837.0,0.0,1.0,66.65,68.04,66.47,67.45,2038837.0
2018-03-05,63.97,66.35,63.591,66.05,1834609.0,0.0,1.0,63.97,66.35,63.591,66.05,1834609.0
2018-03-02,61.3,64.4,61.14,64.33,1223533.0,0.0,1.0,61.3,64.4,61.14,64.33,1223533.0
2018-03-01,63.3,63.51,61.385,62.09,1394081.0,0.0,1.0,63.3,63.51,61.385,62.09,1394081.0
2017-04-25,27.28,28.05,27.08,27.54,2446922.0,0.0,1.0,27.28,28.05,27.08,27.54,2446922.0
2017-04-24,27.28,27.44,26.78,27.08,2513745.0,0.0,1.0,27.28,27.44,26.78,27.08,2513745.0
2017-04-21,26.71,27.0,26.68,26.8,2033262.0,0.0,1.0,26.71,27.0,26.68,26.8,2033262.0
2017-04-20,26.75,27.0179,26.41,26.74,2494292.0,0.0,1.0,26.75,27.0179,26.41,26.74,2494292.0
2017-04-19,27.05,27.27,26.51,26.54,2093158.0,0.0,1.0,27.05,27.27,26.51,26.54,2093158.0
2017-04-18,27.11,27.27,26.7108,26.89,2132734.0,0.0,1.0,27.11,27.27,26.7108,26.89,2132734.0
2017-04-17,27.42,27.65,27.0,27.34,1812235.0,0.0,1.0,27.42,27.65,27.0,27.34,1812235.0
2017-04-13,27.86,28.06,27.41,27.42,2425378.0,0.0,1.0,27.86,28.06,27.41,27.42,2425378.0
2017-04-12,28.1,28.17,27.66,27.91,2604870.0,0.0,1.0,28.1,28.17,27.66,27.91,2604870.0
2017-04-11,28.0,28.24,27.67,28.1,3002119.0,0.0,1.0,28.0,28.24,27.67,28.1,3002119.0
2017-04-10,26.83,28.221,26.81,27.97,4673108.0,0.0,1.0,26.83,28.221,26.81,27.97,4673108.0
2017-04-07,26.6,27.05,26.45,26.81,3175002.0,0.0,1.0,26.6,27.05,26.45,26.81,3175002.0
2017-04-06,26.04,27.5,25.5588,26.62,4492370.0,0.0,1.0,26.04,27.5,25.5588,26.62,4492370.0
2017-04-05,27.0,27.4,26.55,26.58,3575962.0,0.0,1.0,27.0,27.4,26.55,26.58,3575962.0
2017-04-04,26.29,27.65,26.08,26.82,5850578.0,0.0,1.0,26.29,27.65,26.08,26.82,5850578.0
2017-04-03,27.17,27.25,26.215,26.33,4870452.0,0.0,1.0,27.17,27.25,26.215,26.33,4870452.0
2017-03-31,27.5,27.89,27.08,27.1,3718552.0,0.0,1.0,27.5,27.89,27.08,27.1,3718552.0
2017-03-30,27.91,28.09,27.115,27.47,3541492.0,0.0,1.0,27.91,28.09,27.115,27.47,3541492.0
2017-03-29,28.33,28.65,28.01,28.03,2470953.0,0.0,1.0,28.33,28.65,28.01,28.03,2470953.0
2017-03-28,28.05,28.53,28.04,28.28,2423370.0,0.0,1.0,28.05,28.53,28.04,28.28,2423370.0
2017-03-27,28.12,28.55,27.75,28.23,2422617.0,0.0,1.0,28.12,28.55,27.75,28.23,2422617.0
2017-03-24,28.65,28.85,28.11,28.31,3325954.0,0.0,1.0,28.65,28.85,28.11,28.31,3325954.0
2017-03-23,28.85,29.25,28.51,28.58,2599321.0,0.0,1.0,28.85,29.25,28.51,28.58,2599321.0
2017-03-22,29.0,29.16,28.05,28.87,4858159.0,0.0,1.0,29.0,29.16,28.05,28.87,4858159.0
2017-03-21,30.07,30.348000000000003,29.01,29.04,4862028.0,0.0,1.0,30.07,30.348000000000003,29.01,29.04,4862028.0
2017-03-20,32.12,32.12,29.71,30.34,8046924.0,0.0,1.0,32.12,32.12,29.71,30.34,8046924.0
2017-03-17,32.98,33.25,31.81,31.83,18504483.0,0.0,1.0,32.98,33.25,31.81,31.83,18504483.0
2017-03-16,33.18,34.0472,32.86,32.98,1965187.0,0.0,1.0,33.18,34.0472,32.86,32.98,1965187.0
2017-03-15,32.06,33.15,31.86,33.0,2381083.0,0.0,1.0,32.06,33.15,31.86,33.0,2381083.0
2017-03-14,32.54,32.58,31.97,32.07,2498950.0,0.0,1.0,32.54,32.58,31.97,32.07,2498950.0
2017-03-13,32.11,32.86,31.93,32.835,2122187.0,0.0,1.0,32.11,32.86,31.93,32.835,2122187.0
2017-03-10,32.52,32.85,32.03,32.4,1398793.0,0.0,1.0,32.52,32.85,32.03,32.4,1398793.0
2017-03-09,32.56,32.77,32.1201,32.48,1226268.0,0.0,1.0,32.56,32.77,32.1201,32.48,1226268.0
