Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,10.07,10.28,9.74,9.96,59307.0,0.0,1.0,10.07,10.28,9.74,9.96,59307.0
2018-03-26,10.06,10.125,9.66,10.05,50455.0,0.0,1.0,10.06,10.125,9.66,10.05,50455.0
2018-03-23,10.3,10.365,9.88,9.96,96644.0,0.0,1.0,10.3,10.365,9.88,9.96,96644.0
2018-03-22,10.09,10.58,9.97,10.2,67620.0,0.0,1.0,10.09,10.58,9.97,10.2,67620.0
2018-03-21,9.8,10.42,9.71,10.16,83031.0,0.0,1.0,9.8,10.42,9.71,10.16,83031.0
2018-03-20,10.2,10.75,9.73,9.81,56447.0,0.0,1.0,10.2,10.75,9.73,9.81,56447.0
2018-03-19,9.5,10.25,9.37,10.14,100527.0,0.0,1.0,9.5,10.25,9.37,10.14,100527.0
2018-03-16,9.65,9.7167,9.175,9.51,242431.0,0.0,1.0,9.65,9.7167,9.175,9.51,242431.0
2018-03-15,10.19,10.19,9.61,9.68,88663.0,0.0,1.0,10.19,10.19,9.61,9.68,88663.0
2018-03-14,10.65,10.99,10.09,10.14,95336.0,0.0,1.0,10.65,10.99,10.09,10.14,95336.0
2018-03-13,10.92,10.93,10.46,10.61,47302.0,0.0,1.0,10.92,10.93,10.46,10.61,47302.0
2018-03-12,10.96,10.99,10.57,10.67,44540.0,0.0,1.0,10.96,10.99,10.57,10.67,44540.0
2018-03-09,11.0,11.1,10.6236,10.82,66040.0,0.0,1.0,11.0,11.1,10.6236,10.82,66040.0
2018-03-08,10.87,10.922,10.42,10.84,39395.0,0.0,1.0,10.87,10.922,10.42,10.84,39395.0
2018-03-07,10.41,10.68,10.21,10.62,48091.0,0.0,1.0,10.41,10.68,10.21,10.62,48091.0
2018-03-06,10.62,10.83,10.2433,10.51,29568.0,0.0,1.0,10.62,10.83,10.2433,10.51,29568.0
2018-03-05,10.33,10.77,10.26,10.6,59849.0,0.0,1.0,10.33,10.77,10.26,10.6,59849.0
2018-03-02,10.13,10.58,9.9,10.38,97132.0,0.0,1.0,10.13,10.58,9.9,10.38,97132.0
2018-03-01,10.22,10.69,10.11,10.15,87585.0,0.0,1.0,10.22,10.69,10.11,10.15,87585.0
2018-02-28,10.94,11.35,10.2,10.23,84580.0,0.0,1.0,10.94,11.35,10.2,10.23,84580.0
2018-02-27,11.07,11.39,10.78,10.85,97802.0,0.0,1.0,11.07,11.39,10.78,10.85,97802.0
2018-02-26,11.22,11.29,10.875,11.08,45580.0,0.0,1.0,11.22,11.29,10.875,11.08,45580.0
2018-02-23,11.86,11.86,10.9,11.14,81347.0,0.0,1.0,11.86,11.86,10.9,11.14,81347.0
2018-02-22,11.43,11.88,11.31,11.84,34819.0,0.0,1.0,11.43,11.88,11.31,11.84,34819.0
2018-02-21,11.62,11.88,11.25,11.34,33197.0,0.0,1.0,11.62,11.88,11.25,11.34,33197.0
2018-02-20,11.56,12.07,11.43,11.56,27621.0,0.0,1.0,11.56,12.07,11.43,11.56,27621.0
2018-02-16,11.66,12.03,11.55,11.6,47820.0,0.0,1.0,11.66,12.03,11.55,11.6,47820.0
2018-02-15,11.85,11.85,11.62,11.74,59001.0,0.0,1.0,11.85,11.85,11.62,11.74,59001.0
2018-02-14,11.92,12.15,11.72,11.81,74488.0,0.0,1.0,11.92,12.15,11.72,11.81,74488.0
2018-02-13,12.07,12.195,11.9,12.0,52904.0,0.0,1.0,12.07,12.195,11.9,12.0,52904.0
2018-02-12,12.29,12.68,12.01,12.16,48926.0,0.0,1.0,12.29,12.68,12.01,12.16,48926.0
2018-02-09,12.26,12.55,11.92,12.26,84400.0,0.0,1.0,12.26,12.55,11.92,12.26,84400.0
2018-02-08,12.56,12.61,12.1,12.11,53890.0,0.0,1.0,12.56,12.61,12.1,12.11,53890.0
2018-02-07,13.11,13.49,12.23,12.48,97038.0,0.0,1.0,13.11,13.49,12.23,12.48,97038.0
2018-02-06,12.97,13.48,12.97,13.3,144344.0,0.0,1.0,12.97,13.48,12.97,13.3,144344.0
2018-02-05,13.61,13.875,13.24,13.2536,51847.0,0.0,1.0,13.61,13.875,13.24,13.2536,51847.0
2018-02-02,13.84,14.11,13.61,13.74,54978.0,0.0,1.0,13.84,14.11,13.61,13.74,54978.0
2018-02-01,13.76,14.21,13.76,14.05,27268.0,0.0,1.0,13.76,14.21,13.76,14.05,27268.0
2018-01-31,13.99,14.06,13.75,13.76,95934.0,0.0,1.0,13.99,14.06,13.75,13.76,95934.0
2018-01-30,14.12,14.27,13.76,13.93,34044.0,0.0,1.0,14.12,14.27,13.76,13.93,34044.0
2018-01-29,14.34,14.56,14.2453,14.27,15881.0,0.0,1.0,14.34,14.56,14.2453,14.27,15881.0
2018-01-26,14.19,14.74,14.13,14.43,25992.0,0.0,1.0,14.19,14.74,14.13,14.43,25992.0
2018-01-25,14.82,15.05,13.96,14.09,34940.0,0.0,1.0,14.82,15.05,13.96,14.09,34940.0
2018-01-24,14.68,15.06,14.49,14.73,32412.0,0.0,1.0,14.68,15.06,14.49,14.73,32412.0
2018-01-23,14.92,15.02,14.3834,14.68,45770.0,0.0,1.0,14.92,15.02,14.3834,14.68,45770.0
2018-01-22,14.99,15.12,14.63,14.86,26436.0,0.0,1.0,14.99,15.12,14.63,14.86,26436.0
2018-01-19,14.83,15.23,14.55,15.0,27078.0,0.0,1.0,14.83,15.23,14.55,15.0,27078.0
2018-01-18,15.08,15.31,14.57,14.96,32181.0,0.0,1.0,15.08,15.31,14.57,14.96,32181.0
2018-01-17,15.55,15.66,14.69,15.12,34963.0,0.0,1.0,15.55,15.66,14.69,15.12,34963.0
2018-01-16,15.26,15.56,14.445,15.47,51415.0,0.0,1.0,15.26,15.56,14.445,15.47,51415.0
2018-01-12,15.3,15.42,14.94,15.19,39580.0,0.0,1.0,15.3,15.42,14.94,15.19,39580.0
2018-01-11,14.33,15.4,14.2803,15.39,44536.0,0.0,1.0,14.33,15.4,14.2803,15.39,44536.0
2018-01-10,14.3,14.41,14.04,14.34,21757.0,0.0,1.0,14.3,14.41,14.04,14.34,21757.0
2018-01-09,14.48,14.79,14.08,14.28,146868.0,0.0,1.0,14.48,14.79,14.08,14.28,146868.0
2018-01-08,14.45,14.52,14.31,14.48,16265.0,0.0,1.0,14.45,14.52,14.31,14.48,16265.0
2018-01-05,14.36,14.645,14.04,14.52,34235.0,0.0,1.0,14.36,14.645,14.04,14.52,34235.0
2018-01-04,13.7,14.44,13.45,14.37,76611.0,0.0,1.0,13.7,14.44,13.45,14.37,76611.0
2018-01-03,13.55,13.82,13.38,13.67,31564.0,0.0,1.0,13.55,13.82,13.38,13.67,31564.0
2018-01-02,13.08,13.65,13.04,13.52,36834.0,0.0,1.0,13.08,13.65,13.04,13.52,36834.0
2017-12-29,12.79,13.14,12.44,12.97,143658.0,0.0,1.0,12.79,13.14,12.44,12.97,143658.0
2017-12-28,13.08,13.15,12.42,12.75,202707.0,0.0,1.0,13.08,13.15,12.42,12.75,202707.0
2017-12-27,13.25,13.65,12.84,12.97,163298.0,0.0,1.0,13.25,13.65,12.84,12.97,163298.0
2017-12-26,13.09,13.8,13.09,13.28,44904.0,0.0,1.0,13.09,13.8,13.09,13.28,44904.0
2017-12-22,14.59,14.6,13.12,13.16,38881.0,0.0,1.0,14.59,14.6,13.12,13.16,38881.0
2017-12-21,13.67,14.71,13.67,14.54,34468.0,0.0,1.0,13.67,14.71,13.67,14.54,34468.0
2017-12-20,13.26,13.97,12.67,13.63,34794.0,0.0,1.0,13.26,13.97,12.67,13.63,34794.0
2017-12-19,12.55,13.52,12.55,13.27,60414.0,0.0,1.0,12.55,13.52,12.55,13.27,60414.0
2017-12-18,12.25,12.9,12.22,12.59,85672.0,0.0,1.0,12.25,12.9,12.22,12.59,85672.0
2017-12-15,12.38,13.06,12.09,12.12,209509.0,0.0,1.0,12.38,13.06,12.09,12.12,209509.0
2017-12-14,13.55,13.89,12.15,12.29,108539.0,0.0,1.0,13.55,13.89,12.15,12.29,108539.0
2017-12-13,14.0,14.08,13.5,13.61,37204.0,0.0,1.0,14.0,14.08,13.5,13.61,37204.0
2017-12-12,14.16,14.65,13.66,13.78,34252.0,0.0,1.0,14.16,14.65,13.66,13.78,34252.0
2017-12-11,14.54,14.95,14.02,14.1,32094.0,0.0,1.0,14.54,14.95,14.02,14.1,32094.0
2017-12-08,15.05,15.2,14.5,14.53,21766.0,0.0,1.0,15.05,15.2,14.5,14.53,21766.0
2017-12-07,15.05,15.16,14.66,14.84,29181.0,0.0,1.0,15.05,15.16,14.66,14.84,29181.0
2017-12-06,15.4,15.4,14.76,15.04,32257.0,0.0,1.0,15.4,15.4,14.76,15.04,32257.0
2017-12-05,15.73,15.75,15.2,15.43,53808.0,0.0,1.0,15.73,15.75,15.2,15.43,53808.0
2017-12-04,16.5,16.56,15.52,15.72,34241.0,0.0,1.0,16.5,16.56,15.52,15.72,34241.0
2017-12-01,14.78,16.97,14.19,16.39,100481.0,0.0,1.0,14.78,16.97,14.19,16.39,100481.0
2017-11-30,15.97,16.49,14.55,14.64,36966.0,0.0,1.0,15.97,16.49,14.55,14.64,36966.0
2017-11-29,16.43,16.43,15.79,15.89,45832.0,0.0,1.0,16.43,16.43,15.79,15.89,45832.0
2017-11-28,16.86,16.88,16.19,16.43,50151.0,0.0,1.0,16.86,16.88,16.19,16.43,50151.0
2017-11-27,16.56,17.03,16.2,16.88,37049.0,0.0,1.0,16.56,17.03,16.2,16.88,37049.0
2017-11-24,16.81,16.81,15.96,16.59,27336.0,0.0,1.0,16.81,16.81,15.96,16.59,27336.0
2017-11-22,16.84,16.98,16.465,16.76,90490.0,0.0,1.0,16.84,16.98,16.465,16.76,90490.0
2017-11-21,16.6,16.99,16.565,16.77,81572.0,0.0,1.0,16.6,16.99,16.565,16.77,81572.0
2017-11-20,15.76,16.62,15.75,16.58,36548.0,0.0,1.0,15.76,16.62,15.75,16.58,36548.0
2017-11-17,15.49,16.01,15.45,15.8,22663.0,0.0,1.0,15.49,16.01,15.45,15.8,22663.0
2017-11-16,15.18,15.88,15.18,15.54,22466.0,0.0,1.0,15.18,15.88,15.18,15.54,22466.0
2017-11-15,14.85,15.3499,14.78,15.08,21909.0,0.0,1.0,14.85,15.3499,14.78,15.08,21909.0
2017-11-14,14.97,15.1,14.765,15.02,30329.0,0.0,1.0,14.97,15.1,14.765,15.02,30329.0
2017-11-13,14.75,15.38,14.561,15.11,26101.0,0.0,1.0,14.75,15.38,14.561,15.11,26101.0
2017-11-10,14.99,15.3,14.73,14.75,17740.0,0.0,1.0,14.99,15.3,14.73,14.75,17740.0
2017-11-09,15.04,15.25,14.78,15.0,15099.0,0.0,1.0,15.04,15.25,14.78,15.0,15099.0
2017-11-07,16.21,16.42,15.105,15.25,22175.0,0.0,1.0,16.21,16.42,15.105,15.25,22175.0
2017-11-06,15.5,16.395,15.5,15.54,22102.0,0.0,1.0,15.5,16.395,15.5,15.54,22102.0
2017-11-03,14.95,15.69,14.87,15.61,26121.0,0.0,1.0,14.95,15.69,14.87,15.61,26121.0
2017-11-02,14.76,15.38,14.76,14.89,26405.0,0.0,1.0,14.76,15.38,14.76,14.89,26405.0
2017-11-01,15.22,15.74,14.76,14.86,28456.0,0.0,1.0,15.22,15.74,14.76,14.86,28456.0
2017-10-31,15.41,15.8,14.99,15.02,50044.0,0.0,1.0,15.41,15.8,14.99,15.02,50044.0
2017-10-30,16.3,16.3,15.37,15.39,21276.0,0.0,1.0,16.3,16.3,15.37,15.39,21276.0
2017-10-27,16.08,16.7,15.8229,16.19,33713.0,0.0,1.0,16.08,16.7,15.8229,16.19,33713.0
2017-10-26,15.76,16.42,15.7,16.23,18660.0,0.0,1.0,15.76,16.42,15.7,16.23,18660.0
2017-10-25,15.54,16.02,15.33,15.745,29131.0,0.0,1.0,15.54,16.02,15.33,15.745,29131.0
2017-10-24,15.4,15.96,15.3,15.75,35910.0,0.0,1.0,15.4,15.96,15.3,15.75,35910.0
2017-10-23,16.55,16.65,15.17,15.22,53775.0,0.0,1.0,16.55,16.65,15.17,15.22,53775.0
2017-10-20,16.89,16.89,16.48,16.6,18375.0,0.0,1.0,16.89,16.89,16.48,16.6,18375.0
2017-10-19,17.15,17.32,16.67,16.7,17507.0,0.0,1.0,17.15,17.32,16.67,16.7,17507.0
2017-10-18,17.1726,17.4,17.11,17.29,21290.0,0.0,1.0,17.1726,17.4,17.11,17.29,21290.0
2017-10-17,17.43,17.65,17.14,17.33,14203.0,0.0,1.0,17.43,17.65,17.14,17.33,14203.0
2017-10-16,17.72,18.11,17.34,17.48,35508.0,0.0,1.0,17.72,18.11,17.34,17.48,35508.0
2017-10-13,17.3,17.65,17.26,17.52,33745.0,0.0,1.0,17.3,17.65,17.26,17.52,33745.0
2017-10-12,16.57,17.11,16.57,17.0,23812.0,0.0,1.0,16.57,17.11,16.57,17.0,23812.0
2017-10-11,16.91,16.95,16.64,16.78,28996.0,0.0,1.0,16.91,16.95,16.64,16.78,28996.0
2017-10-10,17.24,17.24,16.58,16.74,41117.0,0.0,1.0,17.24,17.24,16.58,16.74,41117.0
2017-10-09,17.12,17.17,16.81,16.96,27342.0,0.0,1.0,17.12,17.17,16.81,16.96,27342.0
2017-10-06,17.52,17.54,16.94,17.0,28138.0,0.0,1.0,17.52,17.54,16.94,17.0,28138.0
2017-10-05,17.5,17.65,17.42,17.56,29841.0,0.0,1.0,17.5,17.65,17.42,17.56,29841.0
2017-10-04,17.8,18.07,17.2545,17.47,23040.0,0.0,1.0,17.8,18.07,17.2545,17.47,23040.0
2017-10-03,18.1,18.71,17.72,17.85,53014.0,0.0,1.0,18.1,18.71,17.72,17.85,53014.0
2017-10-02,17.77,18.28,17.76,18.13,59869.0,0.0,1.0,17.77,18.28,17.76,18.13,59869.0
2017-09-29,17.79,17.99,16.51,17.82,36864.0,0.0,1.0,17.79,17.99,16.51,17.82,36864.0
2017-09-28,17.88,17.96,17.55,17.74,31001.0,0.0,1.0,17.88,17.96,17.55,17.74,31001.0
2017-09-27,17.5,17.85,17.26,17.73,47202.0,0.0,1.0,17.5,17.85,17.26,17.73,47202.0
2017-09-26,17.31,17.5,16.94,17.2,29139.0,0.0,1.0,17.31,17.5,16.94,17.2,29139.0
2017-09-25,16.98,17.38,16.95,17.3,30967.0,0.0,1.0,16.98,17.38,16.95,17.3,30967.0
2017-09-22,17.09,17.3,16.23,16.91,34235.0,0.0,1.0,17.09,17.3,16.23,16.91,34235.0
2017-09-21,17.3,17.42,17.03,17.25,29629.0,0.0,1.0,17.3,17.42,17.03,17.25,29629.0
2017-09-20,17.23,17.66,16.93,17.45,35727.0,0.0,1.0,17.23,17.66,16.93,17.45,35727.0
2017-09-19,17.09,17.4899,16.041,17.12,48433.0,0.0,1.0,17.09,17.4899,16.041,17.12,48433.0
2017-09-18,16.83,17.2,16.63,17.04,51114.0,0.0,1.0,16.83,17.2,16.63,17.04,51114.0
2017-09-15,16.15,16.95,16.0,16.82,156396.0,0.0,1.0,16.15,16.95,16.0,16.82,156396.0
2017-09-14,15.7,16.8,15.7,16.39,66352.0,0.0,1.0,15.7,16.8,15.7,16.39,66352.0
2017-09-13,15.14,15.89,15.08,15.63,47076.0,0.0,1.0,15.14,15.89,15.08,15.63,47076.0
2017-09-12,14.73,15.32,14.72,15.02,61705.0,0.0,1.0,14.73,15.32,14.72,15.02,61705.0
2017-09-11,14.92,15.32,14.69,14.77,59897.0,0.0,1.0,14.92,15.32,14.69,14.77,59897.0
2017-09-08,14.635,15.39,14.635,14.91,43733.0,0.0,1.0,14.635,15.39,14.635,14.91,43733.0
2017-09-07,14.96,15.25,14.77,15.16,64445.0,0.0,1.0,14.96,15.25,14.77,15.16,64445.0
2017-09-06,15.24,15.25,14.56,15.0,68174.0,0.0,1.0,15.24,15.25,14.56,15.0,68174.0
2017-09-05,14.9,15.335,14.6352,15.07,48624.0,0.0,1.0,14.9,15.335,14.6352,15.07,48624.0
2017-09-01,14.76,15.19,14.76,14.85,39589.0,0.0,1.0,14.76,15.19,14.76,14.85,39589.0
2017-08-31,15.325,15.5,15.04,15.09,49005.0,0.0,1.0,15.325,15.5,15.04,15.09,49005.0
2017-08-30,15.28,15.46,15.11,15.13,31566.0,0.0,1.0,15.28,15.46,15.11,15.13,31566.0
2017-08-29,15.27,15.5,14.5,15.44,32101.0,0.0,1.0,15.27,15.5,14.5,15.44,32101.0
2017-08-28,15.5,15.56,15.264000000000001,15.38,35769.0,0.0,1.0,15.5,15.56,15.264000000000001,15.38,35769.0
2017-08-25,15.6,15.89,15.48,15.51,30731.0,0.0,1.0,15.6,15.89,15.48,15.51,30731.0
2017-08-24,15.41,15.58,15.33,15.49,22234.0,0.0,1.0,15.41,15.58,15.33,15.49,22234.0
2017-08-23,15.17,15.5,15.13,15.4,44874.0,0.0,1.0,15.17,15.5,15.13,15.4,44874.0
2017-08-22,14.86,15.53,14.86,15.26,55870.0,0.0,1.0,14.86,15.53,14.86,15.26,55870.0
2017-08-21,15.15,15.2,14.83,14.87,33360.0,0.0,1.0,15.15,15.2,14.83,14.87,33360.0
2017-08-18,15.32,15.57,15.03,15.26,62431.0,0.0,1.0,15.32,15.57,15.03,15.26,62431.0
2017-08-17,14.84,15.86,14.84,15.49,46738.0,0.0,1.0,14.84,15.86,14.84,15.49,46738.0
2017-08-16,15.38,15.38,14.89,14.94,31664.0,0.0,1.0,15.38,15.38,14.89,14.94,31664.0
2017-08-15,15.03,15.5766,14.99,15.39,35781.0,0.0,1.0,15.03,15.5766,14.99,15.39,35781.0
2017-08-14,14.8,15.235,14.8,15.04,37149.0,0.0,1.0,14.8,15.235,14.8,15.04,37149.0
2017-08-11,15.25,15.35,14.63,14.79,39952.0,0.0,1.0,15.25,15.35,14.63,14.79,39952.0
2017-08-10,15.26,15.46,15.19,15.21,34190.0,0.0,1.0,15.26,15.46,15.19,15.21,34190.0
2017-08-09,15.09,15.43,14.8,15.28,43673.0,0.0,1.0,15.09,15.43,14.8,15.28,43673.0
2017-08-08,15.46,16.0,15.15,15.16,41974.0,0.0,1.0,15.46,16.0,15.15,15.16,41974.0
2017-08-07,15.57,15.76,14.66,15.48,63674.0,0.0,1.0,15.57,15.76,14.66,15.48,63674.0
2017-08-04,15.0,15.99,15.0,15.56,37636.0,0.0,1.0,15.0,15.99,15.0,15.56,37636.0
2017-08-03,14.74,15.21,14.56,15.05,33927.0,0.0,1.0,14.74,15.21,14.56,15.05,33927.0
2017-08-02,15.04,15.04,14.57,14.69,18304.0,0.0,1.0,15.04,15.04,14.57,14.69,18304.0
2017-08-01,15.32,15.32,14.76,15.04,26288.0,0.0,1.0,15.32,15.32,14.76,15.04,26288.0
