Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,4.35,4.4001,4.25,4.3,143938.0,0.0,1.0,4.35,4.4001,4.25,4.3,143938.0
2018-03-26,4.4,4.475,4.25,4.35,173192.0,0.0,1.0,4.4,4.475,4.25,4.35,173192.0
2018-03-23,4.45,4.5,4.325,4.35,231186.0,0.0,1.0,4.45,4.5,4.325,4.35,231186.0
2018-03-22,4.65,4.675,4.35,4.45,230001.0,0.0,1.0,4.65,4.675,4.35,4.45,230001.0
2018-03-21,4.95,4.95,4.65,4.7,207425.0,0.0,1.0,4.95,4.95,4.65,4.7,207425.0
2018-03-20,5.05,5.05,4.9,4.95,250797.0,0.0,1.0,5.05,5.05,4.9,4.95,250797.0
2018-03-19,5.0,5.075,4.9,5.0,137900.0,0.0,1.0,5.0,5.075,4.9,5.0,137900.0
2018-03-16,5.05,5.15,4.975,5.05,352217.0,0.0,1.0,5.05,5.15,4.975,5.05,352217.0
2018-03-15,5.1,5.1,4.925,5.05,126062.0,0.0,1.0,5.1,5.1,4.925,5.05,126062.0
2018-03-14,4.95,5.1,4.95,5.05,134101.0,0.0,1.0,4.95,5.1,4.95,5.05,134101.0
2018-03-13,5.05,5.15,4.95,5.0,180762.0,0.0,1.0,5.05,5.15,4.95,5.0,180762.0
2018-03-12,4.95,5.1,4.85,5.05,167068.0,0.0,1.0,4.95,5.1,4.85,5.05,167068.0
2018-03-09,4.8,4.95,4.7,4.95,340542.0,0.0,1.0,4.8,4.95,4.7,4.95,340542.0
2018-03-08,4.7,4.85,4.65,4.8,146423.0,0.0,1.0,4.7,4.85,4.65,4.8,146423.0
2018-03-07,4.6,4.8,4.6,4.7,187174.0,0.0,1.0,4.6,4.8,4.6,4.7,187174.0
2018-03-06,4.7,4.75,4.5455,4.65,127543.0,0.0,1.0,4.7,4.75,4.5455,4.65,127543.0
2018-03-05,4.55,4.7,4.5,4.7,167600.0,0.0,1.0,4.55,4.7,4.5,4.7,167600.0
2018-03-02,4.45,4.65,4.45,4.6,153807.0,0.0,1.0,4.45,4.65,4.45,4.6,153807.0
2018-03-01,4.5,4.575,4.45,4.55,120943.0,0.0,1.0,4.5,4.575,4.45,4.55,120943.0
2018-02-28,4.65,4.7,4.5,4.55,183456.0,0.0,1.0,4.65,4.7,4.5,4.55,183456.0
