Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,3.88,3.9,3.765,3.78,1948323.0,0.0,1.0,3.88,3.9,3.765,3.78,1948323.0
2018-03-26,3.78,3.875,3.72,3.86,1954176.0,0.0,1.0,3.78,3.875,3.72,3.86,1954176.0
2018-03-23,3.85,3.86,3.72,3.72,1766801.0,0.0,1.0,3.85,3.86,3.72,3.72,1766801.0
2018-03-22,3.85,3.875,3.76,3.85,1517696.0,0.0,1.0,3.85,3.875,3.76,3.85,1517696.0
2018-03-21,3.83,3.89,3.8,3.86,1151641.0,0.0,1.0,3.83,3.89,3.8,3.86,1151641.0
2018-03-20,3.81,3.85,3.74,3.83,1301008.0,0.0,1.0,3.81,3.85,3.74,3.83,1301008.0
2018-03-19,3.78,3.805,3.71,3.79,2001883.0,0.0,1.0,3.78,3.805,3.71,3.79,2001883.0
2018-03-16,3.8,3.82,3.75,3.8,1235662.0,0.0,1.0,3.8,3.82,3.75,3.8,1235662.0
2018-03-15,3.85,3.85,3.775,3.79,1047937.0,0.0,1.0,3.85,3.85,3.775,3.79,1047937.0
2018-03-14,3.84,3.86,3.74,3.84,1061357.0,0.0,1.0,3.84,3.86,3.74,3.84,1061357.0
2018-03-13,4.02,4.02,3.81,3.84,1178913.0,0.0,1.0,4.02,4.02,3.81,3.84,1178913.0
2018-03-12,4.04,4.07,3.97,3.99,1358952.0,0.0,1.0,4.04,4.07,3.97,3.99,1358952.0
2018-03-09,4.02,4.06,3.96,4.02,1034057.0,0.0,1.0,4.02,4.06,3.96,4.02,1034057.0
2018-03-08,3.95,4.035,3.925,4.0,1341287.0,0.0,1.0,3.95,4.035,3.925,4.0,1341287.0
2018-03-07,3.82,3.95,3.82,3.93,1147399.0,0.0,1.0,3.82,3.95,3.82,3.93,1147399.0
2018-03-06,3.83,3.905,3.81,3.83,1019452.0,0.0,1.0,3.83,3.905,3.81,3.83,1019452.0
2018-03-05,3.79,3.85,3.755,3.83,853686.0,0.0,1.0,3.79,3.85,3.755,3.83,853686.0
2018-03-02,3.7,3.81,3.6621,3.8,1119942.0,0.0,1.0,3.7,3.81,3.6621,3.8,1119942.0
2018-03-01,3.72,3.76,3.64,3.74,1296987.0,0.0,1.0,3.72,3.76,3.64,3.74,1296987.0
2018-02-28,3.79,3.85,3.7,3.71,1190172.0,0.0,1.0,3.79,3.85,3.7,3.71,1190172.0
2018-02-27,3.89,3.915,3.78,3.79,1095546.0,0.0,1.0,3.89,3.915,3.78,3.79,1095546.0
2018-02-26,3.77,3.91,3.77,3.88,1462216.0,0.0,1.0,3.77,3.91,3.77,3.88,1462216.0
2018-02-23,3.77,3.82,3.72,3.74,1142744.0,0.0,1.0,3.77,3.82,3.72,3.74,1142744.0
2018-02-22,3.81,3.85,3.74,3.75,852853.0,0.0,1.0,3.81,3.85,3.74,3.75,852853.0
2018-02-21,3.76,3.9,3.76,3.8,1105096.0,0.0,1.0,3.76,3.9,3.76,3.8,1105096.0
2018-02-20,3.85,3.91,3.75,3.77,1285510.0,0.0,1.0,3.85,3.91,3.75,3.77,1285510.0
2018-02-16,3.96,4.04,3.82,3.84,1715986.0,0.0,1.0,3.96,4.04,3.82,3.84,1715986.0
2018-02-15,3.79,4.005,3.74,3.99,3389005.0,0.0,1.0,3.79,4.005,3.74,3.99,3389005.0
2018-02-14,3.76,3.87,3.7,3.79,1652899.0,0.0,1.0,3.76,3.87,3.7,3.79,1652899.0
2018-02-13,3.63,3.84,3.61,3.81,4140957.0,0.0,1.0,3.63,3.84,3.61,3.81,4140957.0
2018-02-12,3.23,3.76,3.2,3.67,4318688.0,0.0,1.0,3.23,3.76,3.2,3.67,4318688.0
2018-02-09,3.48,3.55,3.02,3.24,4765727.0,0.0,1.0,3.48,3.55,3.02,3.24,4765727.0
2018-02-08,3.54,3.56,3.38,3.42,3020728.0,0.0,1.0,3.54,3.56,3.38,3.42,3020728.0
2018-02-07,3.56,3.59,3.45,3.46,2385603.0,0.0,1.0,3.56,3.59,3.45,3.46,2385603.0
2018-02-06,3.41,3.56,3.36,3.55,4170013.0,0.0,1.0,3.41,3.56,3.36,3.55,4170013.0
2018-02-05,3.56,3.66,3.48,3.49,2952265.0,0.0,1.0,3.56,3.66,3.48,3.49,2952265.0
2018-02-02,3.77,3.78,3.58,3.6,3341011.0,0.0,1.0,3.77,3.78,3.58,3.6,3341011.0
2018-02-01,3.74,3.8,3.7,3.8,2648642.0,0.0,1.0,3.74,3.8,3.7,3.8,2648642.0
2018-01-31,3.67,3.78,3.6599,3.74,1845138.0,0.0,1.0,3.67,3.78,3.6599,3.74,1845138.0
