Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,28.34,28.42,27.63,27.74,6329271.0,0.0,1.0,28.34,28.42,27.63,27.74,6329271.0
2018-03-26,28.28,28.35,27.805,28.31,4857443.0,0.0,1.0,28.28,28.35,27.805,28.31,4857443.0
2018-03-23,28.55,28.71,27.74,27.78,5113729.0,0.0,1.0,28.55,28.71,27.74,27.78,5113729.0
2018-03-22,28.95,29.19,28.56,28.56,6428492.0,0.0,1.0,28.95,29.19,28.56,28.56,6428492.0
2018-03-21,29.25,29.62,29.13,29.37,6290536.0,0.0,1.0,29.25,29.62,29.13,29.37,6290536.0
2018-03-20,28.98,29.4,28.95,29.26,7165586.0,0.0,1.0,28.98,29.4,28.95,29.26,7165586.0
2018-03-19,29.31,29.38,28.64,28.89,6530873.0,0.0,1.0,29.31,29.38,28.64,28.89,6530873.0
2018-03-16,29.61,29.845,29.5,29.5,9738044.0,0.0,1.0,29.61,29.845,29.5,29.5,9738044.0
2018-03-15,29.6,29.73,29.42,29.53,4618360.0,0.0,1.0,29.6,29.73,29.42,29.53,4618360.0
2018-03-14,29.95,30.0,29.41,29.54,4896081.0,0.0,1.0,29.95,30.0,29.41,29.54,4896081.0
2018-03-13,29.97,30.15,29.74,29.84,5546737.0,0.0,1.0,29.97,30.15,29.74,29.84,5546737.0
2018-03-12,29.95,30.1,29.83,29.84,4246296.0,0.0,1.0,29.95,30.1,29.83,29.84,4246296.0
2018-03-09,29.5,29.98,29.395,29.93,5689812.0,0.0,1.0,29.5,29.98,29.395,29.93,5689812.0
2018-03-08,29.45,29.54,29.14,29.33,4706926.0,0.0,1.0,29.45,29.54,29.14,29.33,4706926.0
2018-03-07,28.89,29.42,28.85,29.34,5193232.0,0.0,1.0,28.89,29.42,28.85,29.34,5193232.0
2018-03-06,29.08,29.31,29.0,29.2,5147191.0,0.0,1.0,29.08,29.31,29.0,29.2,5147191.0
2018-03-05,28.58,29.215,28.55,28.88,7101979.0,0.0,1.0,28.58,29.215,28.55,28.88,7101979.0
2018-03-02,28.22,28.88,28.1,28.8,6479404.0,0.0,1.0,28.22,28.88,28.1,28.8,6479404.0
2018-03-01,29.2,29.33,28.3339,28.4,9279569.0,0.0,1.0,29.2,29.33,28.3339,28.4,9279569.0
2018-02-28,29.43,29.6,29.07,29.08,6900370.0,0.0,1.0,29.43,29.6,29.07,29.08,6900370.0
2018-02-27,29.68,30.01,29.33,29.33,7290094.0,0.0,1.0,29.68,30.01,29.33,29.33,7290094.0
2018-02-26,29.45,29.94,29.41,29.83,9997331.0,0.0,1.0,29.45,29.94,29.41,29.83,9997331.0
2018-02-23,29.43,29.455,29.16,29.3,8553225.0,0.0,1.0,29.43,29.455,29.16,29.3,8553225.0
2018-02-22,29.33,29.54,29.07,29.21,6715135.0,0.0,1.0,29.33,29.54,29.07,29.21,6715135.0
2018-02-21,29.65,29.8,29.26,29.26,10306646.0,0.0,1.0,29.65,29.8,29.26,29.26,10306646.0
2018-02-20,29.43,29.85,29.42,29.65,7941457.0,0.0,1.0,29.43,29.85,29.42,29.65,7941457.0
2018-02-16,29.45,29.77,29.39,29.47,9300424.0,0.0,1.0,29.45,29.77,29.39,29.47,9300424.0
2018-02-15,29.84,29.87,29.365,29.54,7225937.0,0.0,1.0,29.84,29.87,29.365,29.54,7225937.0
2018-02-14,29.0,29.65,29.0,29.52,7366412.0,0.0,1.0,29.0,29.65,29.0,29.52,7366412.0
2018-02-13,29.35,29.46,29.12,29.24,5810552.0,0.0,1.0,29.35,29.46,29.12,29.24,5810552.0
2018-02-12,29.12,29.63,29.01,29.45,9744037.0,0.0,1.0,29.12,29.63,29.01,29.45,9744037.0
2018-02-09,28.75,29.05,27.82,28.77,12039299.0,0.0,1.0,28.75,29.05,27.82,28.77,12039299.0
2018-02-08,29.82,29.87,28.45,28.45,9642157.0,0.0,1.0,29.82,29.87,28.45,28.45,9642157.0
2018-02-07,29.66,30.4,29.6,29.82,11466231.0,0.0,1.0,29.66,30.4,29.6,29.82,11466231.0
2018-02-06,29.12,30.11,28.95,29.8,17303977.0,0.0,1.0,29.12,30.11,28.95,29.8,17303977.0
2018-02-05,30.98,31.385,29.76,29.78,11256606.0,0.0,1.0,30.98,31.385,29.76,29.78,11256606.0
2018-02-02,31.4,31.62,31.24,31.28,6810752.0,0.0,1.0,31.4,31.62,31.24,31.28,6810752.0
2018-02-01,31.04,31.945,30.76,31.69,8893881.0,0.0,1.0,31.04,31.945,30.76,31.69,8893881.0
2018-01-31,32.49,32.53,31.08,31.22,15157515.0,0.0,1.0,32.49,32.53,31.08,31.22,15157515.0
2018-01-30,32.31,32.93,31.1946,32.33,16541096.0,0.0,1.0,32.31,32.93,31.1946,32.33,16541096.0
2018-01-29,34.38,34.59,34.13,34.25,6430963.0,0.0,1.0,34.38,34.59,34.13,34.25,6430963.0
2018-01-26,33.97,34.38,33.85,34.38,6360763.0,0.0,1.0,33.97,34.38,33.85,34.38,6360763.0
2018-01-25,34.34,34.35,33.71,33.81,4520391.0,0.0,1.0,34.34,34.35,33.71,33.81,4520391.0
2018-01-24,34.67,34.785,33.9301,34.12,5674148.0,0.0,1.0,34.67,34.785,33.9301,34.12,5674148.0
2018-01-23,34.71,34.83,34.54,34.56,6191386.0,0.0,1.0,34.71,34.83,34.54,34.56,6191386.0
2018-01-22,34.66,34.74,34.45,34.71,5065047.0,0.0,1.0,34.66,34.74,34.45,34.71,5065047.0
2018-01-19,35.05,35.1,34.545,34.66,5817585.0,0.0,1.0,35.05,35.1,34.545,34.66,5817585.0
2018-01-18,34.77,35.07,34.71,34.85,5693764.0,0.0,1.0,34.77,35.07,34.71,34.85,5693764.0
2018-01-17,34.61,35.0,34.55,34.83,4133720.0,0.0,1.0,34.61,35.0,34.55,34.83,4133720.0
2018-01-16,34.7,34.79,34.2,34.41,9838291.0,0.0,1.0,34.7,34.79,34.2,34.41,9838291.0
2018-01-12,33.8,34.69,33.8,34.66,6589030.0,0.0,1.0,33.8,34.69,33.8,34.66,6589030.0
2018-01-11,33.44,33.77,33.44,33.76,3463236.0,0.0,1.0,33.44,33.77,33.44,33.76,3463236.0
2018-01-10,33.53,33.68,33.3,33.33,4216780.0,0.0,1.0,33.53,33.68,33.3,33.33,4216780.0
2018-01-09,33.76,33.925,33.65,33.65,5119034.0,0.0,1.0,33.76,33.925,33.65,33.65,5119034.0
2018-01-08,33.64,33.8,33.425,33.77,4825613.0,0.0,1.0,33.64,33.8,33.425,33.77,4825613.0
2018-01-05,33.81,33.89,33.51,33.64,6067813.0,0.0,1.0,33.81,33.89,33.51,33.64,6067813.0
2018-01-04,33.54,33.78,33.42,33.76,5905339.0,0.0,1.0,33.54,33.78,33.42,33.76,5905339.0
2018-01-03,32.56,33.44,32.56,33.42,5614560.0,0.0,1.0,32.56,33.44,32.56,33.42,5614560.0
2018-01-02,32.32,32.7,32.22,32.62,6122101.0,0.0,1.0,32.32,32.7,32.22,32.62,6122101.0
2017-12-29,32.35,32.39,31.98,31.99,3122284.0,0.0,1.0,32.35,32.39,31.98,31.99,3122284.0
2017-12-28,32.46,32.53,32.2329,32.3,2683683.0,0.0,1.0,32.46,32.53,32.2329,32.3,2683683.0
2017-12-27,32.4,32.46,32.21,32.35,1656442.0,0.0,1.0,32.4,32.46,32.21,32.35,1656442.0
2017-12-26,32.33,32.4,32.25,32.38,2859784.0,0.0,1.0,32.33,32.4,32.25,32.38,2859784.0
2017-12-22,32.39,32.46,32.29,32.38,2390033.0,0.0,1.0,32.39,32.46,32.29,32.38,2390033.0
2017-12-21,32.53,32.67,32.29,32.3,2902045.0,0.0,1.0,32.53,32.67,32.29,32.3,2902045.0
2017-12-20,32.29,32.47,32.225,32.42,2779681.0,0.0,1.0,32.29,32.47,32.225,32.42,2779681.0
2017-12-19,32.35,32.5,32.24,32.26,3608797.0,0.0,1.0,32.35,32.5,32.24,32.26,3608797.0
2017-12-18,32.23,32.45,32.2,32.32,4696163.0,0.0,1.0,32.23,32.45,32.2,32.32,4696163.0
2017-12-15,31.99,32.1,31.815,32.05,13135494.0,0.0,1.0,31.99,32.1,31.815,32.05,13135494.0
2017-12-14,32.26,32.37,31.8,31.81,6568266.0,0.0,1.0,32.26,32.37,31.8,31.81,6568266.0
