Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-03-21,0.0687,0.07200000000000001,0.0601,0.0602,1315610.0,0.0,1.0,0.0687,0.07200000000000001,0.0601,0.0602,1315610.0
2017-03-20,0.067,0.084,0.05,0.0699,3583688.0,0.0,1.0,0.067,0.084,0.05,0.0699,3583688.0
2017-03-17,0.0685,0.069,0.0611,0.0675,1431362.0,0.0,1.0,0.0685,0.069,0.0611,0.0675,1431362.0
2017-03-16,0.0732,0.075,0.062,0.0688,2229947.0,0.0,1.0,0.0732,0.075,0.062,0.0688,2229947.0
2017-03-15,0.08,0.0918,0.071,0.073,4750301.0,0.0,1.0,0.08,0.0918,0.071,0.073,4750301.0
2017-03-14,0.09,0.1487,0.08,0.09,12152068.0,0.0,1.0,0.09,0.1487,0.08,0.09,12152068.0
2017-03-13,0.0771,0.085,0.052000000000000005,0.075,6185542.0,0.0,1.0,0.0771,0.085,0.052000000000000005,0.075,6185542.0
2017-03-10,0.13,0.13,0.105,0.115,1115649.0,0.0,1.0,0.13,0.13,0.105,0.115,1115649.0
2017-03-09,0.15,0.1592,0.1,0.125,2046777.0,0.0,1.0,0.15,0.1592,0.1,0.125,2046777.0
2017-03-08,0.1551,0.175,0.1402,0.15,1225712.0,0.0,1.0,0.1551,0.175,0.1402,0.15,1225712.0
2017-03-07,0.21,0.2197,0.15,0.1663,1661464.0,0.0,1.0,0.21,0.2197,0.15,0.1663,1661464.0
2017-03-06,0.57,0.601,0.15,0.1739,1322696.0,0.0,1.0,0.57,0.601,0.15,0.1739,1322696.0
2017-03-03,0.585,0.62,0.585,0.59,11398.0,0.0,1.0,0.585,0.62,0.585,0.59,11398.0
2017-03-02,0.56,0.58,0.56,0.5799,20403.0,0.0,1.0,0.56,0.58,0.56,0.5799,20403.0
2017-03-01,0.5710000000000001,0.615,0.56,0.57,105509.0,0.0,1.0,0.5710000000000001,0.615,0.56,0.57,105509.0
2017-02-28,0.6,0.63,0.59,0.59,44865.0,0.0,1.0,0.6,0.63,0.59,0.59,44865.0
2017-02-27,0.61,0.64,0.6,0.63,35167.0,0.0,1.0,0.61,0.64,0.6,0.63,35167.0
2017-02-24,0.65,0.65,0.6142,0.624,8341.0,0.0,1.0,0.65,0.65,0.6142,0.624,8341.0
2017-02-23,0.64,0.6514,0.6,0.635,35658.0,0.0,1.0,0.64,0.6514,0.6,0.635,35658.0
2017-02-22,0.63,0.6990000000000001,0.6099,0.6398,118716.0,0.0,1.0,0.63,0.6990000000000001,0.6099,0.6398,118716.0
2017-02-21,0.61,0.73,0.61,0.69,81349.0,0.0,1.0,0.61,0.73,0.61,0.69,81349.0
2017-02-17,0.6771,0.6771,0.615,0.64,37474.0,0.0,1.0,0.6771,0.6771,0.615,0.64,37474.0
2017-02-16,0.68,0.75,0.632,0.6449,49282.0,0.0,1.0,0.68,0.75,0.632,0.6449,49282.0
2017-02-15,0.69,0.7,0.65,0.698,32532.0,0.0,1.0,0.69,0.7,0.65,0.698,32532.0
2017-02-14,0.65,0.69,0.6451,0.69,20116.0,0.0,1.0,0.65,0.69,0.6451,0.69,20116.0
2017-02-13,0.66,0.72,0.637,0.6705,138771.0,0.0,1.0,0.66,0.72,0.637,0.6705,138771.0
2017-02-10,0.61,0.63,0.6,0.63,64620.0,0.0,1.0,0.61,0.63,0.6,0.63,64620.0
2017-02-09,0.631,0.65,0.59,0.5997,77126.0,0.0,1.0,0.631,0.65,0.59,0.5997,77126.0
2017-02-08,0.6547,0.6547,0.625,0.631,46686.0,0.0,1.0,0.6547,0.6547,0.625,0.631,46686.0
2017-02-07,0.64,0.6618,0.625,0.6251,54766.0,0.0,1.0,0.64,0.6618,0.625,0.6251,54766.0
2017-02-06,0.74,0.7475,0.625,0.65,159195.0,0.0,1.0,0.74,0.7475,0.625,0.65,159195.0
2017-02-03,0.7479,0.78,0.7003,0.71,51929.0,0.0,1.0,0.7479,0.78,0.7003,0.71,51929.0
2017-02-02,0.81,0.8135,0.72,0.7395,75031.0,0.0,1.0,0.81,0.8135,0.72,0.7395,75031.0
2017-02-01,0.86,0.86,0.775,0.7901,53716.0,0.0,1.0,0.86,0.86,0.775,0.7901,53716.0
2017-01-31,0.8351,0.9,0.78,0.8652,24752.0,0.0,1.0,0.8351,0.9,0.78,0.8652,24752.0
2017-01-30,0.85,0.8805,0.836,0.8553,71735.0,0.0,1.0,0.85,0.8805,0.836,0.8553,71735.0
2017-01-27,0.85,0.855,0.83,0.8475,32592.0,0.0,1.0,0.85,0.855,0.83,0.8475,32592.0
2017-01-26,0.925,0.925,0.85,0.855,143606.0,0.0,1.0,0.925,0.925,0.85,0.855,143606.0
2017-01-25,1.0,1.0,0.9,0.925,290689.0,0.0,1.0,1.0,1.0,0.9,0.925,290689.0
2017-01-24,0.8,0.9983,0.8,0.98,579938.0,0.0,1.0,0.8,0.9983,0.8,0.98,579938.0
2017-01-23,0.7381,0.92,0.7381,0.855,1064661.0,0.0,1.0,0.7381,0.92,0.7381,0.855,1064661.0
2017-01-20,0.742,0.7799,0.7118,0.7218,36194.0,0.0,1.0,0.742,0.7799,0.7118,0.7218,36194.0
2017-01-19,0.75,0.78,0.62,0.77,163985.0,0.0,1.0,0.75,0.78,0.62,0.77,163985.0
2017-01-18,0.7875,0.7896,0.75,0.78,6817.0,0.0,1.0,0.7875,0.7896,0.75,0.78,6817.0
2017-01-17,0.7896,0.7896,0.75,0.75,28358.0,0.0,1.0,0.7896,0.7896,0.75,0.75,28358.0
2017-01-13,0.76,0.79,0.76,0.785,6068.0,0.0,1.0,0.76,0.79,0.76,0.785,6068.0
2017-01-12,0.784,0.789,0.759,0.76,4442.0,0.0,1.0,0.784,0.789,0.759,0.76,4442.0
2017-01-11,0.77,0.79,0.75,0.75,3469.0,0.0,1.0,0.77,0.79,0.75,0.75,3469.0
2017-01-10,0.7878,0.79,0.7602,0.78,4419.0,0.0,1.0,0.7878,0.79,0.7602,0.78,4419.0
2017-01-09,0.75,0.78,0.75,0.78,10924.0,0.0,1.0,0.75,0.78,0.75,0.78,10924.0
2017-01-06,0.8,0.81,0.7,0.75,131928.0,0.0,1.0,0.8,0.81,0.7,0.75,131928.0
2017-01-05,0.7651,0.79,0.75,0.75,36288.0,0.0,1.0,0.7651,0.79,0.75,0.75,36288.0
2017-01-04,0.81,0.82,0.7,0.765,76276.0,0.0,1.0,0.81,0.82,0.7,0.765,76276.0
2017-01-03,0.6983,0.79,0.69,0.7697,52714.0,0.0,1.0,0.6983,0.79,0.69,0.7697,52714.0
