Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,3.99,4.04,3.88,3.99,1703530.0,0.0,1.0,3.99,4.04,3.88,3.99,1703530.0
2018-03-26,3.91,4.07,3.78,4.0,1932908.0,0.0,1.0,3.91,4.07,3.78,4.0,1932908.0
2018-03-23,3.89,3.99,3.86,3.88,2309999.0,0.0,1.0,3.89,3.99,3.86,3.88,2309999.0
2018-03-22,3.95,4.005,3.875,3.88,1149237.0,0.0,1.0,3.95,4.005,3.875,3.88,1149237.0
2018-03-21,3.95,4.04,3.93,3.96,1123087.0,0.0,1.0,3.95,4.04,3.93,3.96,1123087.0
2018-03-20,4.03,4.09,3.88,3.97,2614181.0,0.0,1.0,4.03,4.09,3.88,3.97,2614181.0
2018-03-19,4.28,4.3,3.97,4.03,4029715.0,0.0,1.0,4.28,4.3,3.97,4.03,4029715.0
2018-03-16,4.25,4.33,4.16,4.32,5581037.0,0.0,1.0,4.25,4.33,4.16,4.32,5581037.0
2018-03-15,4.28,4.33,4.2,4.25,1558859.0,0.0,1.0,4.28,4.33,4.2,4.25,1558859.0
2018-03-14,4.28,4.36,4.16,4.24,2205898.0,0.0,1.0,4.28,4.36,4.16,4.24,2205898.0
2018-03-13,4.26,4.4,4.23,4.28,2500421.0,0.0,1.0,4.26,4.4,4.23,4.28,2500421.0
2018-03-12,4.15,4.2852,4.11,4.25,3140351.0,0.0,1.0,4.15,4.2852,4.11,4.25,3140351.0
2018-03-09,4.2,4.23,3.96,4.15,4188486.0,0.0,1.0,4.2,4.23,3.96,4.15,4188486.0
2018-03-08,4.23,4.27,4.1,4.11,2796985.0,0.0,1.0,4.23,4.27,4.1,4.11,2796985.0
2018-03-07,4.28,4.3666,4.18,4.22,1836783.0,0.0,1.0,4.28,4.3666,4.18,4.22,1836783.0
2018-03-06,4.31,4.38,4.21,4.33,1783118.0,0.0,1.0,4.31,4.38,4.21,4.33,1783118.0
2018-03-05,4.49,4.51,4.215,4.31,2808616.0,0.0,1.0,4.49,4.51,4.215,4.31,2808616.0
2018-03-02,4.13,4.545,4.1203,4.5,3976483.0,0.0,1.0,4.13,4.545,4.1203,4.5,3976483.0
2018-03-01,4.27,4.3004,4.07,4.16,2253808.0,0.0,1.0,4.27,4.3004,4.07,4.16,2253808.0
2018-02-28,4.32,4.41,4.1,4.26,3562360.0,0.0,1.0,4.32,4.41,4.1,4.26,3562360.0
2018-02-27,4.45,4.63,4.3,4.32,3348724.0,0.0,1.0,4.45,4.63,4.3,4.32,3348724.0
2018-02-26,4.46,4.56,4.311,4.42,3761582.0,0.0,1.0,4.46,4.56,4.311,4.42,3761582.0
2018-02-23,4.08,4.525,4.05,4.42,12172810.0,0.0,1.0,4.08,4.525,4.05,4.42,12172810.0
2018-02-22,4.19,4.24,4.045,4.05,2439623.0,0.0,1.0,4.19,4.24,4.045,4.05,2439623.0
2018-02-21,4.2,4.265,4.12,4.2,2041463.0,0.0,1.0,4.2,4.265,4.12,4.2,2041463.0
2018-02-20,4.38,4.46,4.16,4.21,3590396.0,0.0,1.0,4.38,4.46,4.16,4.21,3590396.0
2018-02-16,4.43,4.5988,4.36,4.36,3437815.0,0.0,1.0,4.43,4.5988,4.36,4.36,3437815.0
2018-02-15,4.26,4.43,4.235,4.43,4987217.0,0.0,1.0,4.26,4.43,4.235,4.43,4987217.0
2018-02-14,4.83,4.9,4.08,4.18,13207728.0,0.0,1.0,4.83,4.9,4.08,4.18,13207728.0
2018-02-13,5.52,5.71,4.89,4.95,37305155.0,0.0,1.0,5.52,5.71,4.89,4.95,37305155.0
2018-02-12,4.31,4.39,4.11,4.19,2143767.0,0.0,1.0,4.31,4.39,4.11,4.19,2143767.0
2018-02-09,4.41,4.43,4.14,4.29,2967486.0,0.0,1.0,4.41,4.43,4.14,4.29,2967486.0
2018-02-08,4.17,4.49,4.149,4.33,3225045.0,0.0,1.0,4.17,4.49,4.149,4.33,3225045.0
2018-02-07,4.18,4.29,4.14,4.16,1893589.0,0.0,1.0,4.18,4.29,4.14,4.16,1893589.0
2018-02-06,4.01,4.32,3.98,4.19,2660608.0,0.0,1.0,4.01,4.32,3.98,4.19,2660608.0
2018-02-05,4.21,4.4,4.11,4.12,2991106.0,0.0,1.0,4.21,4.4,4.11,4.12,2991106.0
2018-02-02,4.15,4.27,3.94,4.25,2863227.0,0.0,1.0,4.15,4.27,3.94,4.25,2863227.0
