Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,5.48,5.5,5.19,5.34,327399.0,0.0,1.0,5.48,5.5,5.19,5.34,327399.0
2018-03-26,5.49,5.49,5.13,5.45,201771.0,0.0,1.0,5.49,5.49,5.13,5.45,201771.0
2018-03-23,5.47,5.57,5.36,5.4,219012.0,0.0,1.0,5.47,5.57,5.36,5.4,219012.0
2018-03-22,5.5,5.5323,5.35,5.47,199291.0,0.0,1.0,5.5,5.5323,5.35,5.47,199291.0
2018-03-21,5.38,5.63,5.25,5.56,179671.0,0.0,1.0,5.38,5.63,5.25,5.56,179671.0
2018-03-20,5.47,5.47,5.22,5.38,243973.0,0.0,1.0,5.47,5.47,5.22,5.38,243973.0
2018-03-19,5.8,5.93,5.27,5.46,303543.0,0.0,1.0,5.8,5.93,5.27,5.46,303543.0
2018-03-16,5.32,5.92,5.28,5.78,516702.0,0.0,1.0,5.32,5.92,5.28,5.78,516702.0
2018-03-15,5.33,5.45,5.27,5.32,164236.0,0.0,1.0,5.33,5.45,5.27,5.32,164236.0
2018-03-14,5.5,5.5,5.22,5.32,162352.0,0.0,1.0,5.5,5.5,5.22,5.32,162352.0
2018-03-13,5.16,5.5,5.12,5.48,371166.0,0.0,1.0,5.16,5.5,5.12,5.48,371166.0
2018-03-12,4.92,5.15,4.76,5.15,297148.0,0.0,1.0,4.92,5.15,4.76,5.15,297148.0
2018-03-09,4.61,4.97,4.5235,4.95,194740.0,0.0,1.0,4.61,4.97,4.5235,4.95,194740.0
2018-03-08,4.76,4.96,4.56,4.58,245470.0,0.0,1.0,4.76,4.96,4.56,4.58,245470.0
2018-03-07,4.74,4.87,4.57,4.73,368096.0,0.0,1.0,4.74,4.87,4.57,4.73,368096.0
2018-03-06,4.68,4.82,4.52,4.79,389377.0,0.0,1.0,4.68,4.82,4.52,4.79,389377.0
2018-03-05,4.27,4.63,4.27,4.57,385737.0,0.0,1.0,4.27,4.63,4.27,4.57,385737.0
2018-03-02,4.0,4.39,3.99,4.27,617730.0,0.0,1.0,4.0,4.39,3.99,4.27,617730.0
2018-03-01,4.18,4.39,3.99,4.01,653751.0,0.0,1.0,4.18,4.39,3.99,4.01,653751.0
2018-02-28,4.43,4.69,3.98,4.12,1661531.0,0.0,1.0,4.43,4.69,3.98,4.12,1661531.0
2018-02-27,4.53,4.92,4.45,4.85,440252.0,0.0,1.0,4.53,4.92,4.45,4.85,440252.0
2018-02-26,4.17,4.66,4.17,4.53,703288.0,0.0,1.0,4.17,4.66,4.17,4.53,703288.0
2018-02-23,4.29,4.3,4.12,4.25,190828.0,0.0,1.0,4.29,4.3,4.12,4.25,190828.0
2018-02-22,4.43,4.51,4.115,4.25,330106.0,0.0,1.0,4.43,4.51,4.115,4.25,330106.0
2018-02-21,4.42,4.62,4.37,4.46,149472.0,0.0,1.0,4.42,4.62,4.37,4.46,149472.0
2018-02-20,4.37,4.59,4.37,4.39,295829.0,0.0,1.0,4.37,4.59,4.37,4.39,295829.0
2018-02-16,4.74,4.81,4.46,4.49,270910.0,0.0,1.0,4.74,4.81,4.46,4.49,270910.0
2018-02-15,4.25,4.765,4.24,4.75,449870.0,0.0,1.0,4.25,4.765,4.24,4.75,449870.0
2018-02-14,4.54,4.75,4.18,4.24,602489.0,0.0,1.0,4.54,4.75,4.18,4.24,602489.0
2018-02-13,4.7,4.7965,4.54,4.56,184742.0,0.0,1.0,4.7,4.7965,4.54,4.56,184742.0
2018-02-12,4.83,4.89,4.65,4.74,180764.0,0.0,1.0,4.83,4.89,4.65,4.74,180764.0
2018-02-09,4.81,4.85,4.61,4.82,233891.0,0.0,1.0,4.81,4.85,4.61,4.82,233891.0
2018-02-08,5.13,5.13,4.76,4.79,244045.0,0.0,1.0,5.13,5.13,4.76,4.79,244045.0
2018-02-07,5.09,5.18,5.05,5.12,131206.0,0.0,1.0,5.09,5.18,5.05,5.12,131206.0
2018-02-06,4.91,5.17,4.86,5.1,295566.0,0.0,1.0,4.91,5.17,4.86,5.1,295566.0
2018-02-05,5.15,5.18,5.03,5.035,334565.0,0.0,1.0,5.15,5.18,5.03,5.035,334565.0
2018-02-02,5.13,5.37,5.12,5.15,312803.0,0.0,1.0,5.13,5.37,5.12,5.15,312803.0
2018-02-01,5.41,5.49,5.17,5.19,281205.0,0.0,1.0,5.41,5.49,5.17,5.19,281205.0
2018-01-31,5.31,5.47,5.3,5.44,403162.0,0.0,1.0,5.31,5.47,5.3,5.44,403162.0
2018-01-30,5.46,5.48,5.2212,5.3,296917.0,0.0,1.0,5.46,5.48,5.2212,5.3,296917.0
