Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,9.69,9.73,9.18,9.21,3172107.0,0.0,1.0,9.69,9.73,9.18,9.21,3172107.0
2018-03-26,9.59,9.759,9.255,9.63,3531398.0,0.0,1.0,9.59,9.759,9.255,9.63,3531398.0
2018-03-23,9.63,9.95,9.46,9.52,2220511.0,0.0,1.0,9.63,9.95,9.46,9.52,2220511.0
2018-03-22,9.64,9.84,9.35,9.62,2424262.0,0.0,1.0,9.64,9.84,9.35,9.62,2424262.0
2018-03-21,9.54,9.93,9.5083,9.82,5014494.0,0.0,1.0,9.54,9.93,9.5083,9.82,5014494.0
2018-03-20,9.59,9.68,9.36,9.43,3658836.0,0.0,1.0,9.59,9.68,9.36,9.43,3658836.0
2018-03-19,10.13,10.17,9.51,9.57,4267632.0,0.0,1.0,10.13,10.17,9.51,9.57,4267632.0
2018-03-16,10.21,10.37,10.04,10.25,4941168.0,0.0,1.0,10.21,10.37,10.04,10.25,4941168.0
2018-03-15,10.59,10.89,10.01,10.12,6336590.0,0.0,1.0,10.59,10.89,10.01,10.12,6336590.0
2018-03-14,10.8,10.92,10.58,10.61,3842534.0,0.0,1.0,10.8,10.92,10.58,10.61,3842534.0
2018-03-13,10.75,10.94,10.66,10.79,3889567.0,0.0,1.0,10.75,10.94,10.66,10.79,3889567.0
2018-03-12,10.69,10.81,10.4,10.72,3672907.0,0.0,1.0,10.69,10.81,10.4,10.72,3672907.0
2018-03-09,10.34,10.72,10.25,10.71,4203980.0,0.0,1.0,10.34,10.72,10.25,10.71,4203980.0
2018-03-08,10.3,10.46,10.15,10.17,4124328.0,0.0,1.0,10.3,10.46,10.15,10.17,4124328.0
2018-03-07,10.39,10.48,10.13,10.23,4249500.0,0.0,1.0,10.39,10.48,10.13,10.23,4249500.0
2018-03-06,10.68,10.71,10.46,10.52,3627566.0,0.0,1.0,10.68,10.71,10.46,10.52,3627566.0
2018-03-05,10.29,10.7,10.25,10.6,4265758.0,0.0,1.0,10.29,10.7,10.25,10.6,4265758.0
2018-03-02,10.05,10.47,9.72,10.42,4653757.0,0.0,1.0,10.05,10.47,9.72,10.42,4653757.0
2018-03-01,9.79,10.24,9.76,9.99,6336209.0,0.0,1.0,9.79,10.24,9.76,9.99,6336209.0
2018-02-28,9.82,10.05,9.67,9.7,5141658.0,0.0,1.0,9.82,10.05,9.67,9.7,5141658.0
2018-02-27,9.88,10.19,9.76,9.78,3881613.0,0.0,1.0,9.88,10.19,9.76,9.78,3881613.0
2018-02-26,10.08,10.1238,9.76,9.9,4185675.0,0.0,1.0,10.08,10.1238,9.76,9.9,4185675.0
2018-02-23,9.64,9.94,9.61,9.94,5627398.0,0.0,1.0,9.64,9.94,9.61,9.94,5627398.0
2018-02-22,9.18,9.92,8.81,9.6,10384722.0,0.0,1.0,9.18,9.92,8.81,9.6,10384722.0
2018-02-21,8.69,8.85,8.41,8.41,3626210.0,0.0,1.0,8.69,8.85,8.41,8.41,3626210.0
2018-02-20,8.81,8.96,8.66,8.73,2673992.0,0.0,1.0,8.81,8.96,8.66,8.73,2673992.0
2018-02-16,8.86,9.105,8.74,8.75,3457667.0,0.0,1.0,8.86,9.105,8.74,8.75,3457667.0
2018-02-15,8.53,8.94,8.48,8.81,5418099.0,0.0,1.0,8.53,8.94,8.48,8.81,5418099.0
2018-02-14,8.18,8.61,8.1102,8.52,5760367.0,0.0,1.0,8.18,8.61,8.1102,8.52,5760367.0
2018-02-13,8.44,8.66,8.27,8.29,4002934.0,0.0,1.0,8.44,8.66,8.27,8.29,4002934.0
2018-02-12,8.91,9.135,8.47,8.52,5366752.0,0.0,1.0,8.91,9.135,8.47,8.52,5366752.0
2018-02-09,8.66,8.89,8.31,8.84,7076717.0,0.0,1.0,8.66,8.89,8.31,8.84,7076717.0
2018-02-08,8.74,9.02,8.45,8.55,7199465.0,0.0,1.0,8.74,9.02,8.45,8.55,7199465.0
2018-02-07,9.11,9.42,8.65,8.7,5732003.0,0.0,1.0,9.11,9.42,8.65,8.7,5732003.0
2018-02-06,8.92,9.27,8.82,9.07,5804905.0,0.0,1.0,8.92,9.27,8.82,9.07,5804905.0
2018-02-05,9.34,9.68,9.09,9.175,5416741.0,0.0,1.0,9.34,9.68,9.09,9.175,5416741.0
2018-02-02,9.63,9.75,9.41,9.49,7059556.0,0.0,1.0,9.63,9.75,9.41,9.49,7059556.0
2018-02-01,10.19,10.21,9.77,9.78,10251414.0,0.0,1.0,10.19,10.21,9.77,9.78,10251414.0
2018-01-31,11.01,11.03,10.09,10.17,12918184.0,0.0,1.0,11.01,11.03,10.09,10.17,12918184.0
2018-01-30,11.79,11.79,10.9,11.04,13243652.0,0.0,1.0,11.79,11.79,10.9,11.04,13243652.0
2018-01-29,12.44,12.47,11.85,12.12,4101441.0,0.0,1.0,12.44,12.47,11.85,12.12,4101441.0
2018-01-26,12.53,12.84,12.4,12.53,2840408.0,0.0,1.0,12.53,12.84,12.4,12.53,2840408.0
2018-01-25,13.38,13.38,12.49,12.52,4617383.0,0.0,1.0,13.38,13.38,12.49,12.52,4617383.0
2018-01-24,13.05,13.44,13.03,13.27,5699759.0,0.0,1.0,13.05,13.44,13.03,13.27,5699759.0
2018-01-23,12.94,13.235,12.84,13.11,3070777.0,0.0,1.0,12.94,13.235,12.84,13.11,3070777.0
2018-01-22,12.33,12.66,12.3,12.65,3305763.0,0.0,1.0,12.33,12.66,12.3,12.65,3305763.0
2018-01-19,12.74,12.81,12.32,12.38,3409422.0,0.0,1.0,12.74,12.81,12.32,12.38,3409422.0
2018-01-18,12.98,13.05,12.61,12.84,1774926.0,0.0,1.0,12.98,13.05,12.61,12.84,1774926.0
2018-01-17,13.11,13.36,12.945,13.07,1880069.0,0.0,1.0,13.11,13.36,12.945,13.07,1880069.0
2018-01-16,13.28,13.44,12.98,13.1,3883971.0,0.0,1.0,13.28,13.44,12.98,13.1,3883971.0
2018-01-12,13.0,13.42,12.93,13.36,2161759.0,0.0,1.0,13.0,13.42,12.93,13.36,2161759.0
2018-01-11,12.92,13.245,12.75,13.02,3547760.0,0.0,1.0,12.92,13.245,12.75,13.02,3547760.0
2018-01-10,13.07,13.2511,12.67,12.71,2114427.0,0.0,1.0,13.07,13.2511,12.67,12.71,2114427.0
2018-01-09,12.94,13.14,12.87,13.05,2174919.0,0.0,1.0,12.94,13.14,12.87,13.05,2174919.0
2018-01-08,12.78,12.97,12.545,12.85,2428060.0,0.0,1.0,12.78,12.97,12.545,12.85,2428060.0
2018-01-05,13.25,13.26,12.64,12.74,3142976.0,0.0,1.0,13.25,13.26,12.64,12.74,3142976.0
2018-01-04,13.6,13.74,13.2,13.45,3498266.0,0.0,1.0,13.6,13.74,13.2,13.45,3498266.0
2018-01-03,13.47,13.65,13.28,13.52,3726932.0,0.0,1.0,13.47,13.65,13.28,13.52,3726932.0
2018-01-02,12.95,13.28,12.91,13.26,4621051.0,0.0,1.0,12.95,13.28,12.91,13.26,4621051.0
2017-12-29,13.23,13.23,12.75,12.76,2396020.0,0.0,1.0,13.23,13.23,12.75,12.76,2396020.0
2017-12-28,12.93,13.205,12.93,13.16,4145441.0,0.0,1.0,12.93,13.205,12.93,13.16,4145441.0
2017-12-27,12.8,12.99,12.68,12.84,2687653.0,0.0,1.0,12.8,12.99,12.68,12.84,2687653.0
2017-12-26,12.57,12.82,12.47,12.78,2089493.0,0.0,1.0,12.57,12.82,12.47,12.78,2089493.0
2017-12-22,12.61,12.8,12.5,12.53,2788157.0,0.0,1.0,12.61,12.8,12.5,12.53,2788157.0
2017-12-21,11.81,12.56,11.73,12.54,5202548.0,0.0,1.0,11.81,12.56,11.73,12.54,5202548.0
2017-12-20,12.13,12.19,11.89,12.0,4188146.0,0.0,1.0,12.13,12.19,11.89,12.0,4188146.0
2017-12-19,12.38,12.53,12.04,12.06,3438364.0,0.0,1.0,12.38,12.53,12.04,12.06,3438364.0
2017-12-18,12.2,12.68,12.18,12.34,4581217.0,0.0,1.0,12.2,12.68,12.18,12.34,4581217.0
2017-12-15,12.3,12.44,12.01,12.03,5102681.0,0.0,1.0,12.3,12.44,12.01,12.03,5102681.0
2017-12-14,12.61,12.64,12.15,12.19,3316211.0,0.0,1.0,12.61,12.64,12.15,12.19,3316211.0
2017-12-13,12.8,12.93,12.67,12.71,2966077.0,0.0,1.0,12.8,12.93,12.67,12.71,2966077.0
2017-12-12,13.22,13.2237,12.53,12.71,2923727.0,0.0,1.0,13.22,13.2237,12.53,12.71,2923727.0
2017-12-11,12.5,13.22,12.3,13.13,3104598.0,0.0,1.0,12.5,13.22,12.3,13.13,3104598.0
2017-12-08,12.51,12.73,12.34,12.46,2330311.0,0.0,1.0,12.51,12.73,12.34,12.46,2330311.0
2017-12-07,12.39,12.46,12.14,12.35,3715853.0,0.0,1.0,12.39,12.46,12.14,12.35,3715853.0
2017-12-06,12.53,12.6,12.165,12.34,3235709.0,0.0,1.0,12.53,12.6,12.165,12.34,3235709.0
2017-12-05,12.75,13.05,12.59,12.65,3003037.0,0.0,1.0,12.75,13.05,12.59,12.65,3003037.0
2017-12-04,13.11,13.29,12.76,12.77,2956935.0,0.0,1.0,13.11,13.29,12.76,12.77,2956935.0
2017-12-01,12.99,13.35,12.9311,13.15,2882846.0,0.0,1.0,12.99,13.35,12.9311,13.15,2882846.0
2017-11-30,12.64,12.93,12.54,12.8,3977629.0,0.0,1.0,12.64,12.93,12.54,12.8,3977629.0
2017-11-29,12.41,12.65,12.35,12.58,2075886.0,0.0,1.0,12.41,12.65,12.35,12.58,2075886.0
2017-11-28,12.27,12.49,12.23,12.39,2316919.0,0.0,1.0,12.27,12.49,12.23,12.39,2316919.0
2017-11-27,12.21,12.4,12.05,12.22,3243006.0,0.0,1.0,12.21,12.4,12.05,12.22,3243006.0
2017-11-24,12.66,12.66,12.22,12.22,1609355.0,0.0,1.0,12.66,12.66,12.22,12.22,1609355.0
2017-11-22,12.6,12.79,12.41,12.57,2867578.0,0.0,1.0,12.6,12.79,12.41,12.57,2867578.0
2017-11-21,12.69,12.769,12.26,12.4,2889211.0,0.0,1.0,12.69,12.769,12.26,12.4,2889211.0
2017-11-20,12.7,12.96,12.21,12.64,3548371.0,0.0,1.0,12.7,12.96,12.21,12.64,3548371.0
2017-11-17,13.01,13.415,12.9369,13.29,3228781.0,0.0,1.0,13.01,13.415,12.9369,13.29,3228781.0
2017-11-16,12.94,13.06,12.66,12.88,2144144.0,0.0,1.0,12.94,13.06,12.66,12.88,2144144.0
2017-11-15,12.54,12.99,12.17,12.94,4534816.0,0.0,1.0,12.54,12.99,12.17,12.94,4534816.0
2017-11-14,13.62,13.78,12.64,12.68,5671773.0,0.0,1.0,13.62,13.78,12.64,12.68,5671773.0
2017-11-13,14.06,14.17,13.645,13.78,4093069.0,0.0,1.0,14.06,14.17,13.645,13.78,4093069.0
2017-11-10,13.89,14.17,13.78,14.14,3511556.0,0.0,1.0,13.89,14.17,13.78,14.14,3511556.0
2017-11-09,13.65,13.98,13.61,13.94,3597195.0,0.0,1.0,13.65,13.98,13.61,13.94,3597195.0
2017-11-07,14.38,14.42,14.1242,14.18,3750128.0,0.0,1.0,14.38,14.42,14.1242,14.18,3750128.0
2017-11-06,13.45,14.37,13.45,14.35,5296175.0,0.0,1.0,13.45,14.37,13.45,14.35,5296175.0
