Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,58.71,59.34,57.81,58.14,732678.0,0.0,1.0,58.71,59.34,57.81,58.14,732678.0
2018-03-26,58.27,58.96,58.06,58.69,746047.0,0.0,1.0,58.27,58.96,58.06,58.69,746047.0
2018-03-23,58.64,58.81,57.66,57.68,698368.0,0.0,1.0,58.64,58.81,57.66,57.68,698368.0
2018-03-22,59.13,59.44,58.33,58.34,875968.0,0.0,1.0,59.13,59.44,58.33,58.34,875968.0
2018-03-21,59.94,60.18,59.48,59.51,684603.0,0.0,1.0,59.94,60.18,59.48,59.51,684603.0
2018-03-20,59.95,60.14,59.7,59.99,929108.0,0.0,1.0,59.95,60.14,59.7,59.99,929108.0
2018-03-19,59.78,60.0,59.36,59.84,874261.0,0.0,1.0,59.78,60.0,59.36,59.84,874261.0
2018-03-16,59.72,60.28,59.51,60.11,2697830.0,0.0,1.0,59.72,60.28,59.51,60.11,2697830.0
2018-03-15,60.44,60.6,59.56,59.68,869874.0,0.0,1.0,60.44,60.6,59.56,59.68,869874.0
2018-03-14,61.04,61.15,59.97,60.26,882896.0,0.0,1.0,61.04,61.15,59.97,60.26,882896.0
2018-03-13,61.5,61.78,60.91,61.15,879354.0,0.0,1.0,61.5,61.78,60.91,61.15,879354.0
2018-03-12,61.06,61.39,60.65,61.01,688836.0,0.0,1.0,61.06,61.39,60.65,61.01,688836.0
2018-03-09,60.04,61.02,59.94,60.99,946952.0,0.0,1.0,60.04,61.02,59.94,60.99,946952.0
2018-03-08,60.5,62.1162,59.57,59.89,821500.0,0.0,1.0,60.5,62.1162,59.57,59.89,821500.0
2018-03-07,59.37,60.06,59.27,59.99,897168.0,0.0,1.0,59.37,60.06,59.27,59.99,897168.0
2018-03-06,59.63,59.82,59.1,59.81,921268.0,0.0,1.0,59.63,59.82,59.1,59.81,921268.0
2018-03-05,59.01,59.8935,58.86,59.6,938102.0,0.0,1.0,59.01,59.8935,58.86,59.6,938102.0
2018-03-02,58.66,59.52,57.835,59.42,936753.0,0.0,1.0,58.66,59.52,57.835,59.42,936753.0
2018-03-01,59.15,59.795,58.27,58.86,1362992.0,0.0,1.0,59.15,59.795,58.27,58.86,1362992.0
2018-02-28,60.44,60.7,59.23,59.24,856214.0,0.0,1.0,60.44,60.7,59.23,59.24,856214.0
2018-02-27,60.48,60.76,60.05,60.22,1357470.0,0.0,1.0,60.48,60.76,60.05,60.22,1357470.0
2018-02-26,60.51,60.92,60.05,60.65,1415189.0,0.0,1.0,60.51,60.92,60.05,60.65,1415189.0
2018-02-23,60.25,60.805,59.57,60.35,1637529.0,0.0,1.0,60.25,60.805,59.57,60.35,1637529.0
2018-02-22,62.22,62.62,59.76,60.39,1955103.0,0.0,1.0,62.22,62.62,59.76,60.39,1955103.0
2018-02-21,60.86,63.19,60.06,61.865,3928739.0,0.0,1.0,60.86,63.19,60.06,61.865,3928739.0
2018-02-20,65.2,65.96,64.68,64.86,2599020.0,0.0,1.0,65.2,65.96,64.68,64.86,2599020.0
2018-02-16,64.79,65.51,64.62,65.21,1094646.0,0.0,1.0,64.79,65.51,64.62,65.21,1094646.0
2018-02-15,64.41,65.04,63.93,64.87,1277657.0,0.0,1.0,64.41,65.04,63.93,64.87,1277657.0
2018-02-14,62.19,64.2,61.6934,64.0,1040632.0,0.0,1.0,62.19,64.2,61.6934,64.0,1040632.0
2018-02-13,62.02,62.58,61.26,62.43,1067939.0,0.0,1.0,62.02,62.58,61.26,62.43,1067939.0
2018-02-12,61.56,62.4,61.54,61.97,1124355.0,0.0,1.0,61.56,62.4,61.54,61.97,1124355.0
