Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,108.75,109.16,102.301,103.34,2125727.0,0.0,1.0,108.75,109.16,102.301,103.34,2125727.0
2018-03-26,106.6,108.46,104.83,108.46,1286739.0,0.0,1.0,106.6,108.46,104.83,108.46,1286739.0
2018-03-23,105.75,107.0,104.42,104.61,2292935.0,0.0,1.0,105.75,107.0,104.42,104.61,2292935.0
2018-03-22,109.18,109.72,105.6,105.91,1767129.0,0.0,1.0,109.18,109.72,105.6,105.91,1767129.0
2018-03-21,110.79,110.89,108.91,110.02,1848847.0,0.0,1.0,110.79,110.89,108.91,110.02,1848847.0
2018-03-20,108.82,111.86,107.96,110.48,1448589.0,0.0,1.0,108.82,111.86,107.96,110.48,1448589.0
2018-03-19,107.83,109.8,106.05,108.82,1930360.0,0.0,1.0,107.83,109.8,106.05,108.82,1930360.0
2018-03-16,111.05,111.41,109.82,110.53,1638838.0,0.0,1.0,111.05,111.41,109.82,110.53,1638838.0
2018-03-15,111.15,111.919,109.3,110.89,1516058.0,0.0,1.0,111.15,111.919,109.3,110.89,1516058.0
2018-03-14,110.0,111.15,107.87,110.78,1529361.0,0.0,1.0,110.0,111.15,107.87,110.78,1529361.0
2018-03-13,110.75,112.41,108.9449,109.25,1479887.0,0.0,1.0,110.75,112.41,108.9449,109.25,1479887.0
2018-03-12,109.21,110.36,107.65,109.59,1339064.0,0.0,1.0,109.21,110.36,107.65,109.59,1339064.0
2018-03-09,107.16,108.66,106.9013,108.56,1300299.0,0.0,1.0,107.16,108.66,106.9013,108.56,1300299.0
2018-03-08,104.1,106.53,104.1,106.39,1113414.0,0.0,1.0,104.1,106.53,104.1,106.39,1113414.0
2018-03-07,101.02,104.67,100.73,104.16,1122927.0,0.0,1.0,101.02,104.67,100.73,104.16,1122927.0
2018-03-06,98.97,101.87,96.645,101.42,1586260.0,0.0,1.0,98.97,101.87,96.645,101.42,1586260.0
2018-03-05,99.18,102.65,98.41,101.98,1195991.0,0.0,1.0,99.18,102.65,98.41,101.98,1195991.0
2018-03-02,96.77,99.89,95.39,99.71,1535331.0,0.0,1.0,96.77,99.89,95.39,99.71,1535331.0
2018-03-01,99.37,100.12,94.53,97.55,2028911.0,0.0,1.0,99.37,100.12,94.53,97.55,2028911.0
2018-02-28,99.11,99.77,97.81,99.41,1146343.0,0.0,1.0,99.11,99.77,97.81,99.41,1146343.0
2018-02-27,99.19,101.03,97.18,98.92,1412054.0,0.0,1.0,99.19,101.03,97.18,98.92,1412054.0
2018-02-26,97.07,99.46,96.97,99.13,1402462.0,0.0,1.0,97.07,99.46,96.97,99.13,1402462.0
2018-02-23,98.26,98.99,96.05,96.73,1672775.0,0.0,1.0,98.26,98.99,96.05,96.73,1672775.0
2018-02-22,97.91,99.179,96.81,98.27,992354.0,0.0,1.0,97.91,99.179,96.81,98.27,992354.0
2018-02-21,97.18,99.81,97.1,97.52,1366005.0,0.0,1.0,97.18,99.81,97.1,97.52,1366005.0
2018-02-20,95.28,99.32,95.18,97.05,1600175.0,0.0,1.0,95.28,99.32,95.18,97.05,1600175.0
2018-02-16,94.18,96.58,93.885,95.93,1820833.0,0.0,1.0,94.18,96.58,93.885,95.93,1820833.0
2018-02-15,93.78,94.43,90.05,94.4,1879803.0,0.0,1.0,93.78,94.43,90.05,94.4,1879803.0
2018-02-14,87.69,93.93,87.51,93.39,2534820.0,0.0,1.0,87.69,93.93,87.51,93.39,2534820.0
2018-02-13,86.68,89.2,86.68,87.97,1220724.0,0.0,1.0,86.68,89.2,86.68,87.97,1220724.0
2018-02-12,85.2,88.78,85.1,86.7,2811009.0,0.0,1.0,85.2,88.78,85.1,86.7,2811009.0
2018-02-09,89.8,90.75,80.88,85.54,4942050.0,0.0,1.0,89.8,90.75,80.88,85.54,4942050.0
2018-02-08,84.99,94.89,84.25,89.04,13540252.0,0.0,1.0,84.99,94.89,84.25,89.04,13540252.0
2018-02-07,69.05,70.58,68.0,69.91,2629877.0,0.0,1.0,69.05,70.58,68.0,69.91,2629877.0
2018-02-06,66.59,69.43,66.07,68.9,1942044.0,0.0,1.0,66.59,69.43,66.07,68.9,1942044.0
2018-02-05,67.91,70.5,66.52,68.16,2132925.0,0.0,1.0,67.91,70.5,66.52,68.16,2132925.0
2018-02-02,72.05,72.5296,70.361,70.65,1220034.0,0.0,1.0,72.05,72.5296,70.361,70.65,1220034.0
2018-02-01,71.87,73.47,71.5,72.86,874831.0,0.0,1.0,71.87,73.47,71.5,72.86,874831.0
2018-01-31,73.27,74.05,71.94,72.25,1301022.0,0.0,1.0,73.27,74.05,71.94,72.25,1301022.0
2018-01-30,71.88,72.89,71.01,72.72,2230358.0,0.0,1.0,71.88,72.89,71.01,72.72,2230358.0
2018-01-29,76.42,77.985,75.31,75.42,1850321.0,0.0,1.0,76.42,77.985,75.31,75.42,1850321.0
2018-01-26,73.97,76.74,73.97,76.49,2025979.0,0.0,1.0,73.97,76.74,73.97,76.49,2025979.0
2018-01-25,72.58,74.05,72.2,73.4,1366506.0,0.0,1.0,72.58,74.05,72.2,73.4,1366506.0
2018-01-24,71.63,72.6,70.8,71.53,790763.0,0.0,1.0,71.63,72.6,70.8,71.53,790763.0
2018-01-23,71.85,72.0226,69.84,71.16,1150917.0,0.0,1.0,71.85,72.0226,69.84,71.16,1150917.0
2018-01-22,70.1,72.29,69.71,71.92,1247656.0,0.0,1.0,70.1,72.29,69.71,71.92,1247656.0
2018-01-19,70.48,70.54,68.2,70.03,1280006.0,0.0,1.0,70.48,70.54,68.2,70.03,1280006.0
2018-01-18,70.9,71.51,70.22,70.34,733066.0,0.0,1.0,70.9,71.51,70.22,70.34,733066.0
2018-01-17,70.18,71.05,69.24,70.8,1109089.0,0.0,1.0,70.18,71.05,69.24,70.8,1109089.0
2018-01-16,71.3,71.51,69.47,69.84,1337176.0,0.0,1.0,71.3,71.51,69.47,69.84,1337176.0
2018-01-12,68.74,70.82,68.6,70.61,1542853.0,0.0,1.0,68.74,70.82,68.6,70.61,1542853.0
2018-01-11,66.66,68.22,66.31,68.22,1172259.0,0.0,1.0,66.66,68.22,66.31,68.22,1172259.0
2018-01-10,68.53,69.14,66.2821,66.53,2624054.0,0.0,1.0,68.53,69.14,66.2821,66.53,2624054.0
2018-01-09,71.54,71.79899999999999,68.71,69.16,2595591.0,0.0,1.0,71.54,71.79899999999999,68.71,69.16,2595591.0
2018-01-08,71.5,72.1,70.82,71.36,1182346.0,0.0,1.0,71.5,72.1,70.82,71.36,1182346.0
2018-01-05,72.43,73.02,71.3796,72.97,1363945.0,0.0,1.0,72.43,73.02,71.3796,72.97,1363945.0
2018-01-04,71.93,72.6,70.99,71.88,1050310.0,0.0,1.0,71.93,72.6,70.99,71.88,1050310.0
2018-01-03,71.45,71.78,70.91,71.32,902755.0,0.0,1.0,71.45,71.78,70.91,71.32,902755.0
2018-01-02,71.54,72.01,70.26,71.26,1590285.0,0.0,1.0,71.54,72.01,70.26,71.26,1590285.0
2017-12-29,72.6,72.77,71.3,71.8,862843.0,0.0,1.0,72.6,72.77,71.3,71.8,862843.0
2017-12-28,73.24,73.5395,72.05,72.19,555959.0,0.0,1.0,73.24,73.5395,72.05,72.19,555959.0
2017-12-27,72.19,73.62,71.66,73.14,498993.0,0.0,1.0,72.19,73.62,71.66,73.14,498993.0
2017-12-26,71.4,72.26,70.11,72.22,568219.0,0.0,1.0,71.4,72.26,70.11,72.22,568219.0
2017-12-22,71.57,72.1,71.03,71.74,681635.0,0.0,1.0,71.57,72.1,71.03,71.74,681635.0
2017-12-21,73.65,74.1,71.09,71.44,1338071.0,0.0,1.0,73.65,74.1,71.09,71.44,1338071.0
2017-12-20,73.78,74.805,73.33,74.09,990778.0,0.0,1.0,73.78,74.805,73.33,74.09,990778.0
2017-12-19,73.57,73.66,72.64,73.18,647420.0,0.0,1.0,73.57,73.66,72.64,73.18,647420.0
2017-12-18,72.76,73.67,72.4,73.66,997794.0,0.0,1.0,72.76,73.67,72.4,73.66,997794.0
2017-12-15,71.885,73.32,71.49,72.3,4854333.0,0.0,1.0,71.885,73.32,71.49,72.3,4854333.0
2017-12-14,72.16,72.55,70.91,71.54,1078481.0,0.0,1.0,72.16,72.55,70.91,71.54,1078481.0
2017-12-13,70.05,71.66,69.96,71.41,1025100.0,0.0,1.0,70.05,71.66,69.96,71.41,1025100.0
2017-12-12,70.26,71.22,69.71,69.83,834511.0,0.0,1.0,70.26,71.22,69.71,69.83,834511.0
2017-12-11,69.9,70.74,69.43,70.34,1753937.0,0.0,1.0,69.9,70.74,69.43,70.34,1753937.0
2017-12-08,69.65,70.15,68.1,68.22,1112576.0,0.0,1.0,69.65,70.15,68.1,68.22,1112576.0
2017-12-07,68.38,69.55,68.15,68.94,607652.0,0.0,1.0,68.38,69.55,68.15,68.94,607652.0
2017-12-06,67.58,68.84,67.105,68.42,646559.0,0.0,1.0,67.58,68.84,67.105,68.42,646559.0
2017-12-05,66.54,67.76,66.31,67.58,860994.0,0.0,1.0,66.54,67.76,66.31,67.58,860994.0
2017-12-04,67.45,68.08,65.15,66.94,1500500.0,0.0,1.0,67.45,68.08,65.15,66.94,1500500.0
2017-12-01,67.31,68.12,65.4701,66.6,1581188.0,0.0,1.0,67.31,68.12,65.4701,66.6,1581188.0
2017-11-30,66.32,67.68,65.14,67.56,1422144.0,0.0,1.0,66.32,67.68,65.14,67.56,1422144.0
2017-11-29,68.39,68.67,65.35,66.2,1760823.0,0.0,1.0,68.39,68.67,65.35,66.2,1760823.0
2017-11-28,68.7,68.84,67.222,68.23,1439215.0,0.0,1.0,68.7,68.84,67.222,68.23,1439215.0
2017-11-27,68.73,69.82,68.21,68.59,1053091.0,0.0,1.0,68.73,69.82,68.21,68.59,1053091.0
2017-11-24,68.04,69.05,68.04,68.58,656142.0,0.0,1.0,68.04,69.05,68.04,68.58,656142.0
2017-11-22,66.8,67.84,66.5,67.7,1108476.0,0.0,1.0,66.8,67.84,66.5,67.7,1108476.0
2017-11-21,65.69,66.99,65.64,66.79,993552.0,0.0,1.0,65.69,66.99,65.64,66.79,993552.0
2017-11-20,65.0,65.08,64.38,65.03,631274.0,0.0,1.0,65.0,65.08,64.38,65.03,631274.0
2017-11-17,64.33,64.99,64.2,64.7,631418.0,0.0,1.0,64.33,64.99,64.2,64.7,631418.0
2017-11-16,63.44,64.87,63.1,64.51,1279030.0,0.0,1.0,63.44,64.87,63.1,64.51,1279030.0
2017-11-15,62.41,63.41,61.75,62.99,660741.0,0.0,1.0,62.41,63.41,61.75,62.99,660741.0
