Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,19.6,19.62,19.36,19.39,127684.0,0.0,1.0,19.6,19.62,19.36,19.39,127684.0
2018-03-26,19.62,19.7699,19.42,19.54,102334.0,0.0,1.0,19.62,19.7699,19.42,19.54,102334.0
2018-03-23,19.85,19.9094,19.42,19.44,86330.0,0.0,1.0,19.85,19.9094,19.42,19.44,86330.0
2018-03-22,19.25,19.83,19.25,19.78,128305.0,0.0,1.0,19.25,19.83,19.25,19.78,128305.0
2018-03-21,19.37,19.4499,19.14,19.34,179680.0,0.0,1.0,19.37,19.4499,19.14,19.34,179680.0
2018-03-20,19.49,19.5,19.27,19.3,130561.0,0.0,1.0,19.49,19.5,19.27,19.3,130561.0
2018-03-19,19.67,19.74,19.35,19.46,141644.0,0.0,1.0,19.67,19.74,19.35,19.46,141644.0
2018-03-16,19.73,19.7412,19.56,19.56,214479.0,0.0,1.0,19.73,19.7412,19.56,19.56,214479.0
2018-03-15,20.12,20.12,19.65,19.65,172052.0,0.0,1.0,20.12,20.12,19.65,19.65,172052.0
2018-03-14,19.98,20.15,19.98,20.08,155286.0,0.0,1.0,19.98,20.15,19.98,20.08,155286.0
2018-03-13,20.06,20.19,19.67,20.0,207498.0,0.0,1.0,20.06,20.19,19.67,20.0,207498.0
2018-03-12,19.62,20.18,19.32,20.06,289064.0,0.0,1.0,19.62,20.18,19.32,20.06,289064.0
2018-03-09,19.75,19.75,19.57,19.63,113200.0,0.0,1.0,19.75,19.75,19.57,19.63,113200.0
2018-03-08,19.56,19.66,19.5,19.63,113842.0,0.0,1.0,19.56,19.66,19.5,19.63,113842.0
2018-03-07,19.7,19.78,19.43,19.55,128434.0,0.0,1.0,19.7,19.78,19.43,19.55,128434.0
2018-03-06,19.8,19.93,19.61,19.81,98521.0,0.0,1.0,19.8,19.93,19.61,19.81,98521.0
2018-03-05,19.31,19.87,19.31,19.78,528449.0,0.0,1.0,19.31,19.87,19.31,19.78,528449.0
2018-03-02,19.35,19.51,19.26,19.39,337432.0,0.0,1.0,19.35,19.51,19.26,19.39,337432.0
