Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,19.46,19.5,18.76,18.85,948519.0,0.0,1.0,19.46,19.5,18.76,18.85,948519.0
2018-03-26,19.04,19.47,18.63,19.43,1307378.0,0.0,1.0,19.04,19.47,18.63,19.43,1307378.0
2018-03-23,20.3,20.37,18.51,18.59,1539329.0,0.0,1.0,20.3,20.37,18.51,18.59,1539329.0
2018-03-22,20.82,20.91,20.37,20.38,833940.0,0.0,1.0,20.82,20.91,20.37,20.38,833940.0
2018-03-21,21.08,21.41,20.9,20.94,905362.0,0.0,1.0,21.08,21.41,20.9,20.94,905362.0
2018-03-20,20.91,21.48,20.85,21.2,902654.0,0.0,1.0,20.91,21.48,20.85,21.2,902654.0
2018-03-19,20.63,21.07,20.58,20.82,1152039.0,0.0,1.0,20.63,21.07,20.58,20.82,1152039.0
2018-03-16,20.88,20.95,20.4899,20.62,1459391.0,0.0,1.0,20.88,20.95,20.4899,20.62,1459391.0
2018-03-15,21.2,21.309,20.78,20.91,601611.0,0.0,1.0,21.2,21.309,20.78,20.91,601611.0
2018-03-14,21.08,21.22,20.84,21.05,949703.0,0.0,1.0,21.08,21.22,20.84,21.05,949703.0
2018-03-13,21.07,21.36,20.74,20.94,1705455.0,0.0,1.0,21.07,21.36,20.74,20.94,1705455.0
2018-03-12,20.7,21.02,20.58,20.88,1102050.0,0.0,1.0,20.7,21.02,20.58,20.88,1102050.0
2018-03-09,20.66,20.9,20.59,20.615,702765.0,0.0,1.0,20.66,20.9,20.59,20.615,702765.0
2018-03-08,20.18,20.73,20.06,20.53,817310.0,0.0,1.0,20.18,20.73,20.06,20.53,817310.0
2018-03-07,19.85,20.23,19.8,20.07,904807.0,0.0,1.0,19.85,20.23,19.8,20.07,904807.0
2018-03-06,19.85,20.155,19.65,20.11,1130865.0,0.0,1.0,19.85,20.155,19.65,20.11,1130865.0
2018-03-05,19.87,20.0,19.5,19.8,752397.0,0.0,1.0,19.87,20.0,19.5,19.8,752397.0
2018-03-02,19.53,20.0,19.36,19.9,1040639.0,0.0,1.0,19.53,20.0,19.36,19.9,1040639.0
2018-03-01,19.63,19.96,19.38,19.81,897409.0,0.0,1.0,19.63,19.96,19.38,19.81,897409.0
2018-02-28,19.88,20.32,19.66,19.66,1121779.0,0.0,1.0,19.88,20.32,19.66,19.66,1121779.0
2018-02-27,19.93,20.2599,19.69,19.9,718679.0,0.0,1.0,19.93,20.2599,19.69,19.9,718679.0
