Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,52.25,52.35,50.1,50.6,476554.0,0.0,1.0,52.25,52.35,50.1,50.6,476554.0
2018-03-26,51.25,52.275,50.25,52.2,1198213.0,0.0,1.0,51.25,52.275,50.25,52.2,1198213.0
2018-03-23,52.5,52.6,50.3,50.4,484390.0,0.0,1.0,52.5,52.6,50.3,50.4,484390.0
2018-03-22,54.0,54.39,52.1,52.225,543660.0,0.0,1.0,54.0,54.39,52.1,52.225,543660.0
2018-03-21,54.7,55.1,54.25,54.45,563702.0,0.0,1.0,54.7,55.1,54.25,54.45,563702.0
2018-03-20,55.05,55.25,54.5,54.6,428515.0,0.0,1.0,55.05,55.25,54.5,54.6,428515.0
2018-03-19,55.45,55.7,54.25,54.85,513209.0,0.0,1.0,55.45,55.7,54.25,54.85,513209.0
2018-03-16,55.3,56.4,55.3,55.65,1452632.0,0.0,1.0,55.3,56.4,55.3,55.65,1452632.0
2018-03-15,54.9,55.35,54.55,55.3,470869.0,0.0,1.0,54.9,55.35,54.55,55.3,470869.0
2018-03-14,55.7,56.1,54.375,54.65,469385.0,0.0,1.0,55.7,56.1,54.375,54.65,469385.0
2018-03-13,55.95,56.1,55.3,55.7,431412.0,0.0,1.0,55.95,56.1,55.3,55.7,431412.0
2018-03-12,55.65,55.95,55.225,55.75,368527.0,0.0,1.0,55.65,55.95,55.225,55.75,368527.0
2018-03-09,55.2,55.7,54.65,55.65,326681.0,0.0,1.0,55.2,55.7,54.65,55.65,326681.0
2018-03-08,55.35,55.6,53.8,54.45,310102.0,0.0,1.0,55.35,55.6,53.8,54.45,310102.0
2018-03-07,53.75,55.375,53.75,55.1,668291.0,0.0,1.0,53.75,55.375,53.75,55.1,668291.0
2018-03-06,53.75,54.4,53.0,54.3,385546.0,0.0,1.0,53.75,54.4,53.0,54.3,385546.0
2018-03-05,52.25,53.75,51.55,53.5,533018.0,0.0,1.0,52.25,53.75,51.55,53.5,533018.0
2018-03-02,50.95,52.9,50.65,52.7,653663.0,0.24,1.0,50.95,52.9,50.65,52.7,653663.0
2018-03-01,51.6,52.3,51.1,51.7,504866.0,0.0,1.0,51.3660748017,52.0629013978,50.8683415187,51.4656214583,504866.0
2018-02-28,52.6,53.025,51.65,51.7,504001.0,0.0,1.0,52.6,53.025,51.65,51.7,504001.0
2018-02-27,53.55,54.35,52.3,52.3,562364.0,0.0,1.0,53.55,54.35,52.3,52.3,562364.0
2018-02-26,53.6,53.875,52.7,53.8,825518.0,0.0,1.0,53.6,53.875,52.7,53.8,825518.0
