Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,39.63,39.85,37.86,38.22,233436.0,0.0,1.0,39.63,39.85,37.86,38.22,233436.0
2018-03-26,39.32,39.55,38.6483,39.37,398357.0,0.0,1.0,39.32,39.55,38.6483,39.37,398357.0
2018-03-23,40.0,40.17,38.58,38.59,189209.0,0.0,1.0,40.0,40.17,38.58,38.59,189209.0
2018-03-22,41.41,41.41,39.83,39.85,233661.0,0.0,1.0,41.41,41.41,39.83,39.85,233661.0
2018-03-21,40.81,42.37,40.5,41.81,203248.0,0.0,1.0,40.81,42.37,40.5,41.81,203248.0
2018-03-20,40.94,41.7,40.76,40.82,225871.0,0.0,1.0,40.94,41.7,40.76,40.82,225871.0
2018-03-19,40.76,41.07899999999999,39.95,40.85,188550.0,0.0,1.0,40.76,41.07899999999999,39.95,40.85,188550.0
2018-03-16,40.16,41.19,40.0583,40.89,364431.0,0.0,1.0,40.16,41.19,40.0583,40.89,364431.0
2018-03-15,40.93,40.9888,39.9225,40.26,243417.0,0.0,1.0,40.93,40.9888,39.9225,40.26,243417.0
2018-03-14,41.92,41.92,40.68,40.78,254699.0,0.0,1.0,41.92,41.92,40.68,40.78,254699.0
2018-03-13,42.09,42.74,41.75,41.9,479899.0,0.0,1.0,42.09,42.74,41.75,41.9,479899.0
2018-03-12,43.28,43.3275,41.48,41.72,335283.0,0.0,1.0,43.28,43.3275,41.48,41.72,335283.0
2018-03-09,42.77,43.36,42.54,43.02,381276.0,0.0,1.0,42.77,43.36,42.54,43.02,381276.0
2018-03-08,42.95,43.47,41.84,42.52,281684.0,0.0,1.0,42.95,43.47,41.84,42.52,281684.0
2018-03-07,43.66,44.24,42.12,42.91,393399.0,0.0,1.0,43.66,44.24,42.12,42.91,393399.0
2018-03-06,42.0,44.07,41.5,44.07,747565.0,0.0,1.0,42.0,44.07,41.5,44.07,747565.0
2018-03-05,40.02,42.06,39.33,41.93,733670.0,0.0,1.0,40.02,42.06,39.33,41.93,733670.0
2018-03-02,38.67,41.04,38.391,40.18,760696.0,0.0,1.0,38.67,41.04,38.391,40.18,760696.0
2018-03-01,37.6,38.81,36.87,38.57,461438.0,0.0,1.0,37.6,38.81,36.87,38.57,461438.0
2018-02-28,40.01,40.2337,37.62,37.69,317843.0,0.0,1.0,40.01,40.2337,37.62,37.69,317843.0
2018-02-27,38.24,40.4,37.59,39.98,401846.0,0.0,1.0,38.24,40.4,37.59,39.98,401846.0
2018-02-26,39.02,39.02,37.73,38.26,226106.0,0.0,1.0,39.02,39.02,37.73,38.26,226106.0
2018-02-23,38.2,39.69,38.2,38.98,302897.0,0.0,1.0,38.2,39.69,38.2,38.98,302897.0
2018-02-22,37.93,39.0007,36.76,37.89,236608.0,0.0,1.0,37.93,39.0007,36.76,37.89,236608.0
2018-02-21,36.68,37.77,36.54,36.87,213043.0,0.0,1.0,36.68,37.77,36.54,36.87,213043.0
2018-02-20,36.69,37.5999,36.3532,36.85,159053.0,0.0,1.0,36.69,37.5999,36.3532,36.85,159053.0
2018-02-16,36.53,37.92,36.5201,37.0,205047.0,0.0,1.0,36.53,37.92,36.5201,37.0,205047.0
2018-02-15,36.51,36.51,35.2801,36.08,187604.0,0.0,1.0,36.51,36.51,35.2801,36.08,187604.0
2018-02-14,35.53,36.42,35.53,36.17,138156.0,0.0,1.0,35.53,36.42,35.53,36.17,138156.0
2018-02-13,35.37,36.45,35.31,35.96,229647.0,0.0,1.0,35.37,36.45,35.31,35.96,229647.0
2018-02-12,35.54,36.0,34.66,35.63,217846.0,0.0,1.0,35.54,36.0,34.66,35.63,217846.0
2018-02-09,36.35,36.6,34.11,35.18,324859.0,0.0,1.0,36.35,36.6,34.11,35.18,324859.0
2018-02-08,37.43,38.18,35.82,35.82,209195.0,0.0,1.0,37.43,38.18,35.82,35.82,209195.0
2018-02-07,36.66,37.845,36.4306,37.42,170793.0,0.0,1.0,36.66,37.845,36.4306,37.42,170793.0
2018-02-06,34.9,37.27,34.5001,36.8,306415.0,0.0,1.0,34.9,37.27,34.5001,36.8,306415.0
2018-02-05,36.65,37.93,35.64,35.97,307847.0,0.0,1.0,36.65,37.93,35.64,35.97,307847.0
2018-02-02,39.08,39.38,36.9,37.29,398244.0,0.0,1.0,39.08,39.38,36.9,37.29,398244.0
2018-02-01,39.19,40.05,38.97,39.45,147732.0,0.0,1.0,39.19,40.05,38.97,39.45,147732.0
2018-01-31,40.46,41.3006,39.3,39.38,119752.0,0.0,1.0,40.46,41.3006,39.3,39.38,119752.0
2018-01-30,39.66,40.37,39.37,40.27,148891.0,0.0,1.0,39.66,40.37,39.37,40.27,148891.0
2018-01-29,41.22,41.72,40.18,40.21,151596.0,0.0,1.0,41.22,41.72,40.18,40.21,151596.0
2018-01-26,40.93,41.35,40.6,41.2,118397.0,0.0,1.0,40.93,41.35,40.6,41.2,118397.0
2018-01-25,40.72,41.0,40.21,40.7,188485.0,0.0,1.0,40.72,41.0,40.21,40.7,188485.0
2018-01-24,41.28,41.3,40.3,40.66,238577.0,0.0,1.0,41.28,41.3,40.3,40.66,238577.0
2018-01-23,41.26,41.446999999999996,40.13,41.01,219669.0,0.0,1.0,41.26,41.446999999999996,40.13,41.01,219669.0
2018-01-22,40.57,41.5,40.35,41.5,243523.0,0.0,1.0,40.57,41.5,40.35,41.5,243523.0
2018-01-19,39.46,40.72,39.46,40.62,149922.0,0.0,1.0,39.46,40.72,39.46,40.62,149922.0
2018-01-18,39.57,39.99,38.77,39.36,246130.0,0.0,1.0,39.57,39.99,38.77,39.36,246130.0
2018-01-17,40.1,40.215,39.33,39.76,313162.0,0.0,1.0,40.1,40.215,39.33,39.76,313162.0
2018-01-16,41.16,41.44,39.79,40.01,226809.0,0.0,1.0,41.16,41.44,39.79,40.01,226809.0
2018-01-12,41.0,41.32,40.61,40.82,218056.0,0.0,1.0,41.0,41.32,40.61,40.82,218056.0
2018-01-11,39.42,40.9,38.5981,40.89,251291.0,0.0,1.0,39.42,40.9,38.5981,40.89,251291.0
2018-01-10,39.14,39.46,38.6501,39.01,188417.0,0.0,1.0,39.14,39.46,38.6501,39.01,188417.0
2018-01-09,39.18,39.58,38.64,38.99,339428.0,0.0,1.0,39.18,39.58,38.64,38.99,339428.0
2018-01-08,38.67,39.19,38.2,38.85,212282.0,0.0,1.0,38.67,39.19,38.2,38.85,212282.0
2018-01-05,39.29,39.91,38.3,38.68,215829.0,0.0,1.0,39.29,39.91,38.3,38.68,215829.0
2018-01-04,38.18,39.31,37.881,39.22,351445.0,0.0,1.0,38.18,39.31,37.881,39.22,351445.0
2018-01-03,39.07,39.78,38.19,38.2,468824.0,0.0,1.0,39.07,39.78,38.19,38.2,468824.0
2018-01-02,40.83,41.06,38.36,39.08,458192.0,0.0,1.0,40.83,41.06,38.36,39.08,458192.0
2017-12-29,40.38,40.83,39.85,40.65,415893.0,0.0,1.0,40.38,40.83,39.85,40.65,415893.0
2017-12-28,40.05,40.47,39.7828,40.14,190712.0,0.0,1.0,40.05,40.47,39.7828,40.14,190712.0
2017-12-27,39.75,40.445,39.52,39.88,163451.0,0.0,1.0,39.75,40.445,39.52,39.88,163451.0
2017-12-26,39.38,39.9,39.13,39.7,156088.0,0.0,1.0,39.38,39.9,39.13,39.7,156088.0
2017-12-22,40.1,40.1,39.32,39.5,180876.0,0.0,1.0,40.1,40.1,39.32,39.5,180876.0
2017-12-21,39.81,40.24,39.1,39.94,311832.0,0.0,1.0,39.81,40.24,39.1,39.94,311832.0
2017-12-20,39.62,39.66,39.11,39.63,209005.0,0.0,1.0,39.62,39.66,39.11,39.63,209005.0
2017-12-19,39.74,40.12,39.12,39.17,208787.0,0.0,1.0,39.74,40.12,39.12,39.17,208787.0
2017-12-18,39.47,39.91,39.0,39.74,267281.0,0.0,1.0,39.47,39.91,39.0,39.74,267281.0
2017-12-15,38.35,38.66,37.89,38.35,463140.0,0.0,1.0,38.35,38.66,37.89,38.35,463140.0
2017-12-14,38.52,38.85,38.05,38.19,253771.0,0.0,1.0,38.52,38.85,38.05,38.19,253771.0
2017-12-13,38.12,38.66,38.0,38.51,384563.0,0.0,1.0,38.12,38.66,38.0,38.51,384563.0
2017-12-12,37.78,38.17,37.7,38.02,281270.0,0.0,1.0,37.78,38.17,37.7,38.02,281270.0
2017-12-11,37.29,38.19,37.29,37.7,552085.0,0.0,1.0,37.29,38.19,37.29,37.7,552085.0
2017-12-08,37.11,37.38,36.59,37.28,207249.0,0.0,1.0,37.11,37.38,36.59,37.28,207249.0
2017-12-07,36.01,36.91,36.01,36.73,255325.0,0.0,1.0,36.01,36.91,36.01,36.73,255325.0
2017-12-06,36.24,36.9968,35.585,35.87,156570.0,0.0,1.0,36.24,36.9968,35.585,35.87,156570.0
2017-12-05,36.68,37.135,36.43,36.46,172129.0,0.0,1.0,36.68,37.135,36.43,36.46,172129.0
2017-12-04,37.46,37.98,36.62,36.68,364316.0,0.0,1.0,37.46,37.98,36.62,36.68,364316.0
2017-12-01,37.3,37.3,35.4,36.85,279894.0,0.0,1.0,37.3,37.3,35.4,36.85,279894.0
2017-11-30,37.17,37.77,36.89,37.19,350591.0,0.0,1.0,37.17,37.77,36.89,37.19,350591.0
2017-11-29,36.67,37.29,36.521,37.0,232654.0,0.0,1.0,36.67,37.29,36.521,37.0,232654.0
2017-11-28,35.95,36.72,35.93,36.67,203685.0,0.0,1.0,35.95,36.72,35.93,36.67,203685.0
2017-11-27,36.08,36.3563,35.569,35.91,318676.0,0.0,1.0,36.08,36.3563,35.569,35.91,318676.0
2017-11-24,36.41,36.6845,35.68,36.07,76032.0,0.0,1.0,36.41,36.6845,35.68,36.07,76032.0
2017-11-22,36.84,37.23,36.02,36.21,373870.0,0.0,1.0,36.84,37.23,36.02,36.21,373870.0
2017-11-21,35.49,36.44,35.4692,36.36,350372.0,0.0,1.0,35.49,36.44,35.4692,36.36,350372.0
2017-11-20,34.56,35.0,34.0,34.76,364571.0,0.0,1.0,34.56,35.0,34.0,34.76,364571.0
2017-11-17,34.41,35.0,33.99,34.6,342523.0,0.275,1.0,34.41,35.0,33.99,34.6,342523.0
2017-11-16,33.35,35.185,33.17,34.73,525383.0,0.0,1.0,33.087025089606,34.907555555556,32.908444444444,34.456143369176004,525383.0
2017-11-15,32.85,33.235,32.57,33.09,260673.0,0.0,1.0,32.590967741935,32.972931899642,32.31317562724001,32.829075268817,260673.0
2017-11-14,33.66,34.2,32.9,33.32,166152.0,0.0,1.0,33.394580645161,33.930322580645,32.640573476703,33.057261648746,166152.0
2017-11-13,33.73,34.28,33.351,34.04,217143.0,0.0,1.0,33.464028673835,34.009691756272,33.088017204300996,33.771584229390996,217143.0
2017-11-10,33.91,34.19,33.6106,33.86,124609.0,0.0,1.0,33.642609318996,33.920401433692,33.345570179211,33.593003584229,124609.0
2017-11-09,33.58,34.46,33.58,34.04,235724.0,0.0,1.0,33.315211469534,34.188272401434,33.315211469534,33.771584229390996,235724.0
2017-11-07,33.81,34.4,33.6,33.96,260888.0,0.0,1.0,33.543397849461996,34.128745519713,33.335053763441,33.692215053763,260888.0
2017-11-06,33.15,34.03,32.98,33.96,449626.0,0.0,1.0,32.888602150538,33.761663082437,32.71994265233,33.692215053763,449626.0
2017-11-03,33.7,33.701,33.04,33.15,270492.0,0.0,1.0,33.434265232975,33.43525734767,32.77946953405,32.888602150538,270492.0
