Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,23.6,23.6,22.35,22.55,543679.0,0.0,1.0,23.6,23.6,22.35,22.55,543679.0
2018-03-26,22.55,23.7,22.55,23.5,738840.0,0.0,1.0,22.55,23.7,22.55,23.5,738840.0
2018-03-23,22.5,23.05,22.15,22.2,592911.0,0.0,1.0,22.5,23.05,22.15,22.2,592911.0
2018-03-22,22.45,22.85,22.15,22.5,548641.0,0.0,1.0,22.45,22.85,22.15,22.5,548641.0
2018-03-21,21.8,23.15,21.4,22.65,704711.0,0.0,1.0,21.8,23.15,21.4,22.65,704711.0
2018-03-20,23.25,23.275,21.35,21.85,803911.0,0.0,1.0,23.25,23.275,21.35,21.85,803911.0
2018-03-19,22.0,23.25,21.75,23.25,1150790.0,0.0,1.0,22.0,23.25,21.75,23.25,1150790.0
2018-03-16,19.5,24.05,19.15,21.95,3949836.0,0.0,1.0,19.5,24.05,19.15,21.95,3949836.0
2018-03-15,22.75,23.4,22.0,22.5,1132901.0,0.0,1.0,22.75,23.4,22.0,22.5,1132901.0
2018-03-14,22.75,23.35,22.5,22.7,620406.0,0.0,1.0,22.75,23.35,22.5,22.7,620406.0
2018-03-13,22.45,23.0,21.5,22.65,1391510.0,0.0,1.0,22.45,23.0,21.5,22.65,1391510.0
2018-03-12,22.75,23.55,22.4,22.45,1020451.0,0.0,1.0,22.75,23.55,22.4,22.45,1020451.0
2018-03-09,23.25,23.625,22.65,22.85,721371.0,0.0,1.0,23.25,23.625,22.65,22.85,721371.0
2018-03-08,25.35,25.35,22.95,23.05,779541.0,0.0,1.0,25.35,25.35,22.95,23.05,779541.0
2018-03-07,25.1,25.775,24.875,25.15,917218.0,0.0,1.0,25.1,25.775,24.875,25.15,917218.0
2018-03-06,24.9,26.35,24.525,25.45,855163.0,0.0,1.0,24.9,26.35,24.525,25.45,855163.0
2018-03-05,24.7,25.0,24.25,24.8,287456.0,0.0,1.0,24.7,25.0,24.25,24.8,287456.0
2018-03-02,24.9,24.925,23.875,24.8,575032.0,0.0,1.0,24.9,24.925,23.875,24.8,575032.0
2018-03-01,25.85,25.9,24.805,25.3,818691.0,0.0,1.0,25.85,25.9,24.805,25.3,818691.0
2018-02-28,24.7,25.95,24.7,25.75,1139081.0,0.0,1.0,24.7,25.95,24.7,25.75,1139081.0
2018-02-27,25.1,26.0,24.65,24.7,1429447.0,0.0,1.0,25.1,26.0,24.65,24.7,1429447.0
2018-02-26,26.35,26.35,23.9,24.7,1293880.0,0.0,1.0,26.35,26.35,23.9,24.7,1293880.0
2018-02-23,25.05,25.6,24.75,25.25,328900.0,0.0,1.0,25.05,25.6,24.75,25.25,328900.0
2018-02-22,24.65,25.275,24.45,25.0,412856.0,0.0,1.0,24.65,25.275,24.45,25.0,412856.0
2018-02-21,24.35,25.3,24.35,24.5,424567.0,0.0,1.0,24.35,25.3,24.35,24.5,424567.0
2018-02-20,24.75,25.15,24.15,24.15,528550.0,0.0,1.0,24.75,25.15,24.15,24.15,528550.0
2018-02-16,25.4,25.775,24.8,25.0,389344.0,0.0,1.0,25.4,25.775,24.8,25.0,389344.0
2018-02-15,26.0,26.241,25.1,25.45,314398.0,0.0,1.0,26.0,26.241,25.1,25.45,314398.0
2018-02-14,24.55,25.95,24.3,25.75,517077.0,0.0,1.0,24.55,25.95,24.3,25.75,517077.0
2018-02-13,24.4,24.9,24.35,24.75,519270.0,0.0,1.0,24.4,24.9,24.35,24.75,519270.0
2018-02-12,24.6,24.75,23.75,24.6,649656.0,0.0,1.0,24.6,24.75,23.75,24.6,649656.0
2018-02-09,24.75,24.95,23.65,24.4,1269862.0,0.0,1.0,24.75,24.95,23.65,24.4,1269862.0
2018-02-08,24.25,24.65,23.5,24.4,935718.0,0.0,1.0,24.25,24.65,23.5,24.4,935718.0
2018-02-07,23.1,24.2,22.5,24.0,852529.0,0.0,1.0,23.1,24.2,22.5,24.0,852529.0
2018-02-06,21.0,22.8,20.8466,22.65,781197.0,0.0,1.0,21.0,22.8,20.8466,22.65,781197.0
2018-02-05,21.8,22.9,21.4,21.6,791342.0,0.0,1.0,21.8,22.9,21.4,21.6,791342.0
2018-02-02,22.55,22.75,21.9,22.15,566868.0,0.0,1.0,22.55,22.75,21.9,22.15,566868.0
2018-02-01,22.4,22.9,21.9,22.8,575382.0,0.0,1.0,22.4,22.9,21.9,22.8,575382.0
2018-01-31,23.45,23.6,22.3,22.6,671562.0,0.0,1.0,23.45,23.6,22.3,22.6,671562.0
2018-01-30,23.8,24.15,22.9,23.2,787364.0,0.0,1.0,23.8,24.15,22.9,23.2,787364.0
2018-01-29,24.75,24.9,23.9,24.05,561329.0,0.0,1.0,24.75,24.9,23.9,24.05,561329.0
2018-01-26,24.7,25.0,24.35,24.95,349745.0,0.0,1.0,24.7,25.0,24.35,24.95,349745.0
2018-01-25,25.15,25.35,24.4,24.65,362012.0,0.0,1.0,25.15,25.35,24.4,24.65,362012.0
2018-01-24,25.55,25.748,24.694000000000003,25.0,611670.0,0.0,1.0,25.55,25.748,24.694000000000003,25.0,611670.0
2018-01-23,26.25,26.25,25.0,25.5,565990.0,0.0,1.0,26.25,26.25,25.0,25.5,565990.0
2018-01-22,25.6,26.1,25.0,26.1,577498.0,0.0,1.0,25.6,26.1,25.0,26.1,577498.0
2018-01-19,25.05,25.75,24.5,25.45,737083.0,0.0,1.0,25.05,25.75,24.5,25.45,737083.0
2018-01-18,24.8,25.25,24.55,24.95,443320.0,0.0,1.0,24.8,25.25,24.55,24.95,443320.0
2018-01-17,25.1,25.5,24.75,24.85,752773.0,0.0,1.0,25.1,25.5,24.75,24.85,752773.0
2018-01-16,25.5,25.9,24.25,24.75,1221844.0,0.0,1.0,25.5,25.9,24.25,24.75,1221844.0
2018-01-12,24.85,25.25,24.075,24.4,1059940.0,0.0,1.0,24.85,25.25,24.075,24.4,1059940.0
2018-01-11,23.1,24.75,22.95,24.75,1042978.0,0.0,1.0,23.1,24.75,22.95,24.75,1042978.0
2018-01-10,21.5,23.1,21.175,23.0,1032875.0,0.0,1.0,21.5,23.1,21.175,23.0,1032875.0
2018-01-09,22.25,22.425,20.8,21.65,1551167.0,0.0,1.0,22.25,22.425,20.8,21.65,1551167.0
2018-01-08,22.1,22.85,21.9,22.6,1064299.0,0.0,1.0,22.1,22.85,21.9,22.6,1064299.0
2018-01-05,21.0,21.75,20.6,21.65,881597.0,0.0,1.0,21.0,21.75,20.6,21.65,881597.0
2018-01-04,21.2,21.65,20.4,20.95,744771.0,0.0,1.0,21.2,21.65,20.4,20.95,744771.0
2018-01-03,21.45,21.75,20.7,21.2,950300.0,0.0,1.0,21.45,21.75,20.7,21.2,950300.0
2018-01-02,20.65,21.5,20.65,21.45,633625.0,0.0,1.0,20.65,21.5,20.65,21.45,633625.0
2017-12-29,20.65,20.75,20.2,20.4,610984.0,0.0,1.0,20.65,20.75,20.2,20.4,610984.0
2017-12-28,21.0,21.05,20.2,20.5,511014.0,0.0,1.0,21.0,21.05,20.2,20.5,511014.0
2017-12-27,21.65,21.9,20.8,21.0,381678.0,0.0,1.0,21.65,21.9,20.8,21.0,381678.0
2017-12-26,21.05,22.35,21.0,21.7,660925.0,0.0,1.0,21.05,22.35,21.0,21.7,660925.0
2017-12-22,21.0,21.4,20.65,21.05,649986.0,0.0,1.0,21.0,21.4,20.65,21.05,649986.0
2017-12-21,20.4,20.95,20.225,20.9,672553.0,0.0,1.0,20.4,20.95,20.225,20.9,672553.0
2017-12-20,20.4,20.6,19.9,20.3,437012.0,0.0,1.0,20.4,20.6,19.9,20.3,437012.0
2017-12-19,20.85,21.0,20.15,20.4,695627.0,0.0,1.0,20.85,21.0,20.15,20.4,695627.0
2017-12-18,21.15,21.15,19.5,20.75,1077071.0,0.0,1.0,21.15,21.15,19.5,20.75,1077071.0
2017-12-15,20.6,21.3,20.45,20.9,1573937.0,0.0,1.0,20.6,21.3,20.45,20.9,1573937.0
2017-12-14,21.05,21.25,20.4,20.55,1003054.0,0.0,1.0,21.05,21.25,20.4,20.55,1003054.0
2017-12-13,20.5,21.1,20.3,20.8,913336.0,0.0,1.0,20.5,21.1,20.3,20.8,913336.0
2017-12-12,20.2,20.825,19.8,20.6,946433.0,0.0,1.0,20.2,20.825,19.8,20.6,946433.0
2017-12-11,20.15,20.6,19.85,20.2,760914.0,0.0,1.0,20.15,20.6,19.85,20.2,760914.0
2017-12-08,19.45,20.35,19.355,20.15,896006.0,0.0,1.0,19.45,20.35,19.355,20.15,896006.0
2017-12-07,19.95,19.95,19.0,19.35,640982.0,0.0,1.0,19.95,19.95,19.0,19.35,640982.0
2017-12-06,19.95,20.25,19.6,19.9,468960.0,0.0,1.0,19.95,20.25,19.6,19.9,468960.0
2017-12-05,19.9,20.25,19.4,19.9,727251.0,0.0,1.0,19.9,20.25,19.4,19.9,727251.0
2017-12-04,19.7,20.35,19.3,19.85,752781.0,0.0,1.0,19.7,20.35,19.3,19.85,752781.0
2017-12-01,19.9,19.975,18.35,18.75,1229423.0,0.0,1.0,19.9,19.975,18.35,18.75,1229423.0
2017-11-30,19.8,20.1,19.125,19.95,1073945.0,0.0,1.0,19.8,20.1,19.125,19.95,1073945.0
2017-11-29,19.25,20.15,19.1,19.8,1397970.0,0.0,1.0,19.25,20.15,19.1,19.8,1397970.0
2017-11-28,18.1,19.55,18.1,19.3,987691.0,0.0,1.0,18.1,19.55,18.1,19.3,987691.0
2017-11-27,18.2,18.6,17.9,18.075,1276909.0,0.0,1.0,18.2,18.6,17.9,18.075,1276909.0
2017-11-24,19.2,19.2,17.75,17.9,653621.0,0.0,1.0,19.2,19.2,17.75,17.9,653621.0
2017-11-22,18.5,19.15,18.05,19.15,1211666.0,0.0,1.0,18.5,19.15,18.05,19.15,1211666.0
2017-11-21,18.5,18.95,17.5,18.6,1904996.0,0.0,1.0,18.5,18.95,17.5,18.6,1904996.0
2017-11-20,17.9,19.55,17.3,19.45,1877843.0,0.0,1.0,17.9,19.55,17.3,19.45,1877843.0
2017-11-17,18.25,18.8,16.5,17.1,3327073.0,0.0,1.0,18.25,18.8,16.5,17.1,3327073.0
2017-11-16,14.15,15.05,14.05,14.85,853764.0,0.0,1.0,14.15,15.05,14.05,14.85,853764.0
2017-11-15,13.6,14.25,13.4,14.05,701774.0,0.0,1.0,13.6,14.25,13.4,14.05,701774.0
2017-11-14,13.5,13.875,13.455,13.7,494050.0,0.0,1.0,13.5,13.875,13.455,13.7,494050.0
2017-11-13,13.95,14.1,13.65,13.7,473694.0,0.0,1.0,13.95,14.1,13.65,13.7,473694.0
2017-11-10,13.8,14.2,13.6,14.0,775838.0,0.0,1.0,13.8,14.2,13.6,14.0,775838.0
2017-11-09,13.25,14.3,13.25,13.9,579604.0,0.0,1.0,13.25,14.3,13.25,13.9,579604.0
2017-11-07,13.0,13.125,12.7,12.75,328672.0,0.0,1.0,13.0,13.125,12.7,12.75,328672.0
2017-11-06,13.2,13.31,12.85,13.0,337041.0,0.0,1.0,13.2,13.31,12.85,13.0,337041.0
2017-11-03,13.0,13.55,12.8,13.15,484710.0,0.0,1.0,13.0,13.55,12.8,13.15,484710.0
2017-11-02,12.9,13.35,12.8,12.95,454811.0,0.0,1.0,12.9,13.35,12.8,12.95,454811.0
2017-11-01,12.95,13.1,12.6,12.85,401777.0,0.0,1.0,12.95,13.1,12.6,12.85,401777.0
2017-10-31,12.85,13.05,12.7,12.8,497608.0,0.0,1.0,12.85,13.05,12.7,12.8,497608.0
2017-10-30,13.3,13.45,12.8,12.95,534685.0,0.0,1.0,13.3,13.45,12.8,12.95,534685.0
2017-10-27,13.95,13.95,13.05,13.4,615703.0,0.0,1.0,13.95,13.95,13.05,13.4,615703.0
2017-10-26,13.65,14.25,13.55,14.05,740048.0,0.0,1.0,13.65,14.25,13.55,14.05,740048.0
