Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,5.75,5.85,5.7,5.75,94999.0,0.0,1.0,5.75,5.85,5.7,5.75,94999.0
2018-03-26,5.65,5.75,5.6,5.75,77987.0,0.0,1.0,5.65,5.75,5.6,5.75,77987.0
2018-03-23,5.7,5.75,5.6,5.6,106837.0,0.0,1.0,5.7,5.75,5.6,5.6,106837.0
2018-03-22,5.85,5.85,5.675,5.7,71451.0,0.0,1.0,5.85,5.85,5.675,5.7,71451.0
2018-03-21,5.75,5.9,5.75,5.9,34867.0,0.0,1.0,5.75,5.9,5.75,5.9,34867.0
2018-03-20,5.85,5.9,5.75,5.8,47253.0,0.0,1.0,5.85,5.9,5.75,5.8,47253.0
2018-03-19,5.9,6.0,5.8,5.85,75226.0,0.0,1.0,5.9,6.0,5.8,5.85,75226.0
2018-03-16,5.8,5.95,5.8,5.95,197655.0,0.0,1.0,5.8,5.95,5.8,5.95,197655.0
2018-03-15,5.85,5.9,5.8,5.85,41196.0,0.0,1.0,5.85,5.9,5.8,5.85,41196.0
2018-03-14,5.9,5.9,5.8,5.85,41936.0,0.0,1.0,5.9,5.9,5.8,5.85,41936.0
2018-03-13,5.9,5.95,5.8,5.9,41040.0,0.0,1.0,5.9,5.95,5.8,5.9,41040.0
2018-03-12,5.9,5.95,5.8,5.9,103604.0,0.0,1.0,5.9,5.95,5.8,5.9,103604.0
2018-03-09,5.9,5.9,5.8,5.9,67615.0,0.0,1.0,5.9,5.9,5.8,5.9,67615.0
2018-03-08,5.8,5.9,5.8,5.9,91557.0,0.0,1.0,5.8,5.9,5.8,5.9,91557.0
2018-03-07,5.75,5.875,5.75,5.8,125786.0,0.0,1.0,5.75,5.875,5.75,5.8,125786.0
2018-03-06,5.75,5.85,5.7,5.75,77274.0,0.0,1.0,5.75,5.85,5.7,5.75,77274.0
2018-03-05,5.6,5.8,5.55,5.75,56102.0,0.0,1.0,5.6,5.8,5.55,5.75,56102.0
2018-03-02,5.5,5.6,5.425,5.6,34548.0,0.0,1.0,5.5,5.6,5.425,5.6,34548.0
2018-03-01,5.55,5.65,5.45,5.5,129447.0,0.0,1.0,5.55,5.65,5.45,5.5,129447.0
2018-02-28,5.65,5.7,5.5,5.55,129128.0,0.0,1.0,5.65,5.7,5.5,5.55,129128.0
2018-02-27,5.7,5.75,5.65,5.65,39985.0,0.0,1.0,5.7,5.75,5.65,5.65,39985.0
2018-02-26,5.8,5.8,5.55,5.7,188157.0,0.0,1.0,5.8,5.8,5.55,5.7,188157.0
2018-02-23,5.55,5.8,5.55,5.75,73113.0,0.0,1.0,5.55,5.8,5.55,5.75,73113.0
2018-02-22,5.55,5.625,5.5,5.5,79242.0,0.0,1.0,5.55,5.625,5.5,5.5,79242.0
2018-02-21,5.45,5.6,5.45,5.55,156761.0,0.0,1.0,5.45,5.6,5.45,5.55,156761.0
2018-02-20,5.6,5.7,5.45,5.45,121542.0,0.0,1.0,5.6,5.7,5.45,5.45,121542.0
2018-02-16,5.55,5.75,5.45,5.65,73574.0,0.0,1.0,5.55,5.75,5.45,5.65,73574.0
2018-02-15,5.55,5.65,5.5,5.6,106353.0,0.0,1.0,5.55,5.65,5.5,5.6,106353.0
2018-02-14,5.45,5.6,5.425,5.5,80006.0,0.0,1.0,5.45,5.6,5.425,5.5,80006.0
2018-02-13,5.35,5.5,5.35,5.45,89539.0,0.0,1.0,5.35,5.5,5.35,5.45,89539.0
2018-02-12,5.45,5.5,5.4,5.4,72577.0,0.0,1.0,5.45,5.5,5.4,5.4,72577.0
2018-02-09,5.45,5.6,5.35,5.45,151761.0,0.0,1.0,5.45,5.6,5.35,5.45,151761.0
2018-02-08,5.4,5.525,5.35,5.4,191242.0,0.0,1.0,5.4,5.525,5.35,5.4,191242.0
2018-02-07,5.25,5.45,5.25,5.4,109220.0,0.0,1.0,5.25,5.45,5.25,5.4,109220.0
2018-02-06,5.3,5.4,5.175,5.3,130324.0,0.0,1.0,5.3,5.4,5.175,5.3,130324.0
2018-02-05,5.6,5.65,5.35,5.4,195851.0,0.0,1.0,5.6,5.65,5.35,5.4,195851.0
2018-02-02,5.675,5.6887,5.6,5.6,157928.0,0.0,1.0,5.675,5.6887,5.6,5.6,157928.0
2018-02-01,5.7,5.75,5.65,5.75,113059.0,0.0,1.0,5.7,5.75,5.65,5.75,113059.0
2018-01-31,5.65,5.75,5.65,5.7,74545.0,0.0,1.0,5.65,5.75,5.65,5.7,74545.0
2018-01-30,5.65,5.7,5.6,5.7,123232.0,0.0,1.0,5.65,5.7,5.6,5.7,123232.0
2018-01-29,5.7,5.7,5.6,5.65,75656.0,0.0,1.0,5.7,5.7,5.6,5.65,75656.0
2018-01-26,5.7,5.8,5.65,5.7,51253.0,0.0,1.0,5.7,5.8,5.65,5.7,51253.0
2018-01-25,5.7,5.8,5.7,5.75,49666.0,0.0,1.0,5.7,5.8,5.7,5.75,49666.0
2018-01-24,5.75,5.75,5.65,5.7,92931.0,0.0,1.0,5.75,5.75,5.65,5.7,92931.0
2018-01-23,5.65,5.7,5.65,5.7,112567.0,0.0,1.0,5.65,5.7,5.65,5.7,112567.0
2018-01-22,5.55,5.75,5.55,5.65,118471.0,0.0,1.0,5.55,5.75,5.55,5.65,118471.0
2018-01-19,5.55,5.7,5.55,5.65,76844.0,0.0,1.0,5.55,5.7,5.55,5.65,76844.0
2018-01-18,5.7,5.7,5.55,5.55,777169.0,0.0,1.0,5.7,5.7,5.55,5.55,777169.0
2018-01-17,5.6,5.75,5.55,5.7,131086.0,0.0,1.0,5.6,5.75,5.55,5.7,131086.0
2018-01-16,5.7,5.7,5.55,5.6,161221.0,0.0,1.0,5.7,5.7,5.55,5.6,161221.0
2018-01-12,5.6,5.6,5.55,5.6,490735.0,0.0,1.0,5.6,5.6,5.55,5.6,490735.0
2018-01-11,5.55,5.65,5.55,5.6,389005.0,0.0,1.0,5.55,5.65,5.55,5.6,389005.0
2018-01-10,5.5,5.6,5.5,5.55,82585.0,0.0,1.0,5.5,5.6,5.5,5.55,82585.0
2018-01-09,5.6,5.65,5.55,5.55,77203.0,0.0,1.0,5.6,5.65,5.55,5.55,77203.0
2018-01-08,5.5,5.6,5.5,5.6,63256.0,0.0,1.0,5.5,5.6,5.5,5.6,63256.0
2018-01-05,5.45,5.55,5.45,5.5,203563.0,0.0,1.0,5.45,5.55,5.45,5.5,203563.0
2018-01-04,5.55,5.55,5.45,5.5,149414.0,0.0,1.0,5.55,5.55,5.45,5.5,149414.0
2018-01-03,5.45,5.525,5.4,5.5,164687.0,0.0,1.0,5.45,5.525,5.4,5.5,164687.0
2018-01-02,5.45,5.5,5.45,5.45,83660.0,0.0,1.0,5.45,5.5,5.45,5.45,83660.0
2017-12-29,5.55,5.55,5.45,5.45,379942.0,0.0,1.0,5.55,5.55,5.45,5.45,379942.0
2017-12-28,5.45,5.6,5.45,5.45,272523.0,0.0,1.0,5.45,5.6,5.45,5.45,272523.0
2017-12-27,5.5,5.6,5.45,5.5,162083.0,0.0,1.0,5.5,5.6,5.45,5.5,162083.0
2017-12-26,5.5,5.6,5.475,5.5,68149.0,0.0,1.0,5.5,5.6,5.475,5.5,68149.0
2017-12-22,5.525,5.65,5.35,5.5,131304.0,0.0,1.0,5.525,5.65,5.35,5.5,131304.0
2017-12-21,5.475,5.5,5.45,5.5,190455.0,0.0,1.0,5.475,5.5,5.45,5.5,190455.0
2017-12-20,5.5,5.55,5.45,5.5,48967.0,0.0,1.0,5.5,5.55,5.45,5.5,48967.0
2017-12-19,5.65,5.7,5.45,5.5,59720.0,0.0,1.0,5.65,5.7,5.45,5.5,59720.0
2017-12-18,5.65,5.7,5.55,5.55,81303.0,0.0,1.0,5.65,5.7,5.55,5.55,81303.0
