Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,3.9,3.95,3.8,3.85,316357.0,0.0,1.0,3.9,3.95,3.8,3.85,316357.0
2018-03-26,3.8,3.9,3.7,3.85,394919.0,0.0,1.0,3.8,3.9,3.7,3.85,394919.0
2018-03-23,3.9,3.975,3.8,3.8,378681.0,0.0,1.0,3.9,3.975,3.8,3.8,378681.0
2018-03-22,3.75,3.95,3.75,3.925,396707.0,0.0,1.0,3.75,3.95,3.75,3.925,396707.0
2018-03-21,3.85,3.9,3.65,3.8,594382.0,0.0,1.0,3.85,3.9,3.65,3.8,594382.0
2018-03-20,3.9,3.95,3.85,3.85,269220.0,0.0,1.0,3.9,3.95,3.85,3.85,269220.0
2018-03-19,3.85,3.95,3.7,3.9,579389.0,0.0,1.0,3.85,3.95,3.7,3.9,579389.0
2018-03-16,3.65,3.9,3.6,3.85,1220159.0,0.0,1.0,3.65,3.9,3.6,3.85,1220159.0
2018-03-15,3.75,3.75,3.6,3.65,312460.0,0.0,1.0,3.75,3.75,3.6,3.65,312460.0
2018-03-14,3.75,3.85,3.7,3.7,327035.0,0.0,1.0,3.75,3.85,3.7,3.7,327035.0
2018-03-13,3.75,3.9,3.7,3.75,946557.0,0.0,1.0,3.75,3.9,3.7,3.75,946557.0
2018-03-12,3.55,3.75,3.55,3.7,811421.0,0.0,1.0,3.55,3.75,3.55,3.7,811421.0
2018-03-09,3.75,3.75,3.4,3.55,1273756.0,0.0,1.0,3.75,3.75,3.4,3.55,1273756.0
2018-03-08,3.75,3.75,3.7,3.75,85405.0,0.0,1.0,3.75,3.75,3.7,3.75,85405.0
2018-03-07,3.7,3.775,3.625,3.7,584395.0,0.0,1.0,3.7,3.775,3.625,3.7,584395.0
2018-03-06,3.6,3.75,3.5999,3.7,404000.0,0.0,1.0,3.6,3.75,3.5999,3.7,404000.0
2018-03-05,3.45,3.8,3.4,3.6,910848.0,0.0,1.0,3.45,3.8,3.4,3.6,910848.0
2018-03-02,3.45,3.5362,3.35,3.45,661011.0,0.0,1.0,3.45,3.5362,3.35,3.45,661011.0
2018-03-01,2.95,3.55,2.9,3.5,1932262.0,0.0,1.0,2.95,3.55,2.9,3.5,1932262.0
2018-02-28,3.0,3.05,2.95,3.025,1184018.0,0.0,1.0,3.0,3.05,2.95,3.025,1184018.0
2018-02-27,3.0,3.05,2.95,2.975,609490.0,0.0,1.0,3.0,3.05,2.95,2.975,609490.0
2018-02-26,2.95,3.0,2.95,3.0,815356.0,0.0,1.0,2.95,3.0,2.95,3.0,815356.0
2018-02-23,3.0,3.0,2.95,2.95,217633.0,0.0,1.0,3.0,3.0,2.95,2.95,217633.0
2018-02-22,2.95,3.05,2.95,3.0,276716.0,0.0,1.0,2.95,3.05,2.95,3.0,276716.0
2018-02-21,2.95,3.05,2.95,3.0,588093.0,0.0,1.0,2.95,3.05,2.95,3.0,588093.0
2018-02-20,3.0,3.1,2.95,3.0,2981730.0,0.0,1.0,3.0,3.1,2.95,3.0,2981730.0
2018-02-16,3.2,3.25,2.95,2.95,1195989.0,0.0,1.0,3.2,3.25,2.95,2.95,1195989.0
2018-02-15,3.3,3.3335,3.2,3.225,178816.0,0.0,1.0,3.3,3.3335,3.2,3.225,178816.0
2018-02-14,3.25,3.4,3.2,3.3,525509.0,0.0,1.0,3.25,3.4,3.2,3.3,525509.0
2018-02-13,3.2,3.35,3.15,3.3,238053.0,0.0,1.0,3.2,3.35,3.15,3.3,238053.0
2018-02-12,3.2,3.35,3.2,3.25,185918.0,0.0,1.0,3.2,3.35,3.2,3.25,185918.0
2018-02-09,3.2,3.275,3.15,3.175,536202.0,0.0,1.0,3.2,3.275,3.15,3.175,536202.0
2018-02-08,3.55,3.55,3.15,3.15,813740.0,0.0,1.0,3.55,3.55,3.15,3.15,813740.0
2018-02-07,3.55,3.6,3.475,3.5,201624.0,0.0,1.0,3.55,3.6,3.475,3.5,201624.0
2018-02-06,3.4,3.55,3.4,3.55,256288.0,0.0,1.0,3.4,3.55,3.4,3.55,256288.0
2018-02-05,3.45,3.5,3.45,3.5,306358.0,0.0,1.0,3.45,3.5,3.45,3.5,306358.0
2018-02-02,3.65,3.75,3.45,3.45,554762.0,0.0,1.0,3.65,3.75,3.45,3.45,554762.0
2018-02-01,3.65,3.775,3.65,3.7,280221.0,0.0,1.0,3.65,3.775,3.65,3.7,280221.0
2018-01-31,3.75,3.8,3.65,3.65,389528.0,0.0,1.0,3.75,3.8,3.65,3.65,389528.0
2018-01-30,3.7,3.8,3.65,3.75,196024.0,0.0,1.0,3.7,3.8,3.65,3.75,196024.0
2018-01-29,3.7,3.75,3.6,3.75,336061.0,0.0,1.0,3.7,3.75,3.6,3.75,336061.0
2018-01-26,3.75,3.85,3.65,3.7,280091.0,0.0,1.0,3.75,3.85,3.65,3.7,280091.0
2018-01-25,3.95,3.95,3.65,3.725,747704.0,0.0,1.0,3.95,3.95,3.65,3.725,747704.0
2018-01-24,3.8,3.95,3.8,3.85,360279.0,0.0,1.0,3.8,3.95,3.8,3.85,360279.0
2018-01-23,3.9,3.9295,3.8,3.825,244650.0,0.0,1.0,3.9,3.9295,3.8,3.825,244650.0
2018-01-22,3.9,4.0,3.9,3.95,148679.0,0.0,1.0,3.9,4.0,3.9,3.95,148679.0
2018-01-19,3.9,4.0,3.9,3.95,127866.0,0.0,1.0,3.9,4.0,3.9,3.95,127866.0
2018-01-18,4.05,4.1,3.95,3.95,91841.0,0.0,1.0,4.05,4.1,3.95,3.95,91841.0
2018-01-17,3.9,4.05,3.9,4.0,302355.0,0.0,1.0,3.9,4.05,3.9,4.0,302355.0
2018-01-16,4.0,4.15,3.9,3.9,302695.0,0.0,1.0,4.0,4.15,3.9,3.9,302695.0
