Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,6.05,6.19,5.79,5.82,1858286.0,0.0,1.0,6.05,6.19,5.79,5.82,1858286.0
2018-03-26,6.1,6.11,5.85,6.03,2859520.0,0.0,1.0,6.1,6.11,5.85,6.03,2859520.0
2018-03-23,6.11,6.265,5.99,5.99,1705684.0,0.0,1.0,6.11,6.265,5.99,5.99,1705684.0
2018-03-22,6.16,6.225,6.07,6.07,2515471.0,0.0,1.0,6.16,6.225,6.07,6.07,2515471.0
2018-03-21,6.01,6.39,5.92,6.28,1545550.0,0.0,1.0,6.01,6.39,5.92,6.28,1545550.0
2018-03-20,5.98,6.04,5.89,5.96,814231.0,0.0,1.0,5.98,6.04,5.89,5.96,814231.0
2018-03-19,6.09,6.14,5.89,5.95,1344639.0,0.0,1.0,6.09,6.14,5.89,5.95,1344639.0
2018-03-16,6.04,6.15,5.89,6.14,3034647.0,0.0,1.0,6.04,6.15,5.89,6.14,3034647.0
2018-03-15,6.1,6.2,5.985,6.02,2882599.0,0.0,1.0,6.1,6.2,5.985,6.02,2882599.0
2018-03-14,6.09,6.245,5.62,6.05,7232899.0,0.0,1.0,6.09,6.245,5.62,6.05,7232899.0
2018-03-13,6.55,6.66,6.5,6.53,854581.0,0.0,1.0,6.55,6.66,6.5,6.53,854581.0
2018-03-12,6.44,6.56,6.435,6.52,630835.0,0.0,1.0,6.44,6.56,6.435,6.52,630835.0
2018-03-09,6.31,6.495,6.31,6.45,1181554.0,0.0,1.0,6.31,6.495,6.31,6.45,1181554.0
2018-03-08,6.18,6.28,6.14,6.23,656474.0,0.0,1.0,6.18,6.28,6.14,6.23,656474.0
2018-03-07,6.16,6.315,6.01,6.18,761107.0,0.0,1.0,6.16,6.315,6.01,6.18,761107.0
2018-03-06,6.34,6.485,6.21,6.25,728751.0,0.0,1.0,6.34,6.485,6.21,6.25,728751.0
2018-03-05,6.03,6.31,6.03,6.3,639598.0,0.0,1.0,6.03,6.31,6.03,6.3,639598.0
2018-03-02,5.91,6.13,5.83,6.09,762126.0,0.0,1.0,5.91,6.13,5.83,6.09,762126.0
2018-03-01,5.95,6.105,5.9,5.98,1139063.0,0.0,1.0,5.95,6.105,5.9,5.98,1139063.0
2018-02-28,6.39,6.4,5.96,5.96,1223753.0,0.0,1.0,6.39,6.4,5.96,5.96,1223753.0
2018-02-27,6.6,6.7367,6.36,6.36,932744.0,0.0,1.0,6.6,6.7367,6.36,6.36,932744.0
2018-02-26,6.62,6.68,6.41,6.6,1840601.0,0.0,1.0,6.62,6.68,6.41,6.6,1840601.0
2018-02-23,6.56,6.61,6.43,6.6,703870.0,0.0,1.0,6.56,6.61,6.43,6.6,703870.0
2018-02-22,6.4,6.69,6.36,6.48,758276.0,0.0,1.0,6.4,6.69,6.36,6.48,758276.0
2018-02-21,6.4,6.5,6.2,6.3,1430383.0,0.0,1.0,6.4,6.5,6.2,6.3,1430383.0
2018-02-20,7.0,7.08,6.41,6.45,2160919.0,0.0,1.0,7.0,7.08,6.41,6.45,2160919.0
2018-02-16,6.9,7.04,6.88,6.96,955745.0,0.0,1.0,6.9,7.04,6.88,6.96,955745.0
2018-02-15,6.94,7.1,6.87,6.96,923973.0,0.0,1.0,6.94,7.1,6.87,6.96,923973.0
2018-02-14,6.71,7.05,6.67,6.96,975828.0,0.0,1.0,6.71,7.05,6.67,6.96,975828.0
2018-02-13,6.71,6.88,6.645,6.83,797058.0,0.0,1.0,6.71,6.88,6.645,6.83,797058.0
2018-02-12,6.7,6.91,6.52,6.82,1111399.0,0.0,1.0,6.7,6.91,6.52,6.82,1111399.0
2018-02-09,6.83,6.9,6.27,6.6,1380539.0,0.0,1.0,6.83,6.9,6.27,6.6,1380539.0
2018-02-08,7.0,7.0,6.66,6.67,1033672.0,0.0,1.0,7.0,7.0,6.66,6.67,1033672.0
2018-02-07,7.23,7.345,6.93,6.98,879918.0,0.0,1.0,7.23,7.345,6.93,6.98,879918.0
2018-02-06,6.9,7.305,6.74,7.22,1648017.0,0.0,1.0,6.9,7.305,6.74,7.22,1648017.0
2018-02-05,7.27,7.575,7.05,7.07,1009142.0,0.0,1.0,7.27,7.575,7.05,7.07,1009142.0
2018-02-02,7.41,7.735,7.2,7.44,1581536.0,0.0,1.0,7.41,7.735,7.2,7.44,1581536.0
2018-02-01,7.54,7.7,7.38,7.55,3365701.0,0.0,1.0,7.54,7.7,7.38,7.55,3365701.0
2018-01-31,7.7,7.73,7.44,7.53,900231.0,0.0,1.0,7.7,7.73,7.44,7.53,900231.0
2018-01-30,7.72,7.73,7.49,7.65,702368.0,0.0,1.0,7.72,7.73,7.49,7.65,702368.0
2018-01-29,7.99,8.07,7.78,7.8,852895.0,0.0,1.0,7.99,8.07,7.78,7.8,852895.0
2018-01-26,8.17,8.1952,8.04,8.08,781192.0,0.0,1.0,8.17,8.1952,8.04,8.08,781192.0
2018-01-25,8.36,8.4,8.05,8.13,1602163.0,0.0,1.0,8.36,8.4,8.05,8.13,1602163.0
2018-01-24,8.42,8.45,8.0725,8.27,1609941.0,0.0,1.0,8.42,8.45,8.0725,8.27,1609941.0
2018-01-23,8.27,8.4,8.25,8.4,909120.0,0.0,1.0,8.27,8.4,8.25,8.4,909120.0
2018-01-22,8.21,8.29,8.18,8.28,1041369.0,0.0,1.0,8.21,8.29,8.18,8.28,1041369.0
2018-01-19,7.94,8.18,7.9110000000000005,8.14,881138.0,0.0,1.0,7.94,8.18,7.9110000000000005,8.14,881138.0
2018-01-18,8.25,8.3,8.02,8.03,1179536.0,0.0,1.0,8.25,8.3,8.02,8.03,1179536.0
2018-01-17,8.27,8.44,8.24,8.28,1130304.0,0.0,1.0,8.27,8.44,8.24,8.28,1130304.0
2018-01-16,8.34,8.49,7.81,8.22,2205513.0,0.0,1.0,8.34,8.49,7.81,8.22,2205513.0
2018-01-12,8.32,8.7,8.3,8.68,1587416.0,0.0,1.0,8.32,8.7,8.3,8.68,1587416.0
