Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,29.0,29.0,27.0,27.4,1582034.0,0.0,1.0,29.0,29.0,27.0,27.4,1582034.0
2018-03-26,28.85,29.195,28.3,28.8,1281892.0,0.0,1.0,28.85,29.195,28.3,28.8,1281892.0
2018-03-23,27.3,28.75,27.034000000000002,28.2,1156375.0,0.0,1.0,27.3,28.75,27.034000000000002,28.2,1156375.0
2018-03-22,27.0,28.25,26.55,27.15,1105756.0,0.0,1.0,27.0,28.25,26.55,27.15,1105756.0
2018-03-21,26.8,28.1,26.45,27.35,1269826.0,0.0,1.0,26.8,28.1,26.45,27.35,1269826.0
2018-03-20,27.6,28.3,26.55,26.6,1830560.0,0.0,1.0,27.6,28.3,26.55,26.6,1830560.0
2018-03-19,29.7,32.7,26.5,27.3,10453115.0,0.0,1.0,29.7,32.7,26.5,27.3,10453115.0
2018-03-16,21.8,22.15,21.3,21.5,2405222.0,0.0,1.0,21.8,22.15,21.3,21.5,2405222.0
2018-03-15,22.35,22.55,21.55,21.9,846599.0,0.0,1.0,22.35,22.55,21.55,21.9,846599.0
2018-03-14,24.05,25.35,21.8,22.2,3017214.0,0.0,1.0,24.05,25.35,21.8,22.2,3017214.0
2018-03-13,23.15,24.3,22.9,24.05,2496051.0,0.0,1.0,23.15,24.3,22.9,24.05,2496051.0
2018-03-12,22.8,23.3,22.6,23.0,832940.0,0.0,1.0,22.8,23.3,22.6,23.0,832940.0
2018-03-09,22.6,22.85,22.3,22.75,590521.0,0.0,1.0,22.6,22.85,22.3,22.75,590521.0
2018-03-08,22.5,22.95,22.1,22.5,708356.0,0.0,1.0,22.5,22.95,22.1,22.5,708356.0
2018-03-07,21.8,22.325,21.25,22.3,705106.0,0.0,1.0,21.8,22.325,21.25,22.3,705106.0
2018-03-06,22.4,22.65,21.7,21.95,830168.0,0.0,1.0,22.4,22.65,21.7,21.95,830168.0
2018-03-05,21.05,22.6,20.775,22.35,855065.0,0.0,1.0,21.05,22.6,20.775,22.35,855065.0
2018-03-02,20.75,21.45,20.25,21.25,1084220.0,0.0,1.0,20.75,21.45,20.25,21.25,1084220.0
2018-03-01,20.55,21.2,20.1,20.75,1336153.0,0.0,1.0,20.55,21.2,20.1,20.75,1336153.0
2018-02-28,21.8,21.95,20.05,20.35,1384227.0,0.0,1.0,21.8,21.95,20.05,20.35,1384227.0
2018-02-27,22.5,22.8,22.0,22.05,591075.0,0.0,1.0,22.5,22.8,22.0,22.05,591075.0
2018-02-26,22.3,22.8,21.7,22.65,924953.0,0.0,1.0,22.3,22.8,21.7,22.65,924953.0
2018-02-23,22.15,22.35,21.45,22.05,611065.0,0.0,1.0,22.15,22.35,21.45,22.05,611065.0
2018-02-22,22.9,23.55,22.1,22.15,1449555.0,0.0,1.0,22.9,23.55,22.1,22.15,1449555.0
