Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,1.18,1.2,1.14,1.16,581948.0,0.0,1.0,1.18,1.2,1.14,1.16,581948.0
2018-03-26,1.15,1.18,1.1,1.17,874844.0,0.0,1.0,1.15,1.18,1.1,1.17,874844.0
2018-03-23,1.15,1.16,1.1,1.13,828781.0,0.0,1.0,1.15,1.16,1.1,1.13,828781.0
2018-03-22,1.16,1.2,1.14,1.14,1101319.0,0.0,1.0,1.16,1.2,1.14,1.14,1101319.0
2018-03-21,1.2,1.2,1.12,1.16,1201706.0,0.0,1.0,1.2,1.2,1.12,1.16,1201706.0
2018-03-20,1.28,1.29,1.19,1.19,1321094.0,0.0,1.0,1.28,1.29,1.19,1.19,1321094.0
2018-03-19,1.31,1.34,1.25,1.26,1027446.0,0.0,1.0,1.31,1.34,1.25,1.26,1027446.0
2018-03-16,1.38,1.38,1.29,1.33,2379217.0,0.0,1.0,1.38,1.38,1.29,1.33,2379217.0
2018-03-15,1.52,1.52,1.37,1.38,2265874.0,0.0,1.0,1.52,1.52,1.37,1.38,2265874.0
2018-03-14,1.39,1.41,1.23,1.32,961256.0,0.0,1.0,1.39,1.41,1.23,1.32,961256.0
2018-03-13,1.26,1.36,1.24,1.33,1808416.0,0.0,1.0,1.26,1.36,1.24,1.33,1808416.0
2018-03-12,1.28,1.3,1.22,1.27,939166.0,0.0,1.0,1.28,1.3,1.22,1.27,939166.0
2018-03-09,1.29,1.33,1.25,1.28,1220385.0,0.0,1.0,1.29,1.33,1.25,1.28,1220385.0
2018-03-08,1.26,1.3,1.26,1.28,548035.0,0.0,1.0,1.26,1.3,1.26,1.28,548035.0
2018-03-07,1.37,1.385,1.25,1.28,2119932.0,0.0,1.0,1.37,1.385,1.25,1.28,2119932.0
2018-03-06,1.42,1.45,1.37,1.39,1326065.0,0.0,1.0,1.42,1.45,1.37,1.39,1326065.0
2018-03-05,1.41,1.47,1.365,1.42,1379608.0,0.0,1.0,1.41,1.47,1.365,1.42,1379608.0
