Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,11.82,12.06,11.16,11.19,284183.0,0.0,1.0,11.82,12.06,11.16,11.19,284183.0
2018-03-26,11.43,11.91,11.325,11.83,314616.0,0.0,1.0,11.43,11.91,11.325,11.83,314616.0
2018-03-23,11.26,11.5245,10.34,11.25,519714.0,0.0,1.0,11.26,11.5245,10.34,11.25,519714.0
2018-03-22,12.59,12.61,11.215,11.22,371827.0,0.0,1.0,12.59,12.61,11.215,11.22,371827.0
2018-03-21,12.65,12.9,12.535,12.71,187018.0,0.0,1.0,12.65,12.9,12.535,12.71,187018.0
2018-03-20,12.57,12.78,12.37,12.63,238899.0,0.0,1.0,12.57,12.78,12.37,12.63,238899.0
2018-03-19,13.08,13.106,12.54,12.54,213519.0,0.0,1.0,13.08,13.106,12.54,12.54,213519.0
2018-03-16,13.42,13.46,13.03,13.18,256043.0,0.0,1.0,13.42,13.46,13.03,13.18,256043.0
2018-03-15,13.75,13.75,13.24,13.44,189655.0,0.0,1.0,13.75,13.75,13.24,13.44,189655.0
2018-03-14,13.75,14.48,13.54,13.73,355703.0,0.0,1.0,13.75,14.48,13.54,13.73,355703.0
2018-03-13,14.25,14.4307,13.61,13.64,254953.0,0.0,1.0,14.25,14.4307,13.61,13.64,254953.0
2018-03-12,13.5,14.35,13.09,14.21,475496.0,0.0,1.0,13.5,14.35,13.09,14.21,475496.0
2018-03-09,13.28,13.6692,13.1,13.52,348713.0,0.0,1.0,13.28,13.6692,13.1,13.52,348713.0
2018-03-08,14.1,14.42,12.48,12.75,611747.0,0.0,1.0,14.1,14.42,12.48,12.75,611747.0
2018-03-07,13.89,14.26,13.52,14.08,275456.0,0.0,1.0,13.89,14.26,13.52,14.08,275456.0
2018-03-06,14.06,14.2,13.64,14.05,231984.0,0.0,1.0,14.06,14.2,13.64,14.05,231984.0
2018-03-05,13.98,14.87,13.98,14.03,315427.0,0.0,1.0,13.98,14.87,13.98,14.03,315427.0
2018-03-02,12.84,13.525,12.62,13.49,279507.0,0.0,1.0,12.84,13.525,12.62,13.49,279507.0
2018-03-01,13.02,13.22,12.64,12.95,141271.0,0.0,1.0,13.02,13.22,12.64,12.95,141271.0
2018-02-28,13.57,13.635,12.98,13.02,209316.0,0.0,1.0,13.57,13.635,12.98,13.02,209316.0
2018-02-27,13.91,14.01,13.5,13.57,144716.0,0.0,1.0,13.91,14.01,13.5,13.57,144716.0
2018-02-26,13.84,14.25,13.8,13.87,203465.0,0.0,1.0,13.84,14.25,13.8,13.87,203465.0
2018-02-23,14.0,14.0,13.23,13.73,171601.0,0.0,1.0,14.0,14.0,13.23,13.73,171601.0
2018-02-22,14.1,14.31,13.75,13.87,247203.0,0.0,1.0,14.1,14.31,13.75,13.87,247203.0
2018-02-21,13.47,14.29,13.47,14.09,272233.0,0.0,1.0,13.47,14.29,13.47,14.09,272233.0
2018-02-20,12.61,13.51,12.51,13.44,222346.0,0.0,1.0,12.61,13.51,12.51,13.44,222346.0
2018-02-16,12.59,12.81,12.19,12.64,193684.0,0.0,1.0,12.59,12.81,12.19,12.64,193684.0
2018-02-15,11.95,12.87,11.9,12.58,414564.0,0.0,1.0,11.95,12.87,11.9,12.58,414564.0
2018-02-14,12.53,12.59,11.69,11.85,726613.0,0.0,1.0,12.53,12.59,11.69,11.85,726613.0
2018-02-13,12.57,12.95,12.38,12.66,245901.0,0.0,1.0,12.57,12.95,12.38,12.66,245901.0
2018-02-12,13.14,13.4,12.66,12.67,144346.0,0.0,1.0,13.14,13.4,12.66,12.67,144346.0
2018-02-09,13.29,13.34,12.69,13.05,266228.0,0.0,1.0,13.29,13.34,12.69,13.05,266228.0
2018-02-08,13.53,13.81,13.11,13.13,172590.0,0.0,1.0,13.53,13.81,13.11,13.13,172590.0
2018-02-07,13.84,13.96,13.31,13.43,254676.0,0.0,1.0,13.84,13.96,13.31,13.43,254676.0
2018-02-06,13.19,14.37,13.1,13.805,286323.0,0.0,1.0,13.19,14.37,13.1,13.805,286323.0
2018-02-05,14.67,14.785,13.27,13.69,477748.0,0.0,1.0,14.67,14.785,13.27,13.69,477748.0
2018-02-02,16.21,17.0,14.71,14.9,326783.0,0.0,1.0,16.21,17.0,14.71,14.9,326783.0
2018-02-01,16.61,17.0,16.13,16.28,124618.0,0.0,1.0,16.61,17.0,16.13,16.28,124618.0
2018-01-31,17.12,17.45,16.65,16.73,212366.0,0.0,1.0,17.12,17.45,16.65,16.73,212366.0
2018-01-30,16.91,17.33,16.79,17.11,186815.0,0.0,1.0,16.91,17.33,16.79,17.11,186815.0
2018-01-29,16.91,18.04,16.64,17.02,474251.0,0.0,1.0,16.91,18.04,16.64,17.02,474251.0
2018-01-26,16.01,16.64,15.77,16.62,206091.0,0.0,1.0,16.01,16.64,15.77,16.62,206091.0
2018-01-25,15.42,15.98,15.21,15.97,164858.0,0.0,1.0,15.42,15.98,15.21,15.97,164858.0
2018-01-24,15.6,15.72,15.3,15.33,103587.0,0.0,1.0,15.6,15.72,15.3,15.33,103587.0
2018-01-23,15.63,15.8,15.29,15.51,92518.0,0.0,1.0,15.63,15.8,15.29,15.51,92518.0
2018-01-22,15.57,15.82,15.425,15.72,95226.0,0.0,1.0,15.57,15.82,15.425,15.72,95226.0
2018-01-19,15.51,15.73,15.31,15.58,183582.0,0.0,1.0,15.51,15.73,15.31,15.58,183582.0
2018-01-18,15.3,15.63,15.13,15.52,151855.0,0.0,1.0,15.3,15.63,15.13,15.52,151855.0
2018-01-17,15.11,15.31,14.38,15.26,157856.0,0.0,1.0,15.11,15.31,14.38,15.26,157856.0
2018-01-16,15.37,15.58,14.94,15.01,164055.0,0.0,1.0,15.37,15.58,14.94,15.01,164055.0
2018-01-12,15.32,15.47,15.11,15.28,72066.0,0.0,1.0,15.32,15.47,15.11,15.28,72066.0
2018-01-11,15.03,15.39,14.88,15.25,100854.0,0.0,1.0,15.03,15.39,14.88,15.25,100854.0
2018-01-10,15.13,15.13,14.65,15.03,125234.0,0.0,1.0,15.13,15.13,14.65,15.03,125234.0
2018-01-09,15.54,15.63,15.21,15.24,91144.0,0.0,1.0,15.54,15.63,15.21,15.24,91144.0
2018-01-08,15.54,15.69,15.12,15.56,106560.0,0.0,1.0,15.54,15.69,15.12,15.56,106560.0
2018-01-05,15.46,15.57,15.35,15.54,128050.0,0.0,1.0,15.46,15.57,15.35,15.54,128050.0
2018-01-04,15.52,15.56,15.25,15.43,113928.0,0.0,1.0,15.52,15.56,15.25,15.43,113928.0
2018-01-03,15.41,15.58,14.87,15.4,190059.0,0.0,1.0,15.41,15.58,14.87,15.4,190059.0
2018-01-02,15.84,16.01,15.28,15.44,140513.0,0.0,1.0,15.84,16.01,15.28,15.44,140513.0
2017-12-29,15.95,16.19,15.54,15.71,222470.0,0.0,1.0,15.95,16.19,15.54,15.71,222470.0
2017-12-28,15.57,15.95,14.83,15.91,203450.0,0.0,1.0,15.57,15.95,14.83,15.91,203450.0
2017-12-27,15.32,15.66,15.17,15.53,138516.0,0.0,1.0,15.32,15.66,15.17,15.53,138516.0
2017-12-26,15.38,15.5,15.18,15.29,166442.0,0.0,1.0,15.38,15.5,15.18,15.29,166442.0
2017-12-22,15.8,15.8,15.17,15.4,121821.0,0.0,1.0,15.8,15.8,15.17,15.4,121821.0
2017-12-21,15.78,15.93,15.59,15.81,150662.0,0.0,1.0,15.78,15.93,15.59,15.81,150662.0
2017-12-20,15.51,16.09,15.325999999999999,15.72,151319.0,0.0,1.0,15.51,16.09,15.325999999999999,15.72,151319.0
2017-12-19,15.74,15.85,15.26,15.44,146970.0,0.0,1.0,15.74,15.85,15.26,15.44,146970.0
2017-12-18,15.84,15.91,15.29,15.66,148312.0,0.0,1.0,15.84,15.91,15.29,15.66,148312.0
2017-12-15,15.58,15.71,15.48,15.67,183740.0,0.0,1.0,15.58,15.71,15.48,15.67,183740.0
2017-12-14,15.6,15.99,15.51,15.52,162061.0,0.0,1.0,15.6,15.99,15.51,15.52,162061.0
2017-12-13,15.27,15.99,15.27,15.54,257719.0,0.0,1.0,15.27,15.99,15.27,15.54,257719.0
2017-12-12,14.62,15.3,14.55,15.22,259193.0,0.0,1.0,14.62,15.3,14.55,15.22,259193.0
2017-12-11,14.18,14.88,14.18,14.59,206568.0,0.0,1.0,14.18,14.88,14.18,14.59,206568.0
2017-12-08,14.2,14.34,13.89,14.2,281637.0,0.0,1.0,14.2,14.34,13.89,14.2,281637.0
2017-12-07,14.6,14.62,13.81,14.055,424113.0,0.0,1.0,14.6,14.62,13.81,14.055,424113.0
2017-12-06,15.77,15.86,13.76,14.58,643175.0,0.0,1.0,15.77,15.86,13.76,14.58,643175.0
2017-12-05,16.21,16.345,15.69,15.76,256570.0,0.0,1.0,16.21,16.345,15.69,15.76,256570.0
2017-12-04,18.07,18.07,16.16,16.22,376269.0,0.0,1.0,18.07,18.07,16.16,16.22,376269.0
2017-12-01,17.79,18.49,17.61,17.78,406178.0,0.0,1.0,17.79,18.49,17.61,17.78,406178.0
2017-11-30,17.7,17.87,17.51,17.81,196024.0,0.0,1.0,17.7,17.87,17.51,17.81,196024.0
2017-11-29,17.65,18.06,17.48,17.69,260428.0,0.0,1.0,17.65,18.06,17.48,17.69,260428.0
2017-11-28,16.7,17.71,16.59,17.69,214463.0,0.0,1.0,16.7,17.71,16.59,17.69,214463.0
2017-11-27,16.6,16.74,16.26,16.7,233186.0,0.0,1.0,16.6,16.74,16.26,16.7,233186.0
2017-11-24,16.4,16.895,15.84,16.77,218935.0,0.0,1.0,16.4,16.895,15.84,16.77,218935.0
2017-11-22,17.66,17.82,16.01,16.51,654630.0,0.0,1.0,17.66,17.82,16.01,16.51,654630.0
2017-11-21,16.91,17.97,16.54,17.47,606715.0,0.0,0.25,16.91,17.97,16.54,17.47,606715.0
2017-11-20,4.03,4.21,4.03,4.15,787599.0,0.0,1.0,16.12,16.84,16.12,16.6,196899.75
2017-11-17,3.87,4.14,3.87,4.04,707173.0,0.0,1.0,15.48,16.56,15.48,16.16,176793.25
2017-11-16,3.72,3.97,3.72,3.91,986612.0,0.0,1.0,14.88,15.88,14.88,15.64,246653.0
2017-11-15,3.7,3.81,3.65,3.71,380832.0,0.0,1.0,14.8,15.24,14.6,14.84,95208.0
2017-11-14,3.73,3.8,3.66,3.71,740148.0,0.0,1.0,14.92,15.2,14.64,14.84,185037.0
2017-11-13,3.65,3.81,3.6,3.73,741080.0,0.0,1.0,14.6,15.24,14.4,14.92,185270.0
2017-11-10,3.7,3.765,3.59,3.63,1537790.0,0.0,1.0,14.8,15.06,14.36,14.52,384447.5
2017-11-09,3.58,3.75,3.56,3.73,1021990.0,0.0,1.0,14.32,15.0,14.24,14.92,255497.5
2017-11-07,3.97,3.97,3.68,3.79,1468846.0,0.0,1.0,15.88,15.88,14.72,15.16,367211.5
2017-11-06,3.99,4.1,3.9,3.97,931519.0,0.0,1.0,15.96,16.4,15.6,15.88,232879.75
2017-11-03,4.34,4.34,3.83,3.97,1953461.0,0.0,1.0,17.36,17.36,15.32,15.88,488365.25
2017-11-02,4.53,4.75,4.26,4.38,1510069.0,0.0,1.0,18.12,19.0,17.04,17.52,377517.25
2017-11-01,4.7,4.74,4.38,4.55,732906.0,0.0,1.0,18.8,18.96,17.52,18.2,183226.5
2017-10-31,4.7,4.71,4.64,4.65,501326.0,0.0,1.0,18.8,18.84,18.56,18.6,125331.5
2017-10-30,4.66,4.72,4.61,4.67,506363.0,0.0,1.0,18.64,18.88,18.44,18.68,126590.75
2017-10-27,4.53,4.75,4.53,4.68,631706.0,0.0,1.0,18.12,19.0,18.12,18.72,157926.5
2017-10-26,4.55,4.57,4.42,4.5,529798.0,0.0,1.0,18.2,18.28,17.68,18.0,132449.5
2017-10-25,4.67,4.68,4.515,4.53,557185.0,0.0,1.0,18.68,18.72,18.06,18.12,139296.25
2017-10-24,4.72,4.74,4.65,4.67,364482.0,0.0,1.0,18.88,18.96,18.6,18.68,91120.5
2017-10-23,4.9,4.9399,4.71,4.71,524686.0,0.0,1.0,19.6,19.7596,18.84,18.84,131171.5
2017-10-20,5.04,5.04,4.88,4.9,377386.0,0.0,1.0,20.16,20.16,19.52,19.6,94346.5
2017-10-19,5.17,5.17,4.82,4.97,816266.0,0.0,1.0,20.68,20.68,19.28,19.88,204066.5
