Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,176.12,177.09,172.16,173.25,1661300.0,0.0,1.0,176.12,177.09,172.16,173.25,1661300.0
2018-03-26,173.01,174.66,171.64,174.53,2519093.0,0.0,1.0,173.01,174.66,171.64,174.53,2519093.0
2018-03-23,174.8,176.67,169.84,169.87,1649296.0,0.0,1.0,174.8,176.67,169.84,169.87,1649296.0
2018-03-22,174.78,177.09,174.0,174.83,1521962.0,0.0,1.0,174.78,177.09,174.0,174.83,1521962.0
2018-03-21,177.6,178.88,175.81,176.66,1248960.0,0.0,1.0,177.6,178.88,175.81,176.66,1248960.0
2018-03-20,176.14,178.99,175.2372,178.15,1390744.0,0.0,1.0,176.14,178.99,175.2372,178.15,1390744.0
2018-03-19,177.34,177.565,173.475,175.74,1261676.0,0.0,1.0,177.34,177.565,173.475,175.74,1261676.0
2018-03-16,178.16,179.3,177.51,178.59,1449541.0,0.0,1.0,178.16,179.3,177.51,178.59,1449541.0
2018-03-15,177.27,178.418,176.72,177.93,1222458.0,0.0,1.0,177.27,178.418,176.72,177.93,1222458.0
2018-03-14,178.8,178.9899,176.26,177.29,1017469.0,0.0,1.0,178.8,178.9899,176.26,177.29,1017469.0
2018-03-13,177.67,179.17,176.57,177.68,1670541.0,0.0,1.0,177.67,179.17,176.57,177.68,1670541.0
2018-03-12,177.43,178.61,176.54,177.33,1964898.0,0.0,1.0,177.43,178.61,176.54,177.33,1964898.0
2018-03-09,172.38,177.26,172.02,177.17,1668884.0,0.0,1.0,172.38,177.26,172.02,177.17,1668884.0
2018-03-08,171.04,171.62,169.82,171.47,790847.0,0.0,1.0,171.04,171.62,169.82,171.47,790847.0
2018-03-07,168.58,171.16,168.26,170.66,1352306.0,0.0,1.0,168.58,171.16,168.26,170.66,1352306.0
2018-03-06,170.9,171.09,168.79,169.46,1262618.0,0.0,1.0,170.9,171.09,168.79,169.46,1262618.0
2018-03-05,167.59,171.41,167.0,170.18,1301835.0,0.0,1.0,167.59,171.41,167.0,170.18,1301835.0
2018-03-02,162.84,169.21,162.594,168.84,1896110.0,0.0,1.0,162.84,169.21,162.594,168.84,1896110.0
2018-03-01,167.4,168.14,163.24,164.34,1794290.0,0.0,1.0,167.4,168.14,163.24,164.34,1794290.0
2018-02-28,171.38,172.11,166.8,166.86,1625214.0,0.0,1.0,171.38,172.11,166.8,166.86,1625214.0
2018-02-27,172.36,173.155,170.26,170.35,1665940.0,0.0,1.0,172.36,173.155,170.26,170.35,1665940.0
2018-02-26,171.75,172.86,169.93,172.67,2238549.0,0.0,1.0,171.75,172.86,169.93,172.67,2238549.0
2018-02-23,167.9,172.3,164.85,171.78,3174674.0,0.0,1.0,167.9,172.3,164.85,171.78,3174674.0
2018-02-22,173.89,177.51,171.58,172.1,1979877.0,0.0,1.0,173.89,177.51,171.58,172.1,1979877.0
2018-02-21,174.5,176.255,173.21,173.32,1447456.0,0.0,1.0,174.5,176.255,173.21,173.32,1447456.0
2018-02-20,171.0,174.55,170.55,173.57,1791561.0,0.0,1.0,171.0,174.55,170.55,173.57,1791561.0
2018-02-16,169.02,173.0,168.81,171.69,1653221.0,0.0,1.0,169.02,173.0,168.81,171.69,1653221.0
2018-02-15,164.73,169.32,163.38,169.31,1136507.0,0.0,1.0,164.73,169.32,163.38,169.31,1136507.0
2018-02-14,158.85,164.06,158.1328,163.9,1191975.0,0.0,1.0,158.85,164.06,158.1328,163.9,1191975.0
2018-02-13,156.93,160.2,155.0212,159.36,1232053.0,0.0,1.0,156.93,160.2,155.0212,159.36,1232053.0
2018-02-12,159.21,160.78,157.5,159.38,1347698.0,0.0,1.0,159.21,160.78,157.5,159.38,1347698.0
2018-02-09,152.72,158.38,150.43,157.03,1964027.0,0.0,1.0,152.72,158.38,150.43,157.03,1964027.0
2018-02-08,161.28,161.28,152.67,152.67,1386481.0,0.0,1.0,161.28,161.28,152.67,152.67,1386481.0
2018-02-07,159.75,165.305,159.14,161.29,1472350.0,0.0,1.0,159.75,165.305,159.14,161.29,1472350.0
2018-02-06,155.21,160.91,152.611,160.87,1921429.0,0.0,1.0,155.21,160.91,152.611,160.87,1921429.0
2018-02-05,162.66,163.99,158.03,158.71,1281806.0,0.0,1.0,162.66,163.99,158.03,158.71,1281806.0
2018-02-02,164.49,166.405,163.41,163.42,1256601.0,0.0,1.0,164.49,166.405,163.41,163.42,1256601.0
2018-02-01,167.56,168.45,164.92,165.65,1332995.0,0.0,1.0,167.56,168.45,164.92,165.65,1332995.0
