Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,5.07,5.17,5.02,5.09,533106.0,0.0,1.0,5.07,5.17,5.02,5.09,533106.0
2018-03-26,5.08,5.09,4.99,5.07,467814.0,0.0,1.0,5.08,5.09,4.99,5.07,467814.0
2018-03-23,5.12,5.15,5.06,5.06,650257.0,0.0,1.0,5.12,5.15,5.06,5.06,650257.0
2018-03-22,5.03,5.165,5.03,5.12,795540.0,0.0,1.0,5.03,5.165,5.03,5.12,795540.0
2018-03-21,5.06,5.11,5.001,5.03,696196.0,0.0,1.0,5.06,5.11,5.001,5.03,696196.0
2018-03-20,5.07,5.08,5.01,5.05,652216.0,0.0,1.0,5.07,5.08,5.01,5.05,652216.0
2018-03-19,4.97,5.08,4.94,5.06,664446.0,0.0,1.0,4.97,5.08,4.94,5.06,664446.0
2018-03-16,4.85,4.98,4.85,4.94,1377454.0,0.0,1.0,4.85,4.98,4.85,4.94,1377454.0
2018-03-15,4.89,4.9,4.82,4.86,1078825.0,0.0,1.0,4.89,4.9,4.82,4.86,1078825.0
2018-03-14,4.81,4.91,4.81,4.9,679201.0,0.0,1.0,4.81,4.91,4.81,4.9,679201.0
2018-03-13,4.8,4.99,4.775,4.87,1194224.0,0.0,1.0,4.8,4.99,4.775,4.87,1194224.0
2018-03-12,4.76,4.81,4.72,4.8,613112.0,0.0,1.0,4.76,4.81,4.72,4.8,613112.0
2018-03-09,4.77,4.79,4.68,4.74,637291.0,0.0,1.0,4.77,4.79,4.68,4.74,637291.0
2018-03-08,4.83,4.85,4.73,4.75,1130390.0,0.0,1.0,4.83,4.85,4.73,4.75,1130390.0
2018-03-07,4.8,4.89,4.79,4.83,679320.0,0.0,1.0,4.8,4.89,4.79,4.83,679320.0
2018-03-06,4.76,4.85,4.72,4.8,493358.0,0.0,1.0,4.76,4.85,4.72,4.8,493358.0
2018-03-05,4.76,4.8,4.72,4.76,513638.0,0.0,1.0,4.76,4.8,4.72,4.76,513638.0
2018-03-02,4.7,4.78,4.68,4.76,350120.0,0.0,1.0,4.7,4.78,4.68,4.76,350120.0
2018-03-01,4.65,4.795,4.635,4.76,502578.0,0.0,1.0,4.65,4.795,4.635,4.76,502578.0
2018-02-28,4.73,4.75,4.61,4.65,963732.0,0.0,1.0,4.73,4.75,4.61,4.65,963732.0
2018-02-27,4.87,4.88,4.73,4.73,446922.0,0.0,1.0,4.87,4.88,4.73,4.73,446922.0
2018-02-26,4.82,4.9,4.8,4.89,384693.0,0.0,1.0,4.82,4.9,4.8,4.89,384693.0
2018-02-23,4.86,4.88,4.73,4.8,617063.0,0.0,1.0,4.86,4.88,4.73,4.8,617063.0
2018-02-22,4.8,4.88,4.79,4.83,254358.0,0.0,1.0,4.8,4.88,4.79,4.83,254358.0
2018-02-21,4.91,4.95,4.775,4.8,508519.0,0.0,1.0,4.91,4.95,4.775,4.8,508519.0
2018-02-20,5.02,5.07,4.9,4.91,323117.0,0.0,1.0,5.02,5.07,4.9,4.91,323117.0
2018-02-16,5.0,5.09,5.0,5.05,231509.0,0.0,1.0,5.0,5.09,5.0,5.05,231509.0
2018-02-15,4.91,5.03,4.87,5.02,526266.0,0.0,1.0,4.91,5.03,4.87,5.02,526266.0
2018-02-14,4.98,5.02,4.89,4.9,674636.0,0.0,1.0,4.98,5.02,4.89,4.9,674636.0
2018-02-13,5.0,5.04,4.94,5.02,313590.0,0.0,1.0,5.0,5.04,4.94,5.02,313590.0
2018-02-12,5.11,5.11,4.905,5.02,609209.0,0.0,1.0,5.11,5.11,4.905,5.02,609209.0
2018-02-09,5.08,5.155,5.01,5.11,379226.0,0.0,1.0,5.08,5.155,5.01,5.11,379226.0
2018-02-08,5.17,5.19,5.05,5.05,395753.0,0.0,1.0,5.17,5.19,5.05,5.05,395753.0
2018-02-07,5.09,5.31,5.06,5.18,733358.0,0.0,1.0,5.09,5.31,5.06,5.18,733358.0
2018-02-06,5.13,5.26,5.05,5.1,635594.0,0.0,1.0,5.13,5.26,5.05,5.1,635594.0
2018-02-05,5.45,5.51,5.18,5.21,614244.0,0.0,1.0,5.45,5.51,5.18,5.21,614244.0
2018-02-02,5.53,5.58,5.45,5.48,330176.0,0.0,1.0,5.53,5.58,5.45,5.48,330176.0
2018-02-01,5.68,5.69,5.53,5.58,420524.0,0.0,1.0,5.68,5.69,5.53,5.58,420524.0
2018-01-31,5.61,5.67,5.58,5.67,471384.0,0.0,1.0,5.61,5.67,5.58,5.67,471384.0
2018-01-30,5.6,5.6393,5.585,5.6,388032.0,0.0,1.0,5.6,5.6393,5.585,5.6,388032.0
2018-01-29,5.68,5.71,5.61,5.63,520486.0,0.0,1.0,5.68,5.71,5.61,5.63,520486.0
2018-01-26,5.75,5.76,5.64,5.67,272105.0,0.0,1.0,5.75,5.76,5.64,5.67,272105.0
2018-01-25,5.76,5.82,5.7,5.75,372778.0,0.0,1.0,5.76,5.82,5.7,5.75,372778.0
2018-01-24,5.81,5.85,5.77,5.78,359991.0,0.0,1.0,5.81,5.85,5.77,5.78,359991.0
2018-01-23,5.74,5.82,5.74,5.82,458229.0,0.0,1.0,5.74,5.82,5.74,5.82,458229.0
2018-01-22,5.75,5.76,5.71,5.74,314752.0,0.0,1.0,5.75,5.76,5.71,5.74,314752.0
2018-01-19,5.67,5.71,5.66,5.71,457340.0,0.0,1.0,5.67,5.71,5.66,5.71,457340.0
2018-01-18,5.66,5.7,5.63,5.69,495822.0,0.0,1.0,5.66,5.7,5.63,5.69,495822.0
2018-01-17,5.74,5.74,5.64,5.68,484567.0,0.0,1.0,5.74,5.74,5.64,5.68,484567.0
2018-01-16,5.62,5.76,5.62,5.74,731877.0,0.0,1.0,5.62,5.76,5.62,5.74,731877.0
2018-01-12,5.66,5.72,5.61,5.61,459427.0,0.0,1.0,5.66,5.72,5.61,5.61,459427.0
2018-01-11,5.67,5.73,5.65,5.67,392481.0,0.0,1.0,5.67,5.73,5.65,5.67,392481.0
2018-01-10,5.65,5.699,5.58,5.62,338916.0,0.0,1.0,5.65,5.699,5.58,5.62,338916.0
2018-01-09,5.77,5.79,5.69,5.69,728820.0,0.0,1.0,5.77,5.79,5.69,5.69,728820.0
2018-01-08,5.72,5.81,5.61,5.78,869052.0,0.0,1.0,5.72,5.81,5.61,5.78,869052.0
2018-01-05,5.55,5.57,5.49,5.53,423340.0,0.0,1.0,5.55,5.57,5.49,5.53,423340.0
2018-01-04,5.56,5.6,5.49,5.52,775555.0,0.0,1.0,5.56,5.6,5.49,5.52,775555.0
2018-01-03,5.69,5.71,5.53,5.58,903633.0,0.0,1.0,5.69,5.71,5.53,5.58,903633.0
2018-01-02,5.7,5.74,5.675,5.69,632353.0,0.0,1.0,5.7,5.74,5.675,5.69,632353.0
2017-12-29,5.71,5.74,5.68,5.68,669623.0,0.0,1.0,5.71,5.74,5.68,5.68,669623.0
2017-12-28,5.7,5.8,5.68,5.75,738649.0,0.0,1.0,5.7,5.8,5.68,5.75,738649.0
2017-12-27,5.7,5.74,5.69,5.72,396456.0,0.0,1.0,5.7,5.74,5.69,5.72,396456.0
2017-12-26,5.67,5.765,5.67,5.7,421737.0,0.0,1.0,5.67,5.765,5.67,5.7,421737.0
2017-12-22,5.75,5.76,5.67,5.68,555977.0,0.0,1.0,5.75,5.76,5.67,5.68,555977.0
