Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,3.56,3.7,3.53,3.6899,8564.0,0.0,1.0,3.56,3.7,3.53,3.6899,8564.0
2018-03-26,3.63,3.65,3.511,3.54,2375.0,0.0,1.0,3.63,3.65,3.511,3.54,2375.0
2018-03-23,3.65,3.67,3.52,3.61,8631.0,0.0,1.0,3.65,3.67,3.52,3.61,8631.0
2018-03-22,3.69,3.74,3.69,3.699,4420.0,0.0,1.0,3.69,3.74,3.69,3.699,4420.0
2018-03-21,3.65,3.73,3.65,3.673,2532.0,0.0,1.0,3.65,3.73,3.65,3.673,2532.0
2018-03-20,3.72,3.72,3.63,3.65,14797.0,0.0,1.0,3.72,3.72,3.63,3.65,14797.0
2018-03-19,3.67,3.72,3.67,3.7,6216.0,0.0,1.0,3.67,3.72,3.67,3.7,6216.0
2018-03-16,3.69,3.78,3.65,3.65,15801.0,0.0,1.0,3.69,3.78,3.65,3.65,15801.0
2018-03-15,3.65,3.71,3.65,3.69,7908.0,0.0,1.0,3.65,3.71,3.65,3.69,7908.0
2018-03-14,3.8,3.8,3.67,3.67,14145.0,0.0,1.0,3.8,3.8,3.67,3.67,14145.0
2018-03-13,3.7,3.78,3.65,3.78,21674.0,0.0,1.0,3.7,3.78,3.65,3.78,21674.0
2018-03-12,3.7,3.7,3.67,3.7,20003.0,0.0,1.0,3.7,3.7,3.67,3.7,20003.0
2018-03-09,3.68,3.68,3.6251,3.63,5582.0,0.0,1.0,3.68,3.68,3.6251,3.63,5582.0
2018-03-08,3.6409,3.7,3.6409,3.66,4571.0,0.0,1.0,3.6409,3.7,3.6409,3.66,4571.0
2018-03-07,3.54,3.7,3.54,3.62,30937.0,0.0,1.0,3.54,3.7,3.54,3.62,30937.0
2018-03-06,3.35,3.5508,3.32,3.51,42159.0,0.0,1.0,3.35,3.5508,3.32,3.51,42159.0
2018-03-05,3.25,3.35,3.25,3.34,7525.0,0.0,1.0,3.25,3.35,3.25,3.34,7525.0
2018-03-02,3.17,3.27,3.17,3.27,6451.0,0.0,1.0,3.17,3.27,3.17,3.27,6451.0
2018-03-01,3.25,3.25,3.19,3.19,1746.0,0.0,1.0,3.25,3.25,3.19,3.19,1746.0
2018-02-28,3.2499,3.25,3.19,3.24,28227.0,0.0,1.0,3.2499,3.25,3.19,3.24,28227.0
2018-02-27,3.25,3.25,3.17,3.24,12586.0,0.0,1.0,3.25,3.25,3.17,3.24,12586.0
2018-02-26,3.19,3.25,3.1701,3.24,21930.0,0.0,1.0,3.19,3.25,3.1701,3.24,21930.0
2018-02-23,3.13,3.17,3.13,3.14,4164.0,0.0,1.0,3.13,3.17,3.13,3.14,4164.0
2018-02-22,3.21,3.24,3.03,3.23,25527.0,0.0,1.0,3.21,3.24,3.03,3.23,25527.0
2018-02-21,3.12,3.24,2.9951,3.24,9200.0,0.0,1.0,3.12,3.24,2.9951,3.24,9200.0
2018-02-20,3.24,3.24,3.12,3.12,2808.0,0.0,1.0,3.24,3.24,3.12,3.12,2808.0
2018-02-16,3.3,3.31,3.141,3.18,63316.0,0.0,1.0,3.3,3.31,3.141,3.18,63316.0
2018-02-15,3.15,3.33,3.11,3.33,28564.0,0.0,1.0,3.15,3.33,3.11,3.33,28564.0
2018-02-14,2.9399,3.26,2.9399,3.25,88975.0,0.0,1.0,2.9399,3.26,2.9399,3.25,88975.0
2018-02-13,2.9201,2.93,2.92,2.92,12269.0,0.0,1.0,2.9201,2.93,2.92,2.92,12269.0
2018-02-12,2.971,3.04,2.92,2.93,9567.0,0.0,1.0,2.971,3.04,2.92,2.93,9567.0
2018-02-09,2.98,3.11,2.9,2.95,20397.0,0.0,1.0,2.98,3.11,2.9,2.95,20397.0
2018-02-08,2.99,3.01,2.98,3.0,1887.0,0.0,1.0,2.99,3.01,2.98,3.0,1887.0
2018-02-07,2.98,3.0,2.98,2.98,10108.0,0.0,1.0,2.98,3.0,2.98,2.98,10108.0
2018-02-06,2.98,3.0501,2.96,2.98,9402.0,0.0,1.0,2.98,3.0501,2.96,2.98,9402.0
2018-02-05,2.99,3.0933,2.98,2.98,13055.0,0.0,1.0,2.99,3.0933,2.98,2.98,13055.0
2018-02-02,2.99,3.16,2.99,3.1,21567.0,0.0,1.0,2.99,3.16,2.99,3.1,21567.0
2018-02-01,3.09,3.12,3.08,3.0999,13421.0,0.0,1.0,3.09,3.12,3.08,3.0999,13421.0
2018-01-31,3.1,3.15,3.1,3.1,37968.0,0.0,1.0,3.1,3.15,3.1,3.1,37968.0
