Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,78.71,80.11,77.1,77.54,1168795.0,0.0,1.0,78.71,80.11,77.1,77.54,1168795.0
2018-03-26,78.41,78.65,76.56,78.33,411566.0,0.0,1.0,78.41,78.65,76.56,78.33,411566.0
2018-03-23,78.94,79.32,77.22,77.23,334359.0,0.0,1.0,78.94,79.32,77.22,77.23,334359.0
2018-03-22,79.83,80.545,78.6,78.72,363699.0,0.0,1.0,79.83,80.545,78.6,78.72,363699.0
2018-03-21,80.68,81.66,80.47,80.67,650767.0,0.0,1.0,80.68,81.66,80.47,80.67,650767.0
2018-03-20,80.67,81.35,80.16,80.49,363932.0,0.0,1.0,80.67,81.35,80.16,80.49,363932.0
2018-03-19,82.69,82.7,79.92,80.49,555074.0,0.0,1.0,82.69,82.7,79.92,80.49,555074.0
2018-03-16,83.18,84.33,82.92,83.06,691287.0,0.0,1.0,83.18,84.33,82.92,83.06,691287.0
2018-03-15,83.32,83.73,82.41,82.9,227029.0,0.0,1.0,83.32,83.73,82.41,82.9,227029.0
2018-03-14,84.39,84.495,82.94,83.13,423022.0,0.0,1.0,84.39,84.495,82.94,83.13,423022.0
2018-03-13,84.91,85.42,83.09100000000001,83.93,463969.0,0.0,1.0,84.91,85.42,83.09100000000001,83.93,463969.0
2018-03-12,83.76,85.45,83.01,84.5,663736.0,0.0,1.0,83.76,85.45,83.01,84.5,663736.0
2018-03-09,82.32,83.58,81.84,83.56,373402.0,0.0,1.0,82.32,83.58,81.84,83.56,373402.0
2018-03-08,81.52,82.31,81.03,81.86,287810.0,0.0,1.0,81.52,82.31,81.03,81.86,287810.0
2018-03-07,79.55,81.67,79.55,81.31,420109.0,0.0,1.0,79.55,81.67,79.55,81.31,420109.0
2018-03-06,79.1,80.3,78.62,80.11,351955.0,0.0,1.0,79.1,80.3,78.62,80.11,351955.0
2018-03-05,76.56,78.99,76.56,78.78,330196.0,0.0,1.0,76.56,78.99,76.56,78.78,330196.0
2018-03-02,74.48,77.08,74.48,76.89,271452.0,0.0,1.0,74.48,77.08,74.48,76.89,271452.0
2018-03-01,73.98,75.32,73.385,75.12,330524.0,0.0,1.0,73.98,75.32,73.385,75.12,330524.0
2018-02-28,75.19,75.52,73.98,74.02,264892.0,0.0,1.0,75.19,75.52,73.98,74.02,264892.0
2018-02-27,78.04,78.19,75.01,75.04,254424.0,0.0,1.0,78.04,78.19,75.01,75.04,254424.0
2018-02-26,77.72,78.1,77.01,78.03,225039.0,0.0,1.0,77.72,78.1,77.01,78.03,225039.0
2018-02-23,76.75,77.61,76.23,77.59,230325.0,0.0,1.0,76.75,77.61,76.23,77.59,230325.0
2018-02-22,77.3,77.66,76.11,76.27,196767.0,0.0,1.0,77.3,77.66,76.11,76.27,196767.0
2018-02-21,77.49,77.82,76.82,77.19,302613.0,0.0,1.0,77.49,77.82,76.82,77.19,302613.0
2018-02-20,76.99,77.84,76.75,77.69,275675.0,0.0,1.0,76.99,77.84,76.75,77.69,275675.0
2018-02-16,77.76,77.99,77.04,77.38,450054.0,0.0,1.0,77.76,77.99,77.04,77.38,450054.0
2018-02-15,76.64,78.15,76.35,78.09,333903.0,0.0,1.0,76.64,78.15,76.35,78.09,333903.0
2018-02-14,73.68,76.48,72.281,76.32,339791.0,0.0,1.0,73.68,76.48,72.281,76.32,339791.0
2018-02-13,73.1,74.45,72.15,74.33,323468.0,0.0,1.0,73.1,74.45,72.15,74.33,323468.0
2018-02-12,71.9,73.53,71.07,73.27,351321.0,0.0,1.0,71.9,73.53,71.07,73.27,351321.0
