Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,24.63,24.815,24.105,24.25,3908697.0,0.0,1.0,24.63,24.815,24.105,24.25,3908697.0
2018-03-26,24.41,24.64,24.1,24.6,3811498.0,0.0,1.0,24.41,24.64,24.1,24.6,3811498.0
2018-03-23,24.85,24.91,24.12,24.12,4870682.0,0.0,1.0,24.85,24.91,24.12,24.12,4870682.0
2018-03-22,25.02,25.385,24.78,24.79,5100558.0,0.0,1.0,25.02,25.385,24.78,24.79,5100558.0
2018-03-21,25.19,25.6,25.11,25.3,4838637.0,0.0,1.0,25.19,25.6,25.11,25.3,4838637.0
2018-03-20,25.35,25.57,25.33,25.42,3092397.0,0.0,1.0,25.35,25.57,25.33,25.42,3092397.0
2018-03-19,25.54,25.91,25.075,25.26,8131118.0,0.0,1.0,25.54,25.91,25.075,25.26,8131118.0
2018-03-16,26.27,26.5,26.2,26.29,9454002.0,0.0,1.0,26.27,26.5,26.2,26.29,9454002.0
2018-03-15,26.2,26.41,26.1,26.23,3235861.0,0.0,1.0,26.2,26.41,26.1,26.23,3235861.0
2018-03-14,26.61,26.61,26.075,26.2,3522995.0,0.0,1.0,26.61,26.61,26.075,26.2,3522995.0
2018-03-13,26.42,26.645,26.3,26.41,3272949.0,0.0,1.0,26.42,26.645,26.3,26.41,3272949.0
2018-03-12,26.5,26.62,26.21,26.34,2886380.0,0.0,1.0,26.5,26.62,26.21,26.34,2886380.0
2018-03-09,26.15,26.44,26.03,26.43,2085452.0,0.0,1.0,26.15,26.44,26.03,26.43,2085452.0
2018-03-08,25.91,26.06,25.76,26.04,4030559.0,0.0,1.0,25.91,26.06,25.76,26.04,4030559.0
2018-03-07,25.81,26.01,25.69,25.87,3382356.0,0.0,1.0,25.81,26.01,25.69,25.87,3382356.0
2018-03-06,26.01,26.05,25.68,25.94,3265495.0,0.0,1.0,26.01,26.05,25.68,25.94,3265495.0
2018-03-05,25.51,26.16,25.44,25.84,6480238.0,0.0,1.0,25.51,26.16,25.44,25.84,6480238.0
2018-03-02,25.12,25.63,25.04,25.6,3572851.0,0.0,1.0,25.12,25.63,25.04,25.6,3572851.0
2018-03-01,25.65,25.88,25.09,25.17,4299230.0,0.0,1.0,25.65,25.88,25.09,25.17,4299230.0
2018-02-28,25.98,26.09,25.52,25.66,5679060.0,0.0,1.0,25.98,26.09,25.52,25.66,5679060.0
2018-02-27,26.19,26.7,26.0207,26.1,3595057.0,0.0,1.0,26.19,26.7,26.0207,26.1,3595057.0
2018-02-26,26.19,26.47,26.085,26.19,4028545.0,0.0,1.0,26.19,26.47,26.085,26.19,4028545.0
2018-02-23,26.21,26.29,25.69,26.12,4277718.0,0.0,1.0,26.21,26.29,25.69,26.12,4277718.0
2018-02-22,25.88,26.32,25.85,26.03,4485355.0,0.0,1.0,25.88,26.32,25.85,26.03,4485355.0
2018-02-21,26.29,26.4,25.81,25.89,4627163.0,0.0,1.0,26.29,26.4,25.81,25.89,4627163.0
2018-02-20,26.06,26.69,26.05,26.23,5252462.0,0.0,1.0,26.06,26.69,26.05,26.23,5252462.0
