Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,62.68,64.26,60.8,60.85,25936.0,0.0,1.0,62.68,64.26,60.8,60.85,25936.0
2018-03-26,62.83,62.96,60.145,62.69,84202.0,0.0,1.0,62.83,62.96,60.145,62.69,84202.0
2018-03-23,64.25,64.5,62.0,62.11,49779.0,0.0,1.0,64.25,64.5,62.0,62.11,49779.0
2018-03-22,65.47,66.89,63.67,64.19,34646.0,0.0,1.0,65.47,66.89,63.67,64.19,34646.0
2018-03-21,65.26,67.04,64.77,66.21,29693.0,0.0,1.0,65.26,67.04,64.77,66.21,29693.0
2018-03-20,65.2,66.24,64.87,65.27,24583.0,0.0,1.0,65.2,66.24,64.87,65.27,24583.0
2018-03-19,65.64,65.835,64.56,65.11,30113.0,0.0,1.0,65.64,65.835,64.56,65.11,30113.0
2018-03-16,66.36,67.435,65.56,65.84,52904.0,0.0,1.0,66.36,67.435,65.56,65.84,52904.0
2018-03-15,65.98,67.38,64.76,66.48,21238.0,0.0,1.0,65.98,67.38,64.76,66.48,21238.0
2018-03-14,67.67,67.815,65.38,65.99,16972.0,0.0,1.0,67.67,67.815,65.38,65.99,16972.0
2018-03-13,68.7,69.08,66.84,67.39,35793.0,0.0,1.0,68.7,69.08,66.84,67.39,35793.0
2018-03-12,67.26,68.84,66.8,68.46,42899.0,0.0,1.0,67.26,68.84,66.8,68.46,42899.0
2018-03-09,65.0,67.78,65.0,67.18,34246.0,0.0,1.0,65.0,67.78,65.0,67.18,34246.0
2018-03-08,66.8,67.11,64.03,64.56,27392.0,0.0,1.0,66.8,67.11,64.03,64.56,27392.0
2018-03-07,63.79,68.74,63.51,66.85,46275.0,0.0,1.0,63.79,68.74,63.51,66.85,46275.0
2018-03-06,63.28,64.94,62.43,64.54,26084.0,0.0,1.0,63.28,64.94,62.43,64.54,26084.0
2018-03-05,63.03,63.84,61.18,63.1,33913.0,0.0,1.0,63.03,63.84,61.18,63.1,33913.0
2018-03-02,59.83,63.72,59.14,63.22,41339.0,0.0,1.0,59.83,63.72,59.14,63.22,41339.0
2018-03-01,60.8,61.86,60.0,60.16,32368.0,0.0,1.0,60.8,61.86,60.0,60.16,32368.0
2018-02-28,62.0,62.515,61.15,61.64,21003.0,0.0,1.0,62.0,62.515,61.15,61.64,21003.0
2018-02-27,63.11,63.7,61.53,61.84,35804.0,0.0,1.0,63.11,63.7,61.53,61.84,35804.0
2018-02-26,64.41,64.41,62.53,64.01,19751.0,0.0,1.0,64.41,64.41,62.53,64.01,19751.0
2018-02-23,63.8,64.38,62.53,63.98,33619.0,0.0,1.0,63.8,64.38,62.53,63.98,33619.0
2018-02-22,64.13,65.2,62.835,63.25,33139.0,0.0,1.0,64.13,65.2,62.835,63.25,33139.0
2018-02-21,63.31,65.78,62.8,63.69,27099.0,0.0,1.0,63.31,65.78,62.8,63.69,27099.0
2018-02-20,64.29,64.98,62.34,63.32,36246.0,0.0,1.0,64.29,64.98,62.34,63.32,36246.0
2018-02-16,65.05,65.99,63.47,64.52,32450.0,0.0,1.0,65.05,65.99,63.47,64.52,32450.0
2018-02-15,66.56,67.2,64.33,65.27,19340.0,0.0,1.0,66.56,67.2,64.33,65.27,19340.0
2018-02-14,65.47,67.25,63.185,65.93,42895.0,0.0,1.0,65.47,67.25,63.185,65.93,42895.0
2018-02-13,64.18,66.42,64.18,66.3,25092.0,0.0,1.0,64.18,66.42,64.18,66.3,25092.0
2018-02-12,65.83,66.56,62.91,64.55,23972.0,0.0,1.0,65.83,66.56,62.91,64.55,23972.0
2018-02-09,66.01,67.18,64.2,65.29,52688.0,0.0,1.0,66.01,67.18,64.2,65.29,52688.0
2018-02-08,67.03,67.03,64.5,65.27,23012.0,0.0,1.0,67.03,67.03,64.5,65.27,23012.0
2018-02-07,67.04,67.9947,65.94,67.23,35287.0,0.0,1.0,67.04,67.9947,65.94,67.23,35287.0
2018-02-06,66.35,69.11,65.6809,67.05,68348.0,0.0,1.0,66.35,69.11,65.6809,67.05,68348.0
2018-02-05,73.89,73.89,68.62,68.62,76378.0,0.0,1.0,73.89,73.89,68.62,68.62,76378.0
2018-02-02,65.23,74.735,64.16,74.48,131945.0,0.0,1.0,65.23,74.735,64.16,74.48,131945.0
2018-02-01,60.5732,61.1,60.39,61.02,25640.0,0.0,1.0,60.5732,61.1,60.39,61.02,25640.0
2018-01-31,61.52,61.52,60.18,60.27,22725.0,0.0,1.0,61.52,61.52,60.18,60.27,22725.0
2018-01-30,61.62,61.62,59.9564,61.23,20617.0,0.0,1.0,61.62,61.62,59.9564,61.23,20617.0
2018-01-29,61.39,62.1634,59.9726,61.87,32946.0,0.0,1.0,61.39,62.1634,59.9726,61.87,32946.0
2018-01-26,62.06,62.32,61.47,61.85,11047.0,0.0,1.0,62.06,62.32,61.47,61.85,11047.0
2018-01-25,63.26,63.9,61.47,62.07,34560.0,0.0,1.0,63.26,63.9,61.47,62.07,34560.0
2018-01-24,62.56,63.22,61.2,62.96,29044.0,0.0,1.0,62.56,63.22,61.2,62.96,29044.0
2018-01-23,61.65,62.9,61.005,62.62,26491.0,0.0,1.0,61.65,62.9,61.005,62.62,26491.0
2018-01-22,63.33,63.34,61.12,61.41,48246.0,0.0,1.0,63.33,63.34,61.12,61.41,48246.0
2018-01-19,62.42,65.4,62.42,63.76,48016.0,0.0,1.0,62.42,65.4,62.42,63.76,48016.0
2018-01-18,63.42,63.42,62.22,62.61,17773.0,0.0,1.0,63.42,63.42,62.22,62.61,17773.0
2018-01-17,62.06,64.09,62.03,63.32,26057.0,0.0,1.0,62.06,64.09,62.03,63.32,26057.0
2018-01-16,62.27,63.14,61.12,61.61,39536.0,0.0,1.0,62.27,63.14,61.12,61.61,39536.0
2018-01-12,62.87,63.63,62.14,62.4,32021.0,0.0,1.0,62.87,63.63,62.14,62.4,32021.0
2018-01-11,61.91,63.29,61.14,62.96,25028.0,0.0,1.0,61.91,63.29,61.14,62.96,25028.0
2018-01-10,61.59,62.42,60.39,61.56,42649.0,0.0,1.0,61.59,62.42,60.39,61.56,42649.0
2018-01-09,62.71,63.7903,61.21,61.6,31337.0,0.0,1.0,62.71,63.7903,61.21,61.6,31337.0
2018-01-08,62.31,64.65,62.0201,62.7,68021.0,0.0,1.0,62.31,64.65,62.0201,62.7,68021.0
2018-01-05,62.91,63.455,60.7717,62.99,26971.0,0.0,1.0,62.91,63.455,60.7717,62.99,26971.0
2018-01-04,63.57,63.7747,62.38,62.77,31898.0,0.0,1.0,63.57,63.7747,62.38,62.77,31898.0
2018-01-03,61.95,64.43,61.5724,62.83,170790.0,0.0,1.0,61.95,64.43,61.5724,62.83,170790.0
2018-01-02,62.78,63.72,61.33,62.07,66280.0,0.0,1.0,62.78,63.72,61.33,62.07,66280.0
2017-12-29,63.76,63.76,61.92,62.09,33161.0,0.0,1.0,63.76,63.76,61.92,62.09,33161.0
2017-12-28,64.29,64.6,63.4578,63.75,26497.0,0.0,1.0,64.29,64.6,63.4578,63.75,26497.0
2017-12-27,65.64,66.8019,64.08,64.23,26401.0,0.0,1.0,65.64,66.8019,64.08,64.23,26401.0
2017-12-26,64.97,66.05,64.7608,65.25,46897.0,0.0,1.0,64.97,66.05,64.7608,65.25,46897.0
2017-12-22,64.43,65.225,63.35,65.1,32393.0,0.0,1.0,64.43,65.225,63.35,65.1,32393.0
2017-12-21,64.3,65.3499,64.1,64.44,32257.0,0.0,1.0,64.3,65.3499,64.1,64.44,32257.0
2017-12-20,64.31,65.24,64.1,64.45,36270.0,0.0,1.0,64.31,65.24,64.1,64.45,36270.0
2017-12-19,64.61,65.38,63.794,64.08,34489.0,0.0,1.0,64.61,65.38,63.794,64.08,34489.0
2017-12-18,63.33,65.4995,63.33,64.22,59339.0,0.0,1.0,63.33,65.4995,63.33,64.22,59339.0
2017-12-15,59.81,63.4,59.13,63.13,87730.0,0.0,1.0,59.81,63.4,59.13,63.13,87730.0
2017-12-14,60.8,61.195,59.37,59.92,41302.0,0.0,1.0,60.8,61.195,59.37,59.92,41302.0
2017-12-13,60.83,62.89,60.52,60.73,60209.0,0.0,1.0,60.83,62.89,60.52,60.73,60209.0
2017-12-12,63.07,64.325,60.305,61.03,58926.0,0.0,1.0,63.07,64.325,60.305,61.03,58926.0
2017-12-11,62.1,66.51,60.33,63.35,127915.0,0.0,1.0,62.1,66.51,60.33,63.35,127915.0
2017-12-08,73.75,74.15,60.0101,61.91,221714.0,0.0,1.0,73.75,74.15,60.0101,61.91,221714.0
2017-12-07,70.1,73.06,70.1,72.81,99290.0,0.0,1.0,70.1,73.06,70.1,72.81,99290.0
2017-12-06,70.5,71.28,69.5,70.16,21093.0,0.0,1.0,70.5,71.28,69.5,70.16,21093.0
2017-12-05,71.68,71.68,69.84,70.5,31625.0,0.0,1.0,71.68,71.68,69.84,70.5,31625.0
2017-12-04,72.98,72.98,71.5,71.84,16217.0,0.0,1.0,72.98,72.98,71.5,71.84,16217.0
2017-12-01,73.11,73.52,70.49,72.4,38641.0,0.0,1.0,73.11,73.52,70.49,72.4,38641.0
2017-11-30,72.29,74.05,72.29,73.14,19415.0,0.0,1.0,72.29,74.05,72.29,73.14,19415.0
2017-11-29,72.5,74.59,70.697,74.07,19711.0,0.0,1.0,72.5,74.59,70.697,74.07,19711.0
2017-11-28,72.09,73.9,68.31,73.49,20086.0,0.0,1.0,72.09,73.9,68.31,73.49,20086.0
2017-11-27,72.8,72.88,71.29,72.13,21942.0,0.0,1.0,72.8,72.88,71.29,72.13,21942.0
2017-11-24,72.0,72.8,71.58,72.67,7146.0,0.0,1.0,72.0,72.8,71.58,72.67,7146.0
