Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-04-05,28.3,28.31,28.29,28.3,7372239.0,0.0,1.0,28.3,28.31,28.29,28.3,7372239.0
2017-04-04,28.29,28.3,28.29,28.29,1221435.0,0.0,1.0,28.29,28.3,28.29,28.29,1221435.0
2017-04-03,28.23,28.3,28.23,28.29,1550618.0,0.0,1.0,28.23,28.3,28.23,28.29,1550618.0
2017-03-31,28.19,28.3,28.19,28.25,996839.0,0.0,1.0,28.19,28.3,28.19,28.25,996839.0
2017-03-30,28.24,28.29,28.23,28.29,680840.0,0.0,1.0,28.24,28.29,28.23,28.29,680840.0
2017-03-29,28.22,28.28,28.19,28.27,547515.0,0.0,1.0,28.22,28.28,28.19,28.27,547515.0
2017-03-28,28.19,28.23,28.19,28.23,1033508.0,0.0,1.0,28.19,28.23,28.19,28.23,1033508.0
2017-03-27,28.18,28.2,28.18,28.2,725309.0,0.0,1.0,28.18,28.2,28.18,28.2,725309.0
2017-03-24,28.2,28.21,28.18,28.19,409028.0,0.0,1.0,28.2,28.21,28.18,28.19,409028.0
2017-03-23,28.18,28.19,28.16,28.18,1046449.0,0.0,1.0,28.18,28.19,28.16,28.18,1046449.0
2017-03-22,28.16,28.19,28.16,28.18,1075660.0,0.0,1.0,28.16,28.19,28.16,28.18,1075660.0
2017-03-21,28.22,28.22,28.16,28.16,816976.0,0.0,1.0,28.22,28.22,28.16,28.16,816976.0
2017-03-20,28.15,28.21,28.15,28.19,1279380.0,0.0,1.0,28.15,28.21,28.15,28.19,1279380.0
2017-03-17,28.23,28.25,28.2,28.2,1585679.0,0.0,1.0,28.23,28.25,28.2,28.2,1585679.0
2017-03-16,28.26,28.26,28.205,28.22,1059263.0,0.0,1.0,28.26,28.26,28.205,28.22,1059263.0
2017-03-15,28.16,28.29,28.16,28.25,2042015.0,0.01,1.0,28.16,28.29,28.16,28.25,2042015.0
2017-03-14,28.16,28.165,28.14,28.15,808746.0,0.0,1.0,28.150035385704175,28.15503361641896,28.13004246284501,28.140038924274588,808746.0
2017-03-13,28.16,28.18,28.15,28.16,2043200.0,0.0,1.0,28.150035385704175,28.170028308563342,28.140038924274588,28.150035385704175,2043200.0
2017-03-10,28.19,28.19,28.15,28.16,2497511.0,0.0,1.0,28.180024769992922,28.180024769992922,28.140038924274588,28.150035385704175,2497511.0
2017-03-09,28.17,28.18,28.14,28.17,705194.0,0.0,1.0,28.16003184713376,28.170028308563342,28.13004246284501,28.16003184713376,705194.0
2017-03-08,28.18,28.21,28.17,28.17,1319136.0,0.0,1.0,28.170028308563342,28.200017692852093,28.16003184713376,28.16003184713376,1319136.0
2017-03-07,28.17,28.19,28.16,28.17,353913.0,0.0,1.0,28.16003184713376,28.180024769992922,28.150035385704175,28.16003184713376,353913.0
2017-03-06,28.15,28.21,28.14,28.18,1156614.0,0.0,1.0,28.140038924274588,28.200017692852093,28.13004246284501,28.170028308563342,1156614.0
2017-03-03,28.15,28.18,28.14,28.15,1251184.0,0.0,1.0,28.140038924274588,28.170028308563342,28.13004246284501,28.140038924274588,1251184.0
2017-03-02,28.18,28.2,28.12,28.16,2178344.0,0.0,1.0,28.170028308563342,28.190021231422506,28.11004953998584,28.150035385704175,2178344.0
2017-03-01,28.19,28.23,28.18,28.2,1125050.0,0.0,1.0,28.180024769992922,28.22001061571125,28.170028308563342,28.190021231422506,1125050.0
2017-02-28,28.19,28.19,28.17,28.19,1109037.0,0.0,1.0,28.180024769992922,28.180024769992922,28.16003184713376,28.180024769992922,1109037.0
2017-02-27,28.16,28.19,28.15,28.18,594393.0,0.0,1.0,28.150035385704175,28.180024769992922,28.140038924274588,28.170028308563342,594393.0
2017-02-24,28.14,28.18,28.14,28.18,543060.0,0.0,1.0,28.13004246284501,28.170028308563342,28.13004246284501,28.170028308563342,543060.0
2017-02-23,28.17,28.19,28.15,28.18,1065808.0,0.0,1.0,28.16003184713376,28.180024769992922,28.140038924274588,28.170028308563342,1065808.0
2017-02-22,28.14,28.17,28.14,28.17,427456.0,0.0,1.0,28.13004246284501,28.16003184713376,28.13004246284501,28.16003184713376,427456.0
2017-02-21,28.14,28.17,28.11,28.17,475460.0,0.0,1.0,28.13004246284501,28.16003184713376,28.10005307855626,28.16003184713376,475460.0
2017-02-17,28.14,28.1501,28.09,28.09,712051.0,0.0,1.0,28.13004246284501,28.140138888888888,28.080060155697094,28.080060155697094,712051.0
2017-02-16,28.15,28.15,28.12,28.15,450510.0,0.0,1.0,28.140038924274588,28.140038924274588,28.11004953998584,28.140038924274588,450510.0
2017-02-15,28.12,28.14,28.11,28.14,770074.0,0.0,1.0,28.11004953998584,28.13004246284501,28.10005307855626,28.13004246284501,770074.0
2017-02-14,28.13,28.15,28.11,28.11,902754.0,0.0,1.0,28.120046001415425,28.140038924274588,28.10005307855626,28.10005307855626,902754.0
2017-02-13,28.15,28.15,28.13,28.14,420576.0,0.0,1.0,28.140038924274588,28.140038924274588,28.120046001415425,28.13004246284501,420576.0
2017-02-10,28.15,28.16,28.13,28.14,538868.0,0.0,1.0,28.140038924274588,28.150035385704175,28.120046001415425,28.13004246284501,538868.0
2017-02-09,28.13,28.15,28.13,28.14,1785601.0,0.0,1.0,28.120046001415425,28.140038924274588,28.120046001415425,28.13004246284501,1785601.0
2017-02-08,28.15,28.17,28.07,28.14,1232535.0,0.0,1.0,28.140038924274588,28.16003184713376,28.06006723283793,28.13004246284501,1232535.0
2017-02-07,28.15,28.15,28.12,28.14,1183138.0,0.0,1.0,28.140038924274588,28.140038924274588,28.11004953998584,28.13004246284501,1183138.0
2017-02-06,28.16,28.16,28.13,28.14,378174.0,0.0,1.0,28.150035385704175,28.150035385704175,28.120046001415425,28.13004246284501,378174.0
2017-02-03,28.15,28.16,28.12,28.14,773737.0,0.0,1.0,28.140038924274588,28.150035385704175,28.11004953998584,28.13004246284501,773737.0
2017-02-02,28.15,28.15,28.07,28.12,1895677.0,0.0,1.0,28.140038924274588,28.140038924274588,28.06006723283793,28.11004953998584,1895677.0
2017-02-01,28.16,28.17,28.12,28.12,1309650.0,0.0,1.0,28.150035385704175,28.16003184713376,28.11004953998584,28.11004953998584,1309650.0
2017-01-31,28.11,28.16,28.11,28.12,3236248.0,0.0,1.0,28.10005307855626,28.150035385704175,28.10005307855626,28.11004953998584,3236248.0
2017-01-30,28.13,28.14,28.12,28.12,875864.0,0.0,1.0,28.120046001415425,28.13004246284501,28.11004953998584,28.11004953998584,875864.0
2017-01-27,28.15,28.17,28.13,28.14,655326.0,0.0,1.0,28.140038924274588,28.16003184713376,28.120046001415425,28.13004246284501,655326.0
2017-01-26,28.19,28.19,28.12,28.14,754911.0,0.0,1.0,28.180024769992922,28.180024769992922,28.11004953998584,28.13004246284501,754911.0
2017-01-25,28.16,28.185,28.14,28.18,813457.0,0.0,1.0,28.150035385704175,28.175026539278132,28.13004246284501,28.170028308563342,813457.0
2017-01-24,28.16,28.17,28.12,28.15,693016.0,0.0,1.0,28.150035385704175,28.16003184713376,28.11004953998584,28.140038924274588,693016.0
2017-01-23,28.14,28.17,28.12,28.15,577022.0,0.0,1.0,28.13004246284501,28.16003184713376,28.11004953998584,28.140038924274588,577022.0
2017-01-20,28.14,28.17,28.13,28.14,778109.0,0.0,1.0,28.13004246284501,28.16003184713376,28.120046001415425,28.13004246284501,778109.0
2017-01-19,28.14,28.17,28.12,28.15,923392.0,0.0,1.0,28.13004246284501,28.16003184713376,28.11004953998584,28.140038924274588,923392.0
2017-01-18,28.15,28.15,28.12,28.14,813129.0,0.0,1.0,28.140038924274588,28.140038924274588,28.11004953998584,28.13004246284501,813129.0
2017-01-17,28.13,28.15,28.11,28.14,633295.0,0.0,1.0,28.120046001415425,28.140038924274588,28.10005307855626,28.13004246284501,633295.0
2017-01-13,28.14,28.15,28.12,28.14,723483.0,0.0,1.0,28.13004246284501,28.140038924274588,28.11004953998584,28.13004246284501,723483.0
2017-01-12,28.13,28.15,28.11,28.14,749934.0,0.0,1.0,28.120046001415425,28.140038924274588,28.10005307855626,28.13004246284501,749934.0
2017-01-11,28.1,28.195,28.1,28.15,1007920.0,0.0,1.0,28.09005661712668,28.185023000707712,28.09005661712668,28.140038924274588,1007920.0
2017-01-10,28.07,28.14,28.06,28.13,896010.0,0.0,1.0,28.06006723283793,28.13004246284501,28.050070771408354,28.120046001415425,896010.0
2017-01-09,28.08,28.11,28.06,28.07,833708.0,0.0,1.0,28.070063694267517,28.10005307855626,28.050070771408354,28.06006723283793,833708.0
2017-01-06,28.07,28.12,28.06,28.09,693334.0,0.0,1.0,28.06006723283793,28.11004953998584,28.050070771408354,28.080060155697094,693334.0
2017-01-05,28.08,28.1,28.05,28.06,580863.0,0.0,1.0,28.070063694267517,28.09005661712668,28.04007430997877,28.050070771408354,580863.0
2017-01-04,28.03,28.11,28.01,28.09,2084172.0,0.0,1.0,28.020081387119603,28.10005307855626,28.00008846426044,28.080060155697094,2084172.0
2017-01-03,28.03,28.04,27.99,28.01,1963624.0,0.0,1.0,28.020081387119603,28.030077848549183,27.980095541401273,28.00008846426044,1963624.0
