Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,96.85,97.85,94.25,94.45,78554.0,0.0,1.0,96.85,97.85,94.25,94.45,78554.0
2018-03-26,96.4,96.6,94.75,96.4,47887.0,0.0,1.0,96.4,96.6,94.75,96.4,47887.0
2018-03-23,97.6,97.95,95.0,95.05,51435.0,0.0,1.0,97.6,97.95,95.0,95.05,51435.0
2018-03-22,99.0,100.3,97.9,97.9,34054.0,0.0,1.0,99.0,100.3,97.9,97.9,34054.0
2018-03-21,99.85,100.45,99.575,100.05,60495.0,0.0,1.0,99.85,100.45,99.575,100.05,60495.0
2018-03-20,100.2,100.8,98.9,99.9,54327.0,0.0,1.0,100.2,100.8,98.9,99.9,54327.0
2018-03-19,101.8,101.8,99.35,99.9,63872.0,0.0,1.0,101.8,101.8,99.35,99.9,63872.0
2018-03-16,101.9,102.35,101.55,101.85,74708.0,0.0,1.0,101.9,102.35,101.55,101.85,74708.0
2018-03-15,104.0,104.1,101.8,102.0,68902.0,0.0,1.0,104.0,104.1,101.8,102.0,68902.0
2018-03-14,104.95,104.95,103.25,103.7,33647.0,0.0,1.0,104.95,104.95,103.25,103.7,33647.0
2018-03-13,103.75,105.0,103.15,104.3,42710.0,0.0,1.0,103.75,105.0,103.15,104.3,42710.0
2018-03-12,104.3,105.95,102.75,103.2,40487.0,0.0,1.0,104.3,105.95,102.75,103.2,40487.0
2018-03-09,103.35,104.95,102.7,104.35,33961.0,0.0,1.0,103.35,104.95,102.7,104.35,33961.0
2018-03-08,100.5,102.85,99.6,102.65,64940.0,0.0,1.0,100.5,102.85,99.6,102.65,64940.0
2018-03-07,98.75,100.25,98.45,99.95,59120.0,0.0,1.0,98.75,100.25,98.45,99.95,59120.0
2018-03-06,97.45,99.4,96.45,99.3,46469.0,0.0,1.0,97.45,99.4,96.45,99.3,46469.0
2018-03-05,97.3,98.15,96.55,96.9,56011.0,0.0,1.0,97.3,98.15,96.55,96.9,56011.0
2018-03-02,94.7,97.6,94.45,97.3,47865.0,0.0,1.0,94.7,97.6,94.45,97.3,47865.0
2018-03-01,95.5,96.85,94.79,95.1,65795.0,0.0,1.0,95.5,96.85,94.79,95.1,65795.0
2018-02-28,99.1,99.1,95.25,95.4,55503.0,0.0,1.0,99.1,99.1,95.25,95.4,55503.0
2018-02-27,100.4,100.8,98.6,98.6,42755.0,0.0,1.0,100.4,100.8,98.6,98.6,42755.0
2018-02-26,99.05,100.875,98.75,100.45,87926.0,0.0,1.0,99.05,100.875,98.75,100.45,87926.0
2018-02-23,99.1,99.1,97.75,98.55,33484.0,0.0,1.0,99.1,99.1,97.75,98.55,33484.0
2018-02-22,98.75,99.7,98.05,98.5,42013.0,0.0,1.0,98.75,99.7,98.05,98.5,42013.0
2018-02-21,97.0,99.6,96.85,98.55,49203.0,0.0,1.0,97.0,99.6,96.85,98.55,49203.0
2018-02-20,96.8,97.3,96.05,96.6,107417.0,0.0,1.0,96.8,97.3,96.05,96.6,107417.0
2018-02-16,97.5,97.5,94.55,96.8,77090.0,0.0,1.0,97.5,97.5,94.55,96.8,77090.0
2018-02-15,97.7,98.45,95.9,97.4,60397.0,0.0,1.0,97.7,98.45,95.9,97.4,60397.0
2018-02-14,93.1,97.9,93.1,97.15,92577.0,0.0,1.0,93.1,97.9,93.1,97.15,92577.0
2018-02-13,93.5,94.25,92.55,93.8,39558.0,0.0,1.0,93.5,94.25,92.55,93.8,39558.0
2018-02-12,93.4,94.8,91.75,93.65,45144.0,0.0,1.0,93.4,94.8,91.75,93.65,45144.0
2018-02-09,93.4,94.225,91.3,93.15,50419.0,0.0,1.0,93.4,94.225,91.3,93.15,50419.0
2018-02-08,94.25,94.25,92.25,92.55,74628.0,0.0,1.0,94.25,94.25,92.25,92.55,74628.0
2018-02-07,93.35,95.1,92.5,94.05,43254.0,0.0,1.0,93.35,95.1,92.5,94.05,43254.0
2018-02-06,96.5,98.05,93.25,93.6,87133.0,0.0,1.0,96.5,98.05,93.25,93.6,87133.0
2018-02-05,100.0,101.25,98.1,98.35,131522.0,0.0,1.0,100.0,101.25,98.1,98.35,131522.0
2018-02-02,101.55,101.65,100.605,100.9,76902.0,0.0,1.0,101.55,101.65,100.605,100.9,76902.0
2018-02-01,99.7,102.8,98.405,102.35,112858.0,0.0,1.0,99.7,102.8,98.405,102.35,112858.0
2018-01-31,99.95,100.55,99.65,100.25,77649.0,0.0,1.0,99.95,100.55,99.65,100.25,77649.0
2018-01-30,98.5,99.9,97.9,99.4,31003.0,0.0,1.0,98.5,99.9,97.9,99.4,31003.0
2018-01-29,100.95,101.45,99.25,99.45,50877.0,0.0,1.0,100.95,101.45,99.25,99.45,50877.0
2018-01-26,101.8,101.85,100.6,101.5,46242.0,0.0,1.0,101.8,101.85,100.6,101.5,46242.0
2018-01-25,100.25,102.45,99.75,101.6,70689.0,0.0,1.0,100.25,102.45,99.75,101.6,70689.0
2018-01-24,99.6,101.55,99.1,100.05,98559.0,0.0,1.0,99.6,101.55,99.1,100.05,98559.0
2018-01-23,97.45,99.45,97.375,99.15,53753.0,0.0,1.0,97.45,99.45,97.375,99.15,53753.0
