Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,4.22,4.22,4.01,4.04,1096013.0,0.0,1.0,4.22,4.22,4.01,4.04,1096013.0
2018-03-26,4.13,4.23,4.035,4.22,1043909.0,0.0,1.0,4.13,4.23,4.035,4.22,1043909.0
2018-03-23,4.09,4.29,4.07,4.07,977762.0,0.0,1.0,4.09,4.29,4.07,4.07,977762.0
2018-03-22,4.14,4.23,4.07,4.08,894463.0,0.0,1.0,4.14,4.23,4.07,4.08,894463.0
2018-03-21,4.17,4.27,4.07,4.17,732978.0,0.0,1.0,4.17,4.27,4.07,4.17,732978.0
2018-03-20,4.34,4.34,4.135,4.16,1205978.0,0.0,1.0,4.34,4.34,4.135,4.16,1205978.0
2018-03-19,4.53,4.56,4.23,4.34,1911532.0,0.0,1.0,4.53,4.56,4.23,4.34,1911532.0
2018-03-16,4.58,4.6,4.23,4.53,4641976.0,0.0,1.0,4.58,4.6,4.23,4.53,4641976.0
2018-03-15,4.75,4.75,4.495,4.55,1631324.0,0.0,1.0,4.75,4.75,4.495,4.55,1631324.0
2018-03-14,4.77,4.81,4.675,4.72,1026956.0,0.0,1.0,4.77,4.81,4.675,4.72,1026956.0
2018-03-13,5.0,5.0,4.69,4.72,1308534.0,0.0,1.0,5.0,5.0,4.69,4.72,1308534.0
2018-03-12,4.97,5.04,4.75,4.96,906979.0,0.0,1.0,4.97,5.04,4.75,4.96,906979.0
2018-03-09,4.99,5.045,4.94,4.98,953908.0,0.0,1.0,4.99,5.045,4.94,4.98,953908.0
2018-03-08,5.1,5.18,4.87,4.94,989704.0,0.0,1.0,5.1,5.18,4.87,4.94,989704.0
2018-03-07,4.9,5.1,4.9,5.1,1152638.0,0.0,1.0,4.9,5.1,4.9,5.1,1152638.0
2018-03-06,4.87,4.95,4.81,4.95,817530.0,0.0,1.0,4.87,4.95,4.81,4.95,817530.0
2018-03-05,4.74,4.92,4.67,4.88,885890.0,0.0,1.0,4.74,4.92,4.67,4.88,885890.0
2018-03-02,4.48,4.77,4.48,4.74,1039478.0,0.0,1.0,4.48,4.77,4.48,4.74,1039478.0
2018-03-01,4.62,4.62,4.47,4.51,1124757.0,0.0,1.0,4.62,4.62,4.47,4.51,1124757.0
2018-02-28,4.77,4.81,4.59,4.59,1116550.0,0.0,1.0,4.77,4.81,4.59,4.59,1116550.0
2018-02-27,4.98,5.095,4.77,4.77,977982.0,0.0,1.0,4.98,5.095,4.77,4.77,977982.0
