Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,57.8,57.8,55.6,55.85,249527.0,0.0,1.0,57.8,57.8,55.6,55.85,249527.0
2018-03-26,56.5,57.95,55.9,57.8,333057.0,0.0,1.0,56.5,57.95,55.9,57.8,333057.0
2018-03-23,55.95,56.5,55.25,55.4,310156.0,0.0,1.0,55.95,56.5,55.25,55.4,310156.0
2018-03-22,57.65,57.9,55.7,55.95,301581.0,0.0,1.0,57.65,57.9,55.7,55.95,301581.0
2018-03-21,57.65,59.25,57.45,58.3,171793.0,0.0,1.0,57.65,59.25,57.45,58.3,171793.0
2018-03-20,56.75,57.6,56.25,57.55,298694.0,0.0,1.0,56.75,57.6,56.25,57.55,298694.0
2018-03-19,56.55,57.0,55.85,56.65,135505.0,0.0,1.0,56.55,57.0,55.85,56.65,135505.0
2018-03-16,56.6,57.6,55.85,56.8,758106.0,0.0,1.0,56.6,57.6,55.85,56.8,758106.0
2018-03-15,56.65,57.3,56.3,56.65,226780.0,0.0,1.0,56.65,57.3,56.3,56.65,226780.0
2018-03-14,58.35,58.35,56.35,56.5,182675.0,0.0,1.0,58.35,58.35,56.35,56.5,182675.0
2018-03-13,59.05,59.5,57.9,58.0,233835.0,0.0,1.0,59.05,59.5,57.9,58.0,233835.0
2018-03-12,58.7,58.95,58.1,58.8,294582.0,0.0,1.0,58.7,58.95,58.1,58.8,294582.0
2018-03-09,58.25,59.05,57.8,58.75,471935.0,0.0,1.0,58.25,59.05,57.8,58.75,471935.0
2018-03-08,59.0,59.15,57.55,57.95,212212.0,0.0,1.0,59.0,59.15,57.55,57.95,212212.0
2018-03-07,58.8,59.6,58.3,59.0,363431.0,0.0,1.0,58.8,59.6,58.3,59.0,363431.0
2018-03-06,59.0,59.2,57.55,59.2,368484.0,0.0,1.0,59.0,59.2,57.55,59.2,368484.0
2018-03-05,56.45,59.05,56.2,58.75,341585.0,0.0,1.0,56.45,59.05,56.2,58.75,341585.0
2018-03-02,56.1,57.15,55.3,57.1,366395.0,0.0,1.0,56.1,57.15,55.3,57.1,366395.0
2018-03-01,56.5,57.2,55.9,56.7,379569.0,0.0,1.0,56.5,57.2,55.9,56.7,379569.0
2018-02-28,57.2,58.25,56.3,56.4,443047.0,0.0,1.0,57.2,58.25,56.3,56.4,443047.0
2018-02-27,58.85,59.55,56.95,56.95,231826.0,0.0,1.0,58.85,59.55,56.95,56.95,231826.0
2018-02-26,57.95,59.75,57.85,58.9,340057.0,0.0,1.0,57.95,59.75,57.85,58.9,340057.0
2018-02-23,57.3,58.45,56.85,57.85,353784.0,0.0,1.0,57.3,58.45,56.85,57.85,353784.0
2018-02-22,57.2,57.6,56.3,56.8,435225.0,0.0,1.0,57.2,57.6,56.3,56.8,435225.0
2018-02-21,56.3,58.2,56.05,57.1,718310.0,0.0,1.0,56.3,58.2,56.05,57.1,718310.0
2018-02-20,58.35,58.65,55.45,56.35,440883.0,0.0,1.0,58.35,58.65,55.45,56.35,440883.0
2018-02-16,56.25,59.0,56.1,58.85,734625.0,0.0,1.0,56.25,59.0,56.1,58.85,734625.0
2018-02-15,53.6,55.65,52.15,55.5,713634.0,0.0,1.0,53.6,55.65,52.15,55.5,713634.0
2018-02-14,55.9,56.35,50.85,53.55,1624610.0,0.0,1.0,55.9,56.35,50.85,53.55,1624610.0
2018-02-13,57.55,57.625,56.4,57.55,265543.0,0.0,1.0,57.55,57.625,56.4,57.55,265543.0
2018-02-12,57.9,58.55,57.2,57.75,206889.0,0.0,1.0,57.9,58.55,57.2,57.75,206889.0
2018-02-09,56.8,58.1,56.35,57.7,231677.0,0.0,1.0,56.8,58.1,56.35,57.7,231677.0
2018-02-08,59.5,59.5,56.3,56.35,239670.0,0.0,1.0,59.5,59.5,56.3,56.35,239670.0
2018-02-07,60.0,60.3,59.05,59.4,171096.0,0.0,1.0,60.0,60.3,59.05,59.4,171096.0
2018-02-06,58.75,60.75,58.15,60.0,341287.0,0.0,1.0,58.75,60.75,58.15,60.0,341287.0
2018-02-05,61.95,63.1,59.8,59.9,207481.0,0.0,1.0,61.95,63.1,59.8,59.9,207481.0
2018-02-02,63.4,64.3,62.55,62.65,150267.0,0.0,1.0,63.4,64.3,62.55,62.65,150267.0
2018-02-01,64.5,64.65,63.35,63.7,231192.0,0.0,1.0,64.5,64.65,63.35,63.7,231192.0
2018-01-31,66.8,67.35,64.65,64.85,284878.0,0.0,1.0,66.8,67.35,64.65,64.85,284878.0
2018-01-30,66.7,66.8,66.05,66.55,206651.0,0.0,1.0,66.7,66.8,66.05,66.55,206651.0
2018-01-29,68.75,69.1,66.95,67.0,126839.0,0.0,1.0,68.75,69.1,66.95,67.0,126839.0
2018-01-26,69.0,69.4,68.6,68.9,113390.0,0.0,1.0,69.0,69.4,68.6,68.9,113390.0
2018-01-25,69.4,69.6,68.2562,69.0,141786.0,0.0,1.0,69.4,69.6,68.2562,69.0,141786.0
2018-01-24,69.55,69.8,68.85,68.95,115375.0,0.0,1.0,69.55,69.8,68.85,68.95,115375.0
2018-01-23,69.6,70.5,68.7,69.35,462866.0,0.0,1.0,69.6,70.5,68.7,69.35,462866.0
2018-01-22,70.55,70.55,68.85,69.35,160729.0,0.0,1.0,70.55,70.55,68.85,69.35,160729.0
2018-01-19,68.5,69.6,67.205,69.2,130345.0,0.0,1.0,68.5,69.6,67.205,69.2,130345.0
2018-01-18,71.1,71.25,68.7,68.8,136406.0,0.0,1.0,71.1,71.25,68.7,68.8,136406.0
2018-01-17,69.45,71.0,69.05,70.95,123811.0,0.0,1.0,69.45,71.0,69.05,70.95,123811.0
2018-01-16,69.7,70.1,68.8,69.25,172698.0,0.0,1.0,69.7,70.1,68.8,69.25,172698.0
2018-01-12,68.7,69.7,68.15,69.6,86561.0,0.0,1.0,68.7,69.7,68.15,69.6,86561.0
2018-01-11,67.9,68.75,67.3,68.7,87764.0,0.0,1.0,67.9,68.75,67.3,68.7,87764.0
2018-01-10,68.15,68.9,67.4,67.8,110691.0,0.0,1.0,68.15,68.9,67.4,67.8,110691.0
2018-01-09,68.8,70.15,68.4,68.5,254730.0,0.0,1.0,68.8,70.15,68.4,68.5,254730.0
2018-01-08,67.2,68.7,66.6,68.65,222569.0,0.0,1.0,67.2,68.7,66.6,68.65,222569.0
2018-01-05,68.55,68.55,67.3,67.35,108660.0,0.0,1.0,68.55,68.55,67.3,67.35,108660.0
2018-01-04,67.95,68.8,67.8,68.45,80545.0,0.0,1.0,67.95,68.8,67.8,68.45,80545.0
2018-01-03,68.6,69.0211,66.9,67.5,157965.0,0.0,1.0,68.6,69.0211,66.9,67.5,157965.0
2018-01-02,69.05,69.975,68.25,68.8,170068.0,0.0,1.0,69.05,69.975,68.25,68.8,170068.0
2017-12-29,69.8,70.5,68.85,68.9,146716.0,0.0,1.0,69.8,70.5,68.85,68.9,146716.0
2017-12-28,70.45,70.45,69.3,69.95,151730.0,0.0,1.0,70.45,70.45,69.3,69.95,151730.0
2017-12-27,70.35,71.0,69.8,70.15,88085.0,0.0,1.0,70.35,71.0,69.8,70.15,88085.0
2017-12-26,69.55,70.55,69.55,70.2,66186.0,0.0,1.0,69.55,70.55,69.55,70.2,66186.0
2017-12-22,69.45,70.195,69.2,69.8,58544.0,0.0,1.0,69.45,70.195,69.2,69.8,58544.0
2017-12-21,69.7,70.1,69.1,69.95,60380.0,0.0,1.0,69.7,70.1,69.1,69.95,60380.0
2017-12-20,69.6,69.65,68.8,69.15,137227.0,0.0,1.0,69.6,69.65,68.8,69.15,137227.0
2017-12-19,68.75,69.7,68.35,68.8,77133.0,0.0,1.0,68.75,69.7,68.35,68.8,77133.0
2017-12-18,70.15,71.0,68.8,69.4,114036.0,0.0,1.0,70.15,71.0,68.8,69.4,114036.0
2017-12-15,68.9,70.7,67.8,70.15,879745.0,0.0,1.0,68.9,70.7,67.8,70.15,879745.0
2017-12-14,68.35,68.8,67.35,67.7,150824.0,0.0,1.0,68.35,68.8,67.35,67.7,150824.0
2017-12-13,68.4,69.15,68.175,68.45,140659.0,0.0,1.0,68.4,69.15,68.175,68.45,140659.0
2017-12-12,68.4,68.95,68.1,68.8,143364.0,0.0,1.0,68.4,68.95,68.1,68.8,143364.0
2017-12-11,67.65,68.3,67.35,68.3,162127.0,0.0,1.0,67.65,68.3,67.35,68.3,162127.0
2017-12-08,68.95,69.2,67.45,67.5,169144.0,0.0,1.0,68.95,69.2,67.45,67.5,169144.0
2017-12-07,68.3,68.85,67.8,68.45,297688.0,0.0,1.0,68.3,68.85,67.8,68.45,297688.0
2017-12-06,68.15,69.25,68.15,68.4,176639.0,0.0,1.0,68.15,69.25,68.15,68.4,176639.0
2017-12-05,69.15,69.65,68.1,68.15,260452.0,0.0,1.0,69.15,69.65,68.1,68.15,260452.0
2017-12-04,70.0,70.7,68.4,68.6,223214.0,0.0,1.0,70.0,70.7,68.4,68.6,223214.0
