Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,41.7,41.7,40.43,40.63,944929.0,0.0,1.0,41.7,41.7,40.43,40.63,944929.0
2018-03-26,41.51,41.78,40.15,41.7,922452.0,0.0,1.0,41.51,41.78,40.15,41.7,922452.0
2018-03-23,41.56,41.94,40.46,40.56,1427807.0,0.0,1.0,41.56,41.94,40.46,40.56,1427807.0
2018-03-22,43.05,43.08,41.2201,41.5,1326166.0,0.0,1.0,43.05,43.08,41.2201,41.5,1326166.0
2018-03-21,43.47,44.28,43.27,43.69,654371.0,0.0,1.0,43.47,44.28,43.27,43.69,654371.0
2018-03-20,43.25,44.42,43.13,43.13,670081.0,0.0,1.0,43.25,44.42,43.13,43.13,670081.0
2018-03-19,43.5,43.69,42.16,42.95,683099.0,0.0,1.0,43.5,43.69,42.16,42.95,683099.0
2018-03-16,42.94,43.93,42.81,43.7,1205703.0,0.0,1.0,42.94,43.93,42.81,43.7,1205703.0
2018-03-15,44.0,44.34,42.96,43.0,781061.0,0.0,1.0,44.0,44.34,42.96,43.0,781061.0
2018-03-14,45.27,45.27,43.64,43.9,1412691.0,0.0,1.0,45.27,45.27,43.64,43.9,1412691.0
2018-03-13,45.27,45.51,44.7,44.89,919475.0,0.0,1.0,45.27,45.51,44.7,44.89,919475.0
2018-03-12,45.61,45.91,44.66,45.02,788666.0,0.0,1.0,45.61,45.91,44.66,45.02,788666.0
2018-03-09,44.3,45.72,44.17,45.61,860082.0,0.0,1.0,44.3,45.72,44.17,45.61,860082.0
2018-03-08,43.82,44.01,42.96,43.83,538252.0,0.0,1.0,43.82,44.01,42.96,43.83,538252.0
2018-03-07,42.78,43.76,42.63,43.62,971828.0,0.0,1.0,42.78,43.76,42.63,43.62,971828.0
2018-03-06,42.4,43.56,42.4,43.22,825305.0,0.0,1.0,42.4,43.56,42.4,43.22,825305.0
2018-03-05,40.78,42.34,40.7347,42.18,1212849.0,0.0,1.0,40.78,42.34,40.7347,42.18,1212849.0
2018-03-02,40.26,41.19,39.51,41.03,1101084.0,0.0,1.0,40.26,41.19,39.51,41.03,1101084.0
2018-03-01,41.52,41.75,40.235,40.76,1320438.0,0.0,1.0,41.52,41.75,40.235,40.76,1320438.0
2018-02-28,43.12,43.1247,41.14,41.2,1228579.0,0.0,1.0,43.12,43.1247,41.14,41.2,1228579.0
2018-02-27,43.99,44.56,43.12,43.15,789943.0,0.0,1.0,43.99,44.56,43.12,43.15,789943.0
