Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,42.7,43.31,42.525,42.89,11595357.0,0.0,1.0,42.7,43.31,42.525,42.89,11595357.0
2018-03-26,42.61,42.8099,42.25,42.69,10939927.0,0.0,1.0,42.61,42.8099,42.25,42.69,10939927.0
2018-03-23,42.82,43.1556,42.29,42.33,13190877.0,0.0,1.0,42.82,43.1556,42.29,42.33,13190877.0
2018-03-22,42.88,43.365,42.7,42.76,12134714.0,0.0,1.0,42.88,43.365,42.7,42.76,12134714.0
2018-03-21,43.13,43.45,42.79,43.0,13029766.0,0.0,1.0,43.13,43.45,42.79,43.0,13029766.0
2018-03-20,43.32,43.48,43.01,43.16,13430443.0,0.0,1.0,43.32,43.48,43.01,43.16,13430443.0
2018-03-19,43.46,43.71,43.175,43.26,12285923.0,0.0,1.0,43.46,43.71,43.175,43.26,12285923.0
2018-03-16,43.7,44.02,43.45,43.46,25429988.0,0.0,1.0,43.7,44.02,43.45,43.46,25429988.0
2018-03-15,43.88,44.0,43.55,43.67,12405834.0,0.0,1.0,43.88,44.0,43.55,43.67,12405834.0
2018-03-14,44.38,44.43,43.725,43.78,15156179.0,0.0,1.0,44.38,44.43,43.725,43.78,15156179.0
2018-03-13,44.67,44.825,44.4,44.57,11055085.0,0.0,1.0,44.67,44.825,44.4,44.57,11055085.0
2018-03-12,44.95,45.09,44.33,44.53,11831981.0,0.0,1.0,44.95,45.09,44.33,44.53,11831981.0
2018-03-09,44.57,44.82,44.39,44.82,9748419.0,0.0,1.0,44.57,44.82,44.39,44.82,9748419.0
2018-03-08,43.9,44.46,43.8,44.45,12081945.0,0.0,1.0,43.9,44.46,43.8,44.45,12081945.0
2018-03-07,43.59,43.92,43.47,43.82,10881683.0,0.0,1.0,43.59,43.92,43.47,43.82,10881683.0
2018-03-06,43.95,44.05,43.59,43.93,10004997.0,0.0,1.0,43.95,44.05,43.59,43.93,10004997.0
2018-03-05,43.57,43.935,43.5,43.89,11992712.0,0.0,1.0,43.57,43.935,43.5,43.89,11992712.0
2018-03-02,43.25,43.8,43.24,43.72,14050081.0,0.0,1.0,43.25,43.8,43.24,43.72,14050081.0
2018-03-01,43.1,43.64,42.82,43.43,17746825.0,0.0,1.0,43.1,43.64,42.82,43.43,17746825.0
2018-02-28,43.83,43.91,43.22,43.22,11800531.0,0.0,1.0,43.83,43.91,43.22,43.22,11800531.0
2018-02-27,44.15,44.31100000000001,43.62,43.62,12664020.0,0.0,1.0,44.15,44.31100000000001,43.62,43.62,12664020.0
2018-02-26,44.23,44.39,43.81,44.03,12631455.0,0.0,1.0,44.23,44.39,43.81,44.03,12631455.0
2018-02-23,43.58,44.06,43.42,44.04,7404783.0,0.0,1.0,43.58,44.06,43.42,44.04,7404783.0
2018-02-22,43.43,43.82,43.22,43.52,12307608.0,0.0,1.0,43.43,43.82,43.22,43.52,12307608.0
2018-02-21,44.11,44.26,43.33,43.34,12724257.0,0.0,1.0,44.11,44.26,43.33,43.34,12724257.0
2018-02-20,44.75,44.83,43.94,43.99,14030169.0,0.0,1.0,44.75,44.83,43.94,43.99,14030169.0
2018-02-16,45.57,45.6401,44.72,44.98,17171198.0,0.0,1.0,45.57,45.6401,44.72,44.98,17171198.0
2018-02-15,44.25,44.83,44.12,44.78,13422779.0,0.0,1.0,44.25,44.83,44.12,44.78,13422779.0
2018-02-14,44.02,44.19,43.63,44.1,13425655.0,0.0,1.0,44.02,44.19,43.63,44.1,13425655.0
2018-02-13,43.92,44.41,43.69,44.19,13149647.0,0.0,1.0,43.92,44.41,43.69,44.19,13149647.0
2018-02-12,43.56,44.23,43.3721,43.97,14646457.0,0.0,1.0,43.56,44.23,43.3721,43.97,14646457.0
