Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,14.67,14.67,14.07,14.21,190913.0,0.0,1.0,14.67,14.67,14.07,14.21,190913.0
2018-03-26,14.79,14.79,14.3,14.57,1728784.0,0.0,1.0,14.79,14.79,14.3,14.57,1728784.0
2018-03-23,15.42,15.42,14.52,14.54,191717.0,0.0,1.0,15.42,15.42,14.52,14.54,191717.0
2018-03-22,15.69,16.0,15.4,15.41,127043.0,0.0,1.0,15.69,16.0,15.4,15.41,127043.0
2018-03-21,15.68,16.0,15.6,15.84,111771.0,0.0,1.0,15.68,16.0,15.6,15.84,111771.0
2018-03-20,15.88,15.98,15.71,15.75,126555.0,0.0,1.0,15.88,15.98,15.71,15.75,126555.0
2018-03-19,16.1,16.1,15.66,15.8,139907.0,0.0,1.0,16.1,16.1,15.66,15.8,139907.0
2018-03-16,16.36,16.45,16.17,16.18,337209.0,0.0,1.0,16.36,16.45,16.17,16.18,337209.0
2018-03-15,16.47,16.54,16.25,16.32,166879.0,0.0,1.0,16.47,16.54,16.25,16.32,166879.0
2018-03-14,16.57,16.8,16.4,16.44,258526.0,0.0,1.0,16.57,16.8,16.4,16.44,258526.0
2018-03-13,16.63,16.96,16.46,16.54,288729.0,0.0,1.0,16.63,16.96,16.46,16.54,288729.0
2018-03-12,16.54,16.725,16.46,16.51,266522.0,0.0,1.0,16.54,16.725,16.46,16.51,266522.0
2018-03-09,16.11,16.54,16.07,16.53,371560.0,0.0,1.0,16.11,16.54,16.07,16.53,371560.0
2018-03-08,16.08,16.175,15.91,16.07,139322.0,0.0,1.0,16.08,16.175,15.91,16.07,139322.0
2018-03-07,15.9,16.16,15.88,16.07,406543.0,0.0,1.0,15.9,16.16,15.88,16.07,406543.0
2018-03-06,15.95,16.04,15.83,16.0,187075.0,0.0,1.0,15.95,16.04,15.83,16.0,187075.0
2018-03-05,15.72,15.99,15.61,15.95,201204.0,0.0,1.0,15.72,15.99,15.61,15.95,201204.0
2018-03-02,15.36,15.89,15.25,15.84,285943.0,0.0,1.0,15.36,15.89,15.25,15.84,285943.0
2018-03-01,15.5,15.9,15.39,15.52,269108.0,0.0,1.0,15.5,15.9,15.39,15.52,269108.0
2018-02-28,15.9,15.99,15.49,15.5,242286.0,0.0,1.0,15.9,15.99,15.49,15.5,242286.0
2018-02-27,16.29,16.48,15.92,15.92,222593.0,0.0,1.0,16.29,16.48,15.92,15.92,222593.0
2018-02-26,16.14,16.33,15.96,16.2,413348.0,0.0,1.0,16.14,16.33,15.96,16.2,413348.0
2018-02-23,16.29,16.36,15.89,16.13,247001.0,0.0,1.0,16.29,16.36,15.89,16.13,247001.0
2018-02-22,15.69,16.44,15.69,16.16,371216.0,0.0,1.0,15.69,16.44,15.69,16.16,371216.0
2018-02-21,16.06,16.49,15.95,16.05,372198.0,0.0,1.0,16.06,16.49,15.95,16.05,372198.0
2018-02-20,16.1,16.57,15.99,16.19,487717.0,0.0,1.0,16.1,16.57,15.99,16.19,487717.0
2018-02-16,15.7,16.27,15.57,16.14,1344864.0,0.0,1.0,15.7,16.27,15.57,16.14,1344864.0
2018-02-15,14.88,15.51,14.88,15.5,779038.0,0.0,1.0,14.88,15.51,14.88,15.5,779038.0
2018-02-14,15.11,15.69,14.46,14.89,4227671.0,0.0,1.0,15.11,15.69,14.46,14.89,4227671.0
2018-02-13,12.49,13.6,12.45,12.62,119546.0,0.0,1.0,12.49,13.6,12.45,12.62,119546.0
2018-02-12,12.59,13.715,12.44,12.57,85872.0,0.0,1.0,12.59,13.715,12.44,12.57,85872.0
2018-02-09,12.68,12.68,12.22,12.55,135683.0,0.0,1.0,12.68,12.68,12.22,12.55,135683.0
2018-02-08,12.77,12.87,12.54,12.55,96706.0,0.0,1.0,12.77,12.87,12.54,12.55,96706.0
2018-02-07,12.8,12.87,12.52,12.76,159586.0,0.0,1.0,12.8,12.87,12.52,12.76,159586.0
2018-02-06,12.62,13.27,12.62,12.88,133580.0,0.0,1.0,12.62,13.27,12.62,12.88,133580.0
2018-02-05,13.15,13.52,12.79,12.96,143593.0,0.0,1.0,13.15,13.52,12.79,12.96,143593.0
2018-02-02,13.31,13.425,13.1898,13.23,81107.0,0.0,1.0,13.31,13.425,13.1898,13.23,81107.0
2018-02-01,13.4,13.52,13.21,13.35,114949.0,0.0,1.0,13.4,13.52,13.21,13.35,114949.0
2018-01-31,13.68,13.829,13.37,13.49,117817.0,0.0,1.0,13.68,13.829,13.37,13.49,117817.0
2018-01-30,13.5,13.65,13.41,13.63,122748.0,0.0,1.0,13.5,13.65,13.41,13.63,122748.0
2018-01-29,13.52,13.59,13.43,13.51,58499.0,0.0,1.0,13.52,13.59,13.43,13.51,58499.0
2018-01-26,13.56,13.56,13.42,13.54,90378.0,0.0,1.0,13.56,13.56,13.42,13.54,90378.0
2018-01-25,13.35,13.55,13.2,13.5,141617.0,0.0,1.0,13.35,13.55,13.2,13.5,141617.0
2018-01-24,13.36,13.39,13.18,13.3,70353.0,0.0,1.0,13.36,13.39,13.18,13.3,70353.0
2018-01-23,13.32,13.6331,13.3,13.35,94054.0,0.0,1.0,13.32,13.6331,13.3,13.35,94054.0
2018-01-22,13.42,13.52,13.26,13.36,85589.0,0.0,1.0,13.42,13.52,13.26,13.36,85589.0
