Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,61.71,62.5,60.81,61.03,233898.0,0.0,1.0,61.71,62.5,60.81,61.03,233898.0
2018-03-26,62.96,63.325,61.05,61.73,175561.0,0.0,1.0,62.96,63.325,61.05,61.73,175561.0
2018-03-23,62.36,63.44,62.2,62.32,220679.0,0.0,1.0,62.36,63.44,62.2,62.32,220679.0
2018-03-22,61.69,63.25,61.68,62.23,262935.0,0.0,1.0,61.69,63.25,61.68,62.23,262935.0
2018-03-21,61.55,62.85,61.19,61.88,226984.0,0.0,1.0,61.55,62.85,61.19,61.88,226984.0
2018-03-20,63.09,63.47,61.49,61.51,191127.0,0.0,1.0,63.09,63.47,61.49,61.51,191127.0
2018-03-19,63.47,63.63,61.72,63.07,207900.0,0.0,1.0,63.47,63.63,61.72,63.07,207900.0
2018-03-16,63.21,63.86,62.18,63.59,283777.0,0.0,1.0,63.21,63.86,62.18,63.59,283777.0
2018-03-15,64.11,64.29,62.78,63.32,225764.0,0.0,1.0,64.11,64.29,62.78,63.32,225764.0
2018-03-14,64.05,64.44,63.215,63.79,206288.0,0.0,1.0,64.05,64.44,63.215,63.79,206288.0
2018-03-13,64.25,64.94,63.43,63.78,263804.0,0.0,1.0,64.25,64.94,63.43,63.78,263804.0
2018-03-12,63.77,64.41,63.01,64.22,242591.0,0.0,1.0,63.77,64.41,63.01,64.22,242591.0
2018-03-09,62.65,64.54,62.12,63.87,264318.0,0.0,1.0,62.65,64.54,62.12,63.87,264318.0
2018-03-08,62.37,63.34,61.89,62.4,176626.0,0.0,1.0,62.37,63.34,61.89,62.4,176626.0
2018-03-07,60.4,62.77,60.09,62.19,248337.0,0.0,1.0,60.4,62.77,60.09,62.19,248337.0
2018-03-06,60.94,61.47,59.58,60.87,375290.0,0.0,1.0,60.94,61.47,59.58,60.87,375290.0
2018-03-05,61.26,61.34,59.85,60.98,242528.0,0.0,1.0,61.26,61.34,59.85,60.98,242528.0
2018-03-02,60.76,61.86,59.5,61.06,390922.0,0.0,1.0,60.76,61.86,59.5,61.06,390922.0
2018-03-01,65.03,65.03,59.51,61.07,590704.0,0.0,1.0,65.03,65.03,59.51,61.07,590704.0
2018-02-28,66.15,66.65,64.05,64.38,309599.0,0.0,1.0,66.15,66.65,64.05,64.38,309599.0
2018-02-27,65.14,67.95,65.06,66.13,305526.0,0.0,1.0,65.14,67.95,65.06,66.13,305526.0
2018-02-26,64.32,65.33,63.48,64.97,177878.0,0.0,1.0,64.32,65.33,63.48,64.97,177878.0
2018-02-23,63.73,64.65,62.37,64.27,250176.0,0.0,1.0,63.73,64.65,62.37,64.27,250176.0
2018-02-22,64.03,64.23,62.65,63.32,306271.0,0.0,1.0,64.03,64.23,62.65,63.32,306271.0
2018-02-21,63.23,64.79,62.82,64.04,197667.0,0.0,1.0,63.23,64.79,62.82,64.04,197667.0
2018-02-20,63.33,63.81,62.71,63.07,152228.0,0.0,1.0,63.33,63.81,62.71,63.07,152228.0
2018-02-16,62.99,64.15,62.99,63.39,177952.0,0.0,1.0,62.99,64.15,62.99,63.39,177952.0
2018-02-15,63.39,63.39,62.2,63.09,135360.0,0.0,1.0,63.39,63.39,62.2,63.09,135360.0
2018-02-14,62.48,63.7,62.48,63.0,147041.0,0.0,1.0,62.48,63.7,62.48,63.0,147041.0
2018-02-13,63.04,63.56,62.425,63.05,112527.0,0.0,1.0,63.04,63.56,62.425,63.05,112527.0
2018-02-12,63.75,63.8,61.83,63.5,188220.0,0.0,1.0,63.75,63.8,61.83,63.5,188220.0
2018-02-09,62.98,64.02,62.37,63.58,195063.0,0.0,1.0,62.98,64.02,62.37,63.58,195063.0
2018-02-08,62.95,63.39,62.01,62.47,169700.0,0.0,1.0,62.95,63.39,62.01,62.47,169700.0
2018-02-07,63.4,64.26,62.235,62.83,576552.0,0.0,1.0,63.4,64.26,62.235,62.83,576552.0
2018-02-06,59.49,63.92,58.651,63.8,533269.0,0.0,1.0,59.49,63.92,58.651,63.8,533269.0
2018-02-05,61.51,62.7,60.2,60.4,226844.0,0.0,1.0,61.51,62.7,60.2,60.4,226844.0
