Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,23.98,24.02,23.29,23.39,485227.0,0.0,1.0,23.98,24.02,23.29,23.39,485227.0
2018-03-26,23.62,24.12,23.52,23.95,705797.0,0.0,1.0,23.62,24.12,23.52,23.95,705797.0
2018-03-23,23.91,24.2,23.28,23.29,694472.0,0.0,1.0,23.91,24.2,23.28,23.29,694472.0
2018-03-22,24.0,24.53,23.67,23.77,572913.0,0.0,1.0,24.0,24.53,23.67,23.77,572913.0
2018-03-21,24.45,24.59,24.101,24.28,539620.0,0.0,1.0,24.45,24.59,24.101,24.28,539620.0
2018-03-20,24.34,24.48,23.77,24.42,801204.0,0.0,1.0,24.34,24.48,23.77,24.42,801204.0
2018-03-19,25.65,25.65,24.21,24.29,918094.0,0.0,1.0,25.65,25.65,24.21,24.29,918094.0
2018-03-16,25.42,26.06,24.97,25.35,1919547.0,0.0,1.0,25.42,26.06,24.97,25.35,1919547.0
2018-03-15,25.0,25.33,24.38,24.57,628038.0,0.0,1.0,25.0,25.33,24.38,24.57,628038.0
2018-03-14,25.05,25.2,24.62,24.85,816675.0,0.0,1.0,25.05,25.2,24.62,24.85,816675.0
2018-03-13,25.14,25.64,24.86,24.9,752887.0,0.0,1.0,25.14,25.64,24.86,24.9,752887.0
2018-03-12,25.21,25.43,24.96,25.04,1083402.0,0.0,1.0,25.21,25.43,24.96,25.04,1083402.0
2018-03-09,24.47,25.24,24.14,25.1,906018.0,0.0,1.0,24.47,25.24,24.14,25.1,906018.0
2018-03-08,24.44,24.8,24.25,24.32,662563.0,0.0,1.0,24.44,24.8,24.25,24.32,662563.0
2018-03-07,23.81,24.53,23.81,24.25,661795.0,0.0,1.0,23.81,24.53,23.81,24.25,661795.0
2018-03-06,23.97,24.34,23.65,24.09,1018487.0,0.0,1.0,23.97,24.34,23.65,24.09,1018487.0
2018-03-05,23.19,24.2,23.09,23.84,1078845.0,0.0,1.0,23.19,24.2,23.09,23.84,1078845.0
2018-03-02,23.01,23.48,22.59,23.31,980053.0,0.0,1.0,23.01,23.48,22.59,23.31,980053.0
2018-03-01,22.82,23.69,22.64,23.35,1244496.0,0.0,1.0,22.82,23.69,22.64,23.35,1244496.0
2018-02-28,21.98,23.49,21.621,23.16,1973242.0,0.0,1.0,21.98,23.49,21.621,23.16,1973242.0
2018-02-27,24.25,24.36,20.195,22.43,7154119.0,0.0,1.0,24.25,24.36,20.195,22.43,7154119.0
2018-02-26,25.0,25.29,24.2,24.72,1654783.0,0.0,1.0,25.0,25.29,24.2,24.72,1654783.0
2018-02-23,23.92,24.9,23.92,24.85,900914.0,0.0,1.0,23.92,24.9,23.92,24.85,900914.0
2018-02-22,23.69,24.32,23.68,23.84,838692.0,0.0,1.0,23.69,24.32,23.68,23.84,838692.0
2018-02-21,23.6,23.89,22.79,23.51,1230999.0,0.0,1.0,23.6,23.89,22.79,23.51,1230999.0
2018-02-20,23.74,24.23,23.5,23.63,849980.0,0.0,1.0,23.74,24.23,23.5,23.63,849980.0
2018-02-16,24.47,25.12,23.45,23.83,1095030.0,0.0,1.0,24.47,25.12,23.45,23.83,1095030.0
2018-02-15,24.03,24.64,23.71,24.52,886939.0,0.0,1.0,24.03,24.64,23.71,24.52,886939.0
2018-02-14,23.01,24.19,22.6,23.91,1158524.0,0.0,1.0,23.01,24.19,22.6,23.91,1158524.0
2018-02-13,24.21,24.25,22.351999999999997,23.13,2891797.0,0.0,1.0,24.21,24.25,22.351999999999997,23.13,2891797.0
2018-02-12,25.81,25.89,24.11,24.49,3223447.0,0.0,1.0,25.81,25.89,24.11,24.49,3223447.0
2018-02-09,25.91,27.07,25.4037,26.86,1252346.0,0.0,1.0,25.91,27.07,25.4037,26.86,1252346.0
2018-02-08,26.03,26.22,25.18,25.57,957991.0,0.0,1.0,26.03,26.22,25.18,25.57,957991.0
2018-02-07,26.11,26.59,25.67,26.0,846365.0,0.0,1.0,26.11,26.59,25.67,26.0,846365.0
2018-02-06,24.09,26.33,23.81,26.14,1134628.0,0.0,1.0,24.09,26.33,23.81,26.14,1134628.0
2018-02-05,25.62,26.15,24.6114,24.7,1235485.0,0.0,1.0,25.62,26.15,24.6114,24.7,1235485.0
2018-02-02,26.78,27.1,25.78,25.79,1104531.0,0.0,1.0,26.78,27.1,25.78,25.79,1104531.0
2018-02-01,27.72,27.78,26.66,27.05,1292782.0,0.0,1.0,27.72,27.78,26.66,27.05,1292782.0
2018-01-31,29.5,29.525,27.5,27.94,1475353.0,0.0,1.0,29.5,29.525,27.5,27.94,1475353.0
2018-01-30,28.96,29.68,28.67,29.2,744460.0,0.0,1.0,28.96,29.68,28.67,29.2,744460.0
2018-01-29,30.65,30.72,29.36,29.39,897921.0,0.0,1.0,30.65,30.72,29.36,29.39,897921.0
2018-01-26,30.61,30.79,30.195,30.76,373584.0,0.0,1.0,30.61,30.79,30.195,30.76,373584.0
2018-01-25,30.85,30.87,30.31,30.56,599764.0,0.0,1.0,30.85,30.87,30.31,30.56,599764.0
2018-01-24,30.81,31.18,30.44,30.63,357006.0,0.0,1.0,30.81,31.18,30.44,30.63,357006.0
2018-01-23,31.19,31.24,30.33,30.65,429258.0,0.0,1.0,31.19,31.24,30.33,30.65,429258.0
2018-01-22,30.41,31.19,30.1,31.15,702299.0,0.0,1.0,30.41,31.19,30.1,31.15,702299.0
2018-01-19,29.42,30.55,29.2942,30.33,479393.0,0.0,1.0,29.42,30.55,29.2942,30.33,479393.0
2018-01-18,29.41,29.72,28.78,29.42,584717.0,0.0,1.0,29.41,29.72,28.78,29.42,584717.0
