Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,29.01,29.1678,28.315,28.5,1113969.0,0.0,1.0,29.01,29.1678,28.315,28.5,1113969.0
2018-03-26,28.57,29.02,28.31,29.01,2899694.0,0.0,1.0,28.57,29.02,28.31,29.01,2899694.0
2018-03-23,28.34,28.66,27.95,27.95,1959360.0,0.0,1.0,28.34,28.66,27.95,27.95,1959360.0
2018-03-22,28.73,28.94,28.09,28.1,1203321.0,0.0,1.0,28.73,28.94,28.09,28.1,1203321.0
2018-03-21,28.8,29.31,28.72,29.01,1309681.0,0.0,1.0,28.8,29.31,28.72,29.01,1309681.0
2018-03-20,29.09,29.23,28.71,28.85,1067676.0,0.0,1.0,29.09,29.23,28.71,28.85,1067676.0
2018-03-19,29.46,29.48,28.73,29.04,972749.0,0.0,1.0,29.46,29.48,28.73,29.04,972749.0
2018-03-16,29.04,30.0,29.04,29.66,2477033.0,0.0,1.0,29.04,30.0,29.04,29.66,2477033.0
2018-03-15,28.87,29.53,28.87,29.11,2273749.0,0.0,1.0,28.87,29.53,28.87,29.11,2273749.0
2018-03-14,28.79,28.865,28.4,28.53,890260.0,0.0,1.0,28.79,28.865,28.4,28.53,890260.0
2018-03-13,28.62,28.97,28.44,28.56,669615.0,0.0,1.0,28.62,28.97,28.44,28.56,669615.0
2018-03-12,28.55,28.77,28.41,28.59,1505562.0,0.0,1.0,28.55,28.77,28.41,28.59,1505562.0
2018-03-09,27.96,28.42,27.6,28.42,1487930.0,0.0,1.0,27.96,28.42,27.6,28.42,1487930.0
2018-03-08,28.22,28.39,27.67,27.82,1213373.0,0.0,1.0,28.22,28.39,27.67,27.82,1213373.0
2018-03-07,28.56,28.59,27.77,28.13,1513299.0,0.0,1.0,28.56,28.59,27.77,28.13,1513299.0
2018-03-06,28.14,28.97,28.03,28.64,2471432.0,0.0,1.0,28.14,28.97,28.03,28.64,2471432.0
2018-03-05,28.28,28.62,27.97,27.99,1188732.0,0.0,1.0,28.28,28.62,27.97,27.99,1188732.0
2018-03-02,27.47,28.49,27.15,28.44,2207749.0,0.0,1.0,27.47,28.49,27.15,28.44,2207749.0
2018-03-01,28.47,28.67,27.435,27.68,3017981.0,0.0,1.0,28.47,28.67,27.435,27.68,3017981.0
2018-02-28,29.35,29.5,28.49,28.5,1821326.0,0.0,1.0,29.35,29.5,28.49,28.5,1821326.0
2018-02-27,29.71,29.8628,29.23,29.37,1636177.0,0.0,1.0,29.71,29.8628,29.23,29.37,1636177.0
2018-02-26,29.71,29.74,29.09,29.7,2898454.0,0.0,1.0,29.71,29.74,29.09,29.7,2898454.0
2018-02-23,29.08,29.74,28.95,29.72,1593784.0,0.0,1.0,29.08,29.74,28.95,29.72,1593784.0
2018-02-22,29.25,29.51,28.93,29.01,1861100.0,0.0,1.0,29.25,29.51,28.93,29.01,1861100.0
2018-02-21,28.77,29.61,28.77,29.07,2473879.0,0.0,1.0,28.77,29.61,28.77,29.07,2473879.0
2018-02-20,29.13,29.49,28.56,28.65,1972132.0,0.0,1.0,29.13,29.49,28.56,28.65,1972132.0
2018-02-16,29.05,29.32,28.75,29.25,2014815.0,0.0,1.0,29.05,29.32,28.75,29.25,2014815.0
2018-02-15,30.12,30.28,28.93,29.07,3059985.0,0.0,1.0,30.12,30.28,28.93,29.07,3059985.0
2018-02-14,30.37,30.72,30.06,30.07,2798226.0,0.0,1.0,30.37,30.72,30.06,30.07,2798226.0
2018-02-13,29.52,30.76,29.11,30.45,4477788.0,0.0,1.0,29.52,30.76,29.11,30.45,4477788.0
2018-02-12,27.6,28.69,27.325,28.44,3292601.0,0.0,1.0,27.6,28.69,27.325,28.44,3292601.0
2018-02-09,27.17,27.62,26.36,27.45,2556430.0,0.0,1.0,27.17,27.62,26.36,27.45,2556430.0
2018-02-08,28.01,28.24,26.72,26.73,3048098.0,0.0,1.0,28.01,28.24,26.72,26.73,3048098.0
2018-02-07,27.78,28.4,27.7,27.99,1453941.0,0.0,1.0,27.78,28.4,27.7,27.99,1453941.0
2018-02-06,27.0,28.22,26.69,27.84,1616432.0,0.0,1.0,27.0,28.22,26.69,27.84,1616432.0
2018-02-05,28.37,28.85,27.58,27.74,1976603.0,0.0,1.0,28.37,28.85,27.58,27.74,1976603.0
2018-02-02,29.15,29.42,28.63,28.75,1465566.0,0.0,1.0,29.15,29.42,28.63,28.75,1465566.0
2018-02-01,29.69,29.77,29.15,29.42,1981854.0,0.0,1.0,29.69,29.77,29.15,29.42,1981854.0
2018-01-31,30.1,30.23,29.5,29.61,1470795.0,0.0,1.0,30.1,30.23,29.5,29.61,1470795.0
2018-01-30,29.8,30.15,29.72,29.98,1261027.0,0.0,1.0,29.8,30.15,29.72,29.98,1261027.0
2018-01-29,30.74,30.8,30.11,30.16,1078244.0,0.0,1.0,30.74,30.8,30.11,30.16,1078244.0
2018-01-26,30.63,30.98,30.0,30.74,1740648.0,0.0,1.0,30.63,30.98,30.0,30.74,1740648.0
2018-01-25,30.8,30.8,29.75,30.5,1524796.0,0.0,1.0,30.8,30.8,29.75,30.5,1524796.0
2018-01-24,29.94,31.07,29.56,30.6,3083001.0,0.0,1.0,29.94,31.07,29.56,30.6,3083001.0
2018-01-23,29.28,29.31,28.78,29.1,1303097.0,0.0,1.0,29.28,29.31,28.78,29.1,1303097.0
2018-01-22,28.83,29.24,28.77,29.21,1714818.0,0.0,1.0,28.83,29.24,28.77,29.21,1714818.0
2018-01-19,27.84,28.77,27.73,28.75,1703245.0,0.0,1.0,27.84,28.77,27.73,28.75,1703245.0
2018-01-18,28.06,28.12,27.79,27.89,1154231.0,0.0,1.0,28.06,28.12,27.79,27.89,1154231.0
2018-01-17,27.91,28.17,27.62,28.06,928650.0,0.0,1.0,27.91,28.17,27.62,28.06,928650.0
2018-01-16,28.59,28.59,27.59,27.65,1459446.0,0.0,1.0,28.59,28.59,27.59,27.65,1459446.0
2018-01-12,28.22,28.51,28.03,28.3,1037569.0,0.0,1.0,28.22,28.51,28.03,28.3,1037569.0
2018-01-11,27.68,28.3,27.65,28.15,1147100.0,0.0,1.0,27.68,28.3,27.65,28.15,1147100.0
2018-01-10,27.6,27.86,27.54,27.63,1435672.0,0.0,1.0,27.6,27.86,27.54,27.63,1435672.0
2018-01-09,27.62,27.975,27.51,27.74,1377235.0,0.0,1.0,27.62,27.975,27.51,27.74,1377235.0
2018-01-08,27.9,27.98,27.52,27.65,883286.0,0.0,1.0,27.9,27.98,27.52,27.65,883286.0
2018-01-05,28.05,28.34,27.825,27.97,1163278.0,0.0,1.0,28.05,28.34,27.825,27.97,1163278.0
2018-01-04,27.77,28.17,27.7,27.87,1627341.0,0.0,1.0,27.77,28.17,27.7,27.87,1627341.0
2018-01-03,26.73,27.77,26.73,27.6,1852117.0,0.0,1.0,26.73,27.77,26.73,27.6,1852117.0
2018-01-02,26.41,26.76,26.37,26.7,1980695.0,0.0,1.0,26.41,26.76,26.37,26.7,1980695.0
2017-12-29,26.6,26.65,26.25,26.26,1578610.0,0.0,1.0,26.6,26.65,26.25,26.26,1578610.0
2017-12-28,26.45,26.98,26.385,26.52,1684140.0,0.0,1.0,26.45,26.98,26.385,26.52,1684140.0
2017-12-27,26.11,26.46,26.02,26.36,1118864.0,0.0,1.0,26.11,26.46,26.02,26.36,1118864.0
2017-12-26,26.38,26.41,25.89,26.1,1117893.0,0.0,1.0,26.38,26.41,25.89,26.1,1117893.0
2017-12-22,26.23,26.45,26.05,26.38,1967243.0,0.0,1.0,26.23,26.45,26.05,26.38,1967243.0
2017-12-21,26.64,26.82,26.07,26.17,1932931.0,0.0,1.0,26.64,26.82,26.07,26.17,1932931.0
2017-12-20,26.55,26.765,26.425,26.52,1660013.0,0.0,1.0,26.55,26.765,26.425,26.52,1660013.0
2017-12-19,27.05,27.2,26.59,26.59,1119608.0,0.0,1.0,27.05,27.2,26.59,26.59,1119608.0
2017-12-18,26.925,27.11,26.79,26.95,1403365.0,0.0,1.0,26.925,27.11,26.79,26.95,1403365.0
2017-12-15,26.56,26.98,26.55,26.67,3735097.0,0.0,1.0,26.56,26.98,26.55,26.67,3735097.0
2017-12-14,26.95,27.07,26.4,26.52,1731536.0,0.0,1.0,26.95,27.07,26.4,26.52,1731536.0
2017-12-13,26.33,27.05,26.3,26.85,1018907.0,0.0,1.0,26.33,27.05,26.3,26.85,1018907.0
2017-12-12,26.93,27.13,26.52,26.52,1683905.0,0.0,1.0,26.93,27.13,26.52,26.52,1683905.0
2017-12-11,27.21,27.25,26.82,26.84,1248275.0,0.0,1.0,27.21,27.25,26.82,26.84,1248275.0
2017-12-08,27.07,27.18,26.84,27.07,1039183.0,0.0,1.0,27.07,27.18,26.84,27.07,1039183.0
2017-12-07,26.26,26.95,26.25,26.87,1704535.0,0.0,1.0,26.26,26.95,26.25,26.87,1704535.0
2017-12-06,26.33,26.62,26.22,26.38,1456606.0,0.0,1.0,26.33,26.62,26.22,26.38,1456606.0
2017-12-05,26.59,26.85,26.38,26.39,1867410.0,0.0,1.0,26.59,26.85,26.38,26.39,1867410.0
2017-12-04,27.17,27.26,26.37,26.49,2113845.0,0.0,1.0,27.17,27.26,26.37,26.49,2113845.0
2017-12-01,27.68,27.74,26.62,26.95,2329335.0,0.0,1.0,27.68,27.74,26.62,26.95,2329335.0
2017-11-30,27.7,27.99,27.345,27.61,2410003.0,0.0,1.0,27.7,27.99,27.345,27.61,2410003.0
2017-11-29,27.87,28.14,27.5,27.6,1855246.0,0.0,1.0,27.87,28.14,27.5,27.6,1855246.0
2017-11-28,27.31,27.9,27.28,27.9,1573702.0,0.0,1.0,27.31,27.9,27.28,27.9,1573702.0
2017-11-27,27.23,27.33,27.0,27.2,1798937.0,0.0,1.0,27.23,27.33,27.0,27.2,1798937.0
2017-11-24,27.27,27.49,27.12,27.33,499105.0,0.0,1.0,27.27,27.49,27.12,27.33,499105.0
2017-11-22,27.29,27.44,27.03,27.11,810962.0,0.0,1.0,27.29,27.44,27.03,27.11,810962.0
2017-11-21,27.1,27.32,26.96,27.25,1205917.0,0.0,1.0,27.1,27.32,26.96,27.25,1205917.0
2017-11-20,26.72,26.925,26.66,26.89,1939672.0,0.0,1.0,26.72,26.925,26.66,26.89,1939672.0
