Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,7.81,7.92,7.73,7.83,1332974.0,0.0,1.0,7.81,7.92,7.73,7.83,1332974.0
2018-03-26,7.83,7.83,7.68,7.8,1188759.0,0.0,1.0,7.83,7.83,7.68,7.8,1188759.0
2018-03-23,7.85,7.9,7.72,7.72,1476786.0,0.0,1.0,7.85,7.9,7.72,7.72,1476786.0
2018-03-22,7.85,8.08,7.83,7.83,1464378.0,0.0,1.0,7.85,8.08,7.83,7.83,1464378.0
2018-03-21,7.91,7.97,7.86,7.92,1056880.0,0.0,1.0,7.91,7.97,7.86,7.92,1056880.0
2018-03-20,8.01,8.14,7.925,7.95,1239119.0,0.0,1.0,8.01,8.14,7.925,7.95,1239119.0
2018-03-19,8.04,8.08,7.965,8.03,1289759.0,0.0,1.0,8.04,8.08,7.965,8.03,1289759.0
2018-03-16,8.02,8.12,7.99,8.11,3244621.0,0.0,1.0,8.02,8.12,7.99,8.11,3244621.0
2018-03-15,8.06,8.11,7.98,8.01,1078136.0,0.0,1.0,8.06,8.11,7.98,8.01,1078136.0
2018-03-14,8.13,8.18,8.05,8.05,1206447.0,0.0,1.0,8.13,8.18,8.05,8.05,1206447.0
2018-03-13,8.17,8.205,8.09,8.09,1077747.0,0.0,1.0,8.17,8.205,8.09,8.09,1077747.0
2018-03-12,8.07,8.19,8.05,8.12,1441161.0,0.0,1.0,8.07,8.19,8.05,8.12,1441161.0
2018-03-09,8.11,8.12,8.01,8.05,1428907.0,0.0,1.0,8.11,8.12,8.01,8.05,1428907.0
2018-03-08,8.13,8.14,8.06,8.09,1091883.0,0.0,1.0,8.13,8.14,8.06,8.09,1091883.0
2018-03-07,8.1,8.22,8.065,8.1,1943728.0,0.0,1.0,8.1,8.22,8.065,8.1,1943728.0
2018-03-06,8.05,8.165,7.97,8.12,1012258.0,0.0,1.0,8.05,8.165,7.97,8.12,1012258.0
2018-03-05,7.9,8.12,7.9,8.04,1084881.0,0.0,1.0,7.9,8.12,7.9,8.04,1084881.0
2018-03-02,7.89,7.98,7.83,7.94,1793021.0,0.0,1.0,7.89,7.98,7.83,7.94,1793021.0
2018-03-01,7.94,8.06,7.84,7.92,2283152.0,0.0,1.0,7.94,8.06,7.84,7.92,2283152.0
2018-02-28,8.04,8.125,7.945,7.96,1314327.0,0.0,1.0,8.04,8.125,7.945,7.96,1314327.0
2018-02-27,8.4,8.59,8.07,8.08,1635380.0,0.0,1.0,8.4,8.59,8.07,8.08,1635380.0
2018-02-26,8.29,8.35,8.19,8.33,1315308.0,0.0,1.0,8.29,8.35,8.19,8.33,1315308.0
2018-02-23,8.21,8.285,8.15,8.28,706246.0,0.0,1.0,8.21,8.285,8.15,8.28,706246.0
2018-02-22,8.14,8.2499,8.13,8.15,708558.0,0.0,1.0,8.14,8.2499,8.13,8.15,708558.0
