Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,7.81,8.06,7.8,7.92,109661.0,0.0,1.0,7.81,8.06,7.8,7.92,109661.0
2018-03-26,7.94,7.94,7.6756,7.79,84066.0,0.0,1.0,7.94,7.94,7.6756,7.79,84066.0
2018-03-23,7.89,8.005,7.79,7.81,93899.0,0.0,1.0,7.89,8.005,7.79,7.81,93899.0
2018-03-22,7.83,8.0,7.83,7.88,79106.0,0.0,1.0,7.83,8.0,7.83,7.88,79106.0
2018-03-21,7.98,8.04,7.84,7.9,71278.0,0.0,1.0,7.98,8.04,7.84,7.9,71278.0
2018-03-20,7.84,8.0,7.5952,7.92,57277.0,0.0,1.0,7.84,8.0,7.5952,7.92,57277.0
2018-03-19,7.87,7.9,7.59,7.83,80648.0,0.0,1.0,7.87,7.9,7.59,7.83,80648.0
2018-03-16,7.77,7.89,7.74,7.86,113033.0,0.0,1.0,7.77,7.89,7.74,7.86,113033.0
2018-03-15,7.9,7.95,7.63,7.8,51220.0,0.0,1.0,7.9,7.95,7.63,7.8,51220.0
2018-03-14,8.13,8.13,7.87,7.9,28464.0,0.0,1.0,8.13,8.13,7.87,7.9,28464.0
2018-03-13,8.15,8.335,8.07,8.1,31021.0,0.0,1.0,8.15,8.335,8.07,8.1,31021.0
2018-03-12,8.22,8.34,8.07,8.1,29177.0,0.0,1.0,8.22,8.34,8.07,8.1,29177.0
2018-03-09,7.97,8.22,7.78,8.22,47757.0,0.0,1.0,7.97,8.22,7.78,8.22,47757.0
2018-03-08,8.05,8.07,7.811,7.92,74484.0,0.0,1.0,8.05,8.07,7.811,7.92,74484.0
2018-03-07,7.65,8.11,7.63,8.05,57503.0,0.0,1.0,7.65,8.11,7.63,8.05,57503.0
2018-03-06,7.7647,7.78,7.63,7.73,54889.0,0.0,1.0,7.7647,7.78,7.63,7.73,54889.0
2018-03-05,7.71,7.91,7.54,7.74,80073.0,0.0,1.0,7.71,7.91,7.54,7.74,80073.0
2018-03-02,7.8,7.86,7.42,7.79,90620.0,0.0,1.0,7.8,7.86,7.42,7.79,90620.0
2018-03-01,7.79,7.94,7.7428,7.81,69388.0,0.0,1.0,7.79,7.94,7.7428,7.81,69388.0
2018-02-28,8.08,8.21,7.78,7.81,185711.0,0.0,1.0,8.08,8.21,7.78,7.81,185711.0
2018-02-27,8.3,8.345,8.05,8.08,52051.0,0.0,1.0,8.3,8.345,8.05,8.08,52051.0
2018-02-26,8.33,8.4,8.15,8.27,60114.0,0.0,1.0,8.33,8.4,8.15,8.27,60114.0
2018-02-23,8.21,8.34,8.08,8.32,55391.0,0.0,1.0,8.21,8.34,8.08,8.32,55391.0
2018-02-22,8.31,8.38,8.19,8.2,44512.0,0.0,1.0,8.31,8.38,8.19,8.2,44512.0
2018-02-21,8.23,8.49,8.2,8.28,70369.0,0.0,1.0,8.23,8.49,8.2,8.28,70369.0
2018-02-20,8.41,8.468,8.19,8.21,52666.0,0.0,1.0,8.41,8.468,8.19,8.21,52666.0
2018-02-16,8.37,8.58,8.35,8.46,55762.0,0.0,1.0,8.37,8.58,8.35,8.46,55762.0
2018-02-15,8.62,8.62,8.333,8.4,86006.0,0.0,1.0,8.62,8.62,8.333,8.4,86006.0
2018-02-14,8.44,8.66,8.42,8.57,90192.0,0.0,1.0,8.44,8.66,8.42,8.57,90192.0
2018-02-13,8.46,8.7,8.28,8.54,116865.0,0.0,1.0,8.46,8.7,8.28,8.54,116865.0
2018-02-12,8.56,8.77,8.328,8.54,162157.0,0.0,1.0,8.56,8.77,8.328,8.54,162157.0
2018-02-09,8.61,8.64,8.18,8.52,217552.0,0.0,1.0,8.61,8.64,8.18,8.52,217552.0
2018-02-08,8.78,8.8,8.52,8.52,166626.0,0.0,1.0,8.78,8.8,8.52,8.52,166626.0
2018-02-07,7.69,8.88,7.69,8.69,744918.0,0.0,1.0,7.69,8.88,7.69,8.69,744918.0
2018-02-06,7.5,7.84,7.3225,7.72,98481.0,0.0,1.0,7.5,7.84,7.3225,7.72,98481.0
2018-02-05,7.9,8.075,7.62,7.65,102866.0,0.0,1.0,7.9,8.075,7.62,7.65,102866.0
2018-02-02,7.81,7.97,7.71,7.95,96071.0,0.0,1.0,7.81,7.97,7.71,7.95,96071.0
2018-02-01,7.95,8.14,7.78,7.9,103430.0,0.0,1.0,7.95,8.14,7.78,7.9,103430.0
2018-01-31,8.26,8.4532,7.9,7.94,143617.0,0.0,1.0,8.26,8.4532,7.9,7.94,143617.0
2018-01-30,8.28,8.3993,8.11,8.23,103366.0,0.0,1.0,8.28,8.3993,8.11,8.23,103366.0
2018-01-29,8.0,8.5,7.99,8.32,92653.0,0.0,1.0,8.0,8.5,7.99,8.32,92653.0
2018-01-26,8.3,8.3,7.95,8.03,115668.0,0.0,1.0,8.3,8.3,7.95,8.03,115668.0
2018-01-25,7.12,8.25,7.12,8.24,321692.0,0.0,1.0,7.12,8.25,7.12,8.24,321692.0
2018-01-24,6.96,6.96,6.71,6.79,103750.0,0.0,1.0,6.96,6.96,6.71,6.79,103750.0
2018-01-23,6.86,6.97,6.75,6.95,37964.0,0.0,1.0,6.86,6.97,6.75,6.95,37964.0
2018-01-22,7.05,7.05,6.81,6.91,48989.0,0.0,1.0,7.05,7.05,6.81,6.91,48989.0
2018-01-19,6.85,7.09,6.85,7.06,71840.0,0.0,1.0,6.85,7.09,6.85,7.06,71840.0
2018-01-18,6.87,6.94,6.7,6.85,56553.0,0.0,1.0,6.87,6.94,6.7,6.85,56553.0
2018-01-17,7.04,7.18,6.84,6.9,78880.0,0.0,1.0,7.04,7.18,6.84,6.9,78880.0
2018-01-16,7.0,7.2,6.81,6.98,88875.0,0.0,1.0,7.0,7.2,6.81,6.98,88875.0
2018-01-12,7.12,7.21,6.93,6.96,56431.0,0.0,1.0,7.12,7.21,6.93,6.96,56431.0
2018-01-11,6.84,7.15,6.81,7.13,62192.0,0.0,1.0,6.84,7.15,6.81,7.13,62192.0
2018-01-10,6.93,7.159,6.78,6.84,86303.0,0.0,1.0,6.93,7.159,6.78,6.84,86303.0
2018-01-09,7.15,7.1834,6.91,6.92,79968.0,0.0,1.0,7.15,7.1834,6.91,6.92,79968.0
2018-01-08,7.24,7.3536,7.16,7.16,37833.0,0.0,1.0,7.24,7.3536,7.16,7.16,37833.0
2018-01-05,7.34,7.37,7.23,7.26,77117.0,0.0,1.0,7.34,7.37,7.23,7.26,77117.0
2018-01-04,6.86,7.506,6.84,7.31,193889.0,0.0,1.0,6.86,7.506,6.84,7.31,193889.0
2018-01-03,6.8,6.95,6.77,6.83,29089.0,0.0,1.0,6.8,6.95,6.77,6.83,29089.0
2018-01-02,6.88,7.05,6.77,6.81,56335.0,0.0,1.0,6.88,7.05,6.77,6.81,56335.0
2017-12-29,6.98,7.0,6.85,6.88,98507.0,0.0,1.0,6.98,7.0,6.85,6.88,98507.0
2017-12-28,6.77,7.09,6.7379999999999995,6.98,119743.0,0.0,1.0,6.77,7.09,6.7379999999999995,6.98,119743.0
2017-12-27,6.78,6.995,6.72,6.77,57800.0,0.0,1.0,6.78,6.995,6.72,6.77,57800.0
2017-12-26,6.9,6.99,6.75,6.78,81610.0,0.0,1.0,6.9,6.99,6.75,6.78,81610.0
2017-12-22,7.05,7.2149,6.89,6.89,44617.0,0.0,1.0,7.05,7.2149,6.89,6.89,44617.0
