Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,27.9,28.6,27.62,27.86,7032343.0,0.0,1.0,27.9,28.6,27.62,27.86,7032343.0
2018-03-26,27.62,28.035,27.24,27.9,9034723.0,0.0,1.0,27.62,28.035,27.24,27.9,9034723.0
2018-03-23,28.37,28.42,27.18,27.21,9057852.0,0.0,1.0,28.37,28.42,27.18,27.21,9057852.0
2018-03-22,28.49,28.87,28.03,28.27,5586062.0,0.0,1.0,28.49,28.87,28.03,28.27,5586062.0
2018-03-21,28.92,29.23,28.65,28.68,4851265.0,0.0,1.0,28.92,29.23,28.65,28.68,4851265.0
2018-03-20,29.34,29.55,28.655,28.93,8085620.0,0.0,1.0,29.34,29.55,28.655,28.93,8085620.0
2018-03-19,28.94,29.59,28.49,29.3,9585328.0,0.0,1.0,28.94,29.59,28.49,29.3,9585328.0
2018-03-16,28.72,29.385,28.56,28.9,10834618.0,0.0,1.0,28.72,29.385,28.56,28.9,10834618.0
2018-03-15,29.43,29.61,28.555,28.8,6453839.0,0.0,1.0,29.43,29.61,28.555,28.8,6453839.0
2018-03-14,29.43,29.575,28.7401,29.23,10557043.0,0.0,1.0,29.43,29.575,28.7401,29.23,10557043.0
2018-03-13,28.92,30.2851,28.84,29.82,12556696.0,0.0,1.0,28.92,30.2851,28.84,29.82,12556696.0
2018-03-12,28.88,29.13,28.64,28.76,6932952.0,0.0,1.0,28.88,29.13,28.64,28.76,6932952.0
2018-03-09,29.31,29.39,28.38,28.88,9586903.0,0.0,1.0,29.31,29.39,28.38,28.88,9586903.0
2018-03-08,30.01,30.05,28.83,28.92,9175384.0,0.0,1.0,30.01,30.05,28.83,28.92,9175384.0
2018-03-07,30.0,30.4431,29.77,29.92,8844536.0,0.0,1.0,30.0,30.4431,29.77,29.92,8844536.0
2018-03-06,30.45,30.665,29.74,30.36,9002637.0,0.0,1.0,30.45,30.665,29.74,30.36,9002637.0
2018-03-05,30.22,30.65,29.78,30.35,11863576.0,0.0,1.0,30.22,30.65,29.78,30.35,11863576.0
2018-03-02,28.84,30.69,28.8,30.41,16218509.0,0.0,1.0,28.84,30.69,28.8,30.41,16218509.0
2018-03-01,29.42,29.59,28.1,29.25,15812893.0,0.0,1.0,29.42,29.59,28.1,29.25,15812893.0
2018-02-28,28.89,29.89,28.86,29.41,20831838.0,0.0,1.0,28.89,29.89,28.86,29.41,20831838.0
2018-02-27,29.77,31.04,27.93,28.4,49003769.0,0.0,1.0,29.77,31.04,27.93,28.4,49003769.0
2018-02-26,27.04,27.47,26.505,27.45,14121152.0,0.0,1.0,27.04,27.47,26.505,27.45,14121152.0
2018-02-23,26.31,27.09,25.93,26.74,10946208.0,0.0,1.0,26.31,27.09,25.93,26.74,10946208.0
2018-02-22,25.75,26.39,25.63,26.17,7283984.0,0.0,1.0,25.75,26.39,25.63,26.17,7283984.0
