Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,28.36,28.69,27.62,27.84,506759.0,0.0,1.0,28.36,28.69,27.62,27.84,506759.0
2018-03-26,28.49,28.6,27.73,28.18,410394.0,0.0,1.0,28.49,28.6,27.73,28.18,410394.0
2018-03-23,28.82,29.21,27.98,28.01,725575.0,0.0,1.0,28.82,29.21,27.98,28.01,725575.0
2018-03-22,28.76,29.34,28.52,28.55,352144.0,0.0,1.0,28.76,29.34,28.52,28.55,352144.0
2018-03-21,28.55,29.38,28.24,29.14,352131.0,0.0,1.0,28.55,29.38,28.24,29.14,352131.0
2018-03-20,28.82,29.205,28.35,28.45,371189.0,0.0,1.0,28.82,29.205,28.35,28.45,371189.0
2018-03-19,28.67,28.9,28.37,28.88,596872.0,0.0,1.0,28.67,28.9,28.37,28.88,596872.0
2018-03-16,28.44,28.91,28.29,28.81,684833.0,0.0,1.0,28.44,28.91,28.29,28.81,684833.0
2018-03-15,28.9,28.97,28.125,28.34,691263.0,0.0,1.0,28.9,28.97,28.125,28.34,691263.0
2018-03-14,29.82,29.9,28.69,28.71,569823.0,0.0,1.0,29.82,29.9,28.69,28.71,569823.0
2018-03-13,29.55,30.155,29.08,29.7,1678456.0,0.0,1.0,29.55,30.155,29.08,29.7,1678456.0
2018-03-12,28.18,28.54,28.16,28.29,593626.0,0.0,1.0,28.18,28.54,28.16,28.29,593626.0
2018-03-09,28.03,28.29,27.61,28.18,690449.0,0.0,1.0,28.03,28.29,27.61,28.18,690449.0
2018-03-08,28.37,28.37,27.56,27.76,557196.0,0.0,1.0,28.37,28.37,27.56,27.76,557196.0
2018-03-07,28.08,28.55,27.99,28.2,430471.0,0.0,1.0,28.08,28.55,27.99,28.2,430471.0
2018-03-06,28.2,28.4,27.74,28.35,839388.0,0.0,1.0,28.2,28.4,27.74,28.35,839388.0
2018-03-05,27.51,28.24,27.51,28.04,579821.0,0.0,1.0,27.51,28.24,27.51,28.04,579821.0
2018-03-02,27.23,27.86,26.94,27.78,816686.0,0.0,1.0,27.23,27.86,26.94,27.78,816686.0
2018-03-01,27.71,27.862,27.13,27.54,1114815.0,0.0,1.0,27.71,27.862,27.13,27.54,1114815.0
2018-02-28,28.63,28.67,27.38,27.68,996888.0,0.0,1.0,28.63,28.67,27.38,27.68,996888.0
2018-02-27,28.97,29.67,28.62,28.63,1005975.0,0.0,1.0,28.97,29.67,28.62,28.63,1005975.0
2018-02-26,29.33,29.37,28.69,29.13,639773.0,0.0,1.0,29.33,29.37,28.69,29.13,639773.0
2018-02-23,30.0,30.0,28.82,29.15,879095.0,0.0,1.0,30.0,30.0,28.82,29.15,879095.0
2018-02-22,30.33,30.535,29.91,30.1,890089.0,0.0,1.0,30.33,30.535,29.91,30.1,890089.0
2018-02-21,30.38,30.89,30.13,30.13,575723.0,0.0,1.0,30.38,30.89,30.13,30.13,575723.0
2018-02-20,30.59,30.67,30.1,30.23,648554.0,0.0,1.0,30.59,30.67,30.1,30.23,648554.0
2018-02-16,29.99,30.88,29.99,30.73,534405.0,0.0,1.0,29.99,30.88,29.99,30.73,534405.0
2018-02-15,30.66,30.66,29.73,30.06,750081.0,0.0,1.0,30.66,30.66,29.73,30.06,750081.0
2018-02-14,29.52,30.43,29.47,30.27,892950.0,0.0,1.0,29.52,30.43,29.47,30.27,892950.0
2018-02-13,30.01,30.74,29.64,29.84,1081673.0,0.0,1.0,30.01,30.74,29.64,29.84,1081673.0
2018-02-12,29.82,29.82,29.06,29.61,969421.0,0.0,1.0,29.82,29.82,29.06,29.61,969421.0
2018-02-09,29.24,29.87,28.41,29.48,1807044.0,0.0,1.0,29.24,29.87,28.41,29.48,1807044.0
2018-02-08,30.34,30.4,28.73,28.74,1257861.0,0.0,1.0,30.34,30.4,28.73,28.74,1257861.0
2018-02-07,30.24,30.97,30.16,30.31,1208916.0,0.0,1.0,30.24,30.97,30.16,30.31,1208916.0
2018-02-06,28.56,30.45,28.281,30.41,1957259.0,0.0,1.0,28.56,30.45,28.281,30.41,1957259.0
2018-02-05,31.5,31.61,29.13,29.58,1545881.0,0.0,1.0,31.5,31.61,29.13,29.58,1545881.0
2018-02-02,33.71,33.71,31.34,32.01,1369618.0,0.0,1.0,33.71,33.71,31.34,32.01,1369618.0
2018-02-01,32.03,35.11,31.5,34.01,1359930.0,0.0,1.0,32.03,35.11,31.5,34.01,1359930.0
2018-01-31,33.78,34.12,33.66,33.71,1732623.0,0.0,1.0,33.78,34.12,33.66,33.71,1732623.0
2018-01-30,33.18,33.52,32.51,33.33,911710.0,0.0,1.0,33.18,33.52,32.51,33.33,911710.0
2018-01-29,34.06,34.14,33.49,33.59,894682.0,0.0,1.0,34.06,34.14,33.49,33.59,894682.0
2018-01-26,34.26,34.35,33.705,34.13,574146.0,0.0,1.0,34.26,34.35,33.705,34.13,574146.0
2018-01-25,34.82,34.82,33.71,34.16,468038.0,0.0,1.0,34.82,34.82,33.71,34.16,468038.0
2018-01-24,34.89,35.18,34.31,34.64,519508.0,0.0,1.0,34.89,35.18,34.31,34.64,519508.0
2018-01-23,34.7,34.77,34.11,34.64,268745.0,0.0,1.0,34.7,34.77,34.11,34.64,268745.0
2018-01-22,34.43,34.68,34.28,34.68,245289.0,0.0,1.0,34.43,34.68,34.28,34.68,245289.0
2018-01-19,34.03,34.52,33.93,34.46,367587.0,0.0,1.0,34.03,34.52,33.93,34.46,367587.0
2018-01-18,34.63,34.73,33.92,33.97,332883.0,0.0,1.0,34.63,34.73,33.92,33.97,332883.0
2018-01-17,33.97,34.79,33.87,34.69,463812.0,0.0,1.0,33.97,34.79,33.87,34.69,463812.0
2018-01-16,34.36,34.41,33.51,33.64,413863.0,0.0,1.0,34.36,34.41,33.51,33.64,413863.0
2018-01-12,34.47,34.47,33.99,34.12,363514.0,0.0,1.0,34.47,34.47,33.99,34.12,363514.0
2018-01-11,33.88,34.38,33.39,34.34,1036078.0,0.0,1.0,33.88,34.38,33.39,34.34,1036078.0
2018-01-10,34.36,34.4279,33.5,33.53,467171.0,0.0,1.0,34.36,34.4279,33.5,33.53,467171.0
2018-01-09,34.34,35.05,34.13,34.58,600180.0,0.0,1.0,34.34,35.05,34.13,34.58,600180.0
2018-01-08,34.41,34.63,34.09,34.37,240355.0,0.0,1.0,34.41,34.63,34.09,34.37,240355.0
2018-01-05,34.24,34.41,33.83,34.4,239417.0,0.0,1.0,34.24,34.41,33.83,34.4,239417.0
