Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,65.79,65.8,63.43,63.81,476114.0,0.0,1.0,65.79,65.8,63.43,63.81,476114.0
2018-03-26,64.8,65.83,63.29,65.65,516127.0,0.0,1.0,64.8,65.83,63.29,65.65,516127.0
2018-03-23,65.06,65.48,63.69,63.76,410488.0,0.0,1.0,65.06,65.48,63.69,63.76,410488.0
2018-03-22,66.34,67.3,64.96,65.02,461282.0,0.0,1.0,66.34,67.3,64.96,65.02,461282.0
2018-03-21,65.42,67.38,65.29,67.07,595404.0,0.0,1.0,65.42,67.38,65.29,67.07,595404.0
2018-03-20,65.28,65.89,64.51,65.3,713785.0,0.0,1.0,65.28,65.89,64.51,65.3,713785.0
2018-03-19,66.3,66.612,64.68,65.45,394677.0,0.0,1.0,66.3,66.612,64.68,65.45,394677.0
2018-03-16,67.5,67.65,66.76,66.87,862459.0,0.0,1.0,67.5,67.65,66.76,66.87,862459.0
2018-03-15,68.02,68.02,66.85,67.2,387927.0,0.0,1.0,68.02,68.02,66.85,67.2,387927.0
2018-03-14,69.1,69.1,67.64,67.84,339206.0,0.0,1.0,69.1,69.1,67.64,67.84,339206.0
2018-03-13,70.73,70.74,68.21,68.57,370217.0,0.0,1.0,70.73,70.74,68.21,68.57,370217.0
2018-03-12,69.99,70.84,69.95,70.34,511095.0,0.0,1.0,69.99,70.84,69.95,70.34,511095.0
2018-03-09,68.6,70.29,67.29,70.06,492226.0,0.0,1.0,68.6,70.29,67.29,70.06,492226.0
2018-03-08,68.06,68.5,66.56,67.93,288419.0,0.0,1.0,68.06,68.5,66.56,67.93,288419.0
2018-03-07,68.42,68.42,67.295,68.03,457332.0,0.0,1.0,68.42,68.42,67.295,68.03,457332.0
2018-03-06,68.85,70.0,67.4,68.87,431817.0,0.0,1.0,68.85,70.0,67.4,68.87,431817.0
2018-03-05,66.29,69.07,66.115,68.71,485410.0,0.0,1.0,66.29,69.07,66.115,68.71,485410.0
2018-03-02,63.7,66.74,63.21,66.5,654217.0,0.0,1.0,63.7,66.74,63.21,66.5,654217.0
2018-03-01,65.65,66.11,63.715,64.08,578301.0,0.0,1.0,65.65,66.11,63.715,64.08,578301.0
2018-02-28,66.98,67.89,65.59,65.66,408276.0,0.0,1.0,66.98,67.89,65.59,65.66,408276.0
2018-02-27,67.95,68.42,67.06,67.08,236954.0,0.0,1.0,67.95,68.42,67.06,67.08,236954.0
2018-02-26,67.66,68.15,66.76,67.95,164763.0,0.0,1.0,67.66,68.15,66.76,67.95,164763.0
2018-02-23,66.7,67.38,65.67,67.33,279070.0,0.0,1.0,66.7,67.38,65.67,67.33,279070.0
2018-02-22,67.8,68.51,66.19,66.46,370952.0,0.0,1.0,67.8,68.51,66.19,66.46,370952.0
2018-02-21,67.81,68.93,67.22,67.5,602412.0,0.0,1.0,67.81,68.93,67.22,67.5,602412.0
2018-02-20,67.47,67.875,66.671,67.59,570649.0,0.0,1.0,67.47,67.875,66.671,67.59,570649.0
2018-02-16,66.57,69.05,66.57,67.98,707074.0,0.0,1.0,66.57,69.05,66.57,67.98,707074.0
2018-02-15,63.86,66.82,63.17,66.77,745986.0,0.0,1.0,63.86,66.82,63.17,66.77,745986.0
2018-02-14,61.81,64.12,61.69,63.57,585415.0,0.0,1.0,61.81,64.12,61.69,63.57,585415.0
2018-02-13,61.93,62.67,61.18,62.48,794188.0,0.0,1.0,61.93,62.67,61.18,62.48,794188.0
2018-02-12,66.645,66.95,62.13,62.48,944905.0,0.0,1.0,66.645,66.95,62.13,62.48,944905.0
2018-02-09,63.75,65.37,62.86,64.95,1509901.0,0.0,1.0,63.75,65.37,62.86,64.95,1509901.0
2018-02-08,65.75,66.61,59.6,62.61,3023352.0,0.0,1.0,65.75,66.61,59.6,62.61,3023352.0
2018-02-07,65.33,66.865,65.04,66.38,744853.0,0.0,1.0,65.33,66.865,65.04,66.38,744853.0
2018-02-06,64.61,66.79,64.13,65.44,628160.0,0.0,1.0,64.61,66.79,64.13,65.44,628160.0
2018-02-05,67.37,68.2,65.44,65.71,538753.0,0.0,1.0,67.37,68.2,65.44,65.71,538753.0
2018-02-02,67.4,69.17,65.94,68.23,447274.0,0.0,1.0,67.4,69.17,65.94,68.23,447274.0
2018-02-01,67.79,68.26,67.12,67.82,300037.0,0.0,1.0,67.79,68.26,67.12,67.82,300037.0
2018-01-31,69.71,69.71,68.09,68.11,466357.0,0.0,1.0,69.71,69.71,68.09,68.11,466357.0
