Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-03-30,37.25,37.26,37.2425,37.25,912421.0,0.0,1.0,37.25,37.26,37.2425,37.25,912421.0
2017-03-29,37.24,37.26,37.24,37.26,1192778.0,0.0,1.0,37.24,37.26,37.24,37.26,1192778.0
2017-03-28,37.17,37.21,37.16,37.19,1450367.0,0.0,1.0,37.17,37.21,37.16,37.19,1450367.0
2017-03-27,37.18,37.2,37.155,37.18,978292.0,0.0,1.0,37.18,37.2,37.155,37.18,978292.0
2017-03-24,37.18,37.22,37.18,37.2,609364.0,0.0,1.0,37.18,37.22,37.18,37.2,609364.0
2017-03-23,37.2,37.23,37.17,37.18,1097364.0,0.0,1.0,37.2,37.23,37.17,37.18,1097364.0
2017-03-22,37.18,37.21,37.13,37.2,3710623.0,0.0,1.0,37.18,37.21,37.13,37.2,3710623.0
2017-03-21,37.22,37.23,37.13,37.15,1232295.0,0.0,1.0,37.22,37.23,37.13,37.15,1232295.0
2017-03-20,37.2,37.235,37.19,37.2,635193.0,0.0,1.0,37.2,37.235,37.19,37.2,635193.0
2017-03-17,37.2,37.29,37.17,37.24,2947762.0,0.0,1.0,37.2,37.29,37.17,37.24,2947762.0
2017-03-16,37.18,37.2,37.17,37.2,692010.0,0.0,1.0,37.18,37.2,37.17,37.2,692010.0
2017-03-15,37.16,37.2,37.13,37.2,2055798.0,0.0,1.0,37.16,37.2,37.13,37.2,2055798.0
2017-03-14,37.13,37.16,37.13,37.15,674462.0,0.0,1.0,37.13,37.16,37.13,37.15,674462.0
2017-03-13,37.15,37.16,37.1,37.14,2520016.0,0.0,1.0,37.15,37.16,37.1,37.14,2520016.0
2017-03-10,37.05,37.12,37.03,37.06,1462388.0,0.055,1.0,37.05,37.12,37.03,37.06,1462388.0
2017-03-09,37.12,37.16,37.12,37.14,5254463.0,0.0,1.0,37.06499259059679,37.10493331537114,37.06499259059679,37.08496295298397,5254463.0
2017-03-08,37.13,37.14,37.115,37.12,852871.0,0.0,1.0,37.07497777179038,37.08496295298397,37.06,37.06499259059679,852871.0
2017-03-07,37.1,37.14,37.1,37.12,1736343.0,0.0,1.0,37.04502222820962,37.08496295298397,37.04502222820962,37.06499259059679,1736343.0
2017-03-06,37.14,37.16,37.08,37.08,1581542.0,0.0,1.0,37.08496295298397,37.10493331537114,37.02505186582244,37.02505186582244,1581542.0
2017-03-03,37.14,37.175,37.13,37.14,2358285.0,0.0,1.0,37.08496295298397,37.11991108716152,37.07497777179038,37.08496295298397,2358285.0
2017-03-02,37.12,37.15,37.12,37.13,3264804.0,0.0,1.0,37.06499259059679,37.094948134177564,37.06499259059679,37.07497777179038,3264804.0
2017-03-01,37.11,37.18,37.11,37.14,1720097.0,0.0,1.0,37.0550074094032,37.12490367775832,37.0550074094032,37.08496295298397,1720097.0
2017-02-28,37.1,37.13,37.09,37.1,1566169.0,0.0,1.0,37.04502222820962,37.07497777179038,37.03503704701603,37.04502222820962,1566169.0
2017-02-27,37.05,37.1,37.05,37.09,8228516.0,0.0,1.0,36.99509632224168,37.04502222820962,36.99509632224168,37.03503704701603,8228516.0
2017-02-24,37.01,37.04,36.95,37.04,1149161.0,0.0,1.0,36.955155597467325,36.985111141048094,36.895244510305815,36.985111141048094,1149161.0
2017-02-23,37.02,37.04,37.01,37.04,2078989.0,0.0,1.0,36.965140778660924,36.985111141048094,36.955155597467325,36.985111141048094,2078989.0
2017-02-22,36.98,37.02,36.95,37.0,1377840.0,0.0,1.0,36.92520005388656,36.965140778660924,36.895244510305815,36.94517041627374,1377840.0
2017-02-21,36.92,36.99,36.91,36.99,2703948.0,0.0,1.0,36.865288966725046,36.935185235080155,36.855303785531454,36.935185235080155,2703948.0
2017-02-17,36.92,36.93,36.9,36.92,1330779.0,0.0,1.0,36.865288966725046,36.87527414791863,36.84531860433787,36.865288966725046,1330779.0
2017-02-16,36.92,36.93,36.9,36.9,1918152.0,0.0,1.0,36.865288966725046,36.87527414791863,36.84531860433787,36.84531860433787,1918152.0
2017-02-15,36.92,36.93,36.92,36.92,910313.0,0.0,1.0,36.865288966725046,36.87527414791863,36.865288966725046,36.865288966725046,910313.0
2017-02-14,36.9,36.94,36.9,36.92,1477224.0,0.0,1.0,36.84531860433787,36.88525932911222,36.84531860433787,36.865288966725046,1477224.0
2017-02-13,36.9,36.92,36.9,36.9,1585870.0,0.0,1.0,36.84531860433787,36.865288966725046,36.84531860433787,36.84531860433787,1585870.0
2017-02-10,36.92,36.93,36.87,36.87,5506401.0,0.0,1.0,36.865288966725046,36.87527414791863,36.8153630607571,36.8153630607571,5506401.0
2017-02-09,36.92,36.92,36.86,36.91,1703949.0,0.0,1.0,36.865288966725046,36.865288966725046,36.80537787956352,36.855303785531454,1703949.0
2017-02-08,36.92,36.93,36.9,36.93,2750172.0,0.0,1.0,36.865288966725046,36.87527414791863,36.84531860433787,36.87527414791863,2750172.0
2017-02-07,36.92,36.93,36.91,36.92,1123911.0,0.0,1.0,36.865288966725046,36.87527414791863,36.855303785531454,36.865288966725046,1123911.0
